2018-11-14_code,2018-11-14_days
AEE,0
AFIN,0
AZN,0
AZUL,0
BAH,0
BBN,0
BGFV,0
BGS,0
BIS,0
BSCI,0
BSCN,0
CA,0
CLIR,0
CSGS,0
CYHHZ,0
DGLD,0
DTE,0
DUST,0
ECC,0
EDGW,0
EGC,0
EQR,0
ETP,0
EXR,0
EXTN,0
FTS,0
FTSM,0
GSY,0
GTYH,0
GUT,0
HELE,0
HGH,0
HMNY,0
JDST,0
JE,0
KCAP,0
KO,0
KS,0
LABD,0
LW,0
MHN,0
MINT,0
MUB,0
MYI,0
NWBI,0
NYRT,0
NZF,0
PF,0
PMO,0
PNW,0
PX,0
RRTS,0
SHEN,0
SPTS,0
SVU,0
TMCX,0
TR,0
TRUE,0
UGAZ,0
ULTA,0
UNG,0
WSM,0
XEL,0
XONE,0
