ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit
600000.SH,20180428,20180428,20180331,1,2,0.46,0.46,39629000000.0,39629000000.0,66723000000.0,,11902000000.0,10580000000.0,2505000000.0,496000000.0,,,,,,,,702000000.0,-2101000000.0,3696000000.0,25000000.0,414000000.0,22524000000.0,,40444000000.0,1322000000.0,465000000.0,,9680000000.0,,12173000000.0,,,,,,22524000000.0,,,,206000000.0,17105000000.0,25000000.0,24000000.0,,17106000000.0,2647000000.0,14459000000.0,14305000000.0,154000000.0,1398000000.0,15857000000.0,15709000000.0,148000000.0,,,,,
600000.SH,20180428,20180428,20180331,1,2,0.46,0.46,39629000000.0,39629000000.0,66723000000.0,,11902000000.0,10580000000.0,2505000000.0,496000000.0,,,,,,,,702000000.0,-2101000000.0,3696000000.0,25000000.0,414000000.0,22524000000.0,,40444000000.0,1322000000.0,465000000.0,,9680000000.0,,12173000000.0,,,,,,22524000000.0,,,,206000000.0,17105000000.0,25000000.0,24000000.0,,17106000000.0,2647000000.0,14459000000.0,14305000000.0,154000000.0,1398000000.0,15857000000.0,15709000000.0,148000000.0,29278000000.0,,,,
600000.SH,20180428,20180428,20171231,1,2,1.84,1.84,168619000000.0,168619000000.0,245818000000.0,,50773000000.0,45580000000.0,14721000000.0,2210000000.0,,,,,,,,2612000000.0,-3797000000.0,13585000000.0,97000000.0,2723000000.0,98344000000.0,,138906000000.0,5193000000.0,1610000000.0,,41047000000.0,,55285000000.0,,,,,,98344000000.0,,,,402000000.0,70275000000.0,197000000.0,644000000.0,,69828000000.0,14826000000.0,55002000000.0,54258000000.0,744000000.0,-5572000000.0,49430000000.0,48690000000.0,740000000.0,125962000000.0,128895000000.0,,,
