毛利率,流通股,净资产,净利润,流值,每股未分配利润,PE(动),链接,同比,收益(三),负债率,总股本,code,名称,ROE,总值,市净率,净利率,营收,上市时间,净利润_2007-12-31,净利润_2008-12-31,净利润_2009-09-30,净利润_2009-12-31,净利润_2010-06-30,净利润_2010-09-30,净利润_2010-12-31,净利润_2011-12-31,净利润_2012-12-31,净利润_2013-09-30,净利润_2013-12-31,净利润_2014-12-31,净利润_2015-03-31,净利润_2015-06-30,净利润_2015-09-30,净利润_2015-12-31,净利润_2016-03-31,净利润_2016-06-30,净利润_2016-09-30,净利润_2016-12-31,净利润_2017-03-31,净利润_2017-06-30,净利润_2017-09-30,净利润_2017-12-31,净利润_2018-03-31,净利润_2018-06-30,净利润_2018-09-30,净利润_2018-12-31,净利润同比增长_2007-12-31,净利润同比增长_2008-12-31,净利润同比增长_2009-09-30,净利润同比增长_2009-12-31,净利润同比增长_2010-06-30,净利润同比增长_2010-09-30,净利润同比增长_2010-12-31,净利润同比增长_2011-12-31,净利润同比增长_2012-12-31,净利润同比增长_2013-09-30,净利润同比增长_2013-12-31,净利润同比增长_2014-12-31,净利润同比增长_2015-03-31,净利润同比增长_2015-06-30,净利润同比增长_2015-09-30,净利润同比增长_2015-12-31,净利润同比增长_2016-03-31,净利润同比增长_2016-06-30,净利润同比增长_2016-09-30,净利润同比增长_2016-12-31,净利润同比增长_2017-03-31,净利润同比增长_2017-06-30,净利润同比增长_2017-09-30,净利润同比增长_2017-12-31,净利润同比增长_2018-03-31,净利润同比增长_2018-06-30,净利润同比增长_2018-09-30,净利润同比增长_2018-12-31,营收_2007-12-31,营收_2008-12-31,营收_2009-09-30,营收_2009-12-31,营收_2010-06-30,营收_2010-09-30,营收_2010-12-31,营收_2011-12-31,营收_2012-12-31,营收_2013-09-30,营收_2013-12-31,营收_2014-12-31,营收_2015-03-31,营收_2015-06-30,营收_2015-09-30,营收_2015-12-31,营收_2016-03-31,营收_2016-06-30,营收_2016-09-30,营收_2016-12-31,营收_2017-03-31,营收_2017-06-30,营收_2017-09-30,营收_2017-12-31,营收_2018-03-31,营收_2018-06-30,营收_2018-09-30,营收_2018-12-31,营收增长同比_2007-12-31,营收增长同比_2008-12-31,营收增长同比_2009-09-30,营收增长同比_2009-12-31,营收增长同比_2010-06-30,营收增长同比_2010-09-30,营收增长同比_2010-12-31,营收增长同比_2011-12-31,营收增长同比_2012-12-31,营收增长同比_2013-09-30,营收增长同比_2013-12-31,营收增长同比_2014-12-31,营收增长同比_2015-03-31,营收增长同比_2015-06-30,营收增长同比_2015-09-30,营收增长同比_2015-12-31,营收增长同比_2016-03-31,营收增长同比_2016-06-30,营收增长同比_2016-09-30,营收增长同比_2016-12-31,营收增长同比_2017-03-31,营收增长同比_2017-06-30,营收增长同比_2017-09-30,营收增长同比_2017-12-31,营收增长同比_2018-03-31,营收增长同比_2018-06-30,营收增长同比_2018-09-30,营收增长同比_2018-12-31
42.48%,3020万,12.32,1.60亿,20.83亿,3.203元,39.14,http://quote.eastmoney.com/sh603583.html,44.44%,1.3219999999999998,17.20%,1.21亿,sh603583,捷昌驱动,26.72%,83.33亿,5.60,21.68%,7.36亿,2018-09-21,,,,,,,,,,,,,,,,--,3337万,3928万,,--,,--,3818万,4728万,,--,5407万,,,,,,,,,,,,,,,,,--,--,--,,--,,--,--,--,,--,41.61,,,,,,,,,,,,,,,,,--,1.11亿,1.37亿,,--,,--,1.65亿,2.21亿,,--,2.58亿,,,,,,,,,,,,,,,,,--,--,--,,--,,--,--,--,,--,56.12,
40.70%,5400万,9.3,2.28亿,12.83亿,3.955元,14.08,http://quote.eastmoney.com/sh603585.html,36.78%,1.265,8.55%,1.80亿,sh603585,苏利股份,14.22%,42.75亿,2.55,25.89%,12.03亿,2016-12-14,,,,,,,,,,,,,,,,,,,3981万,5485万,4656万,6679万,5311万,5812万,5945万,9316万,7508万,,,,,,,,,,,,,,,,,,,,--,--,14.61,33.64,33.44,5.95,27.70,39.48,41.36,,,,,,,,,,,,,,,,,,,,3.35亿,3.49亿,3.53亿,3.80亿,3.31亿,3.92亿,3.80亿,4.31亿,3.91亿,,,,,,,,,,,,,,,,,,,,--,--,15.17,5.49,-1.10,12.47,7.70,13.51,18.11,
23.51%,1.00亿,9.828,7847万,15.31亿,2.752元,31.51,http://quote.eastmoney.com/sh603586.html,-45.62%,0.364,24.24%,2.16亿,sh603586,金麒麟,3.62%,32.97亿,1.56,7.57%,10.36亿,2017-04-06,,,,,,,,,,,,,,,,,,,5742万,5225万,4597万,5533万,4300万,2953万,298万,3329万,4220万,,,,,,,,,,,,,,,,,,,,--,--,11.66,-1.80,-25.12,-43.48,-93.51,-39.83,-1.85,,,,,,,,,,,,,,,,,,,,3.55亿,3.69亿,3.52亿,3.85亿,3.80亿,3.84亿,3.22亿,3.64亿,3.50亿,,,,,,,,,,,,,,,,,,,,--,--,34.79,26.18,6.80,3.91,-8.35,-5.36,-7.88,
74.47%,6100万,7.3870000000000005,4.50亿,15.38亿,1.958元,16.87,http://quote.eastmoney.com/sh603587.html,25.28%,1.121,12.53%,4.01亿,sh603587,地素时尚,22.05%,101.1亿,3.41,30.58%,14.71亿,2018-06-22,,,,,,,,,,,,,,,,--,,,,--,1.44亿,1.28亿,8628万,1.21亿,1.47亿,1.88亿,1.14亿,,,,,,,,,,,,,,,,,--,,,,--,--,--,--,--,1.96,46.82,32.28,,,,,,,,,,,,,,,,,--,,,,--,4.84亿,4.09亿,4.90亿,5.63亿,5.14亿,4.57亿,5.00亿,,,,,,,,,,,,,,,,,--,,,,--,--,--,--,--,6.27,11.82,1.93,
30.31%,6.54亿,3.702,2.41亿,68.91亿,1.767元,21.61,http://quote.eastmoney.com/sh603588.html,86.49%,0.365,61.69%,6.61亿,sh603588,高能环境,10.46%,69.55亿,2.84,13.10%,22.35亿,2014-12-29,,,,,,,,,,,,,,,,,,,3796万,8119万,334万,6268万,6340万,6252万,3094万,1.21亿,8950万,,,,,,,,,,,,,,,,,,,,33.63,29.97,--,27.53,67.01,-22.99,825.54,92.93,41.16,,,,,,,,,,,,,,,,,,,,3.44亿,6.77亿,2.81亿,5.82亿,6.57亿,7.86亿,5.00亿,8.78亿,8.58亿,,,,,,,,,,,,,,,,,,,,42.68,45.68,140.04,36.26,91.15,16.05,77.99,50.79,30.61,
74.34%,6.00亿,9.627,11.41亿,270.5亿,6.399元,17.77,http://quote.eastmoney.com/sh603589.html,26.68%,1.902,23.88%,6.00亿,sh603589,口子窖,20.92%,270.5亿,4.68,35.58%,32.07亿,2015-06-29,,,,,,,,,,,,,,,,,,,3.07亿,7107万,3.27亿,1.99亿,3.75亿,2.13亿,4.49亿,2.85亿,4.08亿,,,,,,,,,,,,,,,,,,,,15.06,6.76,20.80,48.16,22.01,199.23,37.20,43.15,8.77,,,,,,,,,,,,,,,,,,,,8.52亿,4.95亿,10.3亿,7.13亿,9.69亿,8.87亿,12.5亿,9.09亿,10.5亿,,,,,,,,,,,,,,,,,,,,5.89,5.26,16.33,19.90,13.72,79.20,21.02,27.51,8.15,
94.98%,4000万,15.08,1.57亿,15.09亿,7.484元,28.84,http://quote.eastmoney.com/sh603590.html,-62.69%,0.981,14.21%,1.60亿,sh603590,康辰药业,10.21%,60.35亿,2.50,22.55%,6.96亿,2018-08-27,,,,,,,,,,,--,--,,,,--,,--,,--,,,3644万,5820万,,--,5644万,,,,,,,,,,,,--,--,,,,--,,--,,--,,,--,--,,--,54.87,,,,,,,,,,,,--,--,,,,--,,--,,--,,,1.34亿,2.01亿,,--,2.08亿,,,,,,,,,,,,--,--,,,,--,,--,,--,,,--,--,,--,55.85,
33.06%,4978万,6.162000000000001,1.05亿,20.38亿,2.277元,38.01,http://quote.eastmoney.com/sh603595.html,21.03%,0.8079999999999999,42.89%,1.43亿,sh603595,东尼电子,13.41%,58.47亿,6.64,14.69%,7.15亿,2017-07-12,,,,,,,,,,,,,,,,,,,1742万,2583万,1749万,2902万,4030万,8656万,8793万,1255万,457万,,,,,,,,,,,,,,,,,,,,--,--,159.14,115.95,131.31,235.08,402.70,-56.73,-88.67,,,,,,,,,,,,,,,,,,,,9864万,1.11亿,9485万,1.38亿,1.85亿,3.08亿,2.95亿,2.41亿,1.79亿,,,,,,,,,,,,,,,,,,,,--,--,139.02,68.52,87.79,176.73,210.96,74.57,-3.45,
24.28%,4086万,4.631,2.25亿,10.47亿,1.841元,34.83,http://quote.eastmoney.com/sh603596.html,22.89%,0.552,43.22%,4.09亿,sh603596,伯特利,14.77%,104.7亿,5.54,13.98%,19.04亿,2018-04-27,,,,,,,,,,,,,,,,,,--,,--,6314万,5984万,6048万,9354万,8690万,6324万,7531万,,,,,,,,,,,,,,,,,,,--,,--,--,--,--,--,37.63,5.69,24.52,,,,,,,,,,,,,,,,,,,--,,--,6.17亿,4.35亿,5.46亿,8.21亿,6.81亿,6.30亿,5.93亿,,,,,,,,,,,,,,,,,,,--,,--,--,--,--,--,10.34,44.86,8.53,
8.35%,2.68亿,2.084,5089万,29.65亿,1.121元,44.15,http://quote.eastmoney.com/sh603598.html,66.46%,0.188,71.68%,2.71亿,sh603598,引力传媒,7.45%,29.96亿,5.31,2.22%,25.16亿,2015-05-27,,,,,,,,,,,,,,,,,,,892万,458万,1265万,796万,996万,3616万,1432万,2093万,1564万,,,,,,,,,,,,,,,,,,,,213.63,1104.91,2.71,10.25,11.70,690.38,13.16,163.01,57.02,,,,,,,,,,,,,,,,,,,,3.49亿,5.00亿,6.13亿,3.66亿,5.19亿,10.8亿,8.90亿,8.66亿,7.60亿,,,,,,,,,,,,,,,,,,,,-9.91,-5.10,53.99,-24.50,48.60,117.01,45.13,136.35,46.54,
