毛利率,流通股,净资产,净利润,流值,每股未分配利润,PE(动),链接,同比,收益(三),负债率,总股本,code,名称,ROE,总值,市净率,净利率,营收,上市时间,净利润_2007-12-31,净利润_2008-12-31,净利润_2009-09-30,净利润_2009-12-31,净利润_2010-06-30,净利润_2010-09-30,净利润_2010-12-31,净利润_2011-12-31,净利润_2012-12-31,净利润_2013-09-30,净利润_2013-12-31,净利润_2014-12-31,净利润_2015-03-31,净利润_2015-06-30,净利润_2015-09-30,净利润_2015-12-31,净利润_2016-03-31,净利润_2016-06-30,净利润_2016-09-30,净利润_2016-12-31,净利润_2017-03-31,净利润_2017-06-30,净利润_2017-09-30,净利润_2017-12-31,净利润_2018-03-31,净利润_2018-06-30,净利润_2018-09-30,净利润_2018-12-31,净利润同比增长_2007-12-31,净利润同比增长_2008-12-31,净利润同比增长_2009-09-30,净利润同比增长_2009-12-31,净利润同比增长_2010-06-30,净利润同比增长_2010-09-30,净利润同比增长_2010-12-31,净利润同比增长_2011-12-31,净利润同比增长_2012-12-31,净利润同比增长_2013-09-30,净利润同比增长_2013-12-31,净利润同比增长_2014-12-31,净利润同比增长_2015-03-31,净利润同比增长_2015-06-30,净利润同比增长_2015-09-30,净利润同比增长_2015-12-31,净利润同比增长_2016-03-31,净利润同比增长_2016-06-30,净利润同比增长_2016-09-30,净利润同比增长_2016-12-31,净利润同比增长_2017-03-31,净利润同比增长_2017-06-30,净利润同比增长_2017-09-30,净利润同比增长_2017-12-31,净利润同比增长_2018-03-31,净利润同比增长_2018-06-30,净利润同比增长_2018-09-30,净利润同比增长_2018-12-31,营收_2007-12-31,营收_2008-12-31,营收_2009-09-30,营收_2009-12-31,营收_2010-06-30,营收_2010-09-30,营收_2010-12-31,营收_2011-12-31,营收_2012-12-31,营收_2013-09-30,营收_2013-12-31,营收_2014-12-31,营收_2015-03-31,营收_2015-06-30,营收_2015-09-30,营收_2015-12-31,营收_2016-03-31,营收_2016-06-30,营收_2016-09-30,营收_2016-12-31,营收_2017-03-31,营收_2017-06-30,营收_2017-09-30,营收_2017-12-31,营收_2018-03-31,营收_2018-06-30,营收_2018-09-30,营收_2018-12-31,营收增长同比_2007-12-31,营收增长同比_2008-12-31,营收增长同比_2009-09-30,营收增长同比_2009-12-31,营收增长同比_2010-06-30,营收增长同比_2010-09-30,营收增长同比_2010-12-31,营收增长同比_2011-12-31,营收增长同比_2012-12-31,营收增长同比_2013-09-30,营收增长同比_2013-12-31,营收增长同比_2014-12-31,营收增长同比_2015-03-31,营收增长同比_2015-06-30,营收增长同比_2015-09-30,营收增长同比_2015-12-31,营收增长同比_2016-03-31,营收增长同比_2016-06-30,营收增长同比_2016-09-30,营收增长同比_2016-12-31,营收增长同比_2017-03-31,营收增长同比_2017-06-30,营收增长同比_2017-09-30,营收增长同比_2017-12-31,营收增长同比_2018-03-31,营收增长同比_2018-06-30,营收增长同比_2018-09-30,营收增长同比_2018-12-31
0.00%,281.0亿,15.05,432.1亿,3224亿,4.376元,4.52,http://quote.eastmoney.com/sh600000.html,3.14%,1.905,92.41%,293.5亿,sh600000,浦发银行,10.48%,3367亿,0.76,34.35%,1271亿,1999-11-10,,,,,,,,,,,,,,,,,,,139亿,124亿,145亿,137亿,137亿,124亿,143亿,143亿,146亿,,,,,,,,,,,,,,,,,,,,4.93,-7.63,3.88,6.65,-1.33,-0.41,-1.09,4.09,6.64,,,,,,,,,,,,,,,,,,,,388亿,399亿,429亿,411亿,414亿,431亿,396亿,426亿,449亿,,,,,,,,,,,,,,,,,,,,2.18,5.13,0.40,2.53,6.86,10.00,-7.72,3.72,8.27,
28.56%,20.69亿,7.591,9.19亿,275.4亿,2.918元,22.49,http://quote.eastmoney.com/sh600004.html,-21.93%,0.444,43.35%,20.69亿,sh600004,白云机场,5.90%,275.4亿,1.75,16.19%,58.03亿,2003-04-28,,,,,,,,,,,,,,,,,,,3.62亿,3.37亿,4.08亿,3.73亿,3.96亿,4.19亿,4.33亿,2.70亿,2.16亿,,,,,,,,,,,,,,,,,,,,17.49,3.15,17.45,6.01,9.36,24.39,6.12,-27.56,-45.53,,,,,,,,,,,,,,,,,,,,15.5亿,16.3亿,15.8亿,16.3亿,17.0亿,18.4亿,17.2亿,20.0亿,20.8亿,,,,,,,,,,,,,,,,,,,,8.95,13.65,8.59,4.43,9.99,12.93,8.84,22.51,22.17,
11.37%,20.00亿,3.514,4.14亿,89.20亿,1.810元,16.17,http://quote.eastmoney.com/sh600006.html,258.73%,0.207,57.32%,20.00亿,sh600006,东风汽车,6.03%,89.20亿,1.27,4.38%,92.43亿,1999-07-27,,,,,,,,,,,,,,,,,,,478万,-834万,7031万,6446万,-1942万,8535万,1.29亿,1.62亿,1.23亿,,,,,,,,,,,,,,,,,,,,-95.03,-167.15,-42.04,-36.24,-506.09,--,84.17,150.93,--,,,,,,,,,,,,,,,,,,,,35.9亿,55.4亿,38.4亿,43.1亿,48.5亿,53.0亿,24.6亿,33.3亿,34.5亿,,,,,,,,,,,,,,,,,,,,-3.83,3.76,15.85,20.55,35.12,-4.29,-35.92,-22.71,-28.80,
53.13%,10.07亿,6.686,5.90亿,144.0亿,3.327元,18.32,http://quote.eastmoney.com/sh600007.html,23.63%,0.586,40.84%,10.07亿,sh600007,中国国贸,8.96%,144.0亿,2.14,25.27%,23.37亿,1999-03-12,,,,,,,,,,,,,,,,,,,1.71亿,1.38亿,1.59亿,1.36亿,1.82亿,1.58亿,2.02亿,2.02亿,1.86亿,,,,,,,,,,,,,,,,,,,,6.57,-14.98,-10.02,-32.23,6.38,14.57,27.11,48.34,2.10,,,,,,,,,,,,,,,,,,,,5.78亿,6.26亿,6.02亿,6.53亿,7.37亿,7.74亿,7.78亿,7.75亿,7.84亿,,,,,,,,,,,,,,,,,,,,3.29,1.58,5.41,13.76,27.47,23.70,29.12,18.66,6.40,
32.86%,48.21亿,1.9480000000000002,4.29亿,207.8亿,0.342元,42.82,http://quote.eastmoney.com/sh600008.html,1.44%,0.076,70.17%,56.85亿,sh600008,首创股份,3.42%,245.0亿,2.21,6.69%,76.12亿,2000-04-27,,,,,,,,,,,,,,,,,,,1.36亿,2.18亿,1.05亿,1.55亿,1.64亿,1.89亿,8621万,1.23亿,2.20亿,,,,,,,,,,,,,,,,,,,,92.03,66.90,9.35,-3.84,20.33,-13.44,-17.83,-20.17,34.21,,,,,,,,,,,,,,,,,,,,16.6亿,31.8亿,17.7亿,24.0亿,21.5亿,29.7亿,21.2亿,24.6亿,30.3亿,,,,,,,,,,,,,,,,,,,,11.28,15.34,24.77,45.71,29.31,-6.86,19.66,2.42,41.34,
16.13%,316.8亿,1.138,23.04亿,620.9亿,0.071元,29.09,http://quote.eastmoney.com/sh600010.html,63.80%,0.051,64.82%,455.9亿,sh600010,包钢股份,4.44%,893.5亿,1.72,4.79%,482.7亿,2001-03-09,,,,,,,,,,,,,,,,,,,2.08亿,-1.50亿,1.98亿,3.90亿,8.19亿,6.55亿,6.37亿,7.79亿,8.88亿,,,,,,,,,,,,,,,,,,,,--,--,--,-32.53,294.15,--,222.19,99.84,8.40,,,,,,,,,,,,,,,,,,,,79.7亿,110亿,106亿,105亿,137亿,188亿,130亿,187亿,166亿,,,,,,,,,,,,,,,,,,,,33.15,119.55,95.92,58.85,72.61,70.53,22.18,77.99,20.63,
12.50%,105.0亿,4.71,19.89亿,735.0亿,2.016元,41.44,http://quote.eastmoney.com/sh600011.html,-29.33%,0.127,74.25%,157.0亿,sh600011,华能国际,2.63%,1099亿,1.49,2.23%,1260亿,2001-12-06,,,,,,,,,,,,,,,,,,,33.5亿,-7.49亿,6.52亿,1.36亿,20.7亿,-10.2亿,12.2亿,9.10亿,-1.40亿,,,,,,,,,,,,,,,,,,,,-25.86,-204.19,-86.97,-95.11,-38.16,--,86.96,570.93,-106.74,,,,,,,,,,,,,,,,,,,,361亿,379亿,376亿,339亿,396亿,410亿,433亿,391亿,436亿,,,,,,,,,,,,,,,,,,,,-5.16,-3.35,7.54,15.92,9.77,9.22,15.11,15.63,9.95,
57.13%,11.66亿,5.938,8.52亿,78.33亿,4.208元,9.81,http://quote.eastmoney.com/sh600012.html,3.12%,0.514,28.61%,16.59亿,sh600012,皖通高速,8.84%,111.5亿,1.13,37.64%,22.49亿,2003-01-07,,,,,,,,,,,,,,,,,,,2.19亿,2.32亿,2.94亿,2.31亿,3.02亿,2.65亿,2.68亿,2.88亿,2.96亿,,,,,,,,,,,,,,,,,,,,-5.39,-1.23,15.47,1.46,37.68,14.14,-8.68,24.59,-1.82,,,,,,,,,,,,,,,,,,,,6.27亿,6.22亿,7.17亿,6.82亿,7.49亿,7.14亿,7.28亿,7.39亿,7.82亿,,,,,,,,,,,,,,,,,,,,0.54,3.45,5.81,19.00,19.43,14.82,1.64,8.44,4.32,
0.00%,128.2亿,14.11,145.1亿,1063亿,4.945元,4.59,http://quote.eastmoney.com/sh600015.html,2.01%,1.355,93.02%,153.9亿,sh600015,华夏银行,8.83%,1276亿,0.59,28.88%,506.2亿,2003-09-12,,,,,,,,,,,,,,,,,,,47.9亿,50.6亿,45.0亿,53.4亿,43.9亿,55.9亿,45.5亿,54.9亿,44.8亿,,,,,,,,,,,,,,,,,,,,3.05,1.79,1.53,-1.08,-8.35,10.51,1.11,2.79,1.98,,,,,,,,,,,,,,,,,,,,164亿,164亿,163亿,170亿,167亿,163亿,159亿,170亿,177亿,,,,,,,,,,,,,,,,,,,,10.42,4.84,8.02,5.79,2.08,-0.66,-2.61,-0.31,6.07,
0.00%,354.6亿,9.371,426.9亿,2280亿,4.365元,4.20,http://quote.eastmoney.com/sh600016.html,6.07%,1.15,92.92%,437.8亿,sh600016,民生银行,11.21%,2815亿,0.69,37.32%,1157亿,2000-12-19,,,,,,,,,,,,,,,,,,,119亿,86.8亿,142亿,139亿,122亿,95.7亿,149亿,147亿,131亿,,,,,,,,,,,,,,,,,,,,2.94,12.23,3.60,2.75,1.80,10.25,5.23,5.67,7.50,,,,,,,,,,,,,,,,,,,,384亿,388亿,363亿,344亿,355亿,381亿,367亿,387亿,402亿,,,,,,,,,,,,,,,,,,,,-2.13,1.50,-9.73,-9.28,-7.87,-1.12,1.36,12.42,13.26,
29.30%,30.76亿,3.6239999999999997,5.39亿,105.5亿,1.455元,14.69,http://quote.eastmoney.com/sh600017.html,60.14%,0.175,41.47%,30.76亿,sh600017,日照港,4.95%,105.5亿,0.95,15.96%,38.43亿,2006-10-17,,,,,,,,,,,,,,,,,,,7057万,-5473万,1.07亿,1.20亿,1.09亿,3247万,1.71亿,1.84亿,1.84亿,,,,,,,,,,,,,,,,,,,,-44.52,--,34.83,48.24,54.88,--,59.08,53.76,68.17,,,,,,,,,,,,,,,,,,,,10.4亿,10.7亿,11.6亿,11.7亿,11.8亿,12.9亿,12.5亿,13.2亿,12.8亿,,,,,,,,,,,,,,,,,,,,-4.70,-0.80,5.66,10.46,13.04,20.35,6.99,12.54,8.63,
15.55%,221.0亿,7.675,157.5亿,1638亿,3.156元,7.86,http://quote.eastmoney.com/sh600019.html,34.96%,0.7070000000000001,47.60%,222.8亿,sh600019,宝钢股份,9.38%,1651亿,0.97,7.63%,2253亿,2000-12-12,,,,,,,,,,,,,,,,,,,22.3亿,31.1亿,37.9亿,23.8亿,55.0亿,75.0亿,50.2亿,49.9亿,57.4亿,,,,,,,,,,,,,,,,,,,,--,--,142.89,9.21,146.96,141.37,32.60,109.31,4.35,,,,,,,,,,,,,,,,,,,,694亿,703亿,725亿,731亿,777亿,662亿,675亿,812亿,769亿,,,,,,,,,,,,,,,,,,,,33.72,25.03,76.77,45.17,18.11,-46.84,-6.82,11.05,-1.06,
55.12%,22.47亿,4.444,9.79亿,136.0亿,1.973元,10.42,http://quote.eastmoney.com/sh600020.html,-9.93%,0.436,76.03%,22.47亿,sh600020,中原高速,6.36%,136.0亿,1.36,23.88%,41.11亿,2003-08-08,,,,,,,,,,,,,,,,,,,2.60亿,1.08亿,4.53亿,3.24亿,3.11亿,8597万,2.78亿,3.48亿,3.52亿,,,,,,,,,,,,,,,,,,,,-14.78,143.07,179.01,49.07,19.23,-20.60,-38.49,7.53,13.51,,,,,,,,,,,,,,,,,,,,10.3亿,11.1亿,21.2亿,11.3亿,12.0亿,13.9亿,12.7亿,13.2亿,15.2亿,,,,,,,,,,,,,,,,,,,,8.11,16.24,139.31,24.50,16.89,25.36,-40.18,16.53,26.75,
20.84%,8.56亿,5.28,7.14亿,75.74亿,1.761元,24.34,http://quote.eastmoney.com/sh600021.html,29.16%,0.273,76.64%,26.17亿,sh600021,上海电力,5.60%,231.6亿,1.68,7.79%,165.3亿,2003-10-29,,,,,,,,,,,,,,,,,,,2.22亿,2.73亿,1.28亿,2.01亿,2.24亿,3.75亿,8710万,2.21亿,4.06亿,,,,,,,,,,,,,,,,,,,,12.42,-76.62,-78.04,-65.00,-9.77,105.91,-31.80,9.76,81.37,,,,,,,,,,,,,,,,,,,,42.2亿,50.1亿,46.7亿,44.7亿,54.9亿,42.1亿,56.6亿,52.0亿,56.7亿,,,,,,,,,,,,,,,,,,,,-3.73,-0.68,6.33,24.52,20.67,1.93,21.31,16.28,3.23,
11.97%,109.5亿,1.8730000000000002,24.18亿,221.1亿,0.054元,6.86,http://quote.eastmoney.com/sh600022.html,125.42%,0.221,56.57%,109.5亿,sh600022,山东钢铁,12.68%,221.1亿,1.08,6.41%,405.5亿,2004-06-29,,,,,,,,,,,,,,,,,,,176万,-6.26亿,4.53亿,1.43亿,4.77亿,8.52亿,6.21亿,10.6亿,7.41亿,,,,,,,,,,,,,,,,,,,,--,-172.41,--,-60.23,26962.61,--,37.32,638.72,55.23,,,,,,,,,,,,,,,,,,,,134亿,140亿,129亿,105亿,118亿,126亿,118亿,131亿,157亿,,,,,,,,,,,,,,,,,,,,42.00,88.35,55.54,-40.28,-12.05,-9.67,-8.82,23.96,33.09,
10.40%,136.0亿,4.538,37.54亿,659.6亿,1.383元,13.18,http://quote.eastmoney.com/sh600023.html,0.36%,0.276,36.97%,136.0亿,sh600023,浙能电力,6.09%,659.6亿,1.07,9.56%,430.4亿,2013-12-19,,,,,,,,,,,,,,,,,,,16.8亿,3.80亿,9.82亿,13.3亿,14.3亿,5.94亿,5.73亿,17.8亿,14.1亿,,,,,,,,,,,,,,,,,,,,-2.36,-67.73,-36.53,-46.19,-17.17,47.72,-41.65,33.18,-1.39,,,,,,,,,,,,,,,,,,,,108亿,105亿,110亿,117亿,150亿,136亿,129亿,149亿,153亿,,,,,,,,,,,,,,,,,,,,18.69,-4.66,35.18,19.85,37.88,29.74,17.69,27.46,2.09,
53.06%,89.28亿,2.263,22.45亿,328.6亿,0.180元,22.13,http://quote.eastmoney.com/sh600025.html,39.09%,0.125,74.83%,180.0亿,sh600025,华能水电,5.58%,662.4亿,1.63,22.03%,113.1亿,2017-12-15,,,,,,,,,,,,,,,,,,,-1560万,-2.81亿,8.01亿,7.17亿,9576万,5.75亿,3.39亿,5.28亿,13.8亿,,,,,,,,,,,,,,,,,,,,-56.23,--,59.52,137.28,--,--,-57.69,-26.37,1338.85,,,,,,,,,,,,,,,,,,,,30.4亿,27.6亿,32.8亿,32.0亿,26.3亿,37.4亿,29.7亿,35.0亿,48.4亿,,,,,,,,,,,,,,,,,,,,53.04,15.60,13.91,11.36,-13.50,35.41,-9.63,9.52,84.49,
10.73%,27.36亿,6.926,-2.68亿,164.2亿,3.233元,-,http://quote.eastmoney.com/sh600026.html,-121.51%,-0.067,54.15%,40.32亿,sh600026,中远海能,-0.96%,241.9亿,0.87,-1.23%,82.92亿,2002-05-23,,,,,,,,,,,,,,,,,,,3.99亿,-2.97亿,5.63亿,2.88亿,3.96亿,5.19亿,-8488万,-1.31亿,-5259万,,,,,,,,,,,,,,,,,,,,-17.68,--,3.07,-77.36,-0.86,--,-115.07,-145.35,-113.28,,,,,,,,,,,,,,,,,,,,22.0亿,23.3亿,26.6亿,24.4亿,21.7亿,24.8亿,24.0亿,27.1亿,31.8亿,,,,,,,,,,,,,,,,,,,,-54.19,-50.12,-38.75,-43.55,-1.67,6.68,-9.87,11.06,46.59,
12.63%,69.96亿,4.382,15.26亿,324.6亿,1.707元,22.50,http://quote.eastmoney.com/sh600027.html,742.70%,0.155,71.22%,98.63亿,sh600027,华电国际,3.52%,457.6亿,1.06,3.10%,643.1亿,2005-02-03,,,,,,,,,,,,,,,,,,,10.8亿,-3.74亿,1184万,-2.24亿,-2554万,6.68亿,6.87亿,2.99亿,5.39亿,,,,,,,,,,,,,,,,,,,,-52.00,-123.01,-99.35,-127.39,-102.36,--,5707.04,--,--,,,,,,,,,,,,,,,,,,,,163亿,175亿,191亿,175亿,214亿,209亿,225亿,191亿,228亿,,,,,,,,,,,,,,,,,,,,-5.05,-10.74,13.38,38.08,31.37,19.74,17.60,8.70,6.21,
18.15%,955.6亿,5.9239999999999995,599.8亿,5609亿,2.328元,8.54,http://quote.eastmoney.com/sh600028.html,56.31%,0.515,48.11%,1211亿,sh600028,中国石化,8.28%,7107亿,0.99,3.66%,20730亿,2001-08-08,,,,,,,,,,,,,,,,,,,99.2亿,173亿,166亿,105亿,113亿,127亿,188亿,228亿,184亿,,,,,,,,,,,,,,,,,,,,590.05,170.04,168.71,-19.92,13.77,-26.11,12.85,118.28,62.93,,,,,,,,,,,,,,,,,,,,4847亿,5670亿,5822亿,5837亿,5791亿,6152亿,6213亿,6790亿,7727亿,,,,,,,,,,,,,,,,,,,,-2.44,17.53,40.60,25.47,19.47,8.51,6.71,16.34,33.43,
13.55%,70.23亿,5.397,41.75亿,552.7亿,2.070元,17.34,http://quote.eastmoney.com/sh600029.html,-40.78%,0.34,68.02%,122.7亿,sh600029,南方航空,6.31%,965.4亿,1.46,4.46%,1089亿,2003-07-25,,,,,,,,,,,,,,,,,,,33.1亿,-13.9亿,15.5亿,12.2亿,42.8亿,-11.4亿,25.4亿,-4.07亿,20.4亿,,,,,,,,,,,,,,,,,,,,179.48,--,-42.44,177.45,29.40,--,64.13,-133.42,-52.41,,,,,,,,,,,,,,,,,,,,326亿,282亿,310亿,294亿,358亿,314亿,341亿,335亿,413亿,,,,,,,,,,,,,,,,,,,,1.76,7.75,10.58,12.57,9.92,11.42,10.10,13.96,15.44,
0.00%,98.15亿,12.64,73.15亿,2364亿,4.548元,23.30,http://quote.eastmoney.com/sh600030.html,-7.73%,0.775,74.54%,121.2亿,sh600030,中信证券,4.81%,2919亿,1.91,28.24%,272.1亿,2003-01-06,,,,,,,,,,,,,,,,,,,27.0亿,24.2亿,23.0亿,26.3亿,30.0亿,35.1亿,26.9亿,28.8亿,17.5亿,,,,,,,,,,,,,,,,,,,,-23.24,-36.44,40.18,-27.08,11.18,44.63,16.91,9.51,-41.70,,,,,,,,,,,,,,,,,,,,88.8亿,110亿,86.1亿,101亿,98.1亿,148亿,97.1亿,103亿,72.2亿,,,,,,,,,,,,,,,,,,,,-21.39,-19.43,13.36,-4.55,10.41,34.95,12.74,1.99,-26.40,
31.16%,77.64亿,3.8360000000000003,48.83亿,868.1亿,2.405元,13.40,http://quote.eastmoney.com/sh600031.html,170.90%,0.626,55.10%,78.02亿,sh600031,三一重工,17.43%,872.3亿,2.91,12.33%,410.8亿,2003-07-03,,,,,,,,,,,,,,,,,,,3663万,2887万,7.46亿,4.14亿,6.43亿,2.90亿,15.0亿,18.9亿,14.9亿,,,,,,,,,,,,,,,,,,,,--,-64.52,727.06,767.14,1654.19,902.90,101.18,355.68,132.63,,,,,,,,,,,,,,,,,,,,52.7亿,67.9亿,93.8亿,98.3亿,89.5亿,102亿,122亿,160亿,130亿,,,,,,,,,,,,,,,,,,,,10.36,37.59,79.38,64.05,69.87,49.86,29.67,62.39,44.71,
65.37%,27.44亿,3.2680000000000002,6.07亿,92.49亿,1.323元,11.43,http://quote.eastmoney.com/sh600033.html,2.87%,0.221,37.47%,27.44亿,sh600033,福建高速,6.83%,92.49亿,1.03,39.81%,19.70亿,2001-02-09,,,,,,,,,,,,,,,,,,,1.95亿,1.33亿,2.15亿,1.99亿,1.76亿,6639万,1.84亿,2.14亿,2.09亿,,,,,,,,,,,,,,,,,,,,26.11,76.23,25.43,16.03,-9.93,-50.11,-14.56,7.55,18.88,,,,,,,,,,,,,,,,,,,,6.47亿,6.61亿,5.97亿,6.13亿,6.37亿,6.27亿,6.24亿,6.51亿,6.95亿,,,,,,,,,,,,,,,,,,,,-1.52,0.96,-1.62,0.00,-1.57,-5.13,4.43,6.30,9.13,
39.71%,15.27亿,3.628,4.91亿,54.81亿,1.302元,9.48,http://quote.eastmoney.com/sh600035.html,1.61%,0.284,41.65%,17.28亿,sh600035,楚天高速,7.94%,62.04亿,0.99,22.24%,21.98亿,2004-03-10,,,,,,,,,,,,,,,,,,,1.04亿,6727万,1.73亿,1.53亿,1.57亿,9270万,1.67亿,1.48亿,1.76亿,,,,,,,,,,,,,,,,,,,,-8.24,92.55,26.89,84.45,51.16,37.81,-3.52,-3.29,12.05,,,,,,,,,,,,,,,,,,,,3.17亿,3.25亿,5.24亿,6.22亿,6.74亿,8.69亿,6.57亿,7.62亿,7.78亿,,,,,,,,,,,,,,,,,,,,-6.53,10.96,49.29,121.75,112.84,167.54,25.48,22.58,15.55,
0.00%,206.3亿,21.42,673.8亿,6298亿,11.013元,7.17,http://quote.eastmoney.com/sh600036.html,14.58%,3.194,91.87%,252.2亿,sh600036,招商银行,14.30%,7700亿,1.43,35.90%,1882亿,2002-04-09,,,,,,,,,,,,,,,,,,,169亿,99.4亿,200亿,193亿,195亿,113亿,227亿,221亿,226亿,,,,,,,,,,,,,,,,,,,,8.93,8.08,8.87,14.22,15.58,14.15,13.50,14.52,15.75,,,,,,,,,,,,,,,,,,,,474亿,494亿,572亿,557亿,534亿,546亿,613亿,649亿,621亿,,,,,,,,,,,,,,,,,,,,-9.06,7.71,-2.02,1.69,11.96,11.66,7.20,16.43,16.28,
29.55%,13.92亿,9.283999999999999,5.47亿,160.9亿,2.932元,22.06,http://quote.eastmoney.com/sh600037.html,-14.18%,0.39299999999999996,17.33%,13.92亿,sh600037,歌华有线,4.26%,160.9亿,1.25,30.36%,18.02亿,2001-02-08,,,,,,,,,,,,,,,,,,,1.90亿,1.30亿,1.77亿,2.01亿,2.58亿,1.24亿,1.72亿,1.94亿,1.81亿,,,,,,,,,,,,,,,,,,,,44.07,-46.16,-3.90,-8.76,36.33,-4.78,-3.30,-3.53,-29.94,,,,,,,,,,,,,,,,,,,,6.20亿,8.24亿,5.54亿,6.55亿,6.05亿,8.84亿,5.32亿,6.60亿,6.10亿,,,,,,,,,,,,,,,,,,,,12.64,-7.17,-6.76,4.53,-2.46,7.33,-3.88,0.69,0.73,
12.44%,5.89亿,12.62,3.06亿,272.9亿,3.545元,66.82,http://quote.eastmoney.com/sh600038.html,12.84%,0.52,65.97%,5.89亿,sh600038,中直股份,4.17%,272.9亿,3.67,3.65%,81.86亿,2000-12-18,,,,,,,,,,,,,,,,,,,1.29亿,1.35亿,7101万,8247万,1.72亿,1.84亿,7066万,1.07亿,1.28亿,,,,,,,,,,,,,,,,,,,,26.20,-8.65,27.60,-30.91,-8.35,35.81,-0.49,30.16,-25.40,,,,,,,,,,,,,,,,,,,,27.0亿,42.6亿,20.9亿,32.2亿,24.9亿,42.5亿,21.4亿,32.2亿,28.3亿,,,,,,,,,,,,,,,,,,,,5.81,-3.95,-14.59,3.50,-7.72,-0.41,2.54,-0.09,13.43,
8.90%,34.57亿,3.667,5.52亿,130.7亿,1.604元,18.55,http://quote.eastmoney.com/sh600039.html,26.86%,0.153,81.16%,36.11亿,sh600039,四川路桥,4.14%,136.5亿,1.03,2.33%,246.1亿,2003-03-25,,,,,,,,,,,,,,,,,,,2.16亿,4.69亿,9139万,2.84亿,5998万,6.29亿,1.15亿,3.63亿,7362万,,,,,,,,,,,,,,,,,,,,62.78,-20.15,-17.48,14.15,-72.23,34.03,25.60,28.13,22.74,,,,,,,,,,,,,,,,,,,,77.3亿,67.0亿,41.5亿,91.1亿,82.4亿,113亿,49.3亿,105亿,91.4亿,,,,,,,,,,,,,,,,,,,,-2.95,-46.93,-40.21,4.27,6.51,68.16,18.96,15.70,10.94,
32.69%,117.7亿,10.4,95.96亿,1534亿,6.399元,6.18,http://quote.eastmoney.com/sh600048.html,16.04%,1.581,79.87%,119.0亿,sh600048,保利地产,8.67%,1550亿,1.25,14.21%,949.2亿,2006-07-31,,,,,,,,,,,,,,,,,,,21.5亿,53.1亿,18.9亿,37.6亿,26.2亿,73.6亿,19.0亿,46.1亿,30.9亿,,,,,,,,,,,,,,,,,,,,41.42,-9.63,38.73,4.51,21.82,38.50,0.26,22.61,18.01,,,,,,,,,,,,,,,,,,,,320亿,676亿,179亿,366亿,211亿,708亿,201亿,394亿,354亿,,,,,,,,,,,,,,,,,,,,51.99,12.65,-5.09,0.78,-34.11,4.68,12.40,7.78,67.95,
26.99%,212.0亿,4.489,34.70亿,1458亿,1.064元,46.16,http://quote.eastmoney.com/sh600050.html,164.50%,0.11199999999999999,42.72%,310.4亿,sh600050,中国联通,2.49%,2136亿,1.53,3.60%,2197亿,2002-10-09,,,,,,,,,,,,,,,,,,,4226万,-3.35亿,2.74亿,5.04亿,5.34亿,-8.86亿,13.0亿,12.8亿,8.87亿,,,,,,,,,,,,,,,,,,,,-89.06,-142.85,88.29,67.59,1162.54,--,374.75,154.10,66.23,,,,,,,,,,,,,,,,,,,,669亿,671亿,690亿,692亿,676亿,691亿,749亿,742亿,706亿,,,,,,,,,,,,,,,,,,,,-0.51,2.95,-1.90,-1.09,1.10,2.97,8.59,7.25,4.42,
12.93%,3.11亿,7.474,8045万,21.08亿,4.377元,19.65,http://quote.eastmoney.com/sh600051.html,-22.04%,0.259,65.24%,3.11亿,sh600051,宁波联合,3.36%,21.08亿,0.91,3.06%,30.84亿,1997-04-10,,,,,,,,,,,,,,,,,,,6456万,5106万,863万,2732万,6724万,3.78亿,288万,4628万,3130万,,,,,,,,,,,,,,,,,,,,847.40,324.44,106.08,-5.13,4.15,640.07,-66.66,69.39,-53.46,,,,,,,,,,,,,,,,,,,,13.3亿,14.5亿,5.18亿,17.2亿,23.6亿,24.7亿,7.44亿,14.0亿,9.36亿,,,,,,,,,,,,,,,,,,,,67.89,-4.52,30.48,70.35,77.82,70.54,43.64,-18.11,-60.40,
17.01%,8.72亿,2.781,1.08亿,33.39亿,0.929元,23.15,http://quote.eastmoney.com/sh600052.html,170.57%,0.124,65.19%,8.72亿,sh600052,浙江广厦,4.57%,33.39亿,1.38,21.54%,5.02亿,1997-04-15,,,,,,,,,,,,,,,,,,,-4536万,-8607万,1976万,1241万,780万,1.49亿,4230万,6189万,398万,,,,,,,,,,,,,,,,,,,,--,--,--,-97.50,--,--,114.02,398.60,-48.97,,,,,,,,,,,,,,,,,,,,3373万,12.9亿,1.13亿,6393万,2111万,6.24亿,4288万,3333万,4.26亿,,,,,,,,,,,,,,,,,,,,-94.14,-6.30,-44.17,-70.14,-37.41,-51.65,-62.06,-47.87,1917.83,
93.87%,4.34亿,4.708,1.69亿,116.8亿,3.098元,51.91,http://quote.eastmoney.com/sh600053.html,22.24%,0.389,58.42%,4.34亿,sh600053,九鼎投资,8.33%,116.8亿,5.72,28.45%,5.97亿,1997-04-18,,,,,,,,,,,,,,,,,,,1.08亿,3.68亿,5573万,7675万,561万,1.86亿,4614万,5027万,7241万,,,,,,,,,,,,,,,,,,,,6609.48,37.37,82.92,-44.28,-95.71,-48.80,-17.22,-34.51,1189.97,,,,,,,,,,,,,,,,,,,,3.61亿,6.25亿,1.47亿,1.83亿,1.26亿,2.99亿,1.67亿,2.16亿,2.14亿,,,,,,,,,,,,,,,,,,,,78.52,-16.90,-40.45,-55.37,-65.05,-52.13,13.03,18.00,69.57,
