毛利率,流通股,净资产,净利润,流值,每股未分配利润,PE(动),链接,同比,收益(三),负债率,总股本,code,名称,ROE,总值,市净率,净利率,营收,上市时间,净利润_2007-12-31,净利润_2008-12-31,净利润_2009-09-30,净利润_2009-12-31,净利润_2010-06-30,净利润_2010-09-30,净利润_2010-12-31,净利润_2011-12-31,净利润_2012-12-31,净利润_2013-09-30,净利润_2013-12-31,净利润_2014-12-31,净利润_2015-03-31,净利润_2015-06-30,净利润_2015-09-30,净利润_2015-12-31,净利润_2016-03-31,净利润_2016-06-30,净利润_2016-09-30,净利润_2016-12-31,净利润_2017-03-31,净利润_2017-06-30,净利润_2017-09-30,净利润_2017-12-31,净利润_2018-03-31,净利润_2018-06-30,净利润_2018-09-30,净利润_2018-12-31,净利润同比增长_2007-12-31,净利润同比增长_2008-12-31,净利润同比增长_2009-09-30,净利润同比增长_2009-12-31,净利润同比增长_2010-06-30,净利润同比增长_2010-09-30,净利润同比增长_2010-12-31,净利润同比增长_2011-12-31,净利润同比增长_2012-12-31,净利润同比增长_2013-09-30,净利润同比增长_2013-12-31,净利润同比增长_2014-12-31,净利润同比增长_2015-03-31,净利润同比增长_2015-06-30,净利润同比增长_2015-09-30,净利润同比增长_2015-12-31,净利润同比增长_2016-03-31,净利润同比增长_2016-06-30,净利润同比增长_2016-09-30,净利润同比增长_2016-12-31,净利润同比增长_2017-03-31,净利润同比增长_2017-06-30,净利润同比增长_2017-09-30,净利润同比增长_2017-12-31,净利润同比增长_2018-03-31,净利润同比增长_2018-06-30,净利润同比增长_2018-09-30,净利润同比增长_2018-12-31,营收_2007-12-31,营收_2008-12-31,营收_2009-09-30,营收_2009-12-31,营收_2010-06-30,营收_2010-09-30,营收_2010-12-31,营收_2011-12-31,营收_2012-12-31,营收_2013-09-30,营收_2013-12-31,营收_2014-12-31,营收_2015-03-31,营收_2015-06-30,营收_2015-09-30,营收_2015-12-31,营收_2016-03-31,营收_2016-06-30,营收_2016-09-30,营收_2016-12-31,营收_2017-03-31,营收_2017-06-30,营收_2017-09-30,营收_2017-12-31,营收_2018-03-31,营收_2018-06-30,营收_2018-09-30,营收_2018-12-31,营收增长同比_2007-12-31,营收增长同比_2008-12-31,营收增长同比_2009-09-30,营收增长同比_2009-12-31,营收增长同比_2010-06-30,营收增长同比_2010-09-30,营收增长同比_2010-12-31,营收增长同比_2011-12-31,营收增长同比_2012-12-31,营收增长同比_2013-09-30,营收增长同比_2013-12-31,营收增长同比_2014-12-31,营收增长同比_2015-03-31,营收增长同比_2015-06-30,营收增长同比_2015-09-30,营收增长同比_2015-12-31,营收增长同比_2016-03-31,营收增长同比_2016-06-30,营收增长同比_2016-09-30,营收增长同比_2016-12-31,营收增长同比_2017-03-31,营收增长同比_2017-06-30,营收增长同比_2017-09-30,营收增长同比_2017-12-31,营收增长同比_2018-03-31,营收增长同比_2018-06-30,营收增长同比_2018-09-30,营收增长同比_2018-12-31
34.76%,97.15亿,12.68,139.8亿,2667亿,7.593元,16.25,http://quote.eastmoney.com/sz000002.html,26.09%,1.2670000000000001,84.93%,110.4亿,sz000002,万科A,10.04%,3030亿,2.16,12.38%,1760亿,1991-01-29,,,,,,,,,,,,,,,,,,,82.6亿,210亿,6.95亿,73.0亿,111亿,281亿,8.95亿,91.2亿,140亿,,,,,,,,,,,,,,,,,,,,20.54,16.02,-16.54,36.47,34.23,33.44,28.68,24.94,26.09,,,,,,,,,,,,,,,,,,,,1171亿,2405亿,186亿,698亿,1171亿,2429亿,308亿,1060亿,1760亿,,,,,,,,,,,,,,,,,,,,47.06,22.98,27.22,-6.66,0.04,1.01,65.83,51.80,50.32,
82.43%,8301万,1.5130000000000001,-259.2万,15.56亿,0.370元,-,http://quote.eastmoney.com/sz000004.html,52.31%,-0.031,40.91%,8398万,sz000004,国农科技,-2.02%,15.74亿,12.38,-2.85%,2.56亿,1991-01-14,,,,,,,,,,,,,,,,,,,1470万,3930万,-118万,-377万,-543万,857万,206万,198万,-259万,,,,,,,,,,,,,,,,,,,,518.44,3051.21,--,-226.34,-136.97,-78.20,--,--,--,,,,,,,,,,,,,,,,,,,,2.18亿,2.88亿,1087万,2929万,7100万,1.39亿,7560万,1.54亿,2.56亿,,,,,,,,,,,,,,,,,,,,144.75,138.82,-19.38,-71.33,-67.37,-51.82,595.63,427.49,260.83,
34.98%,10.58亿,1.256,653.2万,40.41亿,-0.415元,464.29,http://quote.eastmoney.com/sz000005.html,140.29%,0.006,51.39%,10.59亿,sz000005,世纪星源,0.49%,40.44亿,3.04,2.24%,3.83亿,1990-12-10,,,,,,,,,,,,,,,,,,,1.34亿,1.09亿,-1014万,-1776万,-1621万,1531万,1615万,815万,653万,,,,,,,,,,,,,,,,,,,,--,--,--,-113.98,-112.12,-85.91,--,--,--,,,,,,,,,,,,,,,,,,,,3.50亿,4.82亿,7145万,2.04亿,3.14亿,5.31亿,1.52亿,2.74亿,3.83亿,,,,,,,,,,,,,,,,,,,,665.99,472.79,64.55,7.18,-10.35,10.18,112.95,34.48,21.89,
38.98%,13.48亿,4.599,5.03亿,81.84亿,1.948元,6.94,http://quote.eastmoney.com/sz000006.html,48.39%,0.6559999999999999,51.79%,13.50亿,sz000006,深振业A,8.77%,81.94亿,1.32,34.21%,15.94亿,1992-04-27,,,,,,,,,,,,,,,,,,,1.14亿,7.79亿,1.04亿,2.50亿,3.39亿,8.06亿,2.86亿,4.16亿,5.03亿,,,,,,,,,,,,,,,,,,,,-58.64,86.82,112.79,144.51,196.23,3.48,175.57,66.65,48.39,,,,,,,,,,,,,,,,,,,,11.5亿,33.6亿,11.7亿,18.7亿,23.2亿,29.6亿,4.85亿,10.6亿,15.9亿,,,,,,,,,,,,,,,,,,,,-50.30,-8.09,205.35,115.22,102.43,-11.89,-58.47,-43.54,-31.28,
70.70%,3.09亿,1.092,-866.1万,22.28亿,-0.387元,-,http://quote.eastmoney.com/sz000007.html,-183.86%,-0.025,10.25%,3.46亿,sz000007,全新好,-2.26%,24.98亿,6.60,-26.98%,3226万,1992-04-13,,,,,,,,,,,,,,,,,,,1739万,7802万,27.7万,2104万,1033万,1645万,-773万,-1107万,-866万,,,,,,,,,,,,,,,,,,,,--,457.43,-96.39,95.14,-40.60,-78.91,-2893.45,-152.59,-183.86,,,,,,,,,,,,,,,,,,,,2822万,3886万,1165万,2173万,3406万,3964万,1070万,2239万,3226万,,,,,,,,,,,,,,,,,,,,-68.44,-60.73,41.32,26.58,20.69,2.02,-8.15,3.07,-5.28,
48.57%,25.58亿,2.5540000000000003,1.24亿,117.7亿,0.533元,77.64,http://quote.eastmoney.com/sz000008.html,1.34%,0.044000000000000004,27.40%,27.81亿,sz000008,神州高铁,1.72%,127.9亿,1.80,10.25%,12.90亿,1992-05-07,,,,,,,,,,,,,,,,,,,2.17亿,5.22亿,934万,5573万,1.22亿,8.74亿,1052万,6138万,1.24亿,,,,,,,,,,,,,,,,,,,,126.37,181.07,-19.42,32.88,-43.79,67.43,12.66,10.14,1.34,,,,,,,,,,,,,,,,,,,,10.1亿,18.8亿,2.02亿,5.68亿,9.79亿,23.3亿,2.09亿,7.30亿,12.9亿,,,,,,,,,,,,,,,,,,,,32.00,44.86,-4.80,-7.69,-2.80,24.25,3.24,28.42,31.70,
35.34%,21.20亿,2.367,9861万,135.9亿,0.866元,104.79,http://quote.eastmoney.com/sz000009.html,-45.36%,0.046,65.36%,21.49亿,sz000009,中国宝安,1.95%,137.8亿,2.71,3.90%,66.49亿,1991-06-25,,,,,,,,,,,,,,,,,,,2.10亿,2.33亿,3347万,8008万,1.80亿,1.33亿,3523万,1.15亿,9861万,,,,,,,,,,,,,,,,,,,,-69.06,-68.90,11.06,10.43,-14.21,-42.93,5.26,43.49,-45.36,,,,,,,,,,,,,,,,,,,,42.2亿,64.5亿,12.7亿,29.6亿,49.0亿,70.7亿,20.3亿,43.6亿,66.9亿,,,,,,,,,,,,,,,,,,,,34.09,31.75,-8.24,5.14,16.26,9.63,59.55,47.56,36.39,
7.95%,5.22亿,1.176,-1.92亿,20.42亿,-1.662元,-,http://quote.eastmoney.com/sz000010.html,-1613.16%,-0.23399999999999999,70.45%,8.20亿,sz000010,美丽生态,-18.12%,32.06亿,3.32,-100.78%,1.87亿,1995-10-27,,,,,,,,,,,,,,,,,,,2195万,3988万,-2551万,-4556万,1269万,-10.6亿,-4656万,-8499万,-1.92亿,,,,,,,,,,,,,,,,,,,,693.49,19.24,--,-273.09,-42.20,-2761.74,--,--,-1613.16,,,,,,,,,,,,,,,,,,,,7.08亿,10.5亿,1.05亿,2.73亿,6.40亿,7.58亿,8099万,1.08亿,1.87亿,,,,,,,,,,,,,,,,,,,,29.24,10.04,-13.40,-51.26,-9.61,-28.06,-22.87,-60.67,-70.73,
24.17%,1.76亿,4.841,1.44亿,18.55亿,3.149元,32.70,http://quote.eastmoney.com/sz000011.html,-74.97%,0.242,40.91%,5.96亿,sz000011,深物业A,4.92%,62.88亿,2.18,12.03%,11.99亿,1992-03-30,,,,,,,,,,,,,,,,,,,-720万,3.55亿,3.02亿,3.64亿,5.76亿,6.23亿,5346万,8297万,1.44亿,,,,,,,,,,,,,,,,,,,,-115.50,126.28,52167.63,--,--,75.55,-82.28,-77.23,-74.97,,,,,,,,,,,,,,,,,,,,5.30亿,20.6亿,10.4亿,13.2亿,26.5亿,29.0亿,5.44亿,8.25亿,12.0亿,,,,,,,,,,,,,,,,,,,,-16.72,91.12,429.73,254.02,400.78,41.06,-47.59,-37.36,-54.80,
24.03%,17.75亿,3.128,4.69亿,105.1亿,1.573元,27.10,http://quote.eastmoney.com/sz000012.html,-34.02%,0.16399999999999998,53.16%,28.63亿,sz000012,南玻A,5.39%,169.5亿,1.89,5.96%,81.51亿,1992-02-28,,,,,,,,,,,,,,,,,,,7.15亿,7.98亿,1.70亿,3.93亿,7.11亿,8.25亿,1.59亿,3.53亿,4.69亿,,,,,,,,,,,,,,,,,,,,81.41,49.76,-16.94,-15.83,-0.54,3.47,-6.32,-10.22,-34.02,,,,,,,,,,,,,,,,,,,,65.2亿,89.7亿,22.8亿,49.4亿,77.9亿,109亿,26.3亿,54.7亿,81.5亿,,,,,,,,,,,,,,,,,,,,21.29,20.77,17.21,16.94,19.45,21.23,15.08,10.66,4.63,
