code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,净利润_2009-12-31,净利润_2010-12-31,净利润_2011-06-30,净利润_2011-12-31,净利润_2012-12-31,净利润_2013-12-31,净利润_2014-09-30,净利润_2014-12-31,净利润_2015-03-31,净利润_2015-06-30,净利润_2015-09-30,净利润_2015-12-31,净利润_2016-03-31,净利润_2016-06-30,净利润_2016-09-30,净利润_2016-12-31,净利润_2017-03-31,净利润_2017-06-30,净利润_2017-09-30,净利润_2017-12-31,净利润_2018-03-31,净利润_2018-06-30,净利润_2018-09-30,净利润_2018-12-31,净利润同比增长_2009-12-31,净利润同比增长_2010-12-31,净利润同比增长_2011-06-30,净利润同比增长_2011-12-31,净利润同比增长_2012-12-31,净利润同比增长_2013-12-31,净利润同比增长_2014-09-30,净利润同比增长_2014-12-31,净利润同比增长_2015-03-31,净利润同比增长_2015-06-30,净利润同比增长_2015-09-30,净利润同比增长_2015-12-31,净利润同比增长_2016-03-31,净利润同比增长_2016-06-30,净利润同比增长_2016-09-30,净利润同比增长_2016-12-31,净利润同比增长_2017-03-31,净利润同比增长_2017-06-30,净利润同比增长_2017-09-30,净利润同比增长_2017-12-31,净利润同比增长_2018-03-31,净利润同比增长_2018-06-30,净利润同比增长_2018-09-30,净利润同比增长_2018-12-31,营收_2009-12-31,营收_2010-12-31,营收_2011-06-30,营收_2011-12-31,营收_2012-12-31,营收_2013-12-31,营收_2014-09-30,营收_2014-12-31,营收_2015-03-31,营收_2015-06-30,营收_2015-09-30,营收_2015-12-31,营收_2016-03-31,营收_2016-06-30,营收_2016-09-30,营收_2016-12-31,营收_2017-03-31,营收_2017-06-30,营收_2017-09-30,营收_2017-12-31,营收_2018-03-31,营收_2018-06-30,营收_2018-09-30,营收_2018-12-31,营收增长同比_2009-12-31,营收增长同比_2010-12-31,营收增长同比_2011-06-30,营收增长同比_2011-12-31,营收增长同比_2012-12-31,营收增长同比_2013-12-31,营收增长同比_2014-09-30,营收增长同比_2014-12-31,营收增长同比_2015-03-31,营收增长同比_2015-06-30,营收增长同比_2015-09-30,营收增长同比_2015-12-31,营收增长同比_2016-03-31,营收增长同比_2016-06-30,营收增长同比_2016-09-30,营收增长同比_2016-12-31,营收增长同比_2017-03-31,营收增长同比_2017-06-30,营收增长同比_2017-09-30,营收增长同比_2017-12-31,营收增长同比_2018-03-31,营收增长同比_2018-06-30,营收增长同比_2018-09-30,营收增长同比_2018-12-31
002823,凯中精密,机械基件,深圳,20.15,1.0,2.91,291659.06,129981.5,84902.8,48607.18,1.67,0.42700000000000005,4.46,2.57,20161124,52003.73,1.79,12.24,8.59,25.42,10.94,21047.0,,,,,,,,,,,,,,,3608万,3990万,3571万,3906万,3979万,3795万,3673万,4381万,4386万,,,,,,,,,,,,,,,,--,--,42.84,40.93,10.27,-4.89,2.85,12.15,10.23,,,,,,,,,,,,,,,,2.95亿,3.30亿,3.26亿,3.32亿,3.55亿,3.71亿,3.54亿,3.95亿,3.88亿,,,,,,,,,,,,,,,,--,--,36.68,31.65,20.46,12.31,8.73,18.88,9.25,
300054,鼎龙股份,化工原料,湖北,28.07,6.84,9.6,393884.91,212854.09,40268.03,171198.06,1.78,0.239,3.81,2.35,20100211,107731.1,1.12,-20.67,1.06,37.52,23.23,19578.0,,,,,,,,,,,,,,,7389万,6643万,7365万,8167万,7191万,1.09亿,4872万,8273万,9819万,,,,,,,,,,,,,,,,75.48,51.34,75.58,41.22,-2.69,64.25,-33.85,1.30,36.55,,,,,,,,,,,,,,,,3.93亿,3.86亿,3.91亿,4.54亿,4.01亿,4.54亿,3.16亿,3.56亿,3.16亿,,,,,,,,,,,,,,,,50.80,31.07,62.93,57.81,2.19,17.62,-19.08,-21.56,-21.23,
300238,冠昊生物,医疗保健,广东,110.74,2.46,2.65,168499.22,42999.46,20375.6,57277.88,2.16,0.095,4.24,3.32,20110706,26266.53,0.99,-4.25,6.25,73.6,8.24,22498.0,,,,,,,,,,,,,,,1531万,2621万,827万,862万,689万,3370万,749万,-140万,1917万,,,,,,,,,,,,,,,,9.30,7.18,41.11,96.20,60.42,-72.45,-9.45,-116.20,178.21,,,,,,,,,,,,,,,,7296万,1.33亿,8694万,1.13亿,1.20亿,1.30亿,7919万,1.16亿,1.11亿,,,,,,,,,,,,,,,,34.94,55.64,76.90,92.50,59.42,2.33,-8.92,2.40,-7.14,
002569,步森股份,服饰,浙江,0.0,1.4,1.4,67785.86,48472.09,4451.91,31881.38,2.28,-0.04,3.47,3.32,20110412,-441.48,-0.03,19.29,75.5,27.49,-1.79,11770.0,,,,,,,,,,,,,,,-482万,3450万,-851万,-1947万,528万,-1111万,-585万,-689万,717万,,,,,,,,,,,,,,,,--,73.47,--,--,--,-132.20,--,--,35.88,,,,,,,,,,,,,,,,9370万,1.24亿,8093万,4631万,1.34亿,8302万,1.26亿,4714万,1.38亿,,,,,,,,,,,,,,,,-20.48,17.75,-22.01,-3.90,42.62,-33.02,55.75,1.79,3.29,
300499,高澜股份,专用机械,广东,40.95,0.81,1.24,121162.52,88879.4,13522.65,21531.49,1.74,0.29,5.49,2.81,20160202,29438.18,2.37,1.75,31.17,38.41,8.37,9884.0,,,,,,,,,,,,,,,353万,3419万,-533万,1825万,1383万,1451万,-826万,2660万,1674万,,,,,,,,,,,,,,,,-22.58,6.65,--,-20.64,291.38,-57.56,--,45.77,21.05,,,,,,,,,,,,,,,,8943万,1.41亿,1.06亿,1.95亿,1.11亿,1.47亿,1.13亿,1.63亿,1.44亿,,,,,,,,,,,,,,,,13.40,10.62,19.20,30.94,23.59,3.96,6.12,-16.69,30.07,
300752,隆利科技,元器件,深圳,28.15,0.18,0.73,103243.88,87401.4,12036.6,8361.16,1.15,1.8940000000000001,7.79,9.13,20181130,27134.3,3.73,0.0,0.0,22.39,12.07,15057.0,,,,,,,,--,,,,--,,,,--,,--,6047万,0,,--,5716万,,,,,,,,,--,,,,--,,,,--,,--,--,--,,--,-5.48,,,,,,,,,--,,,,--,,,,--,,--,5.48亿,0,,--,4.50亿,,,,,,,,,--,,,,--,,,,--,,--,--,--,,--,-17.80,
300087,荃银高科,种植业,安徽,0.0,3.52,4.3,175791.56,131163.56,21215.74,17091.25,0.4,-0.094,1.61,4.81,20100526,7226.12,0.17,-2.6,-46.14,35.6,-14.98,7423.0,,,,,,,,,,,,,,,-240万,3947万,269万,-1124万,-1912万,9014万,605万,-2151万,-2500万,,,,,,,,,,,,,,,,--,18.60,43.78,--,--,128.37,125.27,--,--,,,,,,,,,,,,,,,,9461万,4.81亿,1.04亿,9976万,7320万,6.70亿,1.26亿,7574万,6787万,,,,,,,,,,,,,,,,-14.41,48.51,10.10,14.30,-22.63,39.45,21.22,-24.07,-7.29,
300229,拓尔思,软件服务,北京,82.84,4.66,4.75,247192.52,131178.02,15738.95,60193.3,1.27,0.09,3.89,2.67,20110615,69225.18,1.46,1.2,-28.12,61.51,8.32,39900.0,,,,,,,,,,,,,,,2689万,9412万,-491万,2172万,4524万,9609万,164万,1651万,2645万,,,,,,,,,,,,,,,,56.26,20.24,-337.22,56.05,68.21,2.10,--,-24.01,-41.53,,,,,,,,,,,,,,,,1.49亿,2.85亿,1.22亿,1.93亿,2.15亿,2.92亿,1.60亿,1.84亿,1.93亿,,,,,,,,,,,,,,,,98.47,67.85,27.52,27.85,44.65,2.28,31.11,-4.53,-10.58,
002349,精华制药,中成药,江苏,23.83,8.2,8.36,339970.16,121957.82,74849.49,86826.15,1.04,0.28,2.73,2.4,20100203,64462.98,0.77,20.86,31.0,48.04,16.95,29100.0,,,,,,,,,,,,,,,,5244万,3195万,6437万,3382万,4517万,6009万,6704万,4505万,5748万,,,,,,,,,,,,,,,,77.33,-23.57,64.95,6.49,-13.85,88.08,4.15,33.18,27.25,,,,,,,,,,,,,,,,2.70亿,3.03亿,2.79亿,2.14亿,3.25亿,3.26亿,2.91亿,3.07亿,4.31亿,,,,,,,,,,,,,,,,-11.36,38.98,33.06,16.15,20.53,7.54,4.35,43.28,32.68
002036,联创电子,元器件,江西,26.56,5.5,5.51,664058.94,378271.88,138135.66,48586.15,0.88,0.33299999999999996,3.69,3.2,20040903,90055.67,1.64,-2.1,22.11,12.18,5.18,38488.0,,,,,,,,,,,,,,,6365万,7759万,1103万,7202万,6711万,1.34亿,2221万,7422万,8694万,,,,,,,,,,,,,,,,326.75,-6.41,17.87,20.26,5.44,72.11,101.33,3.06,29.54,,,,,,,,,,,,,,,,8.31亿,13.9亿,6.76亿,14.9亿,14.5亿,14.4亿,9.05亿,12.9亿,13.4亿,,,,,,,,,,,,,,,,238.07,158.38,150.77,209.35,74.68,3.56,33.97,-13.10,-7.61,
