code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,净利润_2009-12-31,净利润_2010-12-31,净利润_2011-06-30,净利润_2011-12-31,净利润_2012-12-31,净利润_2013-12-31,净利润_2014-09-30,净利润_2014-12-31,净利润_2015-03-31,净利润_2015-06-30,净利润_2015-09-30,净利润_2015-12-31,净利润_2016-03-31,净利润_2016-06-30,净利润_2016-09-30,净利润_2016-12-31,净利润_2017-03-31,净利润_2017-06-30,净利润_2017-09-30,净利润_2017-12-31,净利润_2018-03-31,净利润_2018-06-30,净利润_2018-09-30,净利润_2018-12-31,净利润同比增长_2009-12-31,净利润同比增长_2010-12-31,净利润同比增长_2011-06-30,净利润同比增长_2011-12-31,净利润同比增长_2012-12-31,净利润同比增长_2013-12-31,净利润同比增长_2014-09-30,净利润同比增长_2014-12-31,净利润同比增长_2015-03-31,净利润同比增长_2015-06-30,净利润同比增长_2015-09-30,净利润同比增长_2015-12-31,净利润同比增长_2016-03-31,净利润同比增长_2016-06-30,净利润同比增长_2016-09-30,净利润同比增长_2016-12-31,净利润同比增长_2017-03-31,净利润同比增长_2017-06-30,净利润同比增长_2017-09-30,净利润同比增长_2017-12-31,净利润同比增长_2018-03-31,净利润同比增长_2018-06-30,净利润同比增长_2018-09-30,净利润同比增长_2018-12-31,营收_2009-12-31,营收_2010-12-31,营收_2011-06-30,营收_2011-12-31,营收_2012-12-31,营收_2013-12-31,营收_2014-09-30,营收_2014-12-31,营收_2015-03-31,营收_2015-06-30,营收_2015-09-30,营收_2015-12-31,营收_2016-03-31,营收_2016-06-30,营收_2016-09-30,营收_2016-12-31,营收_2017-03-31,营收_2017-06-30,营收_2017-09-30,营收_2017-12-31,营收_2018-03-31,营收_2018-06-30,营收_2018-09-30,营收_2018-12-31,营收增长同比_2009-12-31,营收增长同比_2010-12-31,营收增长同比_2011-06-30,营收增长同比_2011-12-31,营收增长同比_2012-12-31,营收增长同比_2013-12-31,营收增长同比_2014-09-30,营收增长同比_2014-12-31,营收增长同比_2015-03-31,营收增长同比_2015-06-30,营收增长同比_2015-09-30,营收增长同比_2015-12-31,营收增长同比_2016-03-31,营收增长同比_2016-06-30,营收增长同比_2016-09-30,营收增长同比_2016-12-31,营收增长同比_2017-03-31,营收增长同比_2017-06-30,营收增长同比_2017-09-30,营收增长同比_2017-12-31,营收增长同比_2018-03-31,营收增长同比_2018-06-30,营收增长同比_2018-09-30,营收增长同比_2018-12-31
002526,山东矿机,工程机械,山东,33.52,16.25,17.83,322681.09,201986.19,42469.19,38832.05,0.22,0.063,1.37,2.06,20101217,18425.55,0.1,55.19,205.86,25.67,8.03,74000.0,,,,,,,,,,,,,,,-1497万,4617万,-639万,2136万,2180万,3456万,3781万,3651万,3816万,,,,,,,,,,,,,,,,--,--,--,--,--,-25.14,--,70.91,74.99,,,,,,,,,,,,,,,,1.72亿,2.46亿,2.35亿,2.59亿,4.08亿,4.80亿,4.12亿,5.54亿,4.35亿,,,,,,,,,,,,,,,,-25.81,-29.09,19.01,7.82,136.62,94.83,75.04,113.92,6.48,
000536,华映科技,元器件,福建,0.0,20.03,27.66,2364780.25,1031146.81,907478.63,859451.63,3.11,-0.166,4.33,0.88,19931126,3438.91,0.01,5.55,-355.68,12.0,-12.66,68681.0,,,,,,,,,,,,,,,1150万,-1350万,5541万,1533万,1.09亿,2488万,-1.42亿,-1.29亿,-1.89亿,,,,,,,,,,,,,,,,-65.72,-116.19,-8.95,-95.45,850.98,--,-356.51,-942.25,-273.06,,,,,,,,,,,,,,,,11.5亿,13.4亿,10.5亿,10.7亿,13.3亿,14.4亿,11.4亿,11.5亿,13.5亿,,,,,,,,,,,,,,,,-20.65,13.01,1.88,16.68,15.30,7.82,9.13,7.29,1.34,
002600,领益智造,元器件,广东,0.0,14.88,68.25,2293379.0,1321016.75,539922.0,686836.25,1.01,-0.05,1.44,3.78,20110715,172813.81,0.25,186.04,-133.91,18.19,-2.19,164712.0,,,,,,,,,,,,,,,1.15亿,6741万,3.04亿,2.25亿,5.09亿,3.67亿,4.07亿,-9.88亿,2.29亿,,,,,,,,,,,,,,,,747.29,137.37,679.13,72.00,-15.93,1641.88,34.08,-539.06,-54.92,,,,,,,,,,,,,,,,41.1亿,38.1亿,14.0亿,15.2亿,27.1亿,103亿,42.8亿,55.4亿,62.7亿,,,,,,,,,,,,,,,,234.29,88.41,115.27,58.35,5.89,8.29,205.76,264.60,131.74,
300175,朗源股份,食品,山东,39.71,4.62,4.71,94860.21,46169.37,31948.38,7406.47,0.16,0.09699999999999999,1.6,3.21,20110215,35311.18,0.75,-18.98,-10.95,12.98,18.94,29230.0,,,,,,,,,,,,,,,1572万,-293万,5728万,-1089万,493万,-1172万,-457万,1216万,3811万,,,,,,,,,,,,,,,,--,-127.94,1040.12,-203.58,-68.66,--,-107.97,--,673.64,,,,,,,,,,,,,,,,1.56亿,1.33亿,6959万,8593万,1.42亿,8195万,6277万,9229万,8629万,,,,,,,,,,,,,,,,-30.14,-53.01,-57.87,-36.17,-8.93,-38.48,-9.80,7.41,-39.40,
000859,国风塑业,塑料,安徽,55.29,7.39,7.39,210457.2,81885.5,78980.4,58966.25,0.8,0.10099999999999999,2.08,3.58,19981119,14461.25,0.2,6.35,310.24,9.64,8.53,52532.0,,,,,,,,,,,,,,,-359万,3025万,806万,1595万,-582万,4204万,293万,3885万,3284万,,,,,,,,,,,,,,,,--,11.97,--,1222.44,--,38.98,-63.59,143.58,--,,,,,,,,,,,,,,,,2.83亿,3.66亿,2.82亿,2.64亿,2.77亿,3.51亿,2.54亿,3.00亿,3.21亿,,,,,,,,,,,,,,,,5.70,33.54,26.19,-2.93,-2.29,-4.27,-9.90,13.54,16.01,
002750,龙津药业,中成药,云南,181.17,3.97,4.0,76795.9,46210.37,20814.5,11.27,0.0,0.036000000000000004,1.62,5.41,20150324,20145.14,0.5,17.05,-52.71,90.8,5.77,22597.0,,,,,,,,,,,,,,,3970万,1753万,1395万,945万,731万,445万,724万,368万,360万,,,,,,,,,,,,,,,,165.66,-1.45,-12.88,-46.88,-81.59,-74.61,-48.07,-61.07,-50.72,,,,,,,,,,,,,,,,5724万,7222万,5943万,7324万,8240万,8938万,8285万,8480万,8408万,,,,,,,,,,,,,,,,32.47,60.60,33.23,47.77,43.94,23.76,39.41,15.78,2.04,
300279,和晶科技,元器件,江苏,0.0,3.13,4.49,313324.66,139084.23,38601.85,100003.78,2.23,-0.08900000000000001,3.62,1.61,20111229,15921.32,0.35,-14.51,-145.82,21.15,-4.39,12195.0,,,,,,,,,,,,,,,2234万,-142万,3120万,1953万,3676万,-1069万,2718万,987万,-7714万,,,,,,,,,,,,,,,,1154.52,-137.58,54.52,-28.67,64.54,--,-12.86,-49.47,-309.88,,,,,,,,,,,,,,,,3.30亿,3.74亿,3.95亿,3.92亿,2.81亿,3.61亿,3.45亿,3.58亿,2.11亿,,,,,,,,,,,,,,,,73.57,63.79,50.28,9.17,-14.60,-3.60,-12.72,-8.79,-25.01,
002175,东方网络,电器仪表,广西,0.0,5.99,7.54,201406.42,84070.93,35248.17,38431.69,0.51,-0.14,1.25,3.16,20071012,-21970.25,-0.29,-55.89,-1139.18,8.26,-60.78,80275.0,,,,,,,,,,,,,,,229万,3681万,3179万,-239万,-1921万,-2.82亿,-4086万,-2822万,-3677万,,,,,,,,,,,,,,,,-39.18,7.05,885.07,1.92,-186.46,-972.20,-228.54,--,--,,,,,,,,,,,,,,,,1.28亿,1.97亿,1.91亿,7787万,1.26亿,1671万,4482万,6087万,6846万,,,,,,,,,,,,,,,,48.73,13.65,71.40,-12.00,22.01,-128.91,-76.55,-21.82,-45.60,
002670,国盛金控,证券,广东,0.0,6.28,19.35,3308025.5,2323601.25,6746.5,886109.0,4.58,-0.131,6.08,2.0,20120416,89229.32,0.46,-99.77,-175.49,0.0,-17764.19,17616.0,,,,,,,,,,,,,,,1.34亿,2.66亿,3506万,1.16亿,1.86亿,2.44亿,-1.10亿,-6419万,-7960万,,,,,,,,,,,,,,,,5804.00,--,388.22,26.75,38.83,-8.21,-414.90,-155.52,-142.78,,,,,,,,,,,,,,,,5.22亿,5.40亿,5.79亿,6.48亿,3.26亿,3.20亿,3.13亿,3.22亿,2.53亿,,,,,,,,,,,,,,,,121.78,149.02,226.55,61.14,-37.62,-40.69,-45.98,-50.29,-22.23,
300278,华昌达,专用机械,湖北,607.59,2.68,5.98,483188.16,309161.44,50957.09,91438.68,1.53,0.008,2.76,2.43,20111216,39927.76,0.67,-14.79,-92.21,17.95,0.25,27314.0,,,,,,,,,,,,,,,1387万,4020万,3847万,2685万,-175万,-257万,1285万,1083万,-1873万,,,,,,,,,,,,,,,,-37.16,121.41,4.87,4.40,-112.60,-106.40,-66.59,-59.67,--,,,,,,,,,,,,,,,,4.81亿,6.77亿,8.04亿,8.51亿,6.34亿,6.77亿,4.45亿,7.63亿,7.42亿,,,,,,,,,,,,,,,,12.58,52.06,35.17,66.63,31.89,0.09,-44.66,-10.31,17.03,
300103,达刚路机,工程机械,陕西,77.13,2.51,3.18,105289.02,78779.15,11030.3,21337.7,0.67,0.095,2.89,3.39,20100812,33684.01,1.06,-14.22,2.61,26.42,15.28,22894.0,,,,,,,,,,,,,,,590万,308万,576万,1534万,833万,1390万,958万,1076万,986万,,,,,,,,,,,,,,,,-37.73,-41.26,19.88,55.52,41.31,351.73,66.27,-29.84,18.33,,,,,,,,,,,,,,,,5732万,5217万,5578万,1.16亿,5850万,6314万,7258万,7899万,4615万,,,,,,,,,,,,,,,,-11.42,-12.07,18.82,83.65,2.07,21.03,30.11,-32.02,-21.12,
000877,天山股份,水泥,新疆,10.28,8.8,10.49,1826744.38,464340.09,1190230.13,405438.59,3.87,0.73,7.62,1.31,19990107,243823.8,2.32,11.85,143.9,31.35,13.6,114647.0,,,,,,,,,,,,,,,1.08亿,9546万,-1.34亿,1.60亿,2.88亿,-4891万,-1708万,3.25亿,4.57亿,,,,,,,,,,,,,,,,--,--,--,83.41,166.46,-151.24,--,103.55,58.65,,,,,,,,,,,,,,,,17.0亿,13.1亿,5.85亿,20.1亿,24.4亿,20.5亿,7.48亿,22.2亿,26.6亿,,,,,,,,,,,,,,,,-7.50,18.88,46.99,26.14,43.37,56.36,27.86,10.50,9.11,
300280,紫天科技,专用机械,江苏,76.18,1.28,1.46,216656.13,76212.47,16307.25,91197.17,6.24,0.38299999999999995,8.18,4.76,20111229,12133.76,0.83,98.17,531.01,34.36,11.42,3319.0,,,,,,,,,,,,,,,-91.2万,-212万,362万,-242万,766万,-435万,114万,3183万,2301万,,,,,,,,,,,,,,,,-148.04,-195.86,-23.23,-544.83,--,--,-68.41,--,200.30,,,,,,,,,,,,,,,,6619万,6252万,5588万,6082万,1.31亿,1.14亿,1.11亿,1.90亿,1.89亿,,,,,,,,,,,,,,,,0.38,-3.03,-8.12,-7.07,97.62,82.47,97.97,213.20,44.77,
300538,同益股份,批发业,深圳,66.61,0.24,0.84,64149.48,59657.05,1176.8,18380.53,2.18,0.3,4.99,5.48,20160826,14871.85,1.76,31.29,139.44,10.32,2.72,12347.0,,,,,,,,,,,,,,,1149万,30.3万,550万,150万,385万,759万,781万,802万,1014万,,,,,,,,,,,,,,,,-21.19,-97.27,3.43,-86.10,-66.49,2402.74,42.11,434.43,163.41,,,,,,,,,,,,,,,,2.22亿,2.26亿,2.15亿,2.31亿,2.83亿,2.82亿,2.84亿,3.12亿,3.60亿,,,,,,,,,,,,,,,,-11.79,5.61,28.83,2.13,27.44,24.63,32.51,35.32,27.08,
300085,银之杰,软件服务,深圳,2114.38,4.14,7.07,236195.66,146499.36,1376.24,37557.14,0.53,0.005,1.87,7.77,20100526,22293.95,0.32,23.64,-86.46,32.76,0.37,42825.0,,,,,,,,,,,,,,,3510万,3043万,686万,323万,1677万,-463万,-1596万,1725万,236万,,,,,,,,,,,,,,,,14.81,-4.90,13.58,-64.91,-52.24,-115.21,-332.58,433.13,-85.95,,,,,,,,,,,,,,,,2.78亿,2.89亿,2.16亿,2.60亿,3.17亿,3.54亿,2.80亿,3.57亿,3.44亿,,,,,,,,,,,,,,,,55.32,32.78,35.90,22.91,14.18,22.57,30.08,37.00,8.31,
300710,万隆光电,通信设备,浙江,114.45,0.28,0.69,66715.02,61099.98,2947.83,33016.78,4.81,0.19699999999999998,8.39,3.59,20171019,15563.9,2.27,-24.86,-68.13,25.62,5.37,10972.0,,,,,,,,,,,,,,,1432万,635万,553万,2121万,1574万,429万,123万,1568万,-336万,,,,,,,,,,,,,,,,--,--,--,--,9.92,-32.37,-77.85,-26.09,-121.36,,,,,,,,,,,,,,,,1.09亿,9972万,7697万,1.35亿,1.24亿,8267万,6637万,9711万,8880万,,,,,,,,,,,,,,,,--,--,--,--,13.09,-17.11,-13.77,-28.21,-28.10,
300758,七彩化学,染料涂料,辽宁,47.7,0.27,1.07,72859.11,35401.78,21209.23,11741.26,1.1,0.8059999999999999,6.2,8.27,20190222,26143.09,2.45,0.0,0.0,36.27,18.61,51340.0,,,,,,,,,,--,,--,,--,,--,,--,2905万,2850万,,--,3337万,,,,,,,,,,,--,,--,,--,,--,,--,--,--,,--,14.87,,,,,,,,,,,--,,--,,--,,--,,--,1.40亿,1.49亿,,--,1.68亿,,,,,,,,,,,--,,--,,--,,--,,--,--,--,,--,19.93,
300761,立华股份,农业综合,江苏,26.64,0.41,4.04,524655.81,315893.19,129161.72,37914.12,0.94,2.418,10.55,8.14,20190218,305394.63,7.56,0.0,0.0,23.3,18.53,79155.0,,,,,,--,,--,,,--,8147万,,,,--,,,4.35亿,5.74亿,,--,4.38亿,,,,,,,--,,--,,,--,--,,,,--,,,--,--,,--,0.89,,,,,,,--,,--,,,--,11.6亿,,,,--,,,17.3亿,21.2亿,,--,19.5亿,,,,,,,--,,--,,,--,--,,,,--,,,--,--,,--,12.52,
300612,宣亚国际,广告包装,北京,408.89,0.45,1.62,57132.0,47448.3,757.6,20020.52,1.24,0.046,2.69,9.4,20170215,4746.99,0.29,-10.97,-78.75,38.79,2.79,16006.0,,,,,,,,,,,,,,,156万,3103万,753万,1969万,816万,3958万,325万,-65.3万,492万,,,,,,,,,,,,,,,,--,-3.42,142.82,-14.46,423.68,27.53,-56.79,-103.32,-39.74,,,,,,,,,,,,,,,,6841万,1.74亿,9793万,1.12亿,9301万,2.02亿,8897万,8666万,9410万,,,,,,,,,,,,,,,,--,22.60,27.04,-24.33,35.97,15.89,-9.15,-22.64,1.17,
002949,华阳国际,建筑施工,深圳,53.88,0.49,1.96,95492.06,56606.66,8962.24,21981.13,1.12,0.187,3.38,5.96,20190226,10537.71,0.54,0.0,0.0,30.0,10.84,92820.0,,,,,,--,,--,,--,,--,,--,,--,,--,,--,,--,,,,,,,,--,,--,,--,,--,,--,,--,,--,,--,,--,,,,,,,,--,,--,,--,,--,,--,,--,,--,,--,,--,,,,,,,,--,,--,,--,,--,,--,,--,,--,,--,,--,,
002668,奥马电器,家用电器,广东,16.11,6.54,10.84,1126619.75,802139.81,126571.71,69211.84,0.64,0.251,3.44,1.56,20120416,183604.61,1.69,17.18,-9.41,32.4,4.46,14863.0,,,,,,,,,,,,,,,1.01亿,3316万,4820万,1.40亿,1.12亿,8126万,8774万,1.79亿,542万,,,,,,,,,,,,,,,,43.24,-49.21,15.27,8.15,11.56,145.09,82.06,28.12,-95.18,,,,,,,,,,,,,,,,15.0亿,10.5亿,12.4亿,20.6亿,19.2亿,17.6亿,16.8亿,21.8亿,22.5亿,,,,,,,,,,,,,,,,27.29,17.32,13.53,46.64,27.78,67.12,36.19,5.90,17.03,
002458,益生股份,农业综合,山东,34.57,2.09,3.37,231062.34,48144.62,118562.0,104312.31,3.09,1.075,4.73,7.86,20100810,14714.2,0.44,124.42,216.91,37.05,24.63,18187.0,,,,,,,,,,,,,,,,5734万,340万,-1.24亿,-6496万,-1.25亿,1060万,2180万,1.02亿,2.29亿,,,,,,,,,,,,,,,,--,-95.99,-166.75,-127.66,-318.40,211.87,--,--,--,,,,,,,,,,,,,,,,3.37亿,2.10亿,1.04亿,1.66亿,1.77亿,2.22亿,2.80亿,4.43亿,5.28亿,,,,,,,,,,,,,,,,138.20,-38.90,-77.27,-65.17,-47.28,5.89,170.60,166.86,197.84
002224,三 力 士,橡胶,浙江,35.68,4.72,6.59,261381.63,157272.92,39863.6,11719.87,0.18,0.14,2.66,2.53,20080425,84164.55,1.28,4.96,-25.72,31.55,14.29,65473.0,,,,,,,,,,,,,,,5569万,7148万,3176万,5326万,4003万,3574万,1904万,4740万,2645万,,,,,,,,,,,,,,,,-34.04,11.28,32.31,-28.66,-28.13,-49.99,-40.05,-11.01,-33.93,,,,,,,,,,,,,,,,2.06亿,2.34亿,1.55亿,2.61亿,2.04亿,2.83亿,1.80亿,2.37亿,2.33亿,,,,,,,,,,,,,,,,-12.47,-9.13,-0.87,8.98,-1.27,20.89,16.59,-9.20,14.21,
002017,东信和平,通信设备,广东,119.18,3.45,3.46,167386.66,129148.56,20315.84,21283.6,0.61,0.08900000000000001,2.8,5.02,20040713,32953.31,0.95,-4.32,4.19,25.85,3.79,38533.0,,,,,,,,,,,,,,,1427万,4022万,876万,1462万,607万,827万,798万,1323万,948万,,,,,,,,,,,,,,,,-0.73,74.49,6.44,-23.03,-57.44,-79.42,-8.89,-9.53,56.04,,,,,,,,,,,,,,,,3.21亿,5.64亿,2.83亿,2.96亿,2.67亿,3.44亿,2.43亿,3.03亿,2.63亿,,,,,,,,,,,,,,,,-0.96,10.49,0.11,-9.93,-16.86,-39.07,-14.10,2.47,-1.46,
002913,奥士康,元器件,湖南,31.83,0.36,1.47,313213.72,216207.27,89959.03,142923.73,9.71,1.28,14.31,3.73,20171201,54372.85,3.69,34.6,64.58,22.84,11.22,22338.0,,,,,,,,,,,,,,,4848万,5304万,4740万,2684万,3823万,6068万,4509万,5818万,8183万,,,,,,,,,,,,,,,,--,--,7.26,--,-21.15,14.42,-4.89,116.79,114.06,,,,,,,,,,,,,,,,3.63亿,3.67亿,3.71亿,3.93亿,4.62亿,5.11亿,4.70亿,5.46亿,6.34亿,,,,,,,,,,,,,,,,--,--,31.37,--,27.19,39.15,26.80,38.76,37.33,
300362,天翔环境,环境保护,四川,0.0,3.11,4.37,592635.13,362325.53,52983.88,123005.6,2.81,-0.58,0.66,9.18,20140121,5709.06,0.13,-59.87,-388.64,19.93,-77.03,15028.0,,,,,,,,,,,,,,,3793万,6757万,378万,1984万,6047万,-1876万,484万,-1.32亿,-1.16亿,,,,,,,,,,,,,,,,393.59,169.78,48.99,6.95,59.40,-127.76,28.07,-764.66,-291.29,,,,,,,,,,,,,,,,2.44亿,5.13亿,1.97亿,2.33亿,3.55亿,1.55亿,1.88亿,5194万,7497万,,,,,,,,,,,,,,,,82.97,212.09,35.47,35.97,45.69,-69.83,-4.69,-77.66,-78.89,
002189,利达光电,元器件,河南,74.64,1.97,2.38,103355.02,66350.71,31095.89,18514.51,0.78,0.22,2.98,6.21,20071203,18570.9,0.78,8.08,180.44,18.93,5.95,31527.0,,,,,,,,,,,,,,,825万,377万,272万,573万,732万,598万,676万,1566万,2183万,,,,,,,,,,,,,,,,14.37,15.30,--,2.69,-11.22,58.70,148.15,173.32,198.01,,,,,,,,,,,,,,,,2.15亿,2.11亿,2.07亿,2.41亿,2.39亿,2.25亿,2.30亿,2.55亿,2.58亿,,,,,,,,,,,,,,,,-1.88,14.65,6.71,18.03,11.50,6.62,11.11,5.76,7.80,
300346,南大光电,元器件,江苏,51.49,2.37,2.73,138824.0,98931.45,21383.24,54802.16,2.0,0.183,4.55,2.76,20120807,37712.23,1.38,56.63,69.93,52.25,27.44,11909.0,,,,,,,,,,,,,,,1071万,-679万,250万,1621万,1075万,437万,1055万,1841万,2112万,,,,,,,,,,,,,,,,-10.44,-161.03,283.68,445.05,0.33,--,321.19,13.53,96.46,,,,,,,,,,,,,,,,2202万,3095万,2402万,5402万,3845万,6073万,5750万,6886万,5610万,,,,,,,,,,,,,,,,-29.48,9.95,4.45,112.95,74.61,96.25,139.38,27.48,45.90,
000917,电广传媒,影视音像,湖南,0.0,12.95,14.18,2406239.0,942259.5,642578.81,619679.13,4.37,-0.095,6.94,1.21,19990325,191264.17,1.35,25.29,-223.1,17.54,-1.84,107802.0,,,,,,,,,,,,,,,7912万,1.19亿,1.01亿,2092万,-1210万,-5.74亿,-5400万,1867万,-9998万,,,,,,,,,,,,,,,,-59.55,212.09,-20.99,193.97,-115.29,-582.73,-153.42,-10.73,--,,,,,,,,,,,,,,,,17.2亿,22.7亿,17.8亿,20.1亿,20.7亿,28.8亿,23.4亿,23.0亿,27.1亿,,,,,,,,,,,,,,,,28.96,8.08,-5.21,24.10,20.60,26.75,31.56,14.31,30.56,
002231,奥维通信,通信设备,辽宁,0.0,3.06,3.57,87208.55,79391.49,4346.2,16615.45,0.47,-0.013000000000000001,1.9,4.01,20080512,12588.17,0.35,-34.64,26.31,12.87,-2.73,35860.0,,,,,,,,,,,,,,,-114万,2783万,-931万,-622万,916万,1592万,302万,-201万,-570万,,,,,,,,,,,,,,,,-127.08,104.08,--,--,--,-42.77,--,--,-162.28,,,,,,,,,,,,,,,,1.17亿,2.23亿,7559万,6758万,1.20亿,2.40亿,4947万,7480万,4766万,,,,,,,,,,,,,,,,29.18,10.34,35.86,-19.26,2.59,7.63,-34.56,10.68,-60.24,
002656,摩登大道,服饰,广东,67.84,4.72,7.13,342981.44,153286.02,49239.56,136304.16,1.91,0.08199999999999999,3.41,2.18,20120228,29722.6,0.42,59.93,-51.12,44.74,5.57,4894.0,,,,,,,,,,,,,,,-3337万,-2.26亿,9726万,803万,1412万,1527万,3741万,1528万,568万,,,,,,,,,,,,,,,,--,--,--,--,--,--,-61.54,90.42,-59.79,,,,,,,,,,,,,,,,1.47亿,2.37亿,2.61亿,1.98亿,1.96亿,2.66亿,3.29亿,3.14亿,4.04亿,,,,,,,,,,,,,,,,25.54,1.15,17.50,33.64,33.59,12.27,26.18,58.75,106.04,
300320,海达股份,橡胶,江苏,22.51,4.53,6.01,251775.8,169616.22,36711.98,36240.43,0.6,0.22,2.43,2.51,20120601,43049.28,0.72,77.55,21.6,24.3,7.79,16821.0,,,,,,,,,,,,,,,1928万,2250万,2361万,3660万,4014万,3994万,4673万,4506万,3023万,,,,,,,,,,,,,,,,102.58,93.86,17.12,73.85,108.22,77.51,97.97,23.11,-24.69,,,,,,,,,,,,,,,,2.15亿,2.47亿,2.34亿,2.85亿,3.64亿,4.09亿,4.78亿,5.58亿,5.31亿,,,,,,,,,,,,,,,,12.82,8.85,27.17,35.77,69.10,65.72,104.65,95.52,46.02,
000797,中国武夷,全国地产,福建,32.76,12.99,13.11,1558534.0,1431388.0,46135.09,249233.97,1.9,0.13699999999999998,3.75,1.6,19970715,85615.96,0.65,-2.13,71.23,22.74,8.45,27756.0,,,,,,,,,,,,,,,-2727万,2.07亿,6252万,-837万,5064万,1.45亿,3865万,4091万,9988万,,,,,,,,,,,,,,,,-27013.49,256.89,277.93,-135.65,--,-29.94,-38.18,--,97.22,,,,,,,,,,,,,,,,5.43亿,11.8亿,5.52亿,3.87亿,12.3亿,20.0亿,5.69亿,4.63亿,10.9亿,,,,,,,,,,,,,,,,5.84,32.42,40.83,-14.41,126.93,68.95,2.92,19.71,-11.27,
000550,江铃汽车,汽车整车,江西,59.77,5.18,8.63,2147479.75,1321150.88,557513.06,83944.25,0.97,0.253,12.18,1.66,19931201,838736.63,9.72,-10.01,-66.0,14.21,1.08,32153.0,,,,,,,,,,,,,,,3.89亿,2.24亿,2.29亿,3.24亿,9063万,4741万,1.54亿,1.65亿,-1.00亿,,,,,,,,,,,,,,,,-15.22,-67.07,-44.72,11.46,-76.70,-78.88,-32.81,-49.01,-210.52,,,,,,,,,,,,,,,,64.2亿,94.0亿,81.6亿,75.1亿,67.7亿,89.1亿,64.8亿,78.1亿,59.0亿,,,,,,,,,,,,,,,,28.97,24.37,52.69,37.33,5.45,-5.25,-20.53,3.94,-12.80,
300130,新国都,电脑设备,深圳,47.3,3.35,4.78,377417.34,213545.2,39487.05,93642.38,1.96,0.31,4.2,3.8,20101019,54683.57,1.14,103.39,156.04,32.91,7.94,12466.0,,,,,,,,,,,,,,,4439万,6028万,556万,2555万,1613万,2470万,908万,5020万,6167万,,,,,,,,,,,,,,,,332.80,50.54,10.91,-12.92,-63.67,-59.03,63.19,96.50,282.39,,,,,,,,,,,,,,,,1.84亿,4.06亿,1.95亿,3.10亿,2.44亿,4.88亿,2.59亿,6.34亿,6.31亿,,,,,,,,,,,,,,,,-16.05,-2.06,0.81,-9.46,32.27,20.12,32.73,104.19,158.89,
300014,亿纬锂能,电气设备,广东,37.61,8.19,8.55,1032003.88,476750.94,220656.97,105935.76,1.24,0.44299999999999995,3.99,5.57,20091030,136078.56,1.59,51.44,17.21,23.57,12.59,65823.0,,,,,,,,,,,,,,,6980万,9305万,5376万,1.79亿,9061万,8023万,7423万,8454万,2.20亿,,,,,,,,,,,,,,,,118.28,61.45,42.81,248.34,29.81,-13.78,38.07,-52.71,142.79,,,,,,,,,,,,,,,,6.27亿,8.92亿,5.70亿,7.74亿,6.43亿,9.95亿,6.84亿,12.0亿,11.3亿,,,,,,,,,,,,,,,,86.21,135.57,47.82,77.65,2.58,11.63,20.02,54.98,75.02,
002851,麦格米特,电气设备,深圳,54.75,1.27,3.13,284401.25,224403.5,28437.26,66747.28,2.13,0.45,4.93,5.8,20170306,58315.26,1.86,57.33,45.42,29.9,7.61,16000.0,,,,,,,,,,,,,,,3543万,3108万,1516万,3126万,3787万,3277万,2434万,4082万,5741万,,,,,,,,,,,,,,,,--,--,18.26,2.97,6.89,5.44,60.58,30.58,51.61,,,,,,,,,,,,,,,,2.85亿,3.59亿,2.59亿,3.72亿,3.93亿,4.71亿,3.84亿,6.47亿,5.80亿,,,,,,,,,,,,,,,,--,--,27.43,21.29,37.62,31.17,48.22,73.92,47.64,
300223,北京君正,半导体,北京,185.7,1.2,2.01,118718.88,87418.65,3670.96,73069.92,3.64,0.10400000000000001,5.72,4.49,20110531,18306.86,0.91,30.37,202.25,40.56,12.96,23041.0,,,,,,,,,,,,,,,506万,-109万,205万,173万,310万,-37.8万,297万,889万,893万,,,,,,,,,,,,,,,,-86.77,--,--,-73.08,-38.82,--,44.69,414.06,188.31,,,,,,,,,,,,,,,,2355万,4934万,3636万,4058万,4614万,6138万,3919万,6343万,5785万,,,,,,,,,,,,,,,,32.71,129.91,156.35,64.88,95.92,24.41,7.78,56.31,25.37,
000723,美锦能源,焦炭加工,山西,14.34,10.81,40.91,1807515.38,679135.13,797567.5,25955.32,0.06,0.289,1.59,3.46,19970515,197280.56,0.48,11.21,41.94,28.6,11.26,61505.0,,,,,,,,,,,,,,,2.67亿,3.15亿,3.08亿,1.94亿,3.30亿,2.33亿,3.11亿,2.31亿,5.70亿,,,,,,,,,,,,,,,,--,--,--,28.86,32.55,-33.43,1.06,19.20,72.74,,,,,,,,,,,,,,,,20.2亿,27.4亿,28.1亿,32.3亿,33.9亿,28.1亿,31.7亿,35.0亿,38.2亿,,,,,,,,,,,,,,,,83.95,60.54,181.36,135.87,68.30,3.57,12.82,8.44,12.51,
