毛利率,流通股,净资产,净利润,流值,每股未分配利润,PE(动),链接,同比,收益(三),负债率,总股本,code,名称,ROE,总值,市净率,净利率,营收,上市时间
0.00%,281.0亿,15.05,432.1亿,3224亿,4.376元,4.52,http://quote.eastmoney.com/sh600000.html,3.14%,1.905,92.41%,293.5亿,600000,浦发银行,10.48%,3367亿,0.76,34.35%,1271亿,1999-11-10
28.56%,20.69亿,7.591,9.19亿,275.4亿,2.918元,22.49,http://quote.eastmoney.com/sh600004.html,-21.93%,0.444,43.35%,20.69亿,600004,白云机场,5.90%,275.4亿,1.75,16.19%,58.03亿,2003-04-28
11.37%,20.00亿,3.514,4.14亿,89.20亿,1.810元,16.17,http://quote.eastmoney.com/sh600006.html,258.73%,0.207,57.32%,20.00亿,600006,东风汽车,6.03%,89.20亿,1.27,4.38%,92.43亿,1999-07-27
53.13%,10.07亿,6.686,5.90亿,144.0亿,3.327元,18.32,http://quote.eastmoney.com/sh600007.html,23.63%,0.586,40.84%,10.07亿,600007,中国国贸,8.96%,144.0亿,2.14,25.27%,23.37亿,1999-03-12
32.86%,48.21亿,1.948,4.29亿,207.8亿,0.342元,42.82,http://quote.eastmoney.com/sh600008.html,1.44%,0.076,70.17%,56.85亿,600008,首创股份,3.42%,245.0亿,2.21,6.69%,76.12亿,2000-04-27
16.13%,316.8亿,1.138,23.04亿,620.9亿,0.071元,29.09,http://quote.eastmoney.com/sh600010.html,63.80%,0.051,64.82%,455.9亿,600010,包钢股份,4.44%,893.5亿,1.72,4.79%,482.7亿,2001-03-09
12.50%,105.0亿,4.710,19.89亿,735.0亿,2.016元,41.44,http://quote.eastmoney.com/sh600011.html,-29.33%,0.127,74.25%,157.0亿,600011,华能国际,2.63%,1099亿,1.49,2.23%,1260亿,2001-12-06
57.13%,11.66亿,5.938,8.52亿,78.33亿,4.208元,9.81,http://quote.eastmoney.com/sh600012.html,3.12%,0.514,28.61%,16.59亿,600012,皖通高速,8.84%,111.5亿,1.13,37.64%,22.49亿,2003-01-07
0.00%,128.2亿,14.11,145.1亿,1063亿,4.945元,4.59,http://quote.eastmoney.com/sh600015.html,2.01%,1.355,93.02%,153.9亿,600015,华夏银行,8.83%,1276亿,0.59,28.88%,506.2亿,2003-09-12
0.00%,354.6亿,9.371,426.9亿,2280亿,4.365元,4.20,http://quote.eastmoney.com/sh600016.html,6.07%,1.150,92.92%,437.8亿,600016,民生银行,11.21%,2815亿,0.69,37.32%,1157亿,2000-12-19
29.30%,30.76亿,3.624,5.39亿,105.5亿,1.455元,14.69,http://quote.eastmoney.com/sh600017.html,60.14%,0.175,41.47%,30.76亿,600017,日照港,4.95%,105.5亿,0.95,15.96%,38.43亿,2006-10-17
15.55%,221.0亿,7.675,157.5亿,1638亿,3.156元,7.86,http://quote.eastmoney.com/sh600019.html,34.96%,0.707,47.60%,222.8亿,600019,宝钢股份,9.38%,1651亿,0.97,7.63%,2253亿,2000-12-12
55.12%,22.47亿,4.444,9.79亿,136.0亿,1.973元,10.42,http://quote.eastmoney.com/sh600020.html,-9.93%,0.436,76.03%,22.47亿,600020,中原高速,6.36%,136.0亿,1.36,23.88%,41.11亿,2003-08-08
20.84%,8.56亿,5.280,7.14亿,75.74亿,1.761元,24.34,http://quote.eastmoney.com/sh600021.html,29.16%,0.273,76.64%,26.17亿,600021,上海电力,5.60%,231.6亿,1.68,7.79%,165.3亿,2003-10-29
11.97%,109.5亿,1.873,24.18亿,221.1亿,0.054元,6.86,http://quote.eastmoney.com/sh600022.html,125.42%,0.221,56.57%,109.5亿,600022,山东钢铁,12.68%,221.1亿,1.08,6.41%,405.5亿,2004-06-29
10.40%,136.0亿,4.538,37.54亿,659.6亿,1.383元,13.18,http://quote.eastmoney.com/sh600023.html,0.36%,0.276,36.97%,136.0亿,600023,浙能电力,6.09%,659.6亿,1.07,9.56%,430.4亿,2013-12-19
53.06%,89.28亿,2.263,22.45亿,328.6亿,0.180元,22.13,http://quote.eastmoney.com/sh600025.html,39.09%,0.125,74.83%,180.0亿,600025,华能水电,5.58%,662.4亿,1.63,22.03%,113.1亿,2017-12-15
10.73%,27.36亿,6.926,-2.68亿,164.2亿,3.233元,-,http://quote.eastmoney.com/sh600026.html,-121.51%,-0.067,54.15%,40.32亿,600026,中远海能,-0.96%,241.9亿,0.87,-1.23%,82.92亿,2002-05-23
12.63%,69.96亿,4.382,15.26亿,324.6亿,1.707元,22.50,http://quote.eastmoney.com/sh600027.html,742.70%,0.155,71.22%,98.63亿,600027,华电国际,3.52%,457.6亿,1.06,3.10%,643.1亿,2005-02-03
18.15%,955.6亿,5.924,599.8亿,5609亿,2.328元,8.54,http://quote.eastmoney.com/sh600028.html,56.31%,0.515,48.11%,1211亿,600028,中国石化,8.28%,7107亿,0.99,3.66%,20730亿,2001-08-08
13.55%,70.23亿,5.397,41.75亿,552.7亿,2.070元,17.34,http://quote.eastmoney.com/sh600029.html,-40.78%,0.340,68.02%,122.7亿,600029,南方航空,6.31%,965.4亿,1.46,4.46%,1089亿,2003-07-25
0.00%,98.15亿,12.64,73.15亿,2364亿,4.548元,23.30,http://quote.eastmoney.com/sh600030.html,-7.73%,0.775,74.54%,121.2亿,600030,中信证券,4.81%,2919亿,1.91,28.24%,272.1亿,2003-01-06
31.16%,77.64亿,3.836,48.83亿,868.1亿,2.405元,13.40,http://quote.eastmoney.com/sh600031.html,170.90%,0.626,55.10%,78.02亿,600031,三一重工,17.43%,872.3亿,2.91,12.33%,410.8亿,2003-07-03
65.37%,27.44亿,3.268,6.07亿,92.49亿,1.323元,11.43,http://quote.eastmoney.com/sh600033.html,2.87%,0.221,37.47%,27.44亿,600033,福建高速,6.83%,92.49亿,1.03,39.81%,19.70亿,2001-02-09
39.71%,15.27亿,3.628,4.91亿,54.81亿,1.302元,9.48,http://quote.eastmoney.com/sh600035.html,1.61%,0.284,41.65%,17.28亿,600035,楚天高速,7.94%,62.04亿,0.99,22.24%,21.98亿,2004-03-10
0.00%,206.3亿,21.42,673.8亿,6298亿,11.013元,7.17,http://quote.eastmoney.com/sh600036.html,14.58%,3.194,91.87%,252.2亿,600036,招商银行,14.30%,7700亿,1.43,35.90%,1882亿,2002-04-09
29.55%,13.92亿,9.284,5.47亿,160.9亿,2.932元,22.06,http://quote.eastmoney.com/sh600037.html,-14.18%,0.393,17.33%,13.92亿,600037,歌华有线,4.26%,160.9亿,1.25,30.36%,18.02亿,2001-02-08
12.44%,5.89亿,12.62,3.06亿,272.9亿,3.545元,66.82,http://quote.eastmoney.com/sh600038.html,12.84%,0.520,65.97%,5.89亿,600038,中直股份,4.17%,272.9亿,3.67,3.65%,81.86亿,2000-12-18
8.90%,34.57亿,3.667,5.52亿,130.7亿,1.604元,18.55,http://quote.eastmoney.com/sh600039.html,26.86%,0.153,81.16%,36.11亿,600039,四川路桥,4.14%,136.5亿,1.03,2.33%,246.1亿,2003-03-25
32.69%,117.7亿,10.40,95.96亿,1534亿,6.399元,6.18,http://quote.eastmoney.com/sh600048.html,16.04%,1.581,79.87%,119.0亿,600048,保利地产,8.67%,1550亿,1.25,14.21%,949.2亿,2006-07-31
26.99%,212.0亿,4.489,34.70亿,1458亿,1.064元,46.16,http://quote.eastmoney.com/sh600050.html,164.50%,0.112,42.72%,310.4亿,600050,中国联通,2.49%,2136亿,1.53,3.60%,2197亿,2002-10-09
12.93%,3.11亿,7.474,8045万,21.08亿,4.377元,19.65,http://quote.eastmoney.com/sh600051.html,-22.04%,0.259,65.24%,3.11亿,600051,宁波联合,3.36%,21.08亿,0.91,3.06%,30.84亿,1997-04-10
17.01%,8.72亿,2.781,1.08亿,33.39亿,0.929元,23.15,http://quote.eastmoney.com/sh600052.html,170.57%,0.124,65.19%,8.72亿,600052,浙江广厦,4.57%,33.39亿,1.38,21.54%,5.02亿,1997-04-15
93.87%,4.34亿,4.708,1.69亿,116.8亿,3.098元,51.91,http://quote.eastmoney.com/sh600053.html,22.24%,0.389,58.42%,4.34亿,600053,九鼎投资,8.33%,116.8亿,5.72,28.45%,5.97亿,1997-04-18
57.13%,5.13亿,5.702,4.21亿,55.33亿,3.172元,14.01,http://quote.eastmoney.com/sh600054.html,22.95%,0.577,10.25%,7.29亿,600054,黄山旅游,10.14%,78.63亿,1.89,37.12%,11.90亿,1997-05-06
44.46%,5.41亿,3.524,8840万,73.66亿,0.801元,62.49,http://quote.eastmoney.com/sh600055.html,40.03%,0.164,15.45%,5.41亿,600055,万东医疗,4.71%,73.66亿,3.87,13.65%,6.20亿,1997-05-19
22.01%,10.12亿,7.855,12.40亿,153.3亿,4.323元,9.79,http://quote.eastmoney.com/sh600056.html,23.08%,1.161,60.85%,10.68亿,600056,中国医药,15.28%,161.9亿,1.93,6.65%,222.0亿,1997-05-15
2.63%,21.57亿,4.380,8.19亿,108.3亿,1.288元,9.92,http://quote.eastmoney.com/sh600057.html,65.47%,0.380,69.47%,21.57亿,600057,厦门象屿,7.86%,108.3亿,1.15,0.69%,1707亿,1997-06-04
3.73%,10.72亿,4.261,-3.96亿,88.11亿,-1.548元,-,http://quote.eastmoney.com/sh600058.html,-1133.93%,-0.369,66.94%,10.72亿,600058,五矿发展,-5.41%,88.11亿,1.93,-1.03%,396.6亿,1997-05-28
35.75%,8.09亿,4.962,1.15亿,62.26亿,1.346元,40.70,http://quote.eastmoney.com/sh600059.html,11.94%,0.142,9.39%,8.09亿,600059,古越龙山,2.86%,62.26亿,1.55,9.01%,12.75亿,1997-05-16
14.91%,13.08亿,10.63,3.64亿,149.8亿,6.623元,30.85,http://quote.eastmoney.com/sh600060.html,-39.26%,0.278,45.14%,13.08亿,600060,海信电器,2.62%,149.8亿,1.08,1.60%,246.4亿,1997-04-22
2.05%,41.74亿,8.673,10.98亿,583.1亿,2.185元,40.34,http://quote.eastmoney.com/sh600061.html,-43.03%,0.260,75.14%,42.27亿,600061,国投资本,3.01%,590.5亿,1.61,64.41%,20.28亿,1997-05-19
64.69%,8.23亿,7.393,8.44亿,111.3亿,5.857元,12.53,http://quote.eastmoney.com/sh600062.html,16.43%,0.809,24.06%,10.43亿,600062,华润双鹤,10.99%,141.0亿,1.83,13.69%,63.10亿,1997-05-22
16.01%,19.26亿,2.396,1.38亿,65.67亿,0.232元,35.68,http://quote.eastmoney.com/sh600063.html,24.59%,0.072,50.57%,19.26亿,600063,皖维高新,2.94%,65.67亿,1.42,3.16%,43.74亿,1997-05-28
49.33%,12.36亿,8.284,7.97亿,129.5亿,3.392元,12.19,http://quote.eastmoney.com/sh600064.html,46.94%,0.645,57.67%,12.36亿,600064,南京高科,7.83%,129.5亿,1.27,34.22%,25.89亿,1997-05-06
23.64%,22.14亿,6.591,11.98亿,307.7亿,3.985元,19.27,http://quote.eastmoney.com/sh600066.html,-37.04%,0.541,57.86%,22.14亿,600066,宇通客车,7.61%,307.7亿,2.11,6.25%,193.7亿,1997-05-08
32.04%,14.92亿,4.915,3.05亿,67.44亿,2.841元,16.57,http://quote.eastmoney.com/sh600067.html,-41.95%,0.205,64.34%,14.92亿,600067,冠城大通,4.18%,67.44亿,0.92,8.34%,49.38亿,1997-05-08
16.44%,46.05亿,5.561,27.87亿,327.9亿,2.603元,8.82,http://quote.eastmoney.com/sh600068.html,7.64%,0.605,74.47%,46.05亿,600068,葛洲坝,9.21%,327.9亿,1.28,5.75%,674.2亿,1997-05-26
8.31%,16.24亿,1.308,1448万,57.65亿,-0.660元,298.63,http://quote.eastmoney.com/sh600069.html,-10.90%,0.009,49.94%,16.24亿,600069,银鸽投资,0.68%,57.65亿,2.71,0.33%,21.51亿,1997-04-30
20.37%,4.02亿,4.504,1.42亿,34.45亿,0.620元,23.66,http://quote.eastmoney.com/sh600070.html,8.64%,0.272,32.20%,5.22亿,600070,浙江富润,6.08%,44.78亿,1.91,11.73%,17.19亿,1997-06-04
13.78%,2.37亿,1.766,-425.8万,29.68亿,0.034元,-,http://quote.eastmoney.com/sh600071.html,87.99%,-0.018,47.18%,2.37亿,600071,凤凰光学,-1.01%,29.68亿,7.08,-0.39%,5.62亿,1997-05-28
10.41%,6.01亿,4.969,263.4万,71.19亿,0.365元,2484.26,http://quote.eastmoney.com/sh600072.html,-84.19%,0.004,64.52%,7.36亿,600072,中船科技,0.07%,87.25亿,2.38,-1.32%,22.56亿,1997-06-03
12.76%,9.38亿,4.076,3.02亿,88.15亿,1.012元,21.89,http://quote.eastmoney.com/sh600073.html,0.82%,0.322,46.27%,9.38亿,600073,上海梅林,8.20%,88.15亿,2.31,2.32%,167.8亿,1997-07-04
20.87%,10.26亿,-1.528,-3.67亿,13.44亿,-2.715元,-,http://quote.eastmoney.com/sh600074.html,-190.85%,-0.150,292.20%,24.38亿,600074,*ST保千,0.00%,31.94亿,-0.86,-324.61%,1.16亿,1997-06-23
27.26%,8.32亿,4.736,3.15亿,45.12亿,2.109元,12.56,http://quote.eastmoney.com/sh600075.html,-38.36%,0.324,44.62%,9.73亿,600075,新疆天业,7.77%,52.71亿,1.14,8.59%,35.37亿,1997-06-17
30.79%,10.34亿,3.620,3.62亿,53.26亿,1.921元,8.55,http://quote.eastmoney.com/sh600076.html,3.98%,0.452,34.22%,10.34亿,600076,康欣新材,10.12%,53.26亿,1.42,19.17%,18.83亿,1997-05-26
47.25%,13.40亿,2.890,1.71亿,43.29亿,1.457元,18.99,http://quote.eastmoney.com/sh600077.html,992.46%,0.128,81.97%,13.40亿,600077,宋都股份,4.49%,43.29亿,1.12,9.96%,15.64亿,1997-05-20
13.72%,6.63亿,2.811,397.1万,28.23亿,0.987元,533.15,http://quote.eastmoney.com/sh600078.html,-90.51%,0.006,72.25%,6.63亿,600078,澄星股份,0.21%,28.23亿,1.52,1.16%,22.64亿,1997-06-27
39.88%,12.86亿,8.779,6.48亿,149.2亿,3.870元,18.16,http://quote.eastmoney.com/sh600079.html,-66.57%,0.479,53.38%,13.54亿,600079,人福医药,4.24%,157.0亿,1.32,6.90%,135.4亿,1997-06-06
67.42%,3.05亿,4.735,3486万,23.57亿,1.264元,62.00,http://quote.eastmoney.com/sh600080.html,20.85%,0.093,11.70%,3.73亿,600080,金花股份,2.25%,28.82亿,1.63,6.24%,5.47亿,1997-06-12
15.81%,3.14亿,4.242,1.21亿,28.22亿,2.745元,17.56,http://quote.eastmoney.com/sh600081.html,-3.99%,0.384,64.28%,3.14亿,600081,东风科技,9.19%,28.22亿,2.12,4.83%,44.94亿,1997-07-03
18.09%,6.34亿,2.604,107.7万,33.85亿,0.805元,2401.62,http://quote.eastmoney.com/sh600082.html,102.48%,0.002,50.28%,6.46亿,600082,海泰发展,0.06%,34.50亿,2.05,0.24%,4.56亿,1997-06-20
3.31%,2.28亿,0.344,1485万,40.72亿,-1.098元,207.53,http://quote.eastmoney.com/sh600083.html,3192.10%,0.065,89.24%,2.30亿,600083,博信股份,20.71%,41.08亿,51.89,0.92%,16.08亿,1997-06-06
34.69%,11.24亿,2.011,-8387万,38.09亿,-1.448元,-,http://quote.eastmoney.com/sh600084.html,-14.99%,-0.075,20.64%,11.24亿,600084,中葡股份,-3.64%,38.09亿,1.69,-30.41%,2.84亿,1997-07-11
48.22%,13.71亿,6.551,8.50亿,416.1亿,3.580元,36.73,http://quote.eastmoney.com/sh600085.html,3.72%,0.620,30.12%,13.71亿,600085,同仁堂,9.70%,416.1亿,4.63,13.83%,104.8亿,1997-06-25
20.42%,10.57亿,2.323,-7099万,64.26亿,0.821元,-,http://quote.eastmoney.com/sh600086.html,-128.32%,-0.053,74.17%,13.50亿,600086,东方金钰,-2.24%,82.08亿,2.62,-2.89%,24.60亿,1997-06-06
36.17%,3.98亿,2.875,7743万,62.12亿,0.873元,60.17,http://quote.eastmoney.com/sh600088.html,16.84%,0.195,21.89%,3.98亿,600088,中视传媒,6.91%,62.12亿,5.43,16.64%,4.90亿,1997-06-16
20.28%,37.14亿,7.846,19.39亿,317.9亿,3.493元,12.30,http://quote.eastmoney.com/sh600089.html,4.46%,0.522,59.41%,37.15亿,600089,特变电工,6.24%,318.0亿,1.09,8.24%,282.2亿,1997-06-18
13.03%,7.03亿,4.124,4.03亿,41.67亿,1.772元,15.90,http://quote.eastmoney.com/sh600090.html,0.18%,0.280,27.26%,14.40亿,600090,同济堂,6.69%,85.37亿,1.44,5.39%,79.74亿,1997-06-16
1.33%,4.37亿,2.034,-530.4万,18.24亿,-2.932元,-,http://quote.eastmoney.com/sh600091.html,-139.98%,-0.012,24.18%,4.37亿,600091,ST明科,-0.59%,18.24亿,2.05,-10.53%,5038万,1997-07-04
5.45%,11.22亿,6.187,6.77亿,148.4亿,1.413元,16.43,http://quote.eastmoney.com/sh600093.html,10.41%,0.603,44.63%,11.22亿,600093,易见股份,9.94%,148.4亿,2.14,5.97%,119.1亿,1997-06-26
33.92%,22.77亿,4.695,5563万,131.6亿,1.270元,192.89,http://quote.eastmoney.com/sh600094.html,-91.53%,0.023,76.89%,24.75亿,600094,大名城,0.53%,143.1亿,1.23,1.74%,70.07亿,1997-07-03
36.05%,3.61亿,2.011,-264.2万,16.98亿,0.171元,-,http://quote.eastmoney.com/sh600095.html,-142.90%,-0.007,28.07%,3.61亿,600095,哈高科,-0.36%,16.98亿,2.34,-4.58%,1.35亿,1997-07-08
14.98%,13.21亿,3.022,8293万,91.04亿,-2.167元,88.96,http://quote.eastmoney.com/sh600096.html,294.69%,0.058,91.22%,14.28亿,600096,云天化,2.19%,98.37亿,2.28,0.32%,367.2亿,1997-07-09
40.09%,2.26亿,6.775,1.23亿,27.31亿,2.053元,17.80,http://quote.eastmoney.com/sh600097.html,347.19%,0.508,17.07%,2.41亿,600097,开创国际,7.78%,29.08亿,1.78,9.06%,14.27亿,1997-06-19
9.92%,27.26亿,6.009,6.45亿,170.7亿,2.236元,19.85,http://quote.eastmoney.com/sh600098.html,8.76%,0.237,48.78%,27.26亿,600098,广州发展,3.97%,170.7亿,1.04,3.92%,186.5亿,1997-07-18
11.29%,2.19亿,2.149,20.74万,15.36亿,0.109元,5554.02,http://quote.eastmoney.com/sh600099.html,-91.16%,0.001,24.37%,2.19亿,600099,林海股份,0.04%,15.36亿,3.26,0.06%,3.69亿,1997-07-04
22.94%,29.64亿,6.749,-5.72亿,356.3亿,2.238元,-,http://quote.eastmoney.com/sh600100.html,-210.63%,-0.193,64.15%,29.64亿,600100,同方股份,-2.77%,356.3亿,1.78,-2.38%,165.6亿,1997-06-27
15.60%,3.24亿,6.887,1.05亿,28.04亿,3.756元,20.86,http://quote.eastmoney.com/sh600101.html,12.08%,0.311,30.73%,3.24亿,600101,明星电力,4.95%,28.04亿,1.26,8.13%,12.14亿,1997-06-27
20.94%,10.62亿,1.957,1.72亿,34.09亿,0.082元,24.79,http://quote.eastmoney.com/sh600103.html,70.84%,0.097,26.96%,17.74亿,600103,青山纸业,5.09%,56.94亿,1.64,8.56%,22.60亿,1997-07-03
13.37%,115.0亿,19.75,276.7亿,3069亿,9.485元,8.45,http://quote.eastmoney.com/sh600104.html,12.31%,2.369,61.97%,116.8亿,600104,上汽集团,11.95%,3117亿,1.35,5.76%,6632亿,1997-11-25
11.96%,12.38亿,2.134,1.07亿,66.87亿,0.540元,47.55,http://quote.eastmoney.com/sh600105.html,-36.64%,0.085,41.72%,12.53亿,600105,永鼎股份,3.92%,67.66亿,2.53,5.67%,22.44亿,1997-09-29
86.60%,10.98亿,3.238,2.15亿,39.21亿,1.457元,13.65,http://quote.eastmoney.com/sh600106.html,-6.67%,0.196,45.86%,10.98亿,600106,重庆路桥,6.04%,39.21亿,1.10,119.19%,1.81亿,1997-06-18
39.98%,3.60亿,1.533,-385.9万,31.14亿,-0.030元,-,http://quote.eastmoney.com/sh600107.html,38.79%,-0.011,56.09%,3.60亿,600107,美尔雅,-0.70%,31.14亿,5.64,-1.84%,3.10亿,1997-11-06
24.68%,19.47亿,2.435,6266万,64.44亿,0.967元,77.14,http://quote.eastmoney.com/sh600108.html,1.36%,0.032,41.60%,19.47亿,600108,亚盛集团,1.32%,64.44亿,1.36,4.54%,14.14亿,1997-08-18
0.00%,30.24亿,6.368,7.10亿,304.6亿,1.859元,32.16,http://quote.eastmoney.com/sh600109.html,-19.17%,0.235,57.69%,30.24亿,600109,国金证券,3.73%,304.6亿,1.58,29.03%,24.98亿,1997-08-07
25.30%,11.50亿,1.811,6078万,63.38亿,0.153元,78.21,http://quote.eastmoney.com/sh600110.html,-62.84%,0.053,66.51%,11.50亿,600110,诺德股份,2.90%,63.38亿,3.04,4.68%,17.71亿,1997-10-07
14.38%,36.33亿,2.498,3.79亿,406.5亿,1.059元,80.37,http://quote.eastmoney.com/sh600111.html,8.67%,0.104,48.83%,36.33亿,600111,北方稀土,4.19%,406.5亿,4.48,4.80%,93.17亿,1997-09-24
24.18%,5.09亿,2.492,8135万,26.12亿,0.327元,24.08,http://quote.eastmoney.com/sh600112.html,384.38%,0.160,51.50%,5.09亿,600112,天成控股,6.80%,26.12亿,2.06,19.50%,4.17亿,1997-11-27
50.99%,4.11亿,2.850,8511万,40.03亿,0.959元,38.25,http://quote.eastmoney.com/sh600113.html,12.82%,0.245,29.75%,4.11亿,600113,浙江东日,12.35%,40.03亿,3.40,25.12%,3.00亿,1997-10-21
33.13%,6.34亿,4.090,2.49亿,49.23亿,0.914元,15.09,http://quote.eastmoney.com/sh600114.html,18.61%,0.386,16.52%,6.46亿,600114,东睦股份,9.41%,50.09亿,1.90,17.75%,15.00亿,2004-05-11
15.32%,98.08亿,4.003,44.90亿,567.9亿,1.244元,13.99,http://quote.eastmoney.com/sh600115.html,-43.27%,0.310,74.24%,144.7亿,600115,东方航空,8.00%,837.7亿,1.45,5.62%,878.8亿,1997-11-05
25.55%,9.93亿,2.837,1.75亿,98.90亿,0.937元,42.46,http://quote.eastmoney.com/sh600116.html,-12.26%,0.176,46.30%,9.93亿,600116,三峡水利,6.27%,98.90亿,3.51,20.35%,8.25亿,1997-08-04
7.22%,7.41亿,2.449,-5.76亿,29.35亿,-0.690元,-,http://quote.eastmoney.com/sh600117.html,-257.42%,-0.551,87.40%,10.45亿,600117,西宁特钢,-20.23%,41.39亿,1.62,-11.39%,50.77亿,1997-10-15
14.35%,11.82亿,4.510,2.69亿,275.3亿,2.008元,76.77,http://quote.eastmoney.com/sh600118.html,5.16%,0.227,47.06%,11.82亿,600118,中国卫星,5.08%,275.3亿,5.16,6.32%,45.34亿,1997-09-08
12.24%,3.07亿,1.693,-2.91亿,23.45亿,-0.583元,-,http://quote.eastmoney.com/sh600119.html,-1301.13%,-0.947,65.28%,3.07亿,600119,长江投资,-46.72%,23.45亿,4.51,-33.40%,8.55亿,1998-01-15
3.47%,6.65亿,10.98,5.65亿,116.1亿,5.103元,20.24,http://quote.eastmoney.com/sh600120.html,-3.79%,0.647,43.69%,8.74亿,600120,浙江东方,5.90%,152.6亿,1.59,10.35%,60.91亿,1997-12-01
34.98%,10.15亿,3.567,1.65亿,36.15亿,1.146元,16.45,http://quote.eastmoney.com/sh600121.html,-73.22%,0.162,59.46%,10.15亿,600121,郑州煤电,4.76%,36.15亿,1.00,9.85%,36.55亿,1998-01-07
3.58%,11.58亿,6.762,-3.56亿,59.53亿,2.281元,-,http://quote.eastmoney.com/sh600122.html,-176.28%,-0.307,54.93%,11.58亿,600122,宏图高科,-4.41%,59.53亿,0.76,-3.21%,122.0亿,1998-04-20
41.45%,11.42亿,8.905,9.88亿,88.42亿,5.831元,6.71,http://quote.eastmoney.com/sh600123.html,33.22%,0.865,57.74%,11.42亿,600123,兰花科创,10.00%,88.42亿,0.87,14.13%,63.15亿,1998-12-17
6.21%,13.06亿,4.265,4.08亿,106.8亿,2.717元,19.62,http://quote.eastmoney.com/sh600125.html,46.92%,0.313,41.10%,13.06亿,600125,铁龙物流,7.51%,106.8亿,1.92,3.38%,120.4亿,1998-05-11
13.52%,12.05亿,5.379,16.05亿,60.62亿,1.181元,7.94,http://quote.eastmoney.com/sh600126.html,35.01%,0.475,32.69%,33.77亿,600126,杭钢股份,9.25%,169.9亿,0.94,8.20%,197.5亿,1998-03-11
11.29%,6.42亿,1.149,-1753万,23.10亿,-0.603元,-,http://quote.eastmoney.com/sh600127.html,-293.77%,-0.027,61.77%,6.42亿,600127,金健米业,-2.35%,23.10亿,3.13,-0.82%,21.92亿,1998-05-06
6.49%,2.47亿,5.359,-4044万,25.19亿,1.677元,-,http://quote.eastmoney.com/sh600128.html,-779.52%,-0.164,49.57%,2.47亿,600128,弘业股份,-3.00%,25.19亿,1.91,-1.02%,33.41亿,1997-09-01
42.03%,5.44亿,5.784,1.47亿,59.99亿,1.089元,31.45,http://quote.eastmoney.com/sh600129.html,87.19%,0.263,73.45%,5.57亿,600129,太极集团,6.59%,61.43亿,1.91,2.14%,77.43亿,1997-11-18
11.98%,7.68亿,1.143,3501万,36.02亿,-0.544元,77.16,http://quote.eastmoney.com/sh600130.html,148.23%,0.046,13.18%,7.68亿,600130,波导股份,4.07%,36.02亿,4.10,8.61%,4.06亿,2000-07-06
15.79%,4.08亿,2.451,1.10亿,93.72亿,0.936元,79.14,http://quote.eastmoney.com/sh600131.html,85.14%,0.218,48.62%,5.04亿,600131,岷江水电,9.17%,115.9亿,9.38,13.38%,7.98亿,1998-04-02
41.13%,4.84亿,2.399,3.85亿,156.4亿,0.928元,30.49,http://quote.eastmoney.com/sh600132.html,21.71%,0.795,65.64%,4.84亿,600132,重庆啤酒,32.49%,156.4亿,13.47,14.46%,29.24亿,1997-10-30
15.50%,5.97亿,5.047,1.87亿,42.62亿,1.898元,20.80,http://quote.eastmoney.com/sh600133.html,-74.55%,0.258,78.98%,7.26亿,600133,东湖高新,4.75%,51.82亿,1.41,4.18%,59.60亿,1998-02-12
14.02%,3.73亿,4.546,2630万,31.48亿,0.725元,89.77,http://quote.eastmoney.com/sh600135.html,-62.17%,0.071,23.97%,3.73亿,600135,乐凯胶片,1.55%,31.48亿,1.86,2.16%,14.19亿,1998-01-22
39.72%,4.49亿,5.570,1.30亿,56.16亿,0.839元,35.15,http://quote.eastmoney.com/sh600136.html,160.03%,0.267,62.18%,4.87亿,600136,当代明诚,5.03%,61.00亿,2.25,8.61%,13.35亿,1998-03-03
21.03%,9722万,5.068,2174万,14.53亿,0.437元,50.15,http://quote.eastmoney.com/sh600137.html,5.54%,0.224,20.03%,9722万,600137,浪莎股份,4.48%,14.53亿,2.95,9.89%,2.20亿,1998-04-16
24.06%,7.24亿,8.385,5.47亿,116.6亿,4.776元,16.00,http://quote.eastmoney.com/sh600138.html,9.06%,0.755,43.73%,7.24亿,600138,中青旅,9.37%,116.6亿,1.92,8.96%,89.29亿,1997-12-03
56.28%,6.62亿,0.571,-3621万,32.90亿,-1.126元,-,http://quote.eastmoney.com/sh600139.html,80.16%,-0.055,79.62%,6.62亿,600139,西部资源,-9.14%,32.90亿,8.70,-14.46%,2.10亿,1998-02-25
17.64%,7.14亿,9.247,3.91亿,83.35亿,2.320元,16.27,http://quote.eastmoney.com/sh600141.html,62.46%,0.538,64.94%,7.27亿,600141,兴发集团,5.07%,84.93亿,1.26,5.25%,143.0亿,1999-06-16
13.77%,25.60亿,3.793,6.54亿,142.1亿,1.327元,17.28,http://quote.eastmoney.com/sh600143.html,42.92%,0.241,53.61%,27.17亿,600143,金发科技,6.44%,150.8亿,1.46,3.55%,185.5亿,2004-06-23
9.65%,14.91亿,0.448,4200万,27.88亿,-1.592元,49.79,http://quote.eastmoney.com/sh600145.html,1006.81%,0.028,27.34%,14.91亿,600145,*ST新亿,6.29%,27.88亿,4.18,266.53%,1576万,1999-09-23
35.88%,2.00亿,6.551,-4498万,17.14亿,-0.095元,-,http://quote.eastmoney.com/sh600146.html,-162.88%,-0.096,29.95%,4.70亿,600146,商赢环球,-1.96%,40.28亿,1.31,-2.47%,18.70亿,1999-07-07
