毛利率,流通股,净资产,净利润,流值,每股未分配利润,PE(动),链接,同比,收益(三),负债率,总股本,code,名称,ROE,总值,市净率,净利率,营收,上市时间
8.31%,5.28亿,6.068,8500万,31.10亿,1.701元,24.13,http://quote.eastmoney.com/sz002574.html,3.33%,0.183,19.26%,5.28亿,002574,明牌珠宝,2.69%,31.10亿,0.97,2.50%,34.23亿,2011-04-22
10.49%,1.45亿,5.287,1632万,18.48亿,0.803元,74.66,http://quote.eastmoney.com/sz002576.html,2973.87%,0.128,23.21%,1.65亿,002576,通达动力,1.90%,21.10亿,2.42,1.48%,8.53亿,2011-04-28
22.91%,2.81亿,4.169,1837万,37.61亿,-0.260元,360.68,http://quote.eastmoney.com/sz002577.html,13.54%,0.028,14.07%,2.83亿,002577,雷柏科技,1.55%,37.82亿,3.21,4.99%,3.65亿,2011-04-28
8.44%,5.63亿,1.520,2268万,20.45亿,0.244元,76.64,http://quote.eastmoney.com/sz002578.html,-0.17%,0.036,12.72%,9.88亿,002578,闽发铝业,1.52%,35.87亿,2.39,2.19%,9.81亿,2011-04-28
20.91%,3.47亿,2.708,5918万,42.74亿,0.630元,42.73,http://quote.eastmoney.com/sz002579.html,627.52%,0.216,58.35%,3.73亿,002579,中京电子,5.84%,45.93亿,4.55,5.84%,12.24亿,2011-05-06
15.71%,2.98亿,3.348,1415万,19.69亿,0.796元,108.46,http://quote.eastmoney.com/sz002580.html,-44.93%,0.046,38.54%,3.54亿,002580,圣阳股份,1.20%,23.37亿,1.97,1.15%,13.07亿,2011-05-06
84.15%,4.01亿,3.924,1259万,33.03亿,1.760元,-,http://quote.eastmoney.com/sz002581.html,-95.38%,-0.408,31.36%,6.60亿,002581,未名医药,0.44%,54.36亿,2.10,2.42%,4.93亿,2011-05-20
28.54%,2.61亿,6.476,1.08亿,24.49亿,1.014元,28.23,http://quote.eastmoney.com/sz002582.html,22.23%,0.249,30.96%,5.16亿,002582,好想你,3.25%,48.32亿,1.45,2.68%,35.62亿,2011-05-20
44.94%,10.50亿,3.323,1.31亿,118.7亿,0.630元,32.98,http://quote.eastmoney.com/sz002583.html,155.76%,0.257,59.86%,18.37亿,002583,海能达,2.30%,207.8亿,3.40,2.90%,45.31亿,2011-05-27
14.61%,3.81亿,3.046,7624万,27.97亿,0.926元,34.44,http://quote.eastmoney.com/sz002584.html,20.90%,0.160,40.87%,5.85亿,002584,西陇科学,4.39%,42.95亿,2.41,2.63%,25.95亿,2011-06-02
17.93%,8.52亿,6.660,2.62亿,54.54亿,1.007元,17.27,http://quote.eastmoney.com/sz002585.html,105.21%,0.278,20.19%,11.56亿,002585,双星新材,3.48%,74.00亿,0.96,9.26%,28.26亿,2011-06-02
14.22%,6.94亿,4.690,1.86亿,38.71亿,0.598元,17.67,http://quote.eastmoney.com/sz002586.html,196.16%,0.237,48.80%,11.44亿,002586,围海股份,4.16%,63.85亿,1.19,8.39%,23.01亿,2011-06-02
30.63%,3.99亿,2.053,1.20亿,28.23亿,0.603元,18.18,http://quote.eastmoney.com/sz002587.html,37.46%,0.292,41.21%,6.19亿,002587,奥拓电子,10.10%,43.78亿,3.44,10.73%,11.10亿,2011-06-10
17.36%,7.30亿,3.728,1.97亿,38.23亿,2.253元,21.72,http://quote.eastmoney.com/sz002588.html,-17.87%,0.181,41.25%,11.57亿,002588,史丹利,4.63%,60.62亿,1.41,4.62%,42.86亿,2011-06-10
19.72%,10.85亿,5.522,8.33亿,87.32亿,1.948元,14.28,http://quote.eastmoney.com/sz002589.html,15.38%,0.423,67.46%,15.05亿,002589,瑞康医药,10.18%,121.1亿,1.46,5.09%,245.6亿,2011-06-10
25.25%,4.34亿,3.702,7743万,39.49亿,1.154元,-,http://quote.eastmoney.com/sz002590.html,-16.31%,-0.064,47.74%,4.80亿,002590,万安科技,4.11%,43.60亿,2.46,4.63%,17.16亿,2011-06-10
49.52%,1.82亿,3.850,2337万,14.71亿,0.125元,44.54,http://quote.eastmoney.com/sz002591.html,480.58%,0.136,15.54%,3.07亿,002591,恒大高新,1.94%,24.82亿,2.10,9.77%,2.09亿,2011-06-21
11.30%,2.46亿,6.605,1328万,46.98亿,1.618元,227.82,http://quote.eastmoney.com/sz002592.html,-87.10%,0.063,21.04%,2.83亿,002592,八菱科技,0.63%,54.17亿,2.89,2.54%,5.23亿,2011-11-11
11.78%,4.67亿,2.684,6153万,18.66亿,0.587元,34.36,http://quote.eastmoney.com/sz002593.html,38.63%,0.119,52.96%,7.01亿,002593,日上集团,3.36%,28.04亿,1.49,2.76%,22.22亿,2011-06-28
