毛利率,流通股,净资产,净利润,流值,每股未分配利润,PE(动),链接,同比,收益(三),负债率,总股本,code,名称,ROE,总值,市净率,净利率,营收,上市时间,净利润_2007-12-31,净利润_2008-12-31,净利润_2009-09-30,净利润_2009-12-31,净利润_2010-06-30,净利润_2010-09-30,净利润_2010-12-31,净利润_2011-12-31,净利润_2012-12-31,净利润_2013-09-30,净利润_2013-12-31,净利润_2014-12-31,净利润_2015-03-31,净利润_2015-06-30,净利润_2015-09-30,净利润_2015-12-31,净利润_2016-03-31,净利润_2016-06-30,净利润_2016-09-30,净利润_2016-12-31,净利润_2017-03-31,净利润_2017-06-30,净利润_2017-09-30,净利润_2017-12-31,净利润_2018-03-31,净利润_2018-06-30,净利润_2018-09-30,净利润_2018-12-31,净利润同比增长_2007-12-31,净利润同比增长_2008-12-31,净利润同比增长_2009-09-30,净利润同比增长_2009-12-31,净利润同比增长_2010-06-30,净利润同比增长_2010-09-30,净利润同比增长_2010-12-31,净利润同比增长_2011-12-31,净利润同比增长_2012-12-31,净利润同比增长_2013-09-30,净利润同比增长_2013-12-31,净利润同比增长_2014-12-31,净利润同比增长_2015-03-31,净利润同比增长_2015-06-30,净利润同比增长_2015-09-30,净利润同比增长_2015-12-31,净利润同比增长_2016-03-31,净利润同比增长_2016-06-30,净利润同比增长_2016-09-30,净利润同比增长_2016-12-31,净利润同比增长_2017-03-31,净利润同比增长_2017-06-30,净利润同比增长_2017-09-30,净利润同比增长_2017-12-31,净利润同比增长_2018-03-31,净利润同比增长_2018-06-30,净利润同比增长_2018-09-30,净利润同比增长_2018-12-31,营收_2007-12-31,营收_2008-12-31,营收_2009-09-30,营收_2009-12-31,营收_2010-06-30,营收_2010-09-30,营收_2010-12-31,营收_2011-12-31,营收_2012-12-31,营收_2013-09-30,营收_2013-12-31,营收_2014-12-31,营收_2015-03-31,营收_2015-06-30,营收_2015-09-30,营收_2015-12-31,营收_2016-03-31,营收_2016-06-30,营收_2016-09-30,营收_2016-12-31,营收_2017-03-31,营收_2017-06-30,营收_2017-09-30,营收_2017-12-31,营收_2018-03-31,营收_2018-06-30,营收_2018-09-30,营收_2018-12-31,营收增长同比_2007-12-31,营收增长同比_2008-12-31,营收增长同比_2009-09-30,营收增长同比_2009-12-31,营收增长同比_2010-06-30,营收增长同比_2010-09-30,营收增长同比_2010-12-31,营收增长同比_2011-12-31,营收增长同比_2012-12-31,营收增长同比_2013-09-30,营收增长同比_2013-12-31,营收增长同比_2014-12-31,营收增长同比_2015-03-31,营收增长同比_2015-06-30,营收增长同比_2015-09-30,营收增长同比_2015-12-31,营收增长同比_2016-03-31,营收增长同比_2016-06-30,营收增长同比_2016-09-30,营收增长同比_2016-12-31,营收增长同比_2017-03-31,营收增长同比_2017-06-30,营收增长同比_2017-09-30,营收增长同比_2017-12-31,营收增长同比_2018-03-31,营收增长同比_2018-06-30,营收增长同比_2018-09-30,营收增长同比_2018-12-31
34.76%,97.15亿,12.68,139.8亿,2667亿,7.593元,16.25,http://quote.eastmoney.com/sz000002.html,26.09%,1.2670000000000001,84.93%,110.4亿,sz000002,万科A,10.04%,3030亿,2.16,12.38%,1760亿,1991-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.43%,8301万,1.5130000000000001,-259.2万,15.56亿,0.370元,-,http://quote.eastmoney.com/sz000004.html,52.31%,-0.031,40.91%,8398万,sz000004,国农科技,-2.02%,15.74亿,12.38,-2.85%,2.56亿,1991-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.98%,10.58亿,1.256,653.2万,40.41亿,-0.415元,464.29,http://quote.eastmoney.com/sz000005.html,140.29%,0.006,51.39%,10.59亿,sz000005,世纪星源,0.49%,40.44亿,3.04,2.24%,3.83亿,1990-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.98%,13.48亿,4.599,5.03亿,81.84亿,1.948元,6.94,http://quote.eastmoney.com/sz000006.html,48.39%,0.6559999999999999,51.79%,13.50亿,sz000006,深振业A,8.77%,81.94亿,1.32,34.21%,15.94亿,1992-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.70%,3.09亿,1.092,-866.1万,22.28亿,-0.387元,-,http://quote.eastmoney.com/sz000007.html,-183.86%,-0.025,10.25%,3.46亿,sz000007,全新好,-2.26%,24.98亿,6.60,-26.98%,3226万,1992-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.57%,25.58亿,2.5540000000000003,1.24亿,117.7亿,0.533元,77.64,http://quote.eastmoney.com/sz000008.html,1.34%,0.044000000000000004,27.40%,27.81亿,sz000008,神州高铁,1.72%,127.9亿,1.80,10.25%,12.90亿,1992-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.34%,21.20亿,2.367,9861万,135.9亿,0.866元,104.79,http://quote.eastmoney.com/sz000009.html,-45.36%,0.046,65.36%,21.49亿,sz000009,中国宝安,1.95%,137.8亿,2.71,3.90%,66.49亿,1991-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.95%,5.22亿,1.176,-1.92亿,20.42亿,-1.662元,-,http://quote.eastmoney.com/sz000010.html,-1613.16%,-0.23399999999999999,70.45%,8.20亿,sz000010,美丽生态,-18.12%,32.06亿,3.32,-100.78%,1.87亿,1995-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.17%,1.76亿,4.841,1.44亿,18.55亿,3.149元,32.70,http://quote.eastmoney.com/sz000011.html,-74.97%,0.242,40.91%,5.96亿,sz000011,深物业A,4.92%,62.88亿,2.18,12.03%,11.99亿,1992-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.03%,17.75亿,3.128,4.69亿,105.1亿,1.573元,27.10,http://quote.eastmoney.com/sz000012.html,-34.02%,0.16399999999999998,53.16%,28.63亿,sz000012,南玻A,5.39%,169.5亿,1.89,5.96%,81.51亿,1992-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
