code,name,pe
hk00354,中国软件国际,36.905
hk00241,阿里健康,-285.357
hk00622,威华达控股,4.734
hk02226,老恒和酿造,6.787
hk01043,光宇国际集团科技,167.5
hk00138,中建富通,2.032
hk00910,中国三迪,5.056
hk00639,首钢资源,-23.038
hk00995,安徽皖通高速公路,6.906
hk01349,复旦张江,22.024
hk02355,宝业集团,4.259
hk01035,ＢＢＩ生命科学,24.602
hk00485,中国华星,-6.643
hk00668,东银国际控股,-15.5
hk01277,力量能源,0.0
hk00336,华宝国际,9.957
hk00095,绿景中国地产,14.607
hk01108,洛阳玻璃股份,-6.589
hk01829,中国机械工程,6.38
hk00060,香港食品投资,-15.833
hk03833,新疆新鑫矿业,-2.375
hk03382,天津港发展,9.135
hk00981,中芯国际,19.008
hk06030,中信证券,7.523
hk03368,百盛集团,15.484
hk00611,中国核能科技,13.913
hk00215,和记电讯香港,19.931
hk01314,翠华控股,19.02
hk00528,金达控股,8.22
hk01211,比亚迪股份,32.811
hk01052,越秀交通基建,9.69
hk00002,中电控股,17.77
hk00480,香港兴业国际,8.554
hk03330,灵宝黄金,-2.779
hk01340,惠生国际,0.649
hk03996,中国能源建设,4.41
hk01459,巨匠建设,3.435
hk02268,优源控股,10.377
hk02388,中银香港,14.227
hk00999,I.T,30.412
hk01885,中国优材,23.0
hk02768,佳源国际控股,58.387
hk02313,申洲国际,49.004
hk00762,中国联通,322.759
hk00119,保利置业集团,-4.057
hk00417,谢瑞麟,18.661
hk00811,新华文轩,7.624
hk00267,中信股份,6.658
hk01200,美联集团,-15.108
hk00617,百利保控股,166.316
hk01089,乐游科技控股,-88.889
hk03328,交通银行,5.117
hk00041,鹰君,9.37
hk01718,宏基集团控股,32.353
hk06818,中国光大银行,4.397
hk03366,华侨城（亚洲）,7.055
hk00032,港通控股,8.034
hk01461,鲁证期货,8.626
hk02012,阳光油砂,-0.396
hk06816,PROSPER CONS,0.0
hk01339,中国人民保险集团,6.218
hk03998,波司登,27.619
hk00320,金宝通,9.915
hk00532,WKK INTL (HOLD),18.413
hk00358,江西铜业股份,39.202
hk03383,雅居乐集团,17.808
hk02236,惠生工程,19.5
hk00087,太古股份公司Ｂ,10.998
hk02601,中国太保,12.634
hk06068,睿见教育,0.0
hk02345,上海集优,7.391
hk00728,中国电信,12.162
hk06886,HTSC,6.141
hk01985,美高域,0.0
hk01310,香港宽频,49.388
hk00855,中国水务,27.077
hk00727,皇冠环球集团,19.531
hk00571,丰德丽控股,19.231
hk00576,浙江沪杭甬,7.64
hk01257,中国光大绿色环保,0.0
hk02727,上海电气,15.0
hk00568,山东墨龙,-3.299
hk03688,莱蒙国际,4.698
hk00220,统一企业中国,39.307
hk00388,香港交易所,49.222
hk06889,DYNAM JAPAN,10.822
hk06881,中国银河,2.951
hk00978,招商局置地,7.081
hk00081,中国海外宏洋集团,7.105
hk01616,银仕来控股,121.818
hk01856,依波路,-39.706
hk03737,中智药业,9.784
hk00881,中升控股,21.333
hk01858,春立医疗,27.699
hk01005,美力时集团,17.222
hk00337,绿地香港,28.866
hk00596,浪潮国际,0.0
hk00123,越秀地产,10.216
hk00034,九龙建业,8.163
hk01585,雅迪控股,15.912
hk00556,泛亚环保,14.747
hk00016,新鸿基地产,10.341
hk00746,理文化工,22.328
hk00052,FAIRWOOD HOLD,18.726
hk01668,华南城,3.371
hk00001,长和,2.269
hk00806,惠理集团,82.973
hk00551,裕元集团,12.684
hk01898,中煤能源,-10.612
hk01508,中国再保险,6.639
hk02600,中国铝业,188.824
hk01207,上置集团,-0.47
hk00271,丹枫控股,65.4
hk01271,佳明集团控股,7.945
hk00754,合生创展集团,8.993
hk02282,美高梅中国,20.851
hk00151,中国旺旺,21.553
hk00165,中国光大控股,4.404
hk06138,哈尔滨银行,3.533
hk00004,九龙仓集团,3.626
hk00496,卡森国际,19.884
hk00400,科通芯城,11.242
hk00364,坪山茶业,-3.604
hk01660,善乐国际,0.0
hk00059,天誉置业,-46.491
hk01776,广发证券,4.875
hk00816,华电福新,6.911
hk01599,城建设计,9.705
hk00342,新海能源,3.542
hk01347,华虹半导体,28.261
hk00548,深圳高速公路股份,12.17
hk06288,FAST RETAIL-DRS,1.037
hk00071,美丽华酒店,6.712
hk00817,中国金茂,9.79
hk00941,中国移动,10.825
hk06837,海通证券,4.443
hk03315,金邦达宝嘉,5.677
hk02199,维珍妮,14.194
hk01816,中广核电力,11.341
hk01830,必瘦站,17.931
hk00856,伟仕控股,13.98
hk02383,ＴＯＭ集团,-30.563
hk01618,中国中冶,7.647
hk00112,勒泰商业地产,-38.772
hk00363,上海实业控股,6.933
hk01010,太睿国际控股,-30.0
hk01899,兴达国际,16.667
hk01970,IMAX CHINA,29.389
hk03838,中国淀粉,5.85
hk01636,中国金属利用,-17.138
hk02118,天山发展控股,15.25
hk01193,华润燃气,28.084
hk00026,中华汽车,12.709
hk00950,李氏大药厂,24.824
hk00038,第一拖拉机股份,15.556
hk03839,正大企业国际,10.324
hk00144,招商局港口,9.994
hk06826,昊海生物科技,23.48
hk02399,虎都,14.54
hk03969,中国通号,13.705
hk06066,中信建投证券,5.918
hk01388,安莉芳控股,5.496
hk00045,大酒店,24.7
hk00517,中远海运国际,13.105
hk02328,中国财险,4.929
hk02738,华津国际控股,0.0
hk01140,东英金融投资,103.448
hk00293,国泰航空,-83.288
hk00216,建业实业,5.409
hk00883,中国海洋石油,22.81
hk00882,天津发展,5.905
hk00308,香港中旅,12.988
hk01600,天伦燃气,27.408
hk00440,大新金融,8.414
hk00270,粤海投资,21.536
hk01138,中远海能,26.96
hk01299,友邦保险,25.121
hk01966,中骏置业,5.03
hk00916,龙源电力,14.515
hk00659,新创建集团,10.734
hk02221,创业集团控股,28.145
hk06166,中国宏泰发展,9.439
hk02378,保诚,25.557
hk00700,腾讯控股,101.866
hk00226,力宝,-10.053
hk00006,电能实业,15.857
hk01333,中国忠旺,8.186
hk00951,超威动力,10.129
hk01928,金沙中国有限公司,34.396
hk01548,金斯瑞生物科技,177.193
hk03393,威胜集团,8.241
hk01836,九兴控股,10.739
hk00035,远东发展,12.027
hk01093,石药集团,63.352
hk02357,中航科工,22.01
hk03396,联想控股,9.137
hk01218,永义国际,2.676
hk01044,恒安国际,21.304
hk01128,永利澳门,51.075
hk00511,电视广播,7.881
hk00338,上海石油化工股份,7.828
hk01072,东方电气,21.0
hk01126,德林国际,22.646
hk00020,会德丰,6.755
hk03958,东方证券,0.0
hk01980,天鸽互动,41.724
hk02777,富力地产,5.893
hk06189,爱得威建设集团,0.0
hk02238,广汽集团,9.219
hk00347,鞍钢股份,-9.908
hk01313,华润水泥控股,38.325
hk02869,绿城服务,0.0
hk00066,港铁公司,24.025
hk06178,光大证券,0.0
hk00863,品牌中国,49.779
hk02588,中银航空租赁,0.0
hk03308,金鹰商贸集团,13.464
hk00011,恒生银行,23.906
hk00316,东方海外国际,-28.892
hk01160,大唐投资国际,0.0
hk01989,松龄护老集团,0.0
hk00311,联泰控股,9.896
hk00299,新体育,-126.667
hk01608,伟能集团,0.0
hk01470,滴达国际,-47.5
hk00464,建福集团,-46.078
hk03320,华润医药,19.512
hk00974,中国顺客隆,0.0
hk02348,东瑞制药,10.245
hk01586,中国力鸿,0.0
hk00120,COSMOPOL INT'L,-22.692
hk01476,恒投证券,0.0
hk01020,华耐控股,-1.509
hk02213,益华控股,0.0
hk03329,交银国际,0.0
hk01655,OKURA HOLDINGS,0.0
hk01683,皇中国际,0.0
hk00988,楼东俊安资源,-0.302
hk00798,中电光谷,3.826
hk01918,融创中国,20.862
hk06822,科劲国际,5.339
hk01667,进阶发展,0.0
hk01329,首创钜大,0.0
hk00628,国美金融科技,0.0
hk03869,弘和仁爱医疗,0.0
hk01046,寰宇国际金融,0.0
hk00745,中国国家文化产业,1.313
hk00718,太和控股,-9.524
hk00367,庄士机构国际,4.812
hk06122,九台农商银行,0.0
hk01375,中州证券,3.87
hk01596,翼辰实业,0.0
hk01580,大森控股,0.0
hk00072,现代传播,0.0
hk01629,盟科控股,0.0
hk01608,伟能集团,0.0
hk00262,迪臣发展国际,0.0
hk00643,恒富控股,0.0
hk00326,中国星集团,1.634
hk03686,祈福生活服务,0.0
hk00464,建福集团,-46.078
hk01159,集美国际娱乐,0.0
hk00063,中国烯谷集团,0.0
hk00829,神冠控股,8.113
hk06099,招商证券,0.0
hk06858,本间高尔夫,0.0
hk00385,建联集团,0.0
hk01123,中港照相,-5.932
hk02389,北控医疗健康,-38.0
hk03966,中国宝丰国际,0.0
hk01559,均安控股,31.786
hk01982,南旋控股,7.548
hk00436,新宇环保,36.0
hk06828,北京燃气蓝天,166.667
hk02278,海蓝控股,0.0
hk00764,永恒策略,1.882
hk01612,永胜医疗,0.0
hk01586,中国力鸿,0.0
hk01456,国联证券,6.648
hk01583,亲亲食品,0.0
hk01038,长江基建集团,13.541
hk01323,NEWTREE GROUP,-2.685
hk01076,博华太平洋,-80.0
hk01053,重庆钢铁股份,-0.726
hk06833,兴科蓉医药,0.0
hk00298,庄士中国,10.612
hk00831,利亚零售,16.54
hk00704,和嘉资源,-3.207
hk03626,HSSP INTL,0.0
hk00715,中泛控股,44.444
hk01486,思城控股,22.026
hk01243,宏安地产,30.0
hk01496,亚积邦租赁,0.0
hk01570,伟业控股,0.0
hk01419,盈健医疗,18.298
hk03638,华邦金融,78.571
hk01557,剑虹集团控股,14.887
hk01910,新秀丽,21.088
hk00153,中国赛特,2.488
hk00146,TAI PING CARPET,0.0
hk00318,黄河实业,0.0
hk00089,大生地产,0.0
hk03963,融众金融,0.0
hk01495,集一家居,4.773
hk01799,新特能源,0.0
hk01662,义合控股,0.0
hk03678,弘业期货,0.0
hk00292,泛海酒店,0.0
hk06196,郑州银行,4.172
hk01180,汇彩控股,0.0
hk03866,青岛银行,0.0
hk01492,中地乳业,0.0
hk00009,九号运通,-0.662
hk01191,粤首环保,0.0
hk01476,恒投证券,0.0
hk01335,顺泰控股,0.0
hk01527,天洁环境,0.0
hk00299,新体育,-126.667
hk02086,龙杰智能卡,0.0
hk01137,香港电视,-2.61
hk01253,中国绿地博大绿泽,16.607
hk01499,前进控股集团－新,53.571
hk00876,美加医学,-75.0
hk01000,北青传媒,0.0
hk06133,维太移动,0.0
hk03399,粤运交通,9.069
hk00334,华显光电,15.0
hk00904,中绿,-0.02
hk01430,苏创燃气,0.0
hk02212,高鹏矿业,-190.0
hk03708,日成控股,28.0
hk06836,天韵国际控股,9.023
hk06183,中国绿宝,2.027
hk01301,德基科技控股,14.286
hk06866,佐力小贷,0.0
hk01450,世纪睿科,0.0
hk02286,辰兴发展,2.198
hk01380,中国金石,0.0
hk00451,协鑫新能源,-315.0
hk01305,伟志控股,-5.052
hk01395,强泰环保,0.0
hk01468,英裘控股,-7.057
hk00442,KTL INT'L,0.0
hk01566,华夏动漫,21.473
hk00348,中国智能健康,-5.5
hk06893,衍生集团,41.923
hk01993,雅仕维,-23.077
hk01362,新龙移动,0.0
hk01165,顺风清洁能源,16.875
hk00750,兴业太阳能,3.947
hk00938,民生国际,0.0
hk01626,嘉耀控股,0.0
hk00331,丰盛机电,6.444
hk00048,中国汽车内饰,0.0
hk01359,中国信达,4.567
hk03639,亿达中国,0.0
hk03888,金山软件,60.231
hk03800,保利协鑫能源,3.568
hk02111,超盈国际控股,7.589
hk01397,碧瑶绿色集团,0.0
hk01063,新确科技,4.5
hk02333,长城汽车,5.161
hk03628,仁恒实业控股,290.0
hk06163,彭顺国际,0.0
hk03882,天彩控股,2.164
hk02333,长城汽车,5.161
hk03628,仁恒实业控股,290.0
hk03882,天彩控股,2.164
hk06188,迪信通,0.0
hk00555,御泰中彩控股,1.467
hk01738,飞尚无烟煤,-3.011
hk02300,澳科控股,7.22
hk01273,香港信贷,0.0
hk00096,YUSEI,0.0
hk00406,有利集团,0.0
hk00366,陆氏集团（越南）,0.0
hk02011,KEE,0.0
hk06880,腾邦控股,0.0
hk00111,信达国际控股,11.111
hk00058,新威国际,1.721
hk00075,渝太地产,0.0
hk00021,大中华地产控股,0.0
hk00051,海港企业,15.369
hk00814,北京京客隆,25.694
hk01182,胜龙国际,-1.615
hk01098,路劲基建,8.206
hk00589,宝国国际,-24.968
hk00222,闽信集团,0.0
hk00373,联合集团,2.97
hk02196,复星医药,30.7
hk00228,中能控股,-0.563
hk00225,博富临置业,0.0
hk00184,激成投资,9.064
hk00181,闽港控股,0.0
hk00180,开达集团,9.237
hk00149,中国农产品交易,-0.069
hk00126,佳宁娜,11.649
hk01060,阿里影业,38.333
hk00927,富士高实业,0.0
hk01421,工盖有限公司,6.629
hk00897,位元堂,3.784
hk01661,智美体育,18.421
hk01387,人和商业,-1.0
hk00864,永利地产发展,0.0
hk01062,国开国际投资,7.29
hk00675,坚宝国际,1000.0
hk00426,万华媒体,0.0
hk00018,东方报业集团,40.435
hk00880,澳博控股,22.263
hk01371,华彩控股,-3.714
hk00401,万嘉集团,-6.667
hk00219,顺豪物业,0.0
hk00093,TERMＢRAY IND,-2.236
hk06838,盈利时,0.0
hk03889,大成糖业,-0.264
hk01213,万保刚集团,0.0
hk00838,亿和控股,7.946
hk00141,大中华集团,0.0
hk02317,味丹国际,12.419
hk03320,华润医药,19.512
hk00529,SIS INT'L,0.0
hk00996,嘉年华国际,35.556
hk00065,弘海高新资源,0.0
hk00834,康大食品,0.0
hk00604,深圳控股,6.798
hk00815,中国白银集团,4.726
hk02088,西王置业,-18.333
hk01828,大昌行集团,13.369
hk02722,重庆机电,4.889
hk00588,北京北辰实业股份,9.481
hk00583,长城环亚控股,7.143
hk01080,胜利管道,-1.576
hk00422,越南制造加工出口,0.0
hk03818,中国动向,7.644
hk00898,万事昌国际,0.0
hk00253,顺豪控股,0.0
hk00250,中国数码信息,30.667
hk02349,中国城市基础设施,0.0
hk02342,京信通信,12.299
hk02000,晨讯科技,12.6
hk00469,凯普松国际,0.0
hk03999,大成食品,0.0
hk01120,雅视光学,0.0
hk00044,香港飞机工程,11.796
hk00900,Aeon信贷财务,10.988
hk00905,环球大通投资,0.0
hk00770,SHANGHAI GROWTH,0.0
hk01428,耀才证券金融,10.781
hk00177,江苏宁沪高速公路,15.993
hk02878,SOLOMON SYSTECH,-14.318
hk00755,上海证大,-2.797
hk00114,HERALD HOLD,0.0
hk01070,ＴＣＬ多媒体,205.789
hk00139,中国软实力,-0.385
hk00131,卓能（集团）,0.0
hk01260,皓天财经集团,5.931
hk00655,香港华人有限公司,11.961
hk00280,景福集团,0.0
hk00030,万隆控股集团,-12.0
hk01623,海隆控股,9.292
hk00431,大中华金融,-0.783
hk00280,景福集团,0.0
hk00030,万隆控股集团,-12.0
hk01623,海隆控股,9.292
hk00431,大中华金融,-0.783
hk00209,瀛晟科学,-1.316
hk00201,华大酒店,0.0
hk02319,蒙牛乳业,34.801
hk00411,南顺（香港）,0.0
hk00310,嘉进投资国际,0.0
hk00885,仁天科技控股,64.0
hk02038,富智康集团,8.467
hk00263,高富集团控股,0.0
hk02371,中国创联教育,-1.1
hk00730,首长四方(集团),-5.966
hk00958,华能新能源,11.974
hk00166,新时代能源,0.0
hk00163,英皇国际,-3.462
hk00743,亚洲水泥（中国）,-22.807
hk00686,联合光伏,5.579
hk00128,安宁控股,-14.308
hk00121,卜蜂莲花,-3.704
hk00297,中化化肥,25.405
hk00132,中国兴业控股,0.0
hk01047,毅兴行,0.0
hk00775,长江生命科技,17.333
hk00640,星谦发展,0.0
hk00513,恒和集团,0.0
hk00403,星光集团,0.0
hk00099,王氏国际,0.0
hk00214,汇汉控股,0.0
hk01355,朸濬国际,-2.514
