序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价
1714,HK2098,卓尔智联,7.50,-2.34,-0.18,0.04,489.50万,29.47,7.680,7.310,7.660,7.310
1715,HK0928,莲和医疗,0.25,-2.35,-0.01,0.04,240.00万,--,0.255,0.250,0.250,0.243
1716,HK1066,威高股份,6.22,-2.35,-0.15,0.70,1318.88万,13.30,6.370,6.230,6.440,6.110
1717,HK1608,伟能集团,3.73,-2.36,-0.09,0.03,63.00万,28.71,3.820,3.700,3.820,3.610
1718,HK1051,国际资源,0.08,-2.38,-0.00,0.06,1667.34万,8.74,0.084,0.085,0.085,0.080
1719,HK1281,隆基泰和智慧能源,1.62,-2.41,-0.04,0.02,33.30万,7.91,1.660,1.600,1.650,1.570
1720,HK0766,中盈集团控股,0.12,-2.44,-0.00,0.03,50.00万,--,0.123,0.123,0.123,0.110
1721,HK1191,中国中石控股,0.12,-2.46,-0.00,0.00,--,19.83,0.122,0,0,0
1722,HK1581,进升集团控股,0.40,-2.47,-0.01,0.01,10.00万,71.82,0.405,0.395,0.395,0.385
1723,HK1300,俊知集团,1.17,-2.50,-0.03,0.04,71.20万,5.96,1.200,1.200,1.210,1.140
1724,HK0237,安全货仓,15.60,-2.50,-0.40,0.01,1.00万,4.47,16.000,15.620,15.620,15.600
1725,HK1296,国电科环,0.39,-2.50,-0.01,0.03,36.40万,45.18,0.400,0.385,0.390,0.380
1726,HK1500,现恒建筑,0.39,-2.50,-0.01,0.01,12.50万,13.93,0.400,0.390,0.395,0.390
1727,HK0353,能源国际投资,0.23,-2.52,-0.01,0.07,356.00万,--,0.238,0.243,0.245,0.232
1728,HK0210,达芙妮国际,0.38,-2.56,-0.01,0.00,4.00万,--,0.390,0.390,0.390,0.380
1729,HK3773,年年卡,0.76,-2.56,-0.02,0.17,69.60万,--,0.780,0.760,0.770,0.730
1730,HK0499,青岛控股,0.75,-2.60,-0.02,0.17,84.60万,64.10,0.770,0.760,0.770,0.750
1731,HK0872,启迪国际,0.74,-2.63,-0.02,0.19,227.20万,--,0.760,0.750,0.760,0.700
1732,HK0575,励晶太平洋,0.36,-2.67,-0.01,0.21,392.00万,--,0.375,0.370,0.375,0.360
1733,HK0840,天业节水,0.36,-2.67,-0.01,0.33,66.60万,--,0.375,0.355,0.365,0.350
1734,HK1068,雨润食品,1.09,-2.68,-0.03,0.14,254.80万,--,1.120,1.110,1.110,1.070
1735,HK1326,传递娱乐,0.36,-2.70,-0.01,0.03,64.80万,--,0.370,0.360,0.370,0.360
1736,HK0033,亚投金融集团,0.07,-2.70,-0.00,0.01,68.20万,--,0.074,0.074,0.074,0.070
1737,HK1883,中信国际电讯,2.16,-2.70,-0.06,0.08,298.10万,8.68,2.220,2.220,2.220,2.160
1738,HK1689,华禧控股,2.15,-2.71,-0.06,0.10,66.40万,45.26,2.210,2.150,2.180,2.140
1739,HK0330,思捷环球,2.13,-2.74,-0.06,0.22,412.80万,--,2.190,2.200,2.200,2.100
1740,HK0285,比亚迪电子,9.90,-2.75,-0.28,0.20,445.84万,9.43,10.180,10.200,10.200,9.620
1741,HK0174,盛洋投资,1.06,-2.75,-0.03,0.07,32.00万,--,1.090,1.060,1.090,1.040
1742,HK3336,巨腾国际,1.41,-2.76,-0.04,0.10,115.00万,20.14,1.450,1.430,1.430,1.390
1743,HK0084,宝光实业,0.35,-2.78,-0.01,0.02,25.50万,--,0.360,0.360,0.360,0.350
1744,HK1617,南方通信,4.89,-2.78,-0.14,0.03,30.00万,33.99,5.030,5.050,5.050,4.740
1745,HK0632,东方明珠石油,0.10,-2.80,-0.00,0.02,76.50万,--,0.107,0.105,0.105,0.101
