,code,starttime
233,AUPH,2018-01-09
234,DSPG,2018-08-02
235,CROX,2018-05-24
236,CROX,2018-03-19
237,CROX,2018-03-02
238,CYBR,2018-08-01
239,DLTH,2018-08-07
240,FINX,2018-08-22
241,TCMD,2018-05-23
242,HTGM,2018-08-23
243,CTMX,2018-02-20
244,CTMX,2018-01-02
245,XNCR,2018-05-14
246,XENE,2018-06-27
247,XENE,2018-05-30
248,PEGI,2018-10-11
249,EGHT,2018-08-07
250,APTI,2018-02-21
251,BEAT,2018-06-13
252,BEAT,2018-01-09
253,NVCR,2018-01-18
254,MANH,2018-08-21
255,ICLR,2018-04-10
256,HDSN,2018-07-30
257,KIN,2018-07-12
258,KIN,2018-04-09
259,BNFT,2018-08-22
260,PNQI,2018-08-17
261,OSPN,2018-04-18
262,OSPN,2018-03-08
263,EDIT,2018-09-07
264,CORE,2018-08-07
265,CORE,2018-06-14
266,XLNX,2018-08-22
267,XLNX,2018-05-07
268,BPMC,2018-03-02
269,GOOG,2018-02-15
270,LOXO,2018-04-09
271,PDLI,2018-06-29
272,RRD,2018-03-13
273,CMCSA,2018-05-11
274,LJPC,2018-01-18
275,OLED,2018-08-20
276,QQQ,2018-08-22
277,ORLY,2018-01-02
278,AMAT,2018-03-02
279,VYGR,2018-02-15
280,GOOGL,2018-08-22
281,PCTY,2018-03-05
282,AAXJ,2018-08-17
283,AAXJ,2018-05-30
284,CPRT,2018-08-20
285,CPRT,2018-03-02
286,AKAM,2018-08-22
287,AKAM,2018-01-18
288,ONCS,2018-02-28
289,MLNX,2018-05-02
290,CTSH,2018-05-30
291,CTSH,2018-01-09
292,SGEN,2018-06-28
293,VECO,2018-06-05
294,VECO,2018-04-10
295,NXGN,2018-05-23
296,PSTI,2018-06-28
297,PSTI,2018-06-01
298,KOOL,2018-06-06
299,TSLA,2018-02-14
300,AOBC,2018-09-07
301,AOBC,2018-08-24
302,AOBC,2018-06-05
303,TANH,2018-05-10
304,TANH,2018-03-27
305,SSTI,2018-08-22
306,SSTI,2018-03-07
307,VSAR,2018-08-23
308,VSAR,2018-08-22
309,VSAR,2018-08-02
310,VSAR,2018-06-05
311,VSAR,2018-05-10
312,BOTZ,2018-01-09
313,MDB,2018-05-25
314,MEDP,2018-07-18
315,MEDP,2018-05-03
316,CREE,2018-04-05
317,CDW,2018-09-06
318,QURE,2018-08-13
319,QURE,2018-03-21
320,CORV,2018-02-28
321,SNBR,2018-06-01
322,ONCE,2018-08-09
323,ONCE,2018-04-09
324,ENTG,2018-05-07
325,ENTG,2018-03-02
326,AMBA,2018-08-22
327,CGNX,2018-09-11
