,code,starttime
1012,GTYH,2018-05-29
1013,GTYH,2018-05-25
1014,GTYH,2018-05-24
1015,GTYH,2018-05-23
1016,GTYH,2018-04-12
1017,GTYH,2018-04-10
1018,GTYH,2018-04-09
1019,GTYH,2018-02-22
1020,PRFZ,2018-08-17
1021,NUVA,2018-08-14
1022,NUVA,2018-03-02
1023,AFSI,2018-09-17
1024,AFSI,2018-06-27
1025,CDC,2018-01-19
1026,LPNT,2018-03-05
1027,VRTU,2018-07-09
1028,VRTU,2018-03-05
1029,MOSY,2017-12-29
1030,SYNH,2018-09-20
1031,SYNH,2018-07-05
1032,SYNH,2018-05-22
1033,FTSL,2018-09-24
1034,FTSL,2018-09-14
1035,FTSL,2018-08-23
1036,FTSL,2018-08-22
1037,FTSL,2018-07-12
1038,FTSL,2018-04-10
1039,FTSL,2018-03-09
1040,FTSL,2018-01-11
1041,VRIG,2018-09-11
1042,VRIG,2018-06-29
1043,PRGS,2018-09-07
1044,SNHY,2018-09-11
1045,VGSH,2018-08-08
1046,IDCC,2018-06-01
1047,IDCC,2018-04-09
1048,FTSM,2018-09-17
1049,FTSM,2018-08-07
1050,FTSM,2018-07-09
1051,FTSM,2018-06-26
1052,FTSM,2018-04-30
1053,FTSM,2018-04-04
1054,FTSM,2018-03-23
1055,FTSM,2018-01-11
1056,FTSM,2018-01-08
1057,VNDA,2018-06-15
1058,VNDA,2018-05-11
1059,STRL,2018-08-02
1060,SONC,2018-06-15
1061,SBBP,2018-04-30
1062,REPH,2018-08-28
1063,REPH,2018-04-09
1064,PRTS,2018-09-10
1065,MBRX,2018-07-17
1066,KAAC,2018-07-13
1067,KAAC,2018-07-10
1068,KAAC,2018-07-09
1069,KAAC,2018-07-06
1070,KAAC,2018-07-05
1071,KAAC,2018-07-03
1072,KAAC,2018-07-02
1073,KAAC,2018-06-29
1074,KAAC,2018-06-27
1075,KAAC,2018-06-26
1076,KAAC,2018-06-25
1077,KAAC,2018-05-07
1078,KAAC,2018-04-30
1079,KAAC,2018-04-20
1080,KAAC,2018-04-02
1081,KAAC,2018-03-29
1082,KAAC,2018-03-28
1083,KAAC,2018-03-27
1084,KAAC,2018-03-26
1085,KAAC,2018-03-23
1086,KAAC,2018-03-22
1087,KAAC,2018-03-20
1088,KAAC,2018-03-19
1089,KAAC,2018-03-16
1090,KAAC,2018-03-15
1091,KAAC,2018-03-14
1092,KAAC,2018-02-12
1093,KAAC,2018-02-09
1094,IVTY,2018-09-14
1095,IVTY,2018-09-12
1096,IVTY,2018-06-21
1097,GRBK,2018-07-10
1098,GRBK,2018-06-07
1099,EVLV,2018-07-09
1100,DRYS,2018-09-18
1101,DRYS,2018-09-05
1102,DRYS,2018-06-11
1103,CVGI,2018-06-29
1104,CLNE,2018-05-15
1105,ASYS,2018-03-02
1106,ADRO,2018-03-07
1107,VTIP,2018-08-17
1108,VTIP,2018-08-15
1109,VGIT,2018-08-08
1110,VGIT,2018-05-18
1111,ICHR,2018-08-24
1112,ICHR,2018-03-02
1113,PRQR,2018-03-02
1114,ARCC,2018-05-03
1115,ESND,2018-04-03
1116,VIAV,2018-08-21
1117,VIAV,2018-05-14
1118,TWNK,2018-03-02
1119,KTWO,2018-05-18
1120,NTRS,2018-01-05
1121,STMP,2018-01-18
1122,CCRN,2018-08-20
1123,BCOV,2018-02-16
1124,VMBS,2018-05-18
1125,GEOS,2018-08-15
1126,TRUE,2018-09-18
1127,AGFS,2018-06-07
1128,AGFS,2018-05-23
1129,AXDX,2018-01-18
1130,MITL,2018-04-16
1131,MITL,2018-03-09
1132,SAIA,2018-07-30
1133,VCYT,2018-08-07
1134,VCYT,2018-02-15
1135,HABT,2018-08-06
1136,HABT,2018-07-26
1137,HABT,2018-06-01
1138,HABT,2018-04-24
1139,CECO,2018-05-23
1140,CECO,2018-03-02
1141,AGNC,2018-07-02
1142,KTOS,2018-07-12
1143,KTOS,2018-06-01
1144,KTOS,2018-05-04
1145,SLGN,2018-07-26
1146,SLGN,2018-07-02
1147,MITK,2018-05-02
1148,AMR,2018-06-06
1149,UFPI,2018-06-01
1150,ATRO,2018-06-08
1151,PSEC,2018-05-21
1152,TLGT,2018-08-09
1153,NEOG,2018-05-03
1154,NEOG,2018-03-02
1155,RMBS,2018-03-02
1156,CLMT,2018-07-06
1157,ODP,2018-08-06
1158,ODP,2018-06-07
1159,LPLA,2018-01-19
1160,ZAGG,2018-08-17
1161,EGLE,2018-02-14
1162,ZIXI,2018-09-06
1163,ZIXI,2018-04-18
1164,ZIXI,2018-04-09
1165,ZIXI,2018-03-02
1166,GPP,2018-02-06
1167,APOG,2018-03-02
1168,COLL,2018-01-08
1169,PNNT,2018-05-09
1170,CSGS,2018-09-14
1171,ATSG,2018-06-07
1172,ATSG,2018-05-03
1173,ATSG,2018-02-21
1174,MYGN,2018-01-18
1175,MYGN,2018-01-09
1176,FLNT,2018-10-02
1177,FLNT,2018-05-31
1178,FLNT,2018-04-10
1179,PICO,2018-08-16
1180,PICO,2018-01-16
1181,FRTA,2018-03-01
1182,BHF,2018-04-16
1183,FNJN,2018-07-09
1184,NSTG,2018-06-04
1185,RBBN,2018-06-27
1186,CDXS,2018-02-13
1187,NAKD,2018-01-10
1188,NXEO,2018-09-18
1189,NXEO,2018-03-02
1190,PGNX,2018-03-05
1191,INVA,2018-09-24
1192,INVA,2018-07-02
1193,INVA,2018-05-24
1194,GOOD,2018-08-14
1195,GOOD,2018-05-16
1196,DAKT,2018-09-18
1197,DAKT,2018-05-02
1198,GEMP,2018-09-14
1199,GEMP,2018-02-28
1200,GEMP,2018-01-17
1201,AINV,2018-07-13
1202,AINV,2018-05-03
1203,SESN,2018-04-03
1204,GDEN,2018-08-13
1205,XELA,2018-02-21
1206,AMBC,2018-04-03
1207,CISN,2018-05-01
1208,WERN,2018-05-24
1209,WERN,2018-01-18
1210,IBKC,2018-01-09
1211,ROIC,2018-02-09
1212,HPT,2018-05-02
1213,DBVT,2018-05-04
1214,LSCC,2018-05-29
1215,CYRX,2018-05-25
1216,CYRX,2018-04-27
1217,FHB,2018-07-30
1218,FHB,2018-03-02
1219,MBFI,2018-03-02
1220,STX,2018-08-10
1221,STX,2018-01-11
1222,MBUU,2018-08-22
1223,MBUU,2018-06-01
1224,ACBI,2018-05-08
1225,ACBI,2018-03-02
1226,JBHT,2018-08-17
1227,KFRC,2018-08-01
1228,KFRC,2018-02-13
1229,EMKR,2018-05-24
1230,EMKR,2018-05-23
1231,EMKR,2018-05-22
1232,EMKR,2018-03-02
1233,EMKR,2018-01-18
1234,HSTM,2018-08-07
1235,HSTM,2018-02-13
1236,KOPN,2018-05-29
1237,KOPN,2018-04-10
1238,ARGO,2018-08-17
1239,ARGO,2018-03-13
1240,ARGO,2018-01-09
1241,ALDR,2018-07-02
1242,SIVB,2018-03-02
1243,SIVB,2018-01-02
1244,UEPS,2018-09-18
1245,UEPS,2018-05-03
1246,CTRE,2018-08-14
1247,CTRE,2018-04-24
1248,QNST,2018-05-03
1249,QNST,2018-03-19
1250,INDB,2018-08-30
1251,INDB,2018-03-02
1252,INDB,2018-01-09
1253,OSBC,2018-08-30
1254,OSBC,2018-05-08
1255,SPPI,2018-07-06
1256,SYKE,2018-02-16
1257,YRCW,2018-05-24
1258,DSLV,2018-03-13
1259,ROCK,2018-03-02
1260,RECN,2018-08-28
1261,RECN,2018-07-30
1262,RECN,2018-05-24
1263,TYPE,2018-08-07
1264,TYPE,2018-05-24
1265,TYPE,2018-04-10
1266,AMSWA,2018-09-20
1267,AMSWA,2018-08-07
1268,AMSWA,2018-07-02
1269,AMSWA,2018-06-15
1270,SGMS,2018-04-11
1271,SGMS,2018-03-07
1272,CVTI,2018-03-06
1273,PRFT,2018-08-14
1274,PRFT,2018-04-09
1275,PRFT,2018-03-05
1276,WLDN,2018-05-24
1277,AX,2018-03-02
1278,PCAR,2018-06-01
1279,SNH,2018-08-14
1280,SNH,2018-07-02
1281,SNH,2018-03-02
1282,AMSF,2018-07-18
1283,NYMT,2018-06-29
1284,WSBC,2018-04-20
1285,WSBC,2018-03-02
1286,FRAN,2018-05-09
1287,GAIN,2018-06-06
1288,SPTN,2018-08-17
1289,LLEX,2018-05-16
1290,CHEF,2018-08-30
1291,CHEF,2018-07-02
1292,ARLP,2018-08-07
1293,HSII,2018-08-01
1294,HSII,2018-04-12
1295,HSII,2018-03-02
1296,RSYS,2018-09-27
1297,RSYS,2018-09-26
1298,RSYS,2018-09-19
1299,RSYS,2018-08-23
1300,RSYS,2018-07-06
1301,SSB,2018-03-02
1302,MRTN,2018-03-07
1303,ASNA,2018-08-09
1304,ASNA,2018-05-11
1305,ARDX,2018-09-17
1306,SQBG,2018-05-22
1307,PRAA,2018-06-06
1308,TTS,2018-04-16
1309,ANIX,2018-01-05
1310,FITB,2018-01-09
1311,ORIT,2018-08-14
1312,ORIT,2018-05-15
1313,BLBD,2018-06-29
1314,BLBD,2018-04-09
1315,SLCT,2018-08-09
1316,OXSQ,2018-07-13
1317,OXSQ,2018-05-14
1318,LGND,2018-08-22
1319,LGND,2018-05-11
1320,LGND,2018-04-09
1321,LGND,2018-03-05
1322,LGND,2018-01-22
1323,GNTX,2018-05-14
1324,PNFP,2018-03-02
1325,PNFP,2018-02-09
1326,BPOP,2018-04-20
1327,MERC,2018-05-09
1328,MERC,2018-04-09
1329,UFCS,2018-04-19
1330,DHXM,2018-04-03
1331,SCYX,2018-05-23
1332,LKFN,2018-03-02
1333,LKFN,2018-01-09
1334,KEYW,2018-08-20
1335,KEYW,2018-06-21
1336,KEYW,2018-01-08
1337,OCSL,2018-07-26
1338,BLCM,2018-08-17
1339,BLCM,2018-02-14
1340,CBSH,2018-08-30
1341,CBSH,2018-03-02
1342,NERV,2018-09-20
1343,NERV,2018-09-17
1344,NERV,2018-06-13
1345,NERV,2018-05-08
1346,NERV,2018-03-02
1347,NERV,2018-01-11
1348,ASPS,2018-03-02
1349,ECPG,2018-03-02
1350,WWD,2018-07-17
1351,WWD,2018-03-02
1352,ABCB,2018-03-02
1353,ABCB,2018-01-09
1354,FELE,2018-06-01
1355,FELE,2018-03-02
1356,OFIX,2018-07-18
1357,ELGX,2018-05-22
1358,IBTX,2018-08-17
1359,IBTX,2018-05-30
1360,IBTX,2018-03-02
1361,GBNK,2018-03-02
1362,FTXO,2018-02-09
1363,ISBC,2018-03-02
1364,WABC,2018-03-02
1365,WABC,2018-02-13
1366,WTFC,2018-03-02
1367,RDFN,2018-03-21
1368,LION,2018-08-17
1369,LION,2018-01-04
1370,CVBF,2018-03-02
1371,ZION,2018-03-02
1372,RKDA,2018-03-07
1373,RARE,2018-04-09
1374,PFBC,2018-01-11
1375,OTIC,2018-09-21
1376,OTIC,2018-09-19
1377,OTIC,2018-07-30
1378,NGHC,2018-02-13
1379,UCBI,2018-06-01
1380,IBOC,2018-01-09
1381,OTTR,2018-03-07
1382,LNTH,2018-08-13
1383,LNTH,2018-04-12
1384,LNTH,2018-01-18
1385,BRKL,2018-08-14
1386,BRKL,2018-06-01
1387,BRKL,2018-04-19
1388,HOPE,2018-08-14
1389,LIND,2018-08-15
1390,EGBN,2018-03-02
1391,SCHL,2018-06-15
1392,SCHL,2018-03-02
1393,CSFL,2018-04-19
1394,CSFL,2018-03-02
1395,CSFL,2018-02-15
1396,EBSB,2018-05-03
1397,HBAN,2018-04-18
1398,HBAN,2018-01-09
1399,AOSL,2018-03-02
1400,SPWH,2018-09-12
1401,SPWH,2018-08-09
1402,SPWH,2018-06-19
1403,FBIO,2018-02-21
1404,GNBC,2018-03-02
1405,GBCI,2018-03-02
1406,COLB,2018-03-02
1407,RNST,2018-03-02
1408,BKEP,2018-05-17
1409,BKEP,2018-04-25
1410,SREV,2018-03-02
1411,SREV,2018-02-13
1412,BANR,2018-09-04
1413,OCFC,2018-05-22
1414,OCFC,2018-03-02
1415,ZFGN,2018-05-01
1416,FRED,2018-10-04
1417,FRED,2018-09-25
1418,IBCP,2018-08-16
1419,IBCP,2018-06-15
1420,IBCP,2018-03-02
1421,BCPC,2018-03-02
1422,BCPC,2018-02-14
1423,FPAY,2018-04-10
1424,TTNP,2018-06-18
1425,TTNP,2017-12-29
1426,HTLF,2018-08-14
1427,HTLF,2018-03-02
1428,MOBL,2018-09-07
1429,MOBL,2018-08-30
1430,MOBL,2018-03-19
1431,WSC,2018-08-22
1432,ONB,2018-08-29
1433,ONB,2018-03-02
1434,PATK,2018-08-07
1435,HIIQ,2018-08-10
1436,CFFN,2018-05-01
1437,CFFN,2018-03-02
1438,HOMB,2018-03-02
1439,SIR,2018-08-14
1440,TBK,2018-05-30
1441,BPFH,2018-03-02
1442,GLDD,2018-07-05
1443,GLDD,2018-05-04
1444,GLDD,2018-05-02
1445,SNDX,2017-12-28
1446,HWC,2018-03-02
1447,XOMA,2018-04-19
1448,SPAR,2018-04-09
1449,SBSI,2018-03-02
1450,TPCO,2018-01-17
1451,PAVM,2018-08-31
1452,VTVT,2018-03-05
1453,CATY,2018-03-02
1454,FMBI,2018-03-02
1455,FMBI,2018-01-09
1456,CPST,2018-03-20
1457,TRMK,2018-03-02
1458,SBCF,2018-05-14
1459,SBCF,2018-03-02
1460,UMPQ,2018-06-01
1461,UMPQ,2018-03-02
1462,UMPQ,2018-01-05
1463,TCBI,2018-03-02
1464,HTBK,2018-05-30
1465,HTBK,2018-03-02
1466,HTBK,2018-01-09
1467,OPB,2018-07-30
1468,OPB,2018-05-04
1469,FFBC,2018-06-01
1470,FFBC,2018-03-26
1471,SFBS,2018-03-02
1472,TCBK,2018-06-15
1473,TCBK,2018-03-02
1474,FRME,2018-03-02
1475,FRME,2018-01-09
1476,VBTX,2018-03-02
1477,NWBI,2018-08-14
1478,KRNY,2018-04-09
1479,KRNY,2018-03-02
1480,TOWN,2018-07-03
1481,TOWN,2018-01-09
1482,OZK,2018-03-02
1483,SFNC,2018-05-30
1484,SFNC,2018-03-02
1485,MTRX,2018-07-23
1486,MTRX,2018-04-10
1487,MXWL,2018-03-07
1488,STBZ,2018-04-09
1489,STBZ,2018-02-13
1490,ADXS,2018-08-03
1491,FULT,2018-07-16
1492,FULT,2018-03-02
1493,FULT,2018-01-05
1494,ENTA,2018-04-10
1495,ENTA,2018-03-02
1496,ENTA,2018-01-24
1497,TBBK,2018-03-02
1498,TSC,2018-08-29
1499,TSC,2018-01-09
1500,UVSP,2018-08-14
1501,UVSP,2018-02-13
1502,TRST,2018-08-17
1503,TRST,2018-04-09
1504,TRST,2018-03-02
1505,CNSL,2018-08-14
1506,CNSL,2018-06-07
1507,CALA,2018-09-19
1508,CALA,2018-04-10
1509,CALA,2018-02-28
1510,BUSE,2018-03-02
1511,MLNT,2018-01-18
1512,PETX,2018-03-02
1513,VOXX,2018-08-07
1514,VOXX,2017-12-29
1515,TILE,2018-03-02
1516,FIBK,2018-06-01
1517,FIBK,2018-04-19
1518,CHFC,2018-07-18
1519,CHFC,2018-03-02
1520,CHFC,2018-01-19
1521,CSBR,2018-06-15
1522,SND,2018-07-24
1523,NBTB,2018-07-19
1524,CUTR,2018-07-16
1525,PPBI,2018-08-17
1526,PPBI,2018-05-08
1527,SYRS,2018-07-05
1528,SYRS,2018-04-06
1529,SYRS,2018-03-07
1530,UBSH,2018-03-02
1531,BIOS,2018-09-18
1532,BIOS,2018-05-22
1533,VUZI,2018-06-05
1534,HFWA,2018-02-13
1535,AMED,2018-08-09
1536,SIMO,2018-05-09
1537,SPEX,2018-08-02
1538,CARO,2018-03-02
1539,HURN,2018-08-20
1540,LHCG,2018-05-24
1541,LHCG,2018-05-11
1542,FBNC,2018-07-18
1543,FBNC,2018-03-02
1544,WAFD,2018-03-02
1545,CLSD,2018-05-14
1546,CLSD,2018-02-27
1547,AVDL,2018-02-21
1548,AVDL,2018-01-18
1549,ADUS,2018-07-13
1550,ADUS,2018-03-29
1551,ADUS,2018-03-20
1552,MRNS,2018-04-09
1553,MATW,2018-05-25
1554,AEGN,2018-03-02
1555,ACHC,2018-08-22
1556,ACHC,2018-03-02
1557,WSFS,2018-03-02
1558,IIN,2018-07-16
1559,IIN,2018-05-23
1560,CLVS,2018-01-18
1561,NFBK,2018-05-16
1562,CGEN,2018-08-27
1563,CGEN,2018-02-21
1564,CGEN,2018-02-16
1565,STBA,2018-08-17
1566,STBA,2018-03-02
1567,STBA,2018-01-09
1568,HEES,2018-06-01
1569,ARAY,2018-09-14
1570,ARAY,2018-07-18
1571,OIIM,2018-09-19
1572,OIIM,2018-05-11
1573,GOV,2018-08-14
1574,SLS,2018-08-29
1575,CENT,2018-06-28
1576,CCLP,2018-06-26
1577,PETS,2018-06-15
1578,PETS,2018-06-01
1579,PETS,2018-03-05
1580,AEZS,2018-04-18
1581,NNBR,2018-08-17
1582,NNBR,2018-03-02
1583,JYNT,2018-04-13
1584,RMBL,2018-09-06
1585,SGRY,2018-08-20
1586,SGRY,2018-05-09
1587,CORT,2018-01-08
1588,GLRE,2018-08-15
1589,GLRE,2018-01-18
1590,PEIX,2018-04-09
1591,MHLD,2018-07-18
1592,ADMA,2018-08-28
1593,TNAV,2018-02-09
1594,STML,2018-09-10
1595,CYHHZ,2018-06-08
1596,CYHHZ,2018-04-06
1597,CYHHZ,2018-03-13
1598,CYHHZ,2018-02-27
1599,CYHHZ,2018-01-04
1600,SQQQ,2018-10-03
1601,SQQQ,2018-03-14
1602,SQQQ,2018-01-31
1603,VSTM,2018-05-21
1604,AKCA,2018-09-17
1605,AKCA,2018-07-18
1606,AKCA,2018-01-17
1607,PTE,2018-08-08
1608,CCRC,2018-02-14
1609,MDCA,2018-07-03
1610,MDCA,2018-07-02
1611,MNTA,2018-09-07
1612,MNTA,2018-07-10
1613,MNTA,2018-05-15
1614,EXFO,2018-06-22
1615,CHKE,2018-03-16
1616,IPCI,2018-02-07
1617,IMDZ,2018-06-28
1618,IMDZ,2018-06-05
1619,IMDZ,2018-04-11
1620,IMDZ,2018-04-09
1621,BITA,2018-08-20
1622,BEDU,2018-05-01
1623,CWEB,2018-08-15
1624,TECL,2018-08-22
1625,SXE,2018-01-09
1626,AXON,2018-09-18
1627,EDC,2018-08-17
1628,EDC,2018-01-19
1629,BRZU,2018-09-14
1630,TWLO,2018-04-30
1631,RUBI,2018-07-12
1632,RUBI,2018-02-12
1633,ENZ,2018-05-10
1634,CIG,2018-07-02
1635,CIG,2018-01-23
1636,BSTI,2018-08-22
1637,SE,2018-07-30
1638,EDN,2018-01-11
1639,I,2018-02-15
1640,SQ,2018-08-21
1641,YINN,2018-05-30
1642,CVNA,2018-06-07
1643,SITE,2018-06-07
1644,WTW,2018-01-05
1645,NPTN,2018-05-15
1646,NPTN,2018-03-02
1647,LABU,2018-01-18
1648,W,2018-06-01
1649,W,2018-05-24
1650,W,2018-03-02
1651,W,2018-02-09
1652,PSTG,2018-03-07
1653,TDOC,2018-06-13
1654,QLD,2018-08-22
1655,EZA,2018-01-19
1656,NOW,2018-05-24
1657,NOW,2018-02-15
1658,CRCM,2018-08-16
1659,CRCM,2018-05-24
1660,CRCM,2018-05-03
1661,CRCM,2018-02-16
1662,HPE,2018-08-23
1663,HPE,2018-05-04
1664,HPE,2018-04-09
1665,BOOT,2018-07-16
1666,BOOT,2018-04-19
1667,DIN,2018-06-14
1668,DDD,2018-08-07
1669,EMQQ,2018-08-17
1670,RH,2018-06-08
1671,NOAH,2018-05-02
1672,GDDY,2018-01-18
1673,NVTA,2018-08-07
1674,NVTA,2018-07-02
1675,NVTA,2018-06-08
1676,NVTA,2018-04-02
1677,NVTA,2018-02-22
1678,V,2018-08-22
1679,V,2018-05-04
1680,SM,2018-09-11
1681,SM,2018-04-10
1682,SID,2018-09-14
1683,TEVA,2018-05-10
1684,NE,2018-05-07
1685,NE,2018-01-03
1686,CURE,2018-01-09
1687,VMW,2018-01-19
1688,HUBS,2018-06-13
1689,STON,2018-02-02
1690,USM,2018-08-09
1691,RHT,2018-05-04
1692,RHT,2018-04-09
1693,RHT,2018-02-14
1694,MED,2018-03-02
1695,MED,2018-01-09
1696,GPN,2018-01-19
1697,GKOS,2018-08-22
1698,GKOS,2018-05-23
1699,GLOB,2018-05-24
1700,DATA,2018-08-29
1701,LYV,2018-04-16
1702,VNM,2018-05-30
1703,BST,2018-08-24
1704,BST,2018-03-05
1705,EFX,2018-01-02
1706,BPT,2018-09-18
1707,BPT,2018-06-19
1708,XIN,2018-09-06
1709,XIN,2018-07-06
1710,MNK,2018-07-05
1711,PAYC,2018-09-06
1712,PAYC,2018-08-21
1713,PAYC,2018-05-03
1714,PAYC,2018-03-05
1715,TLRA,2018-08-20
1716,GNK,2018-02-14
1717,TWTR,2018-05-07
1718,GUSH,2018-05-14
1719,SFUN,2018-05-03
1720,SFUN,2018-04-26
1721,FDC,2018-06-01
1722,IGV,2018-09-07
1723,EXG,2018-01-05
1724,MGY,2018-03-09
1725,MGY,2018-03-08
1726,MGY,2018-03-07
1727,MGY,2018-03-06
1728,MGY,2018-03-05
1729,MGY,2018-03-02
1730,MGY,2018-03-01
1731,MGY,2018-02-20
1732,MGY,2018-01-29
1733,AYX,2018-02-14
1734,TDF,2018-05-30
1735,BEL,2018-08-14
1736,BEL,2018-02-16
1737,MCHI,2018-05-30
1738,WLL,2018-04-10
1739,BSBR,2017-12-28
1740,AB,2018-07-16
1741,PBR,2018-09-14
1742,WRD,2018-04-11
1743,RST,2018-05-03
1744,TMUS,2018-07-26
1745,TMUS,2018-01-19
1746,IXN,2018-08-22
1747,PYX,2018-08-20
1748,PYX,2018-05-24
1749,GEM,2018-08-17
1750,GEM,2018-05-30
1751,GEM,2018-01-19
1752,S,2018-04-03
1753,FL,2018-09-18
1754,EPI,2018-07-24
1755,FXL,2018-09-07
1756,FXL,2018-08-21
1757,XLK,2018-08-22
1758,XLK,2018-04-09
1759,RL,2018-08-07
1760,RL,2018-01-19
1761,WEX,2018-08-29
1762,TLYS,2018-05-31
1763,DSX,2017-12-29
1764,CLDR,2018-05-03
1765,CLDR,2018-03-05
1766,BHVN,2018-06-28
1767,IGM,2018-08-22
1768,YEXT,2018-08-17
1769,YEXT,2018-04-13
1770,YEXT,2018-02-15
1771,APRN,2018-05-14
1772,GXC,2018-05-07
1773,RESI,2018-08-07
1774,RESI,2018-06-15
1775,RESI,2018-05-01
1776,NIB,2018-03-01
1777,FET,2018-09-07
1778,FET,2018-03-02
1779,XSOE,2018-01-19
1780,SU,2018-08-22
1781,GOF,2018-06-01
1782,GOF,2018-03-05
1783,DVMT,2018-03-02
1784,EGY,2018-09-20
1785,EGY,2018-07-05
1786,EGY,2018-05-16
1787,EGY,2018-04-11
1788,RIG,2018-09-11
1789,ALK,2018-09-14
1790,ALK,2018-08-24
1791,ALK,2018-03-05
1792,EEM,2018-08-17
1793,EEM,2018-01-19
1794,OEC,2018-05-29
1795,OEC,2018-01-03
1796,EWZ,2018-09-14
1797,ABEV,2018-03-05
1798,SEAS,2018-08-29
1799,SEAS,2018-06-15
1800,SEAS,2018-06-01
1801,SCHE,2018-08-17
1802,SCHE,2018-01-19
1803,FDN,2018-08-22
1804,VLRS,2018-04-02
1805,WDAY,2018-08-17
1806,SPEM,2018-08-17
1807,SPEM,2018-01-19
1808,MRO,2018-05-01
1809,CIEN,2018-08-02
1810,CIEN,2018-03-06
1811,IEMG,2018-08-17
1812,IEMG,2018-01-19
1813,AYI,2018-08-17
1814,AYI,2018-05-14
1815,FN,2018-08-02
1816,FN,2018-07-05
1817,FN,2018-05-02
1818,FFTY,2018-08-22
1819,FFTY,2018-03-02
1820,BSX,2018-06-28
1821,BSX,2018-05-03
1822,BSX,2018-01-18
1823,IYW,2018-08-22
1824,DG,2018-08-07
1825,DG,2018-05-14
1826,SB,2018-05-31
1827,TRU,2018-05-03
1828,NGVT,2018-08-17
1829,NGVT,2018-04-13
1830,PES,2018-05-14
1831,PES,2018-05-02
1832,PES,2018-04-12
1833,DLB,2018-04-10
1834,PKI,2018-07-05
1835,PKI,2018-06-01
1836,PKI,2018-01-18
1837,PKI,2018-01-04
1838,UA,2018-08-07
1839,TPR,2018-08-07
1840,FIT,2018-08-16
1841,FIT,2018-06-04
1842,KEP,2018-03-26
1843,ETY,2018-07-13
1844,UNT,2018-05-14
1845,YUMC,2018-08-24
1846,YUMC,2018-01-02
1847,CPE,2018-09-28
1848,VEEV,2018-05-30
1849,ITUB,2018-09-25
1850,HACK,2018-08-21
1851,LFC,2018-05-30
1852,BBD,2018-01-11
1853,RSX,2018-01-03
1854,KEYS,2018-03-02
1855,MTN,2018-06-01
1856,MTN,2018-05-24
1857,MTN,2018-01-09
1858,EW,2018-07-18
1859,EW,2018-06-08
1860,EW,2018-03-07
1861,EW,2018-01-18
1862,FXI,2018-05-30
1863,KSS,2018-07-16
1864,CTL,2018-10-12
1865,CTL,2018-07-05
1866,IT,2018-03-02
1867,IT,2018-01-19
1868,UIS,2018-08-17
1869,PEN,2018-08-29
1870,PEN,2018-05-02
1871,PEN,2018-02-14
1872,IPAY,2018-01-18
1873,CF,2018-08-22
1874,CF,2018-05-10
1875,VWO,2018-08-17
1876,VWO,2018-01-19
1877,HOS,2018-09-20
1878,MTUM,2018-08-22
1879,AAP,2018-08-15
1880,AAP,2018-01-19
1881,NUS,2018-01-19
1882,GLW,2018-07-05
1883,FRC,2018-08-31
1884,AVT,2018-08-14
1885,MCS,2018-08-07
1886,MCS,2018-03-05
1887,CVRR,2018-04-03
1888,EWT,2018-08-17
1889,RYT,2018-08-22
1890,CX,2018-09-11
1891,YELP,2018-03-02
1892,FEM,2018-01-19
1893,ANF,2018-09-19
1894,ANF,2018-08-02
1895,AMC,2018-04-03
1896,UAA,2018-05-24
1897,CARS,2018-09-20
1898,PXH,2018-01-19
1899,TX,2018-08-17
1900,BLK,2018-01-04
1901,RPG,2018-08-17
1902,MBT,2018-02-12
1903,KN,2018-06-06
1904,KN,2018-05-24
1905,KN,2018-02-16
1906,ARKG,2018-08-07
1907,DPZ,2018-09-20
1908,DPZ,2018-06-08
1909,H,2018-02-12
1910,USNA,2018-05-16
1911,PDP,2018-06-01
1912,WPX,2018-09-25
1913,WPX,2018-07-16
1914,WPX,2018-01-19
1915,TMO,2018-06-01
1916,TMO,2018-01-09
1917,MGK,2018-08-22
1918,NOMD,2018-06-14
1919,SSTK,2018-05-30
1920,SSTK,2018-01-17
1921,HQH,2018-08-17
1922,HQH,2018-01-18
1923,CHGG,2018-05-03
1924,CLR,2018-08-20
1925,IHI,2018-01-17
1926,PRLB,2018-08-22
1927,PRLB,2018-05-03
1928,PRLB,2018-03-05
1929,CMP,2018-09-07
1930,CMP,2018-07-17
1931,PER,2018-08-17
1932,PER,2018-08-16
1933,PER,2018-07-27
1934,PER,2018-07-25
1935,PER,2018-07-03
1936,PER,2018-06-29
1937,PER,2018-06-28
1938,PER,2018-06-27
1939,PER,2018-06-26
1940,PER,2018-06-25
1941,PER,2018-05-01
1942,PER,2018-04-18
1943,PER,2018-01-23
1944,PER,2018-01-19
1945,PTY,2018-05-18
1946,PTY,2018-04-03
1947,PTY,2018-01-18
1948,WGO,2018-03-02
1949,ATUS,2018-09-10
1950,IPHI,2018-08-23
1951,ACN,2018-06-01
1952,ACN,2018-01-04
1953,DDM,2018-01-09
1954,CHAU,2018-01-19
1955,CHAU,2017-12-28
1956,CHD,2018-09-04
1957,CHD,2018-07-26
1958,TGT,2018-05-14
1959,SPYG,2018-08-22
1960,EVH,2018-06-05
1961,EVH,2018-04-03
1962,IWF,2018-08-22
1963,ROP,2018-06-01
1964,VUG,2018-08-22
1965,PHK,2018-08-14
1966,FDIS,2018-08-17
1967,FDIS,2018-06-04
1968,TROX,2018-04-10
1969,C,2018-07-20
1970,C,2018-01-19
1971,IVW,2018-08-22
