2018-11-05_code,2018-11-05_days,2018-11-06_code,2018-11-06_days,2018-11-08_code,2018-11-08_days,2018-11-11_code,2018-11-11_days,2018-11-15_code,2018-11-15_days,2018-11-16_code,2018-11-16_days,2018-11-17_code,2018-11-17_days,2018-11-18_code,2018-11-18_days,2018-11-20_code,2018-11-20_days,2018-11-21_code,2018-11-21_days,2018-11-26_code,2018-11-26_days,2018-11-27_code,2018-11-27_days,2018-11-28_code,2018-11-28_days,2018-11-30_code,2018-11-30_days,2018-12-02_code,2018-12-02_days,2018-12-04_code,2018-12-04_days,2018-12-05_code,2018-12-05_days,2018-12-08_code,2018-12-08_days
BKD,1.0,MRTN,2.0,SBGI,2,,,RAD,1.0,PF,0.0,BIL,3.0,IPG,2.0,IPG,3.0,,,,,,,,,HACK,1.0,CVA,1.0,COLL,3.0,COLL,4.0,DEI,4.0
SHO,1.0,OXSQ,2.0,SNMX,0,,,CAL,4.0,WM,2.0,CPT,4.0,BUI,3.0,IRM,4.0,,,,,,,,,HCSG,3.0,DEI,0.0,CORI,3.0,CORI,3.0,DFJ,4.0
CBRE,1.0,UCFC,2.0,CA,0,,,SVU,0.0,KS,0.0,IEI,0.0,EOD,3.0,ITE,1.0,,,,,,,,,ICLR,1.0,DFJ,0.0,CRI,3.0,CRI,4.0,DLTH,3.0
LHO,1.0,OCSL,2.0,LPNT,4,,,PX,0.0,SPG,3.0,BAB,0.0,BAB,0.0,KREF,4.0,,,,,,,,,INSM,1.0,DSW,0.0,CROX,1.0,CROX,2.0,DSM,0.0
MYE,1.0,CBSH,2.0,HCM,3,,,ETP,0.0,KREF,3.0,MUB,0.0,IEF,0.0,MUB,1.0,,,,,,,,,INSW,0.0,DTEA,2.0,CTLT,0.0,CTLT,1.0,DSW,4.0
PEB,1.0,ABCB,2.0,MRCY,1,,,SJM,0.0,BXP,4.0,IEF,0.0,PMM,3.0,O,3.0,,,,,,,,,IPHI,1.0,EIGR,0.0,CVA,2.0,CVA,3.0,ED,0.0
KRE,1.0,UBNK,2.0,FNJN,1,,,PMM,1.0,IRM,3.0,O,2.0,SPAB,0.0,OFG,4.0,,,,,,,,,IRWD,1.0,EOS,0.0,DEI,1.0,DEI,2.0,EIGR,4.0
BXS,1.0,IBTX,2.0,AMBC,4,,,PF,0.0,LXP,4.0,RWR,3.0,ITE,0.0,PMM,4.0,,,,,,,,,JPST,4.0,ESTC,0.0,DFJ,1.0,DFJ,2.0,EIM,3.0
KBWR,1.0,GBNK,2.0,FHB,2,,,AP,4.0,CALX,3.0,FREL,3.0,GTYH,3.0,RAD,4.0,,,,,,,,,KKR,1.0,EXAS,0.0,DLTH,0.0,DLTH,1.0,EOS,4.0
GWB,1.0,ISBC,2.0,MBUU,1,,,WM,0.0,BSCL,0.0,RPT,4.0,IEI,0.0,RWR,4.0,,,,,,,,,KW,1.0,FIVN,0.0,DSW,1.0,DSW,2.0,EQC,2.0
BOH,1.0,WABC,2.0,SIVB,1,,,KS,0.0,DKT,4.0,EQR,2.0,MUB,0.0,SJM,3.0,,,,,,,,,MAR,1.0,FNSR,0.0,DTEA,3.0,DTEA,4.0,ESTC,4.0
CBU,1.0,BOKF,2.0,SSB,3,,,SPG,1.0,GSY,1.0,EHC,4.0,VGSH,0.0,SPAB,1.0,,,,,,,,,MCO,1.0,FPRX,2.0,EIGR,1.0,EIGR,2.0,ETV,3.0
NYCB,1.0,CVBF,2.0,MRTN,4,,,KREF,1.0,BIL,3.0,FRT,3.0,SJM,2.0,SPG,4.0,,,,,,,,,MMS,1.0,FRBK,0.0,EIM,0.0,EIM,1.0,EXAS,4.0
PB,1.0,UCBI,2.0,OXSQ,4,,,BXP,2.0,CPT,4.0,IPG,2.0,ERIE,3.0,TCF,4.0,,,,,,,,,OKTA,1.0,FTA,0.0,EOS,1.0,EOS,2.0,FCE.A,3.0
ARR,1.0,IBOC,2.0,PNFP,1,,,IRM,1.0,IEI,0.0,EXTN,3.0,CHMI,3.0,UBNT,4.0,,,,,,,,,ORBC,1.0,FTCS,0.0,ESTC,1.0,EQC,0.0,FIVN,4.0
FNB,1.0,HOPE,0.0,UCFC,4,,,LXP,2.0,SPTS,0.0,CIM,3.0,BIL,3.0,VGSH,1.0,,,,,,,,,PCTY,1.0,FTEC,0.0,ETV,0.0,ESTC,2.0,FMCI,1.0
MCY,1.0,GBCI,2.0,OCSL,4,,,SPAQ,3.0,IEF,0.0,OFG,3.0,PZG,1.0,WM,3.0,,,,,,,,,PLNT,1.0,GBIL,4.0,EXAS,1.0,ETV,1.0,FNSR,4.0
TCBK,1.0,UBSI,2.0,CBSH,4,,,BXMT,3.0,O,2.0,TCF,3.0,GSY,1.0,XONE,3.0,,,,,,,,,RCKT,0.0,GNMK,2.0,FCE.A,0.0,EXAS,2.0,FOMX,3.0
LFVN,1.0,QABA,2.0,ABCB,4,,,ARES,4.0,USRT,3.0,CHMI,3.0,BFZ,3.0,,,,,,,,,,,RNG,1.0,GPC,0.0,FIVN,1.0,FCE.A,1.0,FRBK,4.0
TRMK,1.0,ONB,2.0,UBNK,4,,,CALX,1.0,RWR,3.0,BZQ,4.0,FTF,3.0,,,,,,,,,,,RNP,1.0,GT,2.0,FNSR,1.0,FIVN,2.0,FTA,4.0
IBTX,1.0,FFIN,2.0,IBTX,4,,,DKT,2.0,FREL,3.0,FAX,1.0,FAX,1.0,,,,,,,,,,,RWGE,2.0,GUT,1.0,FOMX,0.0,FNSR,2.0,FTCS,4.0
UBNK,1.0,HWC,2.0,GBNK,4,,,BIL,1.0,RPT,4.0,SPAB,0.0,UBNT,3.0,,,,,,,,,,,SONC,4.0,HACK,2.0,FPRX,3.0,FOMX,1.0,FTEC,4.0
FFBC,1.0,CATY,2.0,ISBC,4,,,CPT,2.0,EQR,2.0,FTF,3.0,LQDT,4.0,,,,,,,,,,,SYNH,1.0,HAFC,0.0,FRBK,1.0,FPRX,4.0,GLNG,3.0
ABCB,1.0,TRMK,2.0,WABC,4,,,O,0.0,OHI,4.0,,,CALX,3.0,,,,,,,,,,,TCPC,1.0,HBIO,0.0,FTA,1.0,FRBK,2.0,GPC,4.0
CBSH,1.0,FFBC,2.0,BOKF,4,,,USRT,1.0,NYRT,0.0,,,OFG,3.0,,,,,,,,,,,TERP,0.0,HCSG,4.0,FTCS,1.0,FTA,2.0,HAFC,4.0
OCSL,1.0,TCBK,2.0,CVBF,4,,,RWR,1.0,EHC,4.0,,,AIF,3.0,,,,,,,,,,,THRM,1.0,ICLR,2.0,FTEC,1.0,FTCS,2.0,HBIO,4.0
UCFC,1.0,HAFC,1.0,UCBI,4,,,FREL,1.0,FRT,3.0,,,XONE,2.0,,,,,,,,,,,VRNS,1.0,ICVT,0.0,GLNG,0.0,FTEC,2.0,HHC,3.0
OXSQ,1.0,NBTB,2.0,IBOC,4,,,RPT,2.0,IPG,2.0,,,MNK,4.0,,,,,,,,,,,VSM,1.0,INFY,0.0,GNMK,3.0,GLNG,1.0,IAE,3.0
MRTN,1.0,PPBI,2.0,HOPE,2,,,EQR,0.0,HTA,3.0,,,BZQ,4.0,,,,,,,,,,,W,1.0,INSM,2.0,GPC,1.0,GNMK,4.0,ICVT,4.0
AMBC,1.0,HFWA,2.0,GBCI,4,,,OHI,2.0,EXTN,3.0,,,STRA,4.0,,,,,,,,,,,WK,1.0,INSW,1.0,GT,3.0,GPC,2.0,INFY,4.0
LPNT,1.0,MHLD,2.0,UBSI,4,,,NYRT,0.0,CIM,3.0,,,EXTN,3.0,,,,,,,,,,,WTW,1.0,IPHI,2.0,GUT,2.0,GT,4.0,IRM,2.0
CJJD,1.0,VCTR,0.0,QABA,4,,,EHC,2.0,OFG,3.0,,,RNGR,1.0,,,,,,,,,,,ZIOP,1.0,IRWD,2.0,HACK,3.0,GUT,3.0,IYW,4.0
ENTG,1.0,BEDU,4.0,ONB,4,,,BGS,3.0,TCF,3.0,,,,,,,,,,,,,,,,,IYW,0.0,HAFC,1.0,HACK,4.0,IYZ,4.0
CROX,1.0,BMA,4.0,FFIN,4,,,FRT,1.0,CHMI,3.0,,,,,,,,,,,,,,,,,IYZ,0.0,HBIO,1.0,HAFC,2.0,KURA,1.0
NNDM,1.0,BFR,4.0,HWC,4,,,GUT,4.0,BZQ,4.0,,,,,,,,,,,,,,,,,KKR,2.0,HHC,0.0,HBIO,2.0,LIFE,3.0
GBNK,1.0,LCI,2.0,CATY,4,,,IPG,0.0,FAX,1.0,,,,,,,,,,,,,,,,,KW,2.0,IAE,0.0,HHC,1.0,MELI,3.0
ISBC,1.0,FRC,2.0,TRMK,4,,,HTA,1.0,FTF,3.0,,,,,,,,,,,,,,,,,MAR,2.0,ICLR,3.0,IAE,1.0,MHI,3.0
NBTB,1.0,NLSN,0.0,FFBC,4,,,SJIU,4.0,,,,,,,,,,,,,,,,,,,MCO,2.0,ICVT,1.0,ICLR,4.0,MKSI,4.0
BOKF,1.0,UHS,0.0,TCBK,4,,,EXTN,1.0,,,,,,,,,,,,,,,,,,,MKSI,0.0,INFY,1.0,ICVT,2.0,MSFT,4.0
ONB,1.0,SVU,0.0,HAFC,3,,,CIM,1.0,,,,,,,,,,,,,,,,,,,MMS,2.0,INSM,3.0,INFY,2.0,MSI,3.0
WABC,1.0,ETP,0.0,CSBR,1,,,DX,3.0,,,,,,,,,,,,,,,,,,,MSFT,0.0,INSW,2.0,INSM,4.0,MTUM,4.0
FFIN,1.0,TMV,1.0,NBTB,4,,,OFG,1.0,,,,,,,,,,,,,,,,,,,MTUM,0.0,IPHI,3.0,INSW,3.0,MUA,0.0
UBSI,1.0,LH,0.0,PPBI,4,,,TCF,1.0,,,,,,,,,,,,,,,,,,,NCOM,0.0,IRWD,3.0,IPHI,4.0,MUC,0.0
HWC,1.0,SQM,4.0,ANCX,1,,,CHMI,1.0,,,,,,,,,,,,,,,,,,,NIE,0.0,IYW,1.0,IRM,0.0,MUI,1.0
GBCI,1.0,INGR,0.0,HFWA,4,,,BZQ,2.0,,,,,,,,,,,,,,,,,,,NTEC,0.0,IYZ,1.0,IRWD,4.0,NAD,2.0
IBOC,1.0,PF,0.0,MHLD,4,,,FAX,4.0,,,,,,,,,,,,,,,,,,,OKTA,2.0,KKR,3.0,IYW,2.0,NCOM,4.0
UCBI,1.0,DECK,2.0,VCTR,2,,,DHY,3.0,,,,,,,,,,,,,,,,,,,ORBC,2.0,KW,3.0,IYZ,2.0,NEA,2.0
CVBF,1.0,TOWR,2.0,STML,1,,,FTF,1.0,,,,,,,,,,,,,,,,,,,PBI,0.0,LIFE,0.0,KKR,4.0,NIE,4.0
CATY,1.0,SMP,2.0,RUSL,0,,,LTS,4.0,,,,,,,,,,,,,,,,,,,PCAR,0.0,MAR,3.0,KW,4.0,NLSN,3.0
QABA,1.0,TBF,1.0,SQ,1,,,,,,,,,,,,,,,,,,,,,,,PCTY,2.0,MCO,3.0,LIFE,1.0,NQP,2.0
TBRG,2.0,SWN,0.0,HPE,0,,,,,,,,,,,,,,,,,,,,,,,PLNT,2.0,MELI,0.0,MAR,4.0,NSA,1.0
BIL,2.0,BKD,2.0,YPF,0,,,,,,,,,,,,,,,,,,,,,,,PMF,0.0,MHI,0.0,MCO,4.0,NTEC,4.0
JDST,2.0,PHB,0.0,JMEI,0,,,,,,,,,,,,,,,,,,,,,,,PSDO,0.0,MKSI,1.0,MELI,1.0,PBI,4.0
ZUMZ,3.0,SHV,4.0,LCI,4,,,,,,,,,,,,,,,,,,,,,,,QTEC,0.0,MMS,3.0,MHI,1.0,PCAR,4.0
NDAQ,3.0,BIL,3.0,FN,1,,,,,,,,,,,,,,,,,,,,,,,RCKT,1.0,MSFT,1.0,MKSI,2.0,PMF,4.0
CHMI,3.0,MCY,2.0,NGVT,1,,,,,,,,,,,,,,,,,,,,,,,RCS,0.0,MSI,0.0,MMS,4.0,PMX,0.0
ARGO,3.0,JDST,3.0,RSX,0,,,,,,,,,,,,,,,,,,,,,,,RDVY,0.0,MTUM,1.0,MSFT,2.0,PODD,3.0
BMA,3.0,CBRE,2.0,FRC,4,,,,,,,,,,,,,,,,,,,,,,,REGN,0.0,NCOM,1.0,MSI,1.0,PSDO,4.0
BFR,3.0,HCP,0.0,ERUS,0,,,,,,,,,,,,,,,,,,,,,,,RNG,2.0,NIE,1.0,MTUM,2.0,QRTEA,3.0
SQM,3.0,NXE,0.0,KRO,1,,,,,,,,,,,,,,,,,,,,,,,RNP,2.0,NLSN,0.0,NAD,0.0,QTEC,4.0
BEDU,3.0,SHO,2.0,EVTC,0,,,,,,,,,,,,,,,,,,,,,,,ROM,0.0,NTEC,1.0,NCOM,2.0,RCS,4.0
SHV,3.0,LHO,2.0,PDI,1,,,,,,,,,,,,,,,,,,,,,,,RWGE,3.0,OKTA,3.0,NEA,0.0,RDVY,4.0
CHS,4.0,BANC,0.0,NLSN,2,,,,,,,,,,,,,,,,,,,,,,,RYT,0.0,ORBC,3.0,NIE,2.0,REGN,4.0
CAL,4.0,MYE,2.0,UHS,2,,,,,,,,,,,,,,,,,,,,,,,SCHK,0.0,PBI,1.0,NLSN,1.0,REM,3.0
,,PEB,2.0,SVU,0,,,,,,,,,,,,,,,,,,,,,,,SKYY,0.0,PCAR,1.0,NQP,0.0,ROM,4.0
,,DVA,0.0,JE,0,,,,,,,,,,,,,,,,,,,,,,,SPHQ,0.0,PCTY,3.0,NTEC,2.0,RYT,4.0
,,CHMI,4.0,PX,0,,,,,,,,,,,,,,,,,,,,,,,SYNH,2.0,PLNT,3.0,OKTA,4.0,SBI,2.0
,,KRE,2.0,MC,1,,,,,,,,,,,,,,,,,,,,,,,TCBK,0.0,PMF,1.0,ORBC,4.0,SCHK,4.0
,,BXS,2.0,GAB,1,,,,,,,,,,,,,,,,,,,,,,,TCPC,2.0,PMX,0.0,PBI,2.0,SFL,3.0
,,KBWR,2.0,ETP,0,,,,,,,,,,,,,,,,,,,,,,,TDIV,0.0,PODD,0.0,PCAR,2.0,SKYY,4.0
,,GWB,2.0,TMV,3,,,,,,,,,,,,,,,,,,,,,,,TERP,1.0,PSDO,1.0,PCTY,4.0,SPHQ,4.0
,,BOH,2.0,GDOT,1,,,,,,,,,,,,,,,,,,,,,,,THRM,2.0,QRTEA,0.0,PLNT,4.0,TCBK,4.0
,,CBU,2.0,NRG,0,,,,,,,,,,,,,,,,,,,,,,,USMV,0.0,QTEC,1.0,PMF,2.0,TDG,3.0
,,RF,0.0,ETV,1,,,,,,,,,,,,,,,,,,,,,,,VAR,0.0,RCKT,2.0,PMX,1.0,TDIV,4.0
,,NYCB,2.0,LH,2,,,,,,,,,,,,,,,,,,,,,,,VGT,0.0,RCS,1.0,PODD,1.0,TDOC,3.0
,,PB,2.0,INGR,2,,,,,,,,,,,,,,,,,,,,,,,VRNS,2.0,RDVY,1.0,PSDO,2.0,TRVN,1.0
,,ARR,2.0,PF,0,,,,,,,,,,,,,,,,,,,,,,,VSM,2.0,REGN,1.0,QRTEA,1.0,TSRO,2.0
,,FNB,2.0,DS,1,,,,,,,,,,,,,,,,,,,,,,,W,2.0,REM,0.0,QTEC,2.0,UNH,3.0
,,CSU,0.0,DECK,4,,,,,,,,,,,,,,,,,,,,,,,WCN,0.0,RNG,3.0,RCKT,3.0,USMV,4.0
,,SALT,2.0,TOWR,4,,,,,,,,,,,,,,,,,,,,,,,WK,2.0,RNP,3.0,RCS,2.0,VAR,4.0
,,FLCA,0.0,SMP,4,,,,,,,,,,,,,,,,,,,,,,,WTW,2.0,ROM,1.0,RDVY,2.0,VCRA,3.0
