code,name,pe,pb,eps,2014-12-31,2015-12-31,2016-12-31,2017-12-31
COO,库珀医疗,92.268699,3.7902839999999998,2.6668849999999997,0.0,0.0,0.0,0.0
GOOGL,谷歌A,50.630956,5.238882,23.959255,0.1361,0.1359,0.1401,0.083
HRS,哈里斯公司,28.606571000000002,5.739258,5.30088,0.0,0.0,0.0,0.0
ALXN,亚力兄制药,58.188123,3.3304169999999997,2.344121,0.199,0.0174,0.0459,0.0498
UTX,联合技术,23.104609,3.424896,5.657312999999999,0.2025,0.2751,0.1842,0.1559
FB,Facebook,34.168301,7.831009,6.145755,0.0814,0.0834,0.1726,0.2143
CDNS,铿腾电子,59.789595999999996,11.268363,0.763678,0.0,0.0,0.2736,0.0
WAT,沃特世,551.379787,7.260871000000001,0.35549000000000003,0.228,0.2278,0.2268,0.0091
WYND,Wyndham Destinations...,5.820824,7.130886,7.940457,0.4208,0.6422,0.8524,0.9875
MHK,Mohawk Industries Inc,17.044164000000002,2.280981,13.164036999999999,0.1203,0.1264,0.1608,0.1374
CMA,联信银行,19.459329,1.9742240000000002,4.7206150000000004,0.0801,0.0689,0.0612,0.0933
ZION,锡安银行,16.295192999999998,1.477666,3.256175,0.054,0.0412,0.0614,0.0771
DE,迪尔股份有限公司,24.363194,4.298749,5.664282,0.0,0.0,0.0,0.0
IFF,国际香料香精,33.066873,5.742122,3.9008830000000003,0.2725,0.2627,0.2483,0.1753
GOOG,谷歌,50.034944,5.177212,23.959255,0.1361,0.1359,0.1401,0.083
IP,国际纸业,8.234515,3.036099,6.450896,0.1018,0.2346,0.2069,0.3278
VAR,瓦里安医疗系统,76.418126,7.311177000000001,1.518357,0.0,0.0,0.0,0.0
VRSN,威瑞信,31.192140999999996,-14.931928,4.8021709999999995,-0.402,-0.3505,-0.3672,-0.3627
HLT,希尔顿酒店,19.062417,13.980941,4.252871,0.1447,0.2379,0.0622,0.6092
MDLZ,亿滋,19.928531,2.38837,2.14918,0.079,0.2595,0.0662,0.1121
AKAM,阿克迈,67.925196,3.962093,1.157597,0.1134,0.1029,0.098,0.0658
FLIR,菲利尔系统,70.960146,4.092880999999999,0.750844,0.1242,0.1467,0.0995,0.0583
TIF,蒂芙尼,39.842835,5.128575,3.3709949999999997,0.0,0.0,0.0,0.0
NEM,纽曼矿业,422.93995599999994,1.863545,0.087341,0.036,0.0056,-0.1008,-0.0075
GM,通用汽车,0.0,1.644993,-3.6484,0.1115,0.2384,0.2103,-0.1072
FMC,FMC Corp.,12.723596,3.9521949999999997,6.896635000000001,0.2059,0.2615,0.1064,0.1987
TEL,泰科电子,24.711617,3.4105309999999998,3.736704,0.0,0.0,0.0,0.0
CAG,康尼格拉,18.041603,3.757346,2.0014849999999997,0.0,0.0,0.0,0.0
AMZN,亚马逊,225.78828700000003,28.437353,8.166633000000001,-0.0224,0.0445,0.1229,0.1095
TJX,The TJX Companies Inc.,21.855071,11.440964,4.4063,0.0,0.0,0.0,0.0
ADM,阿彻丹尼尔斯米德兰公司,16.383604000000002,1.4245290000000002,2.912668,0.1148,0.103,0.0749,0.0872
KO,可口可乐,134.206493,9.819002000000001,0.337167,0.2331,0.2859,0.2821,0.0676
CF,CF实业,22.47522,2.774474,1.901205,0.3142,0.1673,-0.0243,0.0673
ILMN,Illumina,78.859147,14.929198999999999,3.8738690000000005,0.0,0.0,0.0,0.2284
PKI,珀金,29.983507,3.3065809999999995,2.5470669999999997,0.0,0.0,0.0,0.1171
MA,万事达,50.506821,37.777363,4.085983000000001,0.53,0.6282,0.7141,0.7031
HD,家得宝,26.009985,137.508963,7.7316460000000005,0.0,0.0,0.0,0.0
CBOE,芝加哥期权交易所,22.900343,3.715664,4.5798440000000005,0.76,0.7885,0.5619,0.1285
ISRG,直觉外科公司,76.54692800000001,10.795093,6.8426,0.124,0.1363,0.1274,0.1396
RJF,瑞杰金融,18.611813,2.257243,5.105897,0.0,0.0,0.0,0.0205
TXN,德州仪器,28.447991,10.682501,4.0705860000000005,0.2715,0.3002,0.3433,0.3562
TMO,赛默飞世尔,37.259873999999996,3.250251,5.664002,0.0922,0.0925,0.0939,0.0876
BDX,碧迪医疗,0.0,3.129988,-0.48732299999999995,0.0,0.0,0.0,-0.0064
ALLE,Allegion PLC,27.469022999999996,16.676202,2.915284,9.3514,5.1852,1.9914,0.684
ANSS,安西斯,54.51147099999999,6.304337,3.3137980000000002,0.115,0.1153,0.1205,0.1153
IR,英格索兰,17.684107,3.1829560000000003,5.139643,0.1572,0.1162,0.2222,0.182
AZO,汽车地带,14.046335999999998,-13.589632,49.830788,0.0,0.0,0.0,0.0
PCAR,帕卡,11.857793,2.595687,5.330672,0.2012,0.2311,0.077,0.2081
KMB,金伯利,20.76954,117.328286,5.126257,1.5966,26.65,18.9658,2.6293
GPC,Genuine Parts Co,21.831106,3.9371669999999996,4.3140279999999995,0.2147,0.2235,0.2142,0.1781
ZBH,Zimmer Biomet Holdings Inc,13.615089000000001,1.927269,8.355435,0.1097,0.0148,0.0315,0.1545
BAX,百特国际,48.55867,4.399118,1.539375,0.3062,0.1092,0.5996,0.0787
SIG,西格内特珠宝,0.0,1.832777,-1.7957040000000002,0.0,0.0,0.0,0.0
MCHP,微芯科技,86.676451,6.823086,1.0966069999999999,0.0,0.0,0.0,-0.0788
HOLX,上巨实业医疗,0.0,4.632791,-0.48028000000000004,0.0,0.0,0.0,0.0
ROK,罗克韦尔自动化,52.432635999999995,10.918633,3.228905,0.0,0.0,0.0,-0.1095
RRC,Range Resources,19.077179,0.68002,0.854424,0.1834,-0.2587,-0.0963,0.0577
MSFT,微软,71.024964,10.273158,1.491729,0.0,0.0,0.0,-0.0804
GRMN,佳明,20.524998999999998,3.021302,3.1210720000000003,0.0,0.0,0.1495,0.0
PDCO,帕特森,10.467148,1.4400680000000001,2.173467,0.0,0.0,0.0,0.0
ITW,伊利诺伊机械,27.167907,11.664056,5.270925,0.4317,0.3632,0.4778,0.3676
LKQ,LKQ Corporation,18.896365,2.365744,1.781295,0.1404,0.1358,0.1348,0.126
QCOM,高通,0.0,3.666874,-3.0844709999999997,0.0,0.0,0.0,0.0
BHGE,贝克休斯,0.0,0.9536680000000001,-0.298473,0.0,-0.0017,-0.0046,-0.009
DXC,DXC Technology Company,14.082149,1.821982,6.1453690000000005,0.0,0.0,0.0,0.059
NUE,纽柯钢铁,15.756657,2.290034,4.1011239999999995,0.0965,0.0246,0.109,0.152
CTSH,高知特,33.076747999999995,4.4118379999999995,2.501455,0.1859,0.175,0.1448,0.141
INTU,财捷,47.070039,23.496714,4.5991040000000005,0.0,0.0,0.0,0.0
RHT,红帽,88.138616,18.28063,1.6744080000000001,0.0,0.0,0.0,0.0
DAL,达美航空,10.609653,2.743964,4.820139,0.0748,0.4171,0.3559,0.2572
PYPL,PayPal,55.30743399999999,7.183847999999999,1.601593,0.0508,0.0893,0.0952,0.1122
FAST,美国快克公司,23.608416000000002,7.209153,2.369494,0.258,0.2865,0.2581,0.2761
HBI,哈尼斯品牌服装,111.101037,11.265165,0.19855799999999998,0.0,0.0,0.4404,0.0
CTAS,信达思,28.279184000000004,7.163657000000001,6.869364,0.0,0.0,0.0,0.0
ORCL,甲骨文,52.684201,4.257501,0.9281719999999999,0.0,0.0,0.0,0.0
MSI,摩托罗拉解决方案,0.0,-12.775716000000001,-0.6955359999999999,0.47,-6.3854,-0.5903,0.0874
ATVI,动视暴雪,179.064789,6.27554,0.452071,0.1154,0.1106,0.1059,0.0289
RHI,罗伯特哈夫,27.031452,7.373546000000001,2.50375,0.3122,0.3566,0.3155,0.2633
SWK,美国史丹利公司,20.292445,2.723479,6.687711,0.0,0.0,0.1514,0.0
CMI,康明斯,24.254761,3.0188,5.602199,0.2145,0.1897,0.203,0.1218
EL,雅诗兰黛,45.500563,11.07895,3.125236,0.0,0.0,0.0,0.0272
HSY,好时,19.640518,20.140368,4.763622,0.5572,0.49,0.8696,0.8122
ALL,好事达,10.092783,1.5796379999999999,9.339347,0.1278,0.1084,0.0912,0.1414
V,Visa,35.252657,9.970036,3.9611199999999998,0.0,0.0,0.0,0.0755
JEC,雅各布工程,35.245583,1.5763770000000001,1.872575,0.0,0.0,0.0,0.0
SYY,西思科公司,29.041271000000002,15.74789,2.447207,0.0,0.0,0.0,0.0
HSIC,亨利香恩服务,28.556558000000003,3.963172,2.614811,0.0,0.0,0.1631,0.0
NCLH,挪威邮轮,13.538257999999999,1.895432,3.513746,0.0975,0.1129,0.1395,0.1322
GPN,环汇有限公司,35.934551,4.7617910000000006,3.282078,0.0,0.0,0.1008,0.1246
MKC,味好美,18.732402,5.176129,6.37505,0.0,0.0,0.0,0.0
