,code,name,201712,201709,201706,201703,pb,per,trade,201612
65,SH600535,天士力,8.009927,7.868079,7.51382,7.665238,7.370681,5.33,35.063,44.53
66,SH600547,山东黄金,8.790142,8.733749,8.590366,8.533368,8.35663,3.513,50.623,30.88
67,SH600549,厦门钨业,6.346675,6.317659,6.218122,6.122911,5.999751,3.608,40.056,22.9
68,SH600570,恒生电子,4.974066,4.480801,4.199978,4.005843,3.886273,13.052,85.421,64.92
69,SH600583,海油工程,5.228505,5.193807,5.169812,5.195884,5.237184,1.18,56.091,6.17
70,SH600585,海螺水泥,16.87,15.738802,15.168603,14.883634,14.46,1.9100000000000001,10.776,32.22
71,SH600588,用友网络,3.99,3.498182,3.52,3.780997,3.88,9.451,139.667,37.71
72,SH600606,绿地控股, ,4.785363,4.604476,4.694942,4.460108,1.48,12.0,7.08
73,SH600637,东方明珠, ,10.070898,10.152924,10.174629,10.027036,1.7650000000000001,15.916,17.78
74,SH600649,城投控股,7.540879,7.295636,7.21468,7.166199,6.98,1.03,11.773,7.77
75,SH600660,福耀玻璃,7.574225,7.208865,6.951091,7.471868,7.188667,3.008,18.079,22.78
76,SH600663,陆家嘴,4.259327,4.136314,4.015867,4.182014,4.062555,4.196,19.194,17.87
77,SH600674,川投能源, ,5.012643,4.642847,4.846896,4.663522,1.762,11.054,8.83
78,SH600682,南京新百,7.202659,6.617547,6.37331,6.048629,3.790403,4.62,48.941,33.28
79,SH600685,中船防务,7.367878,7.173594,7.338064,7.334041,7.320662,2.888,342.673,21.28
80,SH600688,上海石化,2.61,2.42648,2.282878,2.472601,2.29,2.223,10.229,5.81
81,SH600690,青岛海尔, ,4.953754,4.812212,4.644952,4.335813,3.379,20.266,16.74
82,SH600703,三安光电, , , , , ,4.927,43.283,22.94
83,SH600704,物产中大,4.179708,3.808723,3.656043,5.793924,5.64817,1.517,13.783,6.34
84,SH600705,中航资本,2.591643,2.600739,2.483869,2.534402,2.477294,1.988,17.226,5.34
