,code,name,201712,201709,201706,201703,pb,per,trade,201612
283,SZ002839,张家港行,4.580085,4.51,4.411643,4.52,4.5,1.76,18.744,8.06
284,SZ002841,视源股份,6.172359,5.888393,5.502777,5.131494,3.429574,13.512,48.488,83.4
285,SZ300003,乐普医疗,3.608821,3.453632,3.27984,3.231704,3.106328,8.909,63.626,32.15
286,SZ300015,爱尔眼科, ,2.217373,2.026392,2.920122,2.752737,18.4,72.857,40.8
287,SZ300017,网宿科技,3.297325,3.203811,3.13,9.385558,9.132364,4.5280000000000005,43.912,14.93
288,SZ300024,机器人,3.801679,3.710941,3.652832,3.593979,3.567672,5.59,76.687,21.25
289,SZ300027,华谊兄弟,3.482133,3.411506,3.405678,3.214293,3.243708,2.59,30.067,9.02
290,SZ300033,同花顺,5.894998,5.434219,5.110393,4.796842,5.493267,8.355,36.481,49.25
291,SZ300059,东方财富,3.138072,3.091937,3.039709,3.635042,3.604237,4.459,96.169,14.31
292,SZ300070,碧水源, ,5.188687,5.12139,5.077041,4.963798,3.319,28.7,17.22
293,SZ300072,三聚环保, ,4.56479,4.128744,5.724994,5.251048,5.805,19.203,26.5
294,SZ300122,智飞生物,1.835957,1.744057,1.673154,1.613484,1.575785,19.771,134.444,36.3
295,SZ300124,汇川技术, ,3.057398,2.85824,2.96355,2.841038,10.414,53.966,31.84
296,SZ300136,信维通信,2.807686,2.613201,2.347665,2.168109,2.001537,12.163,37.606,34.15
297,SZ300144,宋城演艺,5.046336,4.952285,4.68183,4.588509,4.408724,4.017,27.767,20.27
298,SZ300251,光线传媒, ,2.487889,2.432408,2.432232,2.398113,4.651,46.28,11.57
299,SZ300315,掌趣科技, ,3.147758,3.10083,3.092602,3.035848,1.912,33.444,6.02
