,code,name,201712,201709,201706,201703,201612
87,SH600795,国电电力,2.484515,2.524806,2.491332,2.563318,2.511169
88,SH600804,鹏博士, ,4.842465,4.858006,4.619593,4.489839
89,SH600816,安信信托,3.552621,3.36498,3.095371,2.964063,6.621877
90,SH600820,隧道股份,6.060796,5.890831,5.75885,5.773361,5.662828
91,SH600827,百联股份, ,9.413104,9.379452,9.384427,9.295773
92,SH600837,海通证券,10.238093,10.095595,9.778178,9.784348,9.575117
93,SH600871,*ST油服,-0.148672,0.376697,0.446858,0.507396,0.596978
94,SH600886,国投电力,4.50267,4.457894,4.414511,4.362415,4.226395
95,SH600887,伊利股份, ,3.978487,3.743046,4.080349,3.805857
96,SH600893,航发动力,11.463955,11.254228,7.959026,8.213313,8.011357
97,SH600895,张江高科, ,5.413527,5.357911,5.460935,5.328485
98,SH600900,长江电力, ,5.925221,5.489909,5.964011,5.827235
99,SH600909,华安证券,3.386626,3.375023,3.317075,3.31643,3.270653
100,SH600919,江苏银行, ,7.69,7.428522,7.353107,7.16
101,SH600926,杭州银行, ,11.26,10.96,15.18,10.52
102,SH600958,东方证券,7.576223,6.706812,6.575995,6.59228,6.513267
103,SH600959,江苏有线, ,3.416628,3.335399,3.390438,3.337531
104,SH600977,中国电影, ,5.411586,5.328138,5.386352,5.237584
105,SH600999,招商证券,9.587434,9.454695,9.185456,9.147579,8.930091
106,SH601006,大秦铁路, ,6.552233,6.303989,6.259529,6.042177
107,SH601009,南京银行, ,7.79,7.56,10.55,7.3
108,SH601012,隆基股份,6.803471,6.094262,5.586735,5.280281,5.054777
109,SH601018,宁波港,2.76,2.74,2.67,2.68,2.63
110,SH601021,春秋航空, ,10.471501,9.679692,9.526525,9.14773
111,SH601088,中国神华,15.16,14.69,14.08,16.37,15.7
112,SH601099,太平洋,1.720887,1.717594,1.684509,1.721565,1.73366
113,SH601111,中国国航,5.929217,5.894612,5.58464,5.603426,5.263875
114,SH601117,中国化学, , , , , 
115,SH601118,海南橡胶, ,2.047576,2.012271,2.047489,2.043841
116,SH601155,新城控股,9.131595,7.150512,6.775179,6.603289,6.575408
117,SH601163,三角轮胎, ,9.86584,9.743411,9.998555,9.801286
118,SH601166,兴业银行, ,18.41,17.67,17.59,17.02
119,SH601169,北京银行, ,8.35,8.11,8.49,7.79
120,SH601186,中国铁建,10.01593,9.650502,9.345116,9.249313,9.042045
121,SH601198,东兴证券, ,6.886801,6.768607,6.785508,6.642031
122,SH601211,国泰君安,14.13,12.575896,13.42,11.710588,13.11
123,SH601212,白银有色, ,1.44202,1.741829,1.691411,1.772454
124,SH601216,君正集团, ,1.800682,1.736395,1.68404,1.619917
125,SH601225,陕西煤业,4.422437,4.235457,3.946674,3.739969,3.431737
126,SH601228,广州港, ,1.933634,1.896748,1.889168,1.82
127,SH601229,上海银行, ,15.91,15.47,19.96,14.83
128,SH601288,农业银行,4.15,4.08,3.93,3.95,3.81
129,SH601318,中国平安,25.89,24.52,23.29,22.51,20.98
130,SH601328,交通银行,8.23,8.06,7.86,7.93,7.67
131,SH601333,广深铁路,4.049484,4.005888,3.952275,4.00034,3.960458
132,SH601336,新华保险,20.42,20.39,19.78,19.74,18.95
133,SH601375,中原证券,2.59188,2.646367,2.58823,2.714126,2.69695
134,SH601377,兴业证券,4.991865,4.964189,4.785868,4.858067,4.732628
135,SH601390,中国中铁,6.279054,6.059504,5.939934,5.788604,5.620386
136,SH601398,工商银行,5.73,5.62,5.42,5.46,5.29
137,SH601555,东吴证券,6.9401,6.949104,6.778688,6.838881,6.742389
