code,name,pe,pb,eps
HOLX,上巨实业医疗,0.0,4.632791,-0.48028
ROK,罗克韦尔自动化,52.432636,10.918633,3.228905
RRC,Range Resources,19.077179,0.68002,0.854424
MSFT,微软,71.024964,10.273158,1.491729
GRMN,佳明,20.524999,3.021302,3.121072
PDCO,帕特森,10.467148,1.440068,2.173467
ITW,伊利诺伊机械,27.167907,11.664056,5.270925
LKQ,LKQ Corporation,18.896365,2.365744,1.781295
QCOM,高通,0.0,3.666874,-3.084471
BHGE,贝克休斯,0.0,0.953668,-0.298473
DXC,DXC Technology Company,14.082149,1.821982,6.145369
NUE,纽柯钢铁,15.756657,2.290034,4.101124
CTSH,高知特,33.076748,4.411838,2.501455
INTU,财捷,47.070039,23.496714,4.599104
RHT,红帽,88.138616,18.28063,1.674408
DAL,达美航空,10.609653,2.743964,4.820139
PYPL,PayPal,55.307434,7.183848,1.601593
FAST,美国快克公司,23.608416,7.209153,2.369494
HBI,哈尼斯品牌服装,111.101037,11.265165,0.198558
CTAS,信达思,28.279184,7.163657,6.869364
ORCL,甲骨文,52.684201,4.257501,0.928172
MSI,摩托罗拉解决方案,0.0,-12.775716,-0.695536
ATVI,动视暴雪,179.064789,6.27554,0.452071
RHI,罗伯特哈夫,27.031452,7.373546,2.50375
SWK,美国史丹利公司,20.292445,2.723479,6.687711
CMI,康明斯,24.254761,3.0188,5.602199
EL,雅诗兰黛,45.500563,11.07895,3.125236
HSY,好时,19.640518,20.140368,4.763622
ALL,好事达,10.092783,1.579638,9.339347
V,Visa,35.252657,9.970036,3.96112
JEC,雅各布工程,35.245583,1.576377,1.872575
SYY,西思科公司,29.041271,15.74789,2.447207
HSIC,亨利香恩服务,28.556558,3.963172,2.614811
NCLH,挪威邮轮,13.538258,1.895432,3.513746
GPN,环汇有限公司,35.934551,4.761791,3.282078
MKC,味好美,18.732402,5.176129,6.37505
SYF,Synchrony Financial,12.35483,1.725488,2.656451
IDXX,IDEXX实验室,74.028636,-422.733608,3.239152
XLNX,赛灵思,33.246478,7.377404,2.052849
BAC,美国银行,15.590979,1.259696,1.924831
ECL,艺康集团,27.684221,5.455356,5.191405
TPR,Tapestry Inc.,39.860443,4.346616,1.188898
DFS,发现金融,12.214283,2.407089,5.821054
VRTX,福泰制药,206.986465,19.378745,0.882135
TSS,Total System Services,26.384586,6.82076,3.395543
KORS,迈克高仕,17.410088,5.031758,3.886827
DLTR,"Dollar Tree, Inc.",12.272997,2.803578,7.066734
RF,地区金融,15.633059,1.316785,1.128378
CELG,新基公司,23.157283,12.031401,3.707257
PFE,辉瑞,10.323135,3.138924,3.647148
WBA,Walgreens Boots Alliance,15.283616,2.348283,4.294141
D,道明尼资源,15.701235,2.659082,4.48245
WDC,西部数据,110.376881,2.091781,0.715639
NTAP,美国网存,290.6743,10.507356,0.283582
KEY,KeyCorp,16.059048,1.530065,1.24914
BBT,BB&T银行,15.918726,1.52668,3.266593
CSX,CSX运输,10.07002,3.923201,6.399193
PAYX,沛齐,27.091299,12.494512,2.600835
LEG,礼恩派,21.717556,5.000952,2.097842
SNPS,新思科技,143.516887,4.215037,0.641806
GWW,美国固安捷,27.184656,9.648156,11.218093
SBUX,星巴克,16.639302,15.020886,3.08186
KIM,金科,16.189668,1.301044,1.025963
PH,汉尼汾,21.121903,3.595578,7.515895
KHC,卡夫亨氏,6.920048,1.160319,9.111208
LNC,林肯国民,7.103774,0.885636,9.112058
BK,纽约梅隆银行,13.444341,1.430552,4.020279
WU,西联汇款,0.0,-25.010226,-1.063609
MDT,美敦力,38.589905,2.352965,2.287904
TSCO,Tractor Supply Company,23.054904,7.334662,3.423133
