code,name,pe,pb,eps
ALT,"Altimmune, Inc.",0.0,0.65847,-3.670167
NBEV,New Age Beverages Corporation,0.0,4.151528,-0.349023
MTEM,"Molecular Templates, Inc.",0.244884,2.720624,25.522245
TLRY,Tilray Inc.,0.0,565.901673,-0.302787
ASCMA,ASCENT资本集团,0.0,0.0,-8.87
TYME,"Tyme Technologies, Inc.",0.0,12.282331,-0.243678
SAEX,SAExploration Holdings Inc.,0.0,2.612212,-10.017001
PTE,"PolarityTE, Inc.",0.0,4.590699,-5.177525
AWSM,Cool Holdings Inc,0.0,16.832243,-6.86546
MBOT,Microbot Medical Inc,0.0,2.566494,-0.208001
HTHT,华住,46.081787,8.645166,0.674236
NTEC,Intec Pharma Ltd.,0.0,1.961872,-1.527395
TRVG,Trivago,0.0,2.123181,-0.212637
CSBR,"Champions Oncology, Inc.",0.0,259.267274,-0.029149
WINS,稳盛金融,69.935981,4.665557,0.934569
CRNT,Ceragon网络,15.45354,1.788808,0.205131
HYGS,Hydrogenics Corporation,0.0,6.060609,-0.621915
HBP,Huttig Building Products,0.0,2.128139,-0.345024
MSVB,"Mid-Southern Bancorp, Inc.",19.494778,2.070257,0.718141
CDTI,Clean Diesel Technologies,0.0,3.153777,-0.255454
ELOX,"Eloxx Pharmaceuticals, Inc.",0.0,8.604464,-3.713997
DCIX,Diana Containerships Inc,0.398641,0.128097,3.110565
NEPT,Neptune Technologies & Bioressources,58.875001,5.625796,0.08
SURF,Surface Oncology,0.0,2.619684,-4.240351
TOPS,TOP Ships Inc,0.0,0.18597,-12.605077
LINK,"Interlink Electronics, Inc",38.950298,3.205531,0.112451
DRYS,DryShips Inc,0.025741,0.742481,204.731049
GLBS,Globus Maritime Limited,0.0,0.303174,-0.161953
MARPS,海洋石油投资,12.43625,8.732162,0.32
AYTU,"Aytu BioScience, Inc.",0.0,0.402565,-306.125702
INPX,Inpixon,0.006409,2.604699,24.186378
CRON, Cronos Group Inc.,0.0,0.0,0.0
CTXR,"Citius Pharmaceuticals, Inc.",0.0,1.108111,-1.430089
OCC,Optical Cable Corporation,45.285755,1.170308,0.088328
EXFO,EXFO Inc,21.052632,0.470112,0.19
CMSS,CM Seven Star Acquisition Corporation,101.689902,57.910779,0.108172
IPCI,Intellipharmaceutics Internation,0.0,-151.026069,-0.35
FATE,Fate Therapeutics Inc,0.0,13.771764,-1.183321
AVXL,Anavex Life Sciences Corp.,0.0,4.777047,-0.38521
HDSN,哈德森科技,0.0,0.499942,-0.822327
ESES,"Eco-Stim Energy Solutions, Inc.",0.0,0.609079,-0.154187
LIFE,Life Technologies Corporation,0.0,0.541681,-1.500937
NH,Nant Health LLC,0.0,1.255389,-1.005959
INAP,Internap网络服务,0.0,-34.2691,-2.301081
NVCN,Neovasc Inc,0.0,-0.064174,-1.38
IPWR,Ideal Power Inc,0.0,1.12958,-0.547693
CLUB,Town Sports International Holdin,25.110824,-3.354941,0.35642
INFI,Infinity Pharmaceuticals,0.0,2.882711,-0.590142
AVRO,Avrobio Inc.,0.0,7.197321,-13.741637
JASN,Jason Industries Inc.,0.0,-2.548668,-0.185984
HEAR,Parametric Sound Corp.,11.001706,53.225942,1.744275
BIOC,Biocept Inc.,0.0,2.887688,-17.176695
AFMD,Affimed Therapeutics,0.0,5.281781,-0.757523
ZYNE,"Zynerba Pharmaceuticals, Inc.",0.0,3.456273,-3.042383
IMDZ,Immune Design,0.0,1.423603,-1.27663
UMRX,Unum Therapeutics,0.0,4.787329,-2.31731
CNST,Constellation Pharmaceuticals Inc,0.0,-0.956522,-55.271347
ZFGN,Zafgen,0.0,7.902781,-2.085459
KNDI,康迪车业,19.323935,1.043727,0.256159
BLDP,巴拉德动力系统,0.0,6.109689,-0.14
PCRX,Pacira Pharmaceuticals,0.0,7.240011,-0.255555
PETX,Aratana Therapeutics Inc.,0.0,2.977087,-0.900162
INNT,Innovate Biopharmaceuticals Inc.,0.0,50.245297,-0.722302
FOMX,Foamix Pharmaceuticals,0.0,6.87129,-2.08998
XSPA,XpresSpa Group,0.0,0.272203,-1.621634
PGNX,普罗基尼克斯制药,0.0,8.567961,-0.645872
AGMH,安高盟,112.367047,57.505097,0.194897
MTECU,MTech Acquisition Corp.,0.0,0.0,0.0
PXS,Pyxis Tankers Inc,0.0,0.374855,-0.180085
SFET,Safe-T Group Ltd.,0.0,7.491614,-12.6942
PHIIK,PHI Inc,0.0,0.204838,-2.59
AKAO,Achaogen Inc,0.0,3.499134,-3.731329
TOCA,Tocagen Inc,22.324171,5.26819,0.545149
ALNA,Allena Pharmaceuticals Inc.,5.283063,3.416895,2.099161
KNSA,Kiniksa Pharmaceuticals Ltd.,0.0,4.243738,-33.057953
ASYS,Amtech Systems,3.691995,0.783054,1.505961
BVSN,宏道资讯,0.0,1.856362,-1.721166
SBBP,Strongbridge Biopharma plc,0.0,22.398477,-2.138697
CIFS,圣盈信,9.1091,2.972781,1.0495
YGYI,"Youngevity International, Inc.",0.0,5.924908,-0.548478
CLRB,Cellectar Biosciences Inc.,0.0,1.952582,-9.726896
DHXM,DHX Media Ltd.,8.916667,0.103515,0.12
NVCR,NovoCure Limited,0.0,42.91691,-0.650146
NYMX,Nymox Pharmaceutical Corporation,0.0,45.843774,-0.233463
RIOT,"Riot Blockchain, Inc.",0.0,3.448889,-5.201001
YI,111集团,0.0,0.0,0.0
CATB,"Catabasis Pharmaceuticals, Inc.",0.0,1.26254,-1.015729
ACAD,阿卡迪亚,0.0,7.130559,-2.028024
SLS,SELLAS Life Sciences Group Inc.,0.0,-8.749718,-5.243474
DMPI,DelMar Pharmaceuticals,0.0,13.196785,-0.647491
MOXC,魔线,0.0,-7.938842,-0.126877
NCTY,第九城市,0.0,-0.361963,-2.417868
PTSI,P.A.M. Transportation Services,8.865687,2.875506,6.943624
URGN,Urogen Pharma Ltd.,0.0,6.638694,-1.72267
VVUS,VIVUS Inc,0.0,-1.88348,-0.370884
INOD,Innodata Inc,0.0,1.163444,-0.150252
TRCH,Torchlight Energy Resources Inc,0.0,3.300914,-0.029567
NSEC,National Security Group,35.772264,0.804161,0.412722
APTO,Aptose Biosciences Inc,0.0,3.436874,-1.1
APVO,Aptevo Therapeutics Inc.,41.996699,2.059384,0.1212
WB,微博,35.728542,11.78997,2.124632
DRAD,Digirad Corporation,0.0,1.001248,-1.35709
LJPC,La Jolla Pharmaceutical Company,0.0,5.309035,-7.178455
IRIX,艾里德克斯,0.0,3.448156,-1.304904
RDVT,"Red Violet, Inc.",0.0,1.571056,-1.812086
