code,name,pe,pb,eps
NX,Quanex Building Products,22.254335,1.610578,0.873987
BKS,巴诺书店,0.0,0.850983,-1.729762
GOL,勒莫国航,0.0,-0.118561,-1.150642
TAHO,Tahoe Resources Inc,6.761905,0.335747,0.42
TNP,Tsakos Energy Navigation Ltd,0.0,0.2105,-0.566672
BXG,Bluegreen Vacations Corp,10.782637,3.504037,1.808463
CAI,CAI International Inc.,5.744964,0.883592,4.619698
ABM,反导工业公司,25.072525,1.523481,1.346095
TPB,Turning Point Brands Inc.,32.850807,11.809093,1.211538
ARC,美国图文公司,0.0,1.090881,-0.484812
BE,Bloom Energy Corp,0.0,-1.456438,-14.509747
YEXT,Yext Inc.,0.0,35.00975,-0.673809
TKC,土耳其移动通信,9.128715,2.704028,0.473232
DXF,Dunxin Financial Holdings Limited,6.499789,1.624464,0.863105
VLRS,Controladora Vuela Compania de Aviacion SAB de CV,97.873394,1.674968,0.08041
BRS,布里斯托,0.0,0.355278,-4.876581
WFT,Weatherford International Ltd,0.0,-1.687485,-2.726518
AKO.B,Embotelladora Andina,19.438484,0.002499,1.213572
ECT,ECA Marcellus Trust I,7.412081,0.703064,0.263084
SMAR,Smartsheet,0.0,16.681468,-1.781299
GTT,Global Telecom & Technology,0.0,4.601321,-4.913105
ENZ,恩佐生化,0.0,2.66465,-0.094796
SHOP,Shopify Inc,0.0,9.039294,-0.499644
HGI,Guggenheim International Multi-A,0.0,0.0,0.0
PBYI,Puma Biotechnology Inc,0.0,46.961583,-5.595682
RDC,罗文,0.0,0.361019,-0.762703
JMEI,聚美优品,3.586565,0.472655,0.563213
FTK,Flotek工业,0.0,0.659587,-1.497401
MAXR,"MacDonald, Dettwiler and Associates Ltd.",0.0,0.0,0.0
QHC,Quorum Health Corporation,0.0,-6.09682,-6.377797
ZYME,Zymeworks Inc.,0.0,4.358112,-1.4
PBR.A,巴西石油,111.090541,0.095307,0.086416
BBDO,Banco Bradesco SA,9.433325,0.330527,0.650884
GLOG,GasLog,73.612912,1.614616,0.24656
CVNA,Carvana Co.,0.0,32.29244,-4.608148
XRF,信而富,0.0,6.335941,-0.169521
GLDW,SPDR Long Dollar Gold Trust ETF,0.0,0.0,0.0
AZUL,Azul S.A.,9.186678,0.0,1.879896
RUSS,三倍做空俄罗斯ETF,0.0,0.0,0.0
KTP,Structured Products Corp CorTS C,0.0,0.0,0.0
SAFE,Safety Income & Growth Inc.,955.381731,0.844444,0.017773
I,Intelsat S.A. Series A mandatory,0.0,-0.819421,-1.944702
RAD,来德爱,1.098624,0.75102,1.174196
AYI,Acuity Brands Inc,19.529347,3.885439,8.008972
FUN,雪松娱乐,16.838223,-44.721011,3.29726
KAI,凯登纸业,31.032298,3.416724,3.372293
BRZU,Direxion Daily Brazil Bull 3X Shares,0.0,0.0,0.0
PBR,巴西石油公司,23.361421,0.255213,0.472574
DAG,DB Agriculture Double Long ETN,0.0,0.0,0.0
CALX,Calix Networks,0.0,3.10218,-0.883806
USX,Us Xpress Enterprises Inc,17.290498,3.611141,0.91264
SMN,两倍做空基础材料ETF-ProShares,0.0,0.0,0.0
AKO.A,Embotelladora Andina S.A.,15.468191,0.002119,1.292976
LCI,Lannett Co Inc,7.311587,0.366986,0.772746
QTWO,Q2 Holdings Inc,0.0,17.779587,-0.616949
FRAC,Keane Group Inc.,13.628938,2.314509,0.782893
EAT,布林克国际,17.245086,-2.699431,2.754408
LAC,Lithium Americas Corp.,0.0,0.0,0.0
TRTN,Triton International Limited,6.490849,1.378786,5.786608
UBR,ProShares Ultra MSCI Brazil,0.0,0.0,0.0
DRV,三倍做空房地产ETF-Direxion,9.793478,0.0,0.92
MCK,麦克森药物批发,0.0,2.755213,-1.825507
HZO,海上麦斯服务,16.147576,1.512368,1.421266
YANG,三倍做空FTSE中国ETF-Direxion,0.0,0.0,0.0
DCI,唐纳森,49.828512,8.355453,1.115225
ATUS,Altice USA Inc.,6.695668,3.431553,2.683825
DL,正保教育,39.612936,8.184629,0.236034
CLH,Clean Harbors Inc,35.879947,3.479687,2.007528
SSTK,Shutterstock Inc,47.107608,5.199093,1.132938
SQM,智利矿业化工,24.327776,5.49077,1.790957
PANW,Palo Alto Networks,0.0,21.875454,-2.015058
GRAM,Grana y Montero S.A.A.,21.699126,0.891813,0.13042
EROS,Eros International PLC,0.0,0.82986,-0.543098
AMBR,Amber Road,0.0,8.99714,-0.377088
CWH,Camping World Holdings Inc.,30.572792,10.708806,0.671185
HUBS,HubSpot,0.0,25.885992,-1.479164
WGO,Winnebago Industries Inc,12.163487,2.353072,3.103551
OMN,Omnova Solutions Inc,0.0,8.666478,-1.564833
CLF,克里夫天然资源公司,6.938586,-10.408423,1.542101
CBS.A,哥伦比亚广播,15.020242,9.793851,3.757596
IO,离子地球物理,0.0,7.271332,-2.987308
GRUB,GrubHub Inc,97.252772,9.193842,1.45929
TCI,Transcontinental Realty Investor,49.722066,1.484019,0.670125
LBJ,Direxion Daily Latin America Bul,0.0,0.0,0.0
CBS,哥伦比亚广播,14.919113,10.657423,3.757596
HJV,MS Structured Asset Corp SATURNS,0.0,0.0,0.0
GHM,Graham Corp,0.0,2.5829,-0.866828
BCO,布鲁克林公司,0.0,16.462234,-2.307126
DVD,多佛赛车,6.951376,1.200092,0.303537
JCP,彭尼百货,0.0,0.455632,-0.137789
GASX,Direxion Daily Natural Gas Related Bear 3X Shares,0.0,0.0,0.0
PAGS,Pagseguro Digital Ltd.,36.566016,1.459884,0.726631
DRIP,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 3X Shares,0.0,0.0,0.0
