code,open,name,pe,pb,eps
MIXT,14.84,MiX Telematics Limited,24.450594,65.133776,0.6143
MPC,82.2,马拉松石油,10.281735,2.523672,8.14065
WF,44.54,韩国友利金融,6.742371,0.523951,6.671244
FL,47.51,富乐客,18.44462,2.236353,2.619192
DUST,38.84,三倍做空黄金矿业指数ETF-Direxion,0.0,0.0,0.0
CAF,21.47,摩根史坦利中国A股指数基金,0.0,0.0,0.0
VALE,14.65,淡水河谷,17.391671,0.486464,0.852707
SCX,6.2,施泰力,0.0,0.506043,-0.517964
XIN,4.78,鑫苑置业,10.41797,0.461756,0.463622
SQNS,1.44,Sequans Communications,0.0,15.07057,-0.364516
CNYA,26.46,安硕中国A股ETF,0.0,0.0,0.0
REMX,20.41,Market Vectors Rare Earth/Strate,0.0,0.0,0.0
DFEN,60.68,Direxion Daily Aerospace & Defense Bull 3X Shares,0.0,0.0,0.0
HII,251.61,Huntington Ingalls Industries,18.791285,6.508211,13.583957
CWEB,34.0,Direxion Shares ETF Trust,0.0,0.0,0.0
ROYT,2.65,Pacific Coast Oil Trust,13.633304,0.485657,0.194619
ITCB,15.46,Itau Corpbanca,38.601748,0.001615,0.4005
SBS,5.92,Companhia de Saneamento Basico d,6.134581,0.225439,0.979692
ASHR,25.32,德银沪深300指数ETF,0.0,0.0,0.0
LUV,62.69,西南航空,10.492917,3.65524,6.077433
CHIQ,15.78,中国消费者指数ETF-Global X,0.0,0.0,0.0
FCX,14.81,麦克莫兰铜金,7.388892,2.245236,1.986766
KBR,20.71,KBR科技,5.951221,1.854825,3.535409
TNK,1.01,Teekay Tankers,0.0,0.290419,-0.295062
HIVE,4.12,"Aerohive Networks, Inc.",0.0,10.920764,-0.371381
CBD,20.97,Companhia Brasileira de Distribu,21.058622,0.525207,1.008613
YAO,32.6906,中国企业指数ETF-Guggenheim,0.0,0.0,0.0
ICD,4.68,Independence Contract Drilling,0.0,0.781964,-0.504532
BRS,11.9,布里斯托,0.0,0.384058,-4.876581
INSW,19.54,International Seaways Inc,0.0,0.545094,-5.511129
UNT,27.31,Unit Corp,13.392871,1.041133,2.075791
TSU,14.42,堤姆通信服务,16.647118,1.927472,0.882435
M,35.37,梅西百货,6.593143,1.860817,5.439257
DYY,2.99,DB Commodity Double Long ETN,0.0,0.0,0.0
SFUN,2.63,搜房网,0.0,1.757706,-0.079947
TDOC,75.9,Teladoc Inc,0.0,7.64154,-2.12849
ANDV,153.03,Andeavor,10.571542,2.332987,14.706956
AMID,6.0,American Midstream Partners LP,0.0,1.850884,-4.22212
CVI,38.35,CVR能源,9.944776,3.83512,3.921657
