code,open,name,pe,pb,eps
TTAI,26.9,TrimTabs All Cap International Free-Cash-Flow ETF,0.0,0.0,0.0
GAMR,47.52,FactorShares Trust PureFunds Video Game Tech ETF ,0.0,0.0,-0.36
AUMN,0.2455,黄金矿业,0.0,3.371228,-0.051921
BLES,28.8,Inspire Global Hope Large Cap ETF,0.0,0.0,0.0
GSS,0.7599,金星资源,0.0,23.025276,-0.13
ETHO,38.19,Etho Climate Leadership U.S. ETF,0.0,0.0,0.0
BEMO,36.1801,Aptus Behavioral Momentum ETF,0.0,0.0,0.0
ACU,20.61,Acme United Corp,19.475724,1.395522,1.109073
EPM,10.9,Evolution Petroleum,18.320616,4.615888,0.592229
FDRR,32.64,Fidelity Covington Trust Dividend ETF for Rising Rates,0.0,0.0,0.0
GLU,19.7885,Gabelli Global Utility & Income,91.185538,0.964996,0.217336
GTE,3.43,Gran Tierra Energy,1267.631763,1.389903,0.002694
NURE,27.81,NuShares Short-Term REIT ETF,0.0,0.0,0.0
UWN,2.4,Nevada Gold & Casinos Ltd,35.439523,1.18299,0.067721
GSEW,47.023,Goldman Sachs Equal Weight U.S. Large Cap Equity ETF,0.0,0.0,0.0
ERH,12.49,Wells Fargo Advantage Utilitie,17.844769,1.004828,0.699925
IEDI,28.6928,iShares Evolved U.S. Discretionary Spending ETF,0.0,0.0,0.0
COWZ,31.41,Pacer US Cash Cows 100 ETF,0.0,0.0,0.0
IFLY,38.999,FactorShares Trust PureFunds Drone Economy Strategy ETF,0.0,0.0,0.0
USAS,2.17,Americas Silver Corporation,1.093069,1.005413,2.02
SBI,8.36,Western Asset Intermediate Muni,221.341793,0.845469,0.03786
NTIP,2.8,"Network-1 Technologies, Inc.",8.004786,1.110136,0.35104
AUSF,25.37,Global X Funds Global X Adaptive U.S. Factor ETF,0.0,0.0,0.0
FDVV,30.9,Fidelity Covington Trust Core Dividend ETF,0.0,0.0,0.0
FLQL,31.58,Franklin LibertyQ U.S. Equity ETF,0.0,0.0,0.0
DDWM,29.86,WisdomTree Dynamic Currency Hedged International Equity Fund,0.0,0.0,0.0
EVO,12.4618,Eaton Vance Ohio Municipal Incom,0.0,0.853422,-0.110767
ISMD,30.0,Inspire Small/Mid Cap Impact ETF,0.0,0.0,0.0
SOVB,24.7,Cambria ETF Trust,0.0,0.0,0.0
DJD,36.74,Claymore Exchange-Traded Fund Trust,0.0,0.0,0.0
BIBL,28.4752,Inspire 100 ETF,0.0,0.0,0.0
INTT,8.1,inTest Corporation,45.968622,1.916035,0.176751
