code,name,pe,pb,eps
YTRA,"Yatra Online, Inc. ",0.0,0.084051,-0.490234
AMRH,"Ameri Holdings, Inc.",0.0,1.753723,-0.586163
CATS,"Catasys, Inc.",0.0,-33.105171,-0.167198
CPSS,Consumer Portfolio Services,55.006412,0.482883,0.072537
JASN,Jason Industries Inc.,0.0,-2.324257,-0.185984
GNTY,"Guaranty Bancshares, Inc.",22.874375,1.616509,1.415995
OPGN,"OpGen, Inc.",0.0,1.921985,-2.620088
KFFB,肯塔基第一银行,50.275089,0.998972,0.15813
AUTL,Autolus Therapeutics PLC,0.0,7.807292,-1.197214
NLNK,NewLink Genetics Corporation,0.0,0.896507,-1.968893
HCM,和记中国医疗,0.0,17.816334,-0.07
RMBL,Rumbleon Inc.,0.0,21.403275,-1.191915
OCUL,Ocular Therapeutix,0.0,5.899087,-1.739345
ACTG,阿卡西亚,0.0,0.743926,-0.244735
HMNY,Helios and Matheson Analytics,0.0,0.27505,-3967.668457
ALRN,Aileron Therapeutics Inc,0.203986,1.586912,17.35018
CJJD,九洲大药房,0.0,2.367054,-0.641892
AAME,美国大西洋,56.87249,0.592865,0.05231
GOGO,Gogo Inc.,0.0,-1.64206,-1.896424
KOOL,热动力医疗,0.0,0.879042,-2.120923
LGCY,Legacy Reserves石油勘测,0.0,-0.844122,-0.891032
TBIO,Translate Bio Inc.,0.0,-3.773385,-9.783648
WHLM,Wilhelmina International Inc.,45.667352,1.324545,0.147808
CORT,Corcept医疗,11.41674,7.053367,1.296342
CKPT,"Checkpoint Therapeutics, Inc.",0.0,6.004389,-1.102909
ENT,恩特拉能源信托,0.0,-2.814242,-3.009989
ASPU,Aspen Group Inc.,0.0,4.331093,-0.496702
SWIR,Sierra Wireless,41.808511,1.605283,0.47
RNWK,RealNetworks,0.0,1.776894,-0.415676
SBBP,Strongbridge Biopharma plc,0.0,26.35115,-2.138697
KONA,科纳烧烤,0.0,4.222477,-1.881146
GSHD,Goosehead Insurance,0.381796,5.220597,82.688187
PFMT,Performant Financial Corporation,0.0,1.359153,-0.048846
CMRX,Chimerix Inc.,0.0,0.978628,-1.579824
MIK,The Michaels Companies,9.053971,-1.68304,1.84339
GRVY,GRAVITY Co,7.62133,2.513639,2.405092
FNKO,Funko Inc.,0.663481,5.061858,43.482761
RMNI,"Rimini Street, Inc.",0.0,-1.40598,-0.372937
VTSI,"VirTra, Inc.",13.637118,3.565796,0.409698
HTGM,"HTG Molecular Diagnostics, Inc.",0.0,4.856249,-0.823943
NVCR,NovoCure Limited,0.0,38.955349,-0.650146
DBX,Dropbox Inc.,0.0,17.064069,-2.396939
EVER,Everquote Inc.,0.0,-3.832448,-4.939237
ESES,"Eco-Stim Energy Solutions, Inc.",0.0,0.539865,-0.154187
AVDL,Avadel Pharmaceuticals plc,0.0,2.345001,-0.053877
CDLX,Cardlytics Inc.,0.0,12.187674,-3.553409
TAPR,Barclays PLC - Barclays Inverse US Treasury Composite ETN,0.0,0.0,0.0
SFM,Sprouts Farmers Market Inc,20.964855,6.029083,1.360372
HPJ,豪鹏国际,3.630989,0.61621,0.743599
CBMG,Cellular Biomedicine Group Inc.,0.0,5.177212,-1.944346
CWST,Casella Waste Systems,44.184245,-38.952745,0.715866
BASI,Bioanalytical Systems,57.182705,1.968399,0.02868
PRFT,Perficient,40.219731,2.762411,0.737449
ICPT,Intercept Pharmaceuticals,0.0,22.657195,-13.116714
DELT,DELTA 科技控股有限公司,0.0,0.244832,-3.624141
HYRE,Hyrecar Inc.,0.0,3.742678,-1.790842
BHTG,"BioHiTech Global, Inc.",0.0,44.026799,-1.387684
MRTX,Mirati Therapeutics Inc.,0.0,7.171987,-2.764444
RVLT,Revolution Lighting Technologies,0.0,0.915903,-2.5095
PTSI,P.A.M. Transportation Services,8.311222,2.69567,6.943624
TSRO,TESARO Inc,0.0,-91.202512,-9.830021
ULTA,Ulta Salon,27.766435,9.424876,10.293003
DMRC,数字标识,0.0,5.109791,-2.578686
DMPI,DelMar Pharmaceuticals,0.0,9.981459,-0.647491
FTEK,燃料技术,0.0,0.864806,-0.14605
USAT,全美科技,0.0,8.459601,-0.227492
TELL,Tellurian Inc.,0.0,5.64687,-0.432909
RPD,"Rapid7, Inc.",0.0,25.976212,-1.20657
