code,name,pe,pb,eps
KOLD,ProShares UltraShort DJ UBS Natu,0.0,0.0,0.0
KRA,科腾制药,20.727329,2.407826,2.32302
KGC,金罗斯黄金,0.0,0.851184,-0.12
CSLT,"Castlight Health, inc.",0.0,2.116869,-0.419982
OR,Osisko Gold Royalties Ltd,27.199999,0.587329,0.3
DJPY,Citigroup Global Markets Holdings linked to the VelocityShares Daily 4X Long USD,0.0,0.0,0.0
JAX,J亚历山大,21.965082,1.587655,0.555427
AA,美国铝业,57.264208,1.612339,0.758589
ZEN,Zendesk Inc.,0.0,17.471979,-1.196109
TG,特里迪加,30.641917,1.930166,0.703285
PVTL,Pivotal Software,0.0,5.471606,-0.304873
UGL,二倍做多黄金ETF(ProShares),0.0,0.0,0.0
KODK,柯达,3.058946,11.02355,1.013421
DAC,达那俄斯,2.115746,0.300655,0.732602
FSM,Fortuna Silver Mines Inc,18.285043,1.405593,0.2554
UWT,三倍做多原油ETN,0.0,0.0,0.0
LBJ,Direxion Daily Latin America Bul,0.0,0.0,0.0
REN,Resolute Energy Corp,0.0,-8.486081,-1.708612
TUR,土耳其ETF-iShares MSCI,0.0,0.0,0.0
SGDM,Sprott Gold Miners ETF,0.0,0.0,0.0
RNG,Ringcentral Inc.,0.0,25.606472,-0.424362
GG,Goldcorp Inc,55.749999,0.683745,0.2
ARC,美国图文公司,0.0,1.084106,-0.484812
KL,Kirkland Lake Gold Ltd.,0.0,0.0,0.0
GUSH,Direxion Daily S&P Oil &Gas Exp. & Prod. Bull 3X Shares,0.0,0.0,0.0
WDRW,Direxion Daily Regional Banks Bear 3X Shares,0.0,0.0,0.0
PAYC,"Paycom Software, Inc.",97.335747,26.836098,1.550715
BJO,Barclays iPath Bloomberg Coffee Subindex Total Return,0.0,0.0,-2.996428
SCS,Steelcase Inc.,21.649837,2.091276,0.669751
BAK,Braskem S/A ADS,14.530123,4.00244,1.990348
DNR,邓伯瑞资源,10.532262,2.657558,0.49562
HBM,HudBay Minerals Inc,0.0,0.567796,-0.15
NL,NL Industries Inc,10.450293,1.30778,0.784667
AUG,Auryn Resources Inc,0.0,0.0,0.0
FCAU,菲亚特-克莱斯特汽车公司,13.140625,1.089049,1.28
PAC,太平洋航空,22.035868,54.485493,4.49086
AFTY,CSOP FTSE China A50 ETF,0.0,0.0,0.0
PAGS,Pagseguro Digital Ltd.,41.108482,1.896222,0.628824
GDDY,Godaddy Inc.,66.572866,20.725474,1.185468
BJ,BJ's Wholesale Club Holdings Inc.,20.788667,-3.745057,1.396434
TECL,Direxion DailyTechnology Bull 3x,0.0,0.0,0.0
CRM,Salesforce,234.750458,10.230126,0.648774
PQG,PQ Group Holdings Inc.,26.274839,1.470224,0.676693
WPM,Wheaton Precious Metals,37.083248,1.580635,0.4889
TTP,Tortoise Pipeline And Energy Fun,0.0,0.0,0.0
BSTI,百世物流,117.245467,5.130355,0.06738
BOX,Box Inc,0.0,80.207058,-1.116578
SKM,韩国SK电信,5.833977,0.095643,4.454937
TX,特尔尼翁钢铁,5.412607,1.099977,5.442848
DPZ,达美乐比萨,40.889942,-4.244404,7.286633
AVD,美国先锋,26.952172,1.989659,0.779158
