code,name,category,pe,2014-12-31,2015-12-31,2016-12-31,2017-12-31
AAPL,苹果公司,计算机,24.9687884,0.3542,0.4474,0.3562,0.3607
AMZN,亚马逊公司,互联网,372.10000073,-0.0224,0.0445,0.1229,0.1095
GOOGL,谷歌A类股,媒体内容,44.41033255,0.1361,0.1359,0.1401,0.083
GOOG,谷歌,互联网,43.89203722,0.1361,0.1359,0.1401,0.083
MSFT,微软公司,软件,50.7230024,0.2459,0.1523,0.2333,0.2929
BSMX,桑坦德银行墨西,银行,13.27419271,0.1299,0.1277,0.1538,0.1516
HSEA,HSBC Holdings Plc,,376.57143569,0.0735,0.0764,0.0189,0.06
FB,Facebook,媒体内容,50.93982759,0.0814,0.0834,0.1726,0.2143
BRK.A,伯克希尔-哈撒韦,保险,25.96444875,0.083,0.0944,0.0856,0.1289
BRK.B,伯克希尔-哈撒韦B,保险,0.01706471,0.083,0.0944,0.0856,0.1289
BABA,阿里巴巴,,83.33640091,0.575,0.1545,0.2857,0.1284
JPM,摩根大通公司,,18.91599277,0.0938,0.0987,0.0973,0.0956
DEO,帝亚吉欧公司,饮料,31.75000249,0.2874,0.2665,0.232,0.2305
JNJ,强生公司,制药,22.25126488,0.234,0.0,0.2166,0.2349
FMX,Fomento Economico Mexicano SAB de CV,饮料,31.04126851,0.0983,0.0962,0.095,0.1104
XOM,埃克森美孚公司,,42.65957295,0.1857,0.0936,0.0482,0.102
BAC,美国银行公司,银行,21.00666682,0.0227,0.0621,0.067,0.0682
V,维萨卡公司,,54.19380289,0.1984,0.2121,0.182,0.2045
WFC,富国银行,银行,14.74436133,0.1274,0.12,0.11,0.1079
RDS.A,荷兰皇家壳牌石油公司,,16.41584166,0.0852,0.0134,0.0253,0.0679
RDS.B,荷兰皇家壳牌石油公司,,,0.0852,0.0134,0.0253,0.0679
HDB,HDFC银行,银行,253.63414334,0.1978,0.169,0.1721,0.1657
WMT,沃尔玛公司,零售,20.45662012,0.2016,0.199,0.1804,0.1775
ENIC,Enel Chile SA,,8.74999965,0.0647,0.1084,0.1632,0.0
UNH,美国联合健康集团,卫生保健设施,35.47862086,0.166,0.1655,0.176,0.208
PFE,辉瑞制药公司,制药,34.6495747,0.128,0.1075,0.1211,0.298
CVX,雪佛龙公司,油气,-459.44443749,0.1236,0.0306,-0.0029,0.0621
FIYY,Barclays ETN+FI Enhanced Global High Yield ETN,,,0.0129,0.0138,0.0469,-0.0197
BBL,必和必拓公司,,47.76343852,0.1783,0.0408,-0.1033,0.0992
FFEU,Barclays ETN+FI Enhanced Europe 50 ETN,,,0.0129,0.0138,0.0469,-0.0197
