code,exp2015,exp2016,exp2017,exp2018,income2015,income2016,income2017,income2018,net2015,net2016,net2017,net2018,sale2015,sale2016,sale2017,sale2018
ACLS,819.90万_--,863.60万_5.33%,989.50万_14.58%,1223.30万_23.63%,7328.30万_--,6752.10万_-7.86%,8689.30万_28.69%,1.22亿_40.40%,819.90万_--,863.60万_5.33%,989.50万_14.58%,1223.30万_23.63%,1172.90万_--,1200.20万_2.33%,1410.60万_17.53%,1642.10万_16.41%
ACM,0_0,--_--,--_--,--_--,0_0,42.98亿_--,43.58亿_1.40%,49.11亿_12.69%,0_0,--_--,--_--,--_--,0_0,2863.90万_--,3263.90万_13.97%,3467.00万_6.22%
ACN,0_0,--_--,--_--,--_--,0_0,84.66亿_--,90.06亿_6.38%,98.84亿_9.75%,0_0,--_--,--_--,--_--,0_0,13.41亿_--,13.98亿_4.25%,15.66亿_12.02%
ACOR,0_0,4457.00万_--,4649.30万_4.31%,3056.00万_-34.27%,0_0,1.16亿_--,1.19亿_2.59%,1.06亿_-10.92%,0_0,4457.00万_--,4649.30万_4.31%,3056.00万_-34.27%,0_0,5898.00万_--,5202.40万_-11.79%,4760.10万_-8.50%
ACP,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ACRE,0_0,0_0,--_--,--_--,0_0,0_0,--_--,--_--,0_0,0_0,--_--,--_--,0_0,0_0,159.00万_--,169.80万_6.79%
ACRS,173.70万_--,953.50万_448.93%,777.20万_-18.49%,1360.60万_75.06%,--_--,--_--,--_--,111.80万_--,173.70万_--,953.50万_448.93%,777.20万_-18.49%,1360.60万_75.06%,89.20万_--,360.40万_304.04%,515.80万_43.12%,1749.30万_239.14%
ACRX,630.60万_--,417.10万_-33.86%,691.90万_65.88%,351.30万_-49.23%,18.10万_--,302.50万_1571.27%,310.90万_2.78%,34.30万_-88.97%,630.60万_--,417.10万_-33.86%,691.90万_65.88%,351.30万_-49.23%,452.10万_--,377.70万_-16.46%,413.80万_9.56%,398.50万_-3.70%
ACST,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ACTG,99.70万_--,52.20万_-47.64%,--_--,--_--,3421.00万_--,2472.10万_-27.74%,885.40万_-64.18%,6209.30万_601.30%,99.70万_--,52.20万_-47.64%,--_--,--_--,2361.30万_--,1875.40万_-20.58%,1243.10万_-33.72%,870.90万_-29.94%
