code,exp2015,exp2016,exp2017,exp2018,income2015,income2016,income2017,income2018,net2015,net2016,net2017,net2018,sale2015,sale2016,sale2017,sale2018
AHT,0_0,0_0,--_--,--_--,0_0,0_0,--_--,--_--,0_0,0_0,--_--,--_--,0_0,0_0,517.00万_--,212.90万_-58.82%
AI,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AIF,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AIG,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AIMC,0_0,456.40万_--,622.30万_36.35%,647.30万_4.02%,0_0,1.80亿_--,2.15亿_19.44%,2.40亿_11.63%,0_0,456.40万_--,622.30万_36.35%,647.30万_4.02%,0_0,3353.60万_--,4038.40万_20.42%,4713.00万_16.70%
AIMT,206.90万_--,997.60万_382.17%,1741.70万_74.59%,3344.60万_92.03%,--_--,--_--,--_--,--_--,206.90万_--,997.60万_382.17%,1741.70万_74.59%,3344.60万_92.03%,137.20万_--,572.30万_317.13%,892.40万_55.93%,1667.30万_86.83%
AIN,1230.10万_--,1013.20万_-17.63%,1026.20万_1.28%,1031.70万_0.54%,1.81亿_--,1.72亿_-4.97%,1.99亿_15.70%,2.30亿_15.58%,1230.10万_--,1013.20万_-17.63%,1026.20万_1.28%,1031.70万_0.54%,3523.30万_--,3942.10万_11.89%,4040.70万_2.50%,4193.00万_3.77%
AINV,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AIR,0_0,0_0,--_--,--_--,0_0,0_0,4.05亿_--,3.98亿_-1.73%,0_0,0_0,--_--,--_--,0_0,0_0,4480.00万_--,4450.00万_-0.67%
AIT,0_0,--_--,--_--,--_--,0_0,6.42亿_--,6.25亿_-2.65%,6.81亿_8.96%,0_0,--_--,--_--,--_--,0_0,1.40亿_--,1.35亿_-3.57%,1.41亿_4.44%
AIV,--_--,--_--,--_--,--_--,--_--,--_--,--_--,--_--,--_--,--_--,--_--,--_--,1065.20万_--,1193.50万_12.04%,1096.20万_-8.15%,1135.50万_3.59%
AIZ,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AJG,--_--,--_--,--_--,--_--,12.32亿_--,13.00亿_5.52%,16.47亿_26.69%,18.38亿_11.60%,--_--,--_--,--_--,--_--,7620.00万_--,8400.00万_10.24%,9380.00万_11.67%,9880.00万_5.33%
AJRD,0_0,--_--,--_--,--_--,0_0,3.57亿_--,4.05亿_13.45%,4.92亿_21.48%,0_0,--_--,--_--,--_--,0_0,2670.00万_--,2980.00万_11.61%,2440.00万_-18.12%
AKAM,0_0,0_0,5216.20万_--,6506.50万_24.74%,0_0,0_0,6.00亿_--,6.69亿_11.50%,0_0,0_0,5216.20万_--,6506.50万_24.74%,0_0,0_0,2.37亿_--,2.85亿_20.25%
AKAO,787.90万_--,1389.30万_76.33%,1859.70万_33.86%,3091.10万_66.21%,488.00万_--,584.90万_19.86%,746.30万_27.59%,214.30万_-71.29%,787.90万_--,1389.30万_76.33%,1859.70万_33.86%,3091.10万_66.21%,323.10万_--,377.70万_16.90%,675.10万_78.74%,1506.90万_123.21%
AKBA,666.40万_--,2023.50万_203.65%,6004.90万_196.76%,6140.40万_2.26%,--_--,--_--,2086.50万_--,4593.00万_120.13%,666.40万_--,2023.50万_203.65%,6004.90万_196.76%,6140.40万_2.26%,423.20万_--,581.10万_37.31%,578.80万_-0.40%,902.40万_55.91%
AKCA,0_0,1179.60万_--,6479.40万_449.29%,2797.00万_-56.83%,0_0,--_--,609.40万_--,1710.80万_180.74%,0_0,1179.60万_--,6479.40万_449.29%,2797.00万_-56.83%,0_0,425.30万_--,467.60万_9.95%,1946.50万_316.27%
AKER,0_0,36.33万_--,34.84万_-4.10%,44.00万_26.29%,0_0,73.80万_--,66.72万_-9.59%,30.25万_-54.66%,0_0,36.33万_--,34.84万_-4.10%,44.00万_26.29%,0_0,169.17万_--,142.22万_-15.93%,145.85万_2.55%
AKG,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AKR,0_0,0_0,--_--,44.00万_--,0_0,0_0,--_--,30.25万_--,0_0,0_0,--_--,44.00万_--,0_0,0_0,846.90万_--,145.85万_-82.78%
AKRX,927.60万_--,947.90万_2.19%,1129.10万_19.12%,3096.70万_174.26%,2.27亿_--,2.68亿_18.06%,2.53亿_-5.60%,1.84亿_-27.27%,927.60万_--,947.90万_2.19%,1129.10万_19.12%,3096.70万_174.26%,4636.30万_--,6560.40万_41.50%,4758.30万_-27.47%,6298.30万_32.36%
