code,exp2015,exp2016,exp2017,exp2018,income2015,income2016,income2017,income2018,net2015,net2016,net2017,net2018,sale2015,sale2016,sale2017,sale2018
A,8200.00万_--,8400.00万_2.44%,8900.00万_5.95%,1.04亿_16.85%,8.00亿_--,18.22亿_127.75%,11.89亿_-34.74%,12.94亿_8.83%,8200.00万_--,8400.00万_2.44%,8900.00万_5.95%,1.04亿_16.85%,2.97亿_--,3.21亿_8.08%,3.25亿_1.25%,3.56亿_9.54%
AA,0_0,700.00万_--,900.00万_28.57%,700.00万_-22.22%,0_0,25.37亿_--,31.74亿_25.11%,33.44亿_5.36%,0_0,700.00万_--,900.00万_28.57%,700.00万_-22.22%,0_0,9200.00万_--,2.56亿_178.26%,2.33亿_-8.98%
AABA,2.72亿_-10.53%,2.54亿_-6.62%,0_0,0_0,12.73亿_1.60%,14.69亿_15.40%,0_0,0_0,2.72亿_-10.53%,2.54亿_-6.62%,0_0,0_0,4.58亿_-2.35%,3.79亿_-17.25%,0_0,0_0
AAC,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,0_0,5828.20万_56.82%,7235.20万_24.14%,8613.60万_19.05%,0_0,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,0_0,3771.60万_80.66%,4603.10万_22.05%,4636.00万_0.71%,0_0
AAL,0.00元_--,--_--,0.00元_--,0.00元_NaN%,84.96亿_--,85.41亿_0.53%,125.42亿_46.84%,130.79亿_4.28%,0.00元_--,--_--,0.00元_--,0.00元_NaN%,30.77亿_--,35.27亿_14.62%,38.56亿_9.33%,38.52亿_-0.10%
AAN,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,8.85亿_--,9.93亿_12.20%,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,4.15亿_--,5.29亿_27.47%
AAOI,596.00万_--,720.80万_20.94%,1067.00万_48.03%,1134.20万_6.30%,5295.20万_--,8490.00万_60.33%,7985.50万_-5.94%,5801.80万_-27.35%,596.00万_--,720.80万_20.94%,1067.00万_48.03%,1134.20万_6.30%,690.40万_--,918.60万_33.05%,1116.40万_21.53%,1147.20万_2.76%
AAON,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,1.04亿_--,1.12亿_7.69%,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,1371.40万_--,1126.00万_-17.89%
AAP,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,20.34亿_--,20.83亿_2.41%,20.37亿_-2.21%,21.05亿_3.34%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,8.08亿_--,8.01亿_-0.87%,7.86亿_-1.87%,8.44亿_7.38%
AAPL,0_0,25.70亿_--,29.97亿_16.61%,37.50亿_25.13%,0_0,468.52亿_--,525.79亿_12.22%,629.00亿_19.63%,0_0,25.70亿_--,29.97亿_16.61%,37.50亿_25.13%,0_0,34.82亿_--,38.14亿_9.53%,42.16亿_10.54%
AAT,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,621.10万_--,664.50万_6.99%
AAU,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,52.62万_--,59.69万_13.44%,0_0
AAWW,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,4.72亿_--,5.30亿_12.29%,6.28亿_18.49%,7.65亿_21.82%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,1.21亿_--,1.42亿_17.36%,1.72亿_21.13%,2.05亿_19.19%
AAXJ,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AAXN,662.20万_62.90%,961.40万_45.18%,1575.50万_63.88%,2125.40万_34.90%,5604.10万_19.70%,8207.70万_46.46%,9465.10万_15.32%,1.15亿_21.50%,662.20万_62.90%,961.40万_45.18%,1575.50万_63.88%,2125.40万_34.90%,2185.60万_51.53%,3074.30万_40.66%,3961.30万_28.85%,4209.90万_6.28%
AB,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ABB,4.08亿_--,3.49亿_-14.46%,3.98亿_14.04%,0_0,92.42亿_--,89.93亿_-2.69%,92.80亿_3.19%,0_0,4.08亿_--,3.49亿_-14.46%,3.98亿_14.04%,0_0,15.80亿_--,13.94亿_-11.77%,15.33亿_9.97%,0_0
ABBV,12.25亿_--,14.09亿_15.02%,17.20亿_22.07%,67.95亿_295.06%,64.00亿_--,67.96亿_6.19%,77.39亿_13.88%,83.05亿_7.31%,12.25亿_--,14.09亿_15.02%,17.20亿_22.07%,67.95亿_295.06%,17.37亿_--,16.79亿_-3.34%,19.56亿_16.50%,19.29亿_-1.38%
ABC,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,354.70亿_--,375.61亿_5.90%,391.20亿_4.15%,432.97亿_10.68%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,6.21亿_--,6.25亿_0.64%,9.58亿_53.28%,11.23亿_17.22%
ABCB,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ABDC,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ABEO,207.10万_5817.14%,303.70万_46.64%,570.60万_87.88%,0_0,21.50万_-8.12%,25.60万_19.07%,21.50万_-16.02%,0_0,207.10万_5817.14%,303.70万_46.64%,570.60万_87.88%,0_0,439.70万_560.21%,305.10万_-30.61%,325.90万_6.82%,0_0
ABEV,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ABG,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,16.41亿_--,16.66亿_1.52%,16.71亿_0.30%,17.84亿_6.76%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,1.91亿_--,1.91亿_0.00%,1.89亿_-1.05%,2.01亿_6.35%
ABIL,0.00元_NaN%,0_0,0_0,0_0,5215.10万_143.20%,0_0,0_0,0_0,0.00元_NaN%,0_0,0_0,0_0,421.60万_32.73%,0_0,0_0,0_0
ABM,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,12.77亿_--,13.22亿_3.52%,14.98亿_13.31%,16.49亿_10.08%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,1.19亿_--,1.06亿_-10.92%,1.52亿_43.40%,1.28亿_-15.79%
ABMD,985.30万_--,1422.50万_44.37%,1632.50万_14.76%,2127.00万_30.29%,6755.70万_--,9395.70万_39.08%,1.25亿_33.04%,1.74亿_39.20%,985.30万_--,1422.50万_44.37%,1632.50万_14.76%,2127.00万_30.29%,3453.50万_--,4525.60万_31.04%,6010.00万_32.80%,7550.10万_25.63%
ABR,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,844.96万_--,-1554.73万_-284.00%,-5925.9万_-281.15%,-7479.3万_-26.21%
ABT,0_0,3.68亿_--,6.19亿_68.21%,5.62亿_-9.21%,0_0,53.33亿_--,75.89亿_42.30%,77.65亿_2.32%,0_0,3.68亿_--,6.19亿_68.21%,5.62亿_-9.21%,0_0,17.94亿_--,30.37亿_69.29%,28.47亿_-6.26%
ABTX,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ABUS,1490.40万_--,1715.60万_15.11%,1782.20万_3.88%,1106.30万_-37.93%,1108.90万_--,-19.5万_-101.76%,253.40万_1399.49%,167.80万_-33.78%,1490.40万_--,1715.60万_15.11%,1782.20万_3.88%,1106.30万_-37.93%,852.30万_--,506.50万_-40.57%,416.30万_-17.81%,643.10万_54.48%
ACA,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,3.48亿_--,3.74亿_7.47%,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,4240.00万_--,3680.00万_-13.21%
ACAD,2046.60万_--,3154.90万_54.15%,4716.20万_49.49%,5413.60万_14.79%,1.70万_--,1196.20万_70264.71%,4356.20万_264.17%,5957.10万_36.75%,2046.60万_--,3154.90万_54.15%,4716.20万_49.49%,5413.60万_14.79%,2261.60万_--,5766.30万_154.97%,6668.90万_15.65%,7427.10万_11.37%
ACB,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ACBI,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ACC,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,618.60万_--,748.20万_20.95%
ACCO,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,4.12亿_--,4.38亿_6.31%,5.67亿_29.45%,5.29亿_-6.70%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,8100.00万_--,1.01亿_24.69%,1.17亿_15.84%,1.07亿_-8.55%
ACET,0_0,165.70万_--,290.00万_75.02%,172.50万_-40.52%,0_0,1.35亿_--,1.95亿_44.44%,1.69亿_-13.33%,0_0,165.70万_--,290.00万_75.02%,172.50万_-40.52%,0_0,2044.30万_--,2672.60万_30.73%,3513.50万_31.46%
ACGL,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ACHC,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,4.95亿_--,7.03亿_42.02%,7.25亿_3.13%,7.44亿_2.62%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,2.85亿_--,4.18亿_46.67%,4.28亿_2.39%,4.53亿_5.84%
ACHN,964.10万_--,1271.00万_31.83%,1423.90万_12.03%,1083.90万_-23.88%,3159.10万_--,1500.00万_-52.52%,0.00元_-100.00%,0.00元_NaN%,964.10万_--,1271.00万_31.83%,1423.90万_12.03%,1083.90万_-23.88%,545.00万_--,757.90万_39.06%,1011.60万_33.47%,733.60万_-27.48%
ACHV,-1841.3万_-286.90%,8.00万_100.43%,215.30万_2591.25%,208.10万_-3.34%,-1213.6万_-314.68%,0.00元_100.00%,0.00元_NaN%,0.00元_NaN%,-1841.3万_-286.90%,8.00万_100.43%,215.30万_2591.25%,208.10万_-3.34%,-777.4万_-384.45%,52.90万_106.80%,162.90万_207.94%,162.80万_-0.06%
ACIA,1231.80万_--,1952.80万_58.53%,2443.00万_25.10%,2892.50万_18.40%,6854.70万_--,1.42亿_107.16%,8660.30万_-39.01%,1.07亿_23.55%,1231.80万_--,1952.80万_58.53%,2443.00万_25.10%,2892.50万_18.40%,506.40万_--,743.20万_46.76%,1064.30万_43.21%,1245.80万_17.05%
ACIM,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ACIU,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ACIW,3328.50万_--,3766.50万_13.16%,3073.20万_-18.41%,3296.90万_7.28%,3.09亿_--,3.43亿_11.00%,3.26亿_-4.96%,3.20亿_-1.84%,3328.50万_--,3766.50万_13.16%,3073.20万_-18.41%,3296.90万_7.28%,8428.40万_--,7389.30万_-12.33%,7163.30万_-3.06%,6628.60万_-7.46%
ACLS,790.70万_--,879.50万_11.23%,1091.70万_24.13%,1424.50万_30.48%,7045.80万_--,6935.80万_-1.56%,1.16亿_67.25%,1.06亿_-8.62%,790.70万_--,879.50万_11.23%,1091.70万_24.13%,1424.50万_30.48%,1166.00万_--,1228.70万_5.38%,1503.90万_22.40%,1780.00万_18.36%
ACM,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,47.24亿_--,43.23亿_-8.49%,48.56亿_12.33%,53.06亿_9.27%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,2542.20万_--,2813.10万_10.66%,3688.20万_31.11%,3574.10万_-3.09%
ACN,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,83.65亿_--,89.66亿_7.18%,96.41亿_7.53%,106.42亿_10.38%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,14.11亿_--,14.60亿_3.47%,21.00亿_43.84%,17.70亿_-15.71%
ACOR,4398.80万_--,5379.70万_22.30%,3514.20万_-34.68%,2705.80万_-23.00%,1.31亿_--,1.41亿_7.63%,1.88亿_33.33%,6915.20万_-63.22%,4398.80万_--,5379.70万_22.30%,3514.20万_-34.68%,2705.80万_-23.00%,5298.50万_--,5904.90万_11.44%,3951.90万_-33.07%,3681.90万_-6.83%
ACP,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ACRE,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,183.80万_--,183.80万_0.00%
ACRS,240.20万_16.94%,694.30万_189.05%,1318.90万_89.96%,0_0,0.00元_--,0.00元_NaN%,99.90万_INF%,0_0,240.20万_16.94%,694.30万_189.05%,1318.90万_89.96%,0_0,240.00万_337.96%,468.40万_95.17%,1249.80万_166.82%,0_0
ACRX,347.90万_--,633.40万_82.06%,367.60万_-41.96%,270.40万_-26.44%,173.00万_--,643.50万_271.97%,74.00万_-88.50%,61.30万_-17.16%,347.90万_--,633.40万_82.06%,367.60万_-41.96%,270.40万_-26.44%,401.70万_--,407.80万_1.52%,390.90万_-4.14%,764.80万_95.65%
ACST,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ACTG,86.00万_--,55.70万_-35.23%,-99.4万_-278.46%,-57.7万_41.95%,3749.70万_--,2196.90万_-41.41%,345.80万_-84.26%,4920.30万_1322.87%,86.00万_--,55.70万_-35.23%,-99.4万_-278.46%,-57.7万_41.95%,2168.50万_--,1527.80万_-29.55%,629.70万_-58.78%,1384.40万_119.85%
ACV,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
