code,name,pe,pb,eps,net2018-06,net_radio2018-06,count,month_rs,price,volume_end,volume_start,year,year_rs
NVFY,Nova Lifestyle Inc,6.905715,0.704101,0.26717,1363300,1.4455,57,0.790097293,2.484282456,6031777.793,1798794.143,4,0.472335259
LNG,Cheniere Energy Inc,86.898492,-15.888044,0.749265,150000000,6.1429,252,0.786611572,22.03083294,51566613.79,6280344.048,21,0.545696343
TZOO,Travelzoo Inc,50.818412,9.12033,0.253845,477000,-0.3057,194,0.779772044,19.97579948,4495029.979,8110008.247,16,0.583365927
HEAR,Parametric Sound Corp.,15.249889,73.778533,1.744275,6301000,1.8924,54,0.776816888,10.70464444,11160183.41,781566.1481,4,0.458947381
OBCI,Ocean Bio-Chem,14.610003,1.570675,0.301848,1121400,0.1773,252,0.77538151,1.981328175,460240.6984,526844.9762,21,0.5245203
DQ,大全新能源,3.898128,0.87302,9.404514,13601000,0.1094,96,0.773796436,27.08278125,3610996.854,1282570.833,8,0.533856554
ACOR,阿索尔达生物制药公司,0,2.262122,-3.453738,46197000,6.6365,152,0.769769085,25.41282895,11853283.43,12878902.63,12,0.498505994
EVK,华瑞服装,4.120943,0.517825,0.837187,2719000,0.045,123,0.761542086,2.972893496,209221.9355,171137.7049,10,0.525500688
STAA,STAAR Surgical Company,536.167384,38.540239,0.083556,1830000,2.8847,252,0.758660176,8.56015873,3217621.563,2626153.968,21,0.548896897
GRVY,GRAVITY Co,8.523581,2.811217,4.810185,6600000000,0.8628,164,0.756027132,11.9469939,743127.8659,280621.4634,13,0.57345369
GTE,Gran Tierra Energy,1221.232357,1.339028,0.002694,20300000,3.9822,148,0.755445118,4.296824324,26494745.3,18348440.54,12,0.489825066
IIIN,Insteel工业,24.867938,3.310149,1.608899,12868000,0.8733,200,0.746612805,14.974775,1870361.97,3557682,16,0.548261543
MOSY,正一科技,0,0.871202,-0.111572,315000,1.0789,208,0.74612129,49.25702692,2920436.846,431805.6731,17,0.545023456
CTIB,CTI工业,0,1.277622,-0.380274,205700,1.3466,251,0.745913439,4.154904781,142051.2698,768866.392,20,0.525716031
ISRL,Isramco,0,-43.472961,-8.231749,4383000,0.0308,252,0.744089734,52.57603254,19605.02381,91280.31746,21,0.515921431
EVC,超视野传播,2.891227,1.466448,1.9196,4840000,0.3848,218,0.737468965,6.629541284,7842477.275,6514613.761,18,0.520287648
AXL,美国车桥,4.825407,1.136991,3.721966,151000000,1.2821,237,0.732463941,17.72919831,41582315.18,12966023.73,19,0.471218582
MTL,车里雅宾斯克钢铁,1.327187,-0.142115,2.072051,1749000000,1.1993,168,0.7080803,20.15253631,12353414.18,23670376.79,14,0.509727918
PNTR,Pointer Telocation Ltd,6.207271,1.662825,2.078208,1925000,-0.0209,252,0.705686455,188.4677532,303339.381,281835.7698,21,0.442954811
BZH,贝哲房屋,0,0.699249,-2.254986,13409000,0.8825,252,0.699150012,71.37523651,13460715.52,4637966.667,21,0.489759333
DAN,达纳,15.021272,2.512175,1.324788,127000000,0.7397,128,0.688802201,15.71359375,36612637.05,43429120.31,10,0.453965322
AVEO,AVEO制药公司,0,-7.004446,-0.238772,4004000,1.1203,103,0.687402409,5.516824272,31979250.15,9134429.412,8,0.459546565
ARTX,阿罗特克,15.578908,1.261669,0.223058,83500,1.1404,252,0.681959445,18.19017579,4072284.524,1412162.698,21,0.562761519
SGA,Saga Communications Inc.,4.088246,1.213427,9.135946,4171000,-0.0801,252,0.680566058,36.91349246,135167.0159,225860.1587,21,0.428075939
BCEI,富矿溪能源,0.153187,0.931886,210.396729,4859000,-0.948,82,0.678312191,2069.841498,2902592.341,114369.1951,6,0.435302688
ERII,Energy Recovery,18.975253,4.810415,0.484315,15743000,15.9462,123,0.677624065,5.806707317,8942353.952,5321527.869,10,0.458740335
MAGS,马加尔安全系统,79.554382,1.628161,0.072529,1903000,1.5758,252,0.675526318,5.812318651,863343.7063,3780514.389,21,0.445345473
CAMT,康特科技,16.575543,4.262417,0.628637,4331000,2.1171,219,0.668901396,3.241611872,3814399.545,1051710.092,18,0.469881751
DXPE,DXP Enterprises,33.245905,2.964216,1.460631,11563000,1.9133,252,0.662855195,21.3768254,2377356.984,2473638.889,21,0.485777962
SORL,瑞立集团,3.395675,0.484936,1.372334,7492700,0.1382,181,0.658040544,4.902727072,3464813.835,1037484.178,15,0.497188974
KNDI,康迪车业,15.615301,0.843416,0.256159,1374500,1.1189,131,0.656457253,5.724403817,19230584.36,2439732.308,10,0.547163492
STRL,Sterling Construction Company In,18.729968,2.627223,0.793381,9142000,1.0035,252,0.656314324,9.346825397,2378179.54,713238.8889,21,0.464083839
MGM,美高梅,8.711805,2.238921,3.271423,140000000,-0.417,252,0.655782035,23.38853175,267880093.7,32042636.51,21,0.430689141
WTW,慧俪轻体,22.410938,-5.376565,3.338102,70684000,0.5651,203,0.655426169,39.54369458,26665563.93,10166103.96,16,0.474261589
CSIQ,阿特斯太阳能,6.056501,0.76214,2.28845,15973000,-0.6042,143,0.653723354,15.92548881,43563937.4,28518140.85,11,0.531995345
SAH,索尼克汽车,9.902342,1.180432,2.19645,16905000,0.3934,251,0.648304631,18.01713147,9426062.175,5589564,20,0.396091624
FSI,Flexible Solutions International,18.602982,1.100565,0.089233,2135900,6.806,219,0.648073955,2.154005479,1018257.191,235136.6972,18,0.493986951
RDCM,Radcom Ltd,50.16905,3.090414,0.36676,757000,4.7108,252,0.646324639,10.23421429,810890.7381,333298.4127,21,0.519184617
NKTR,内克塔治疗,12.160007,5.922891,5.254109,971000000,17.2259,252,0.638501958,16.78914683,25813764.73,18697684.92,21,0.454990998
RADA,Rada Electronics Industries Limited,46.265698,2.946498,0.057494,12000,-0.976,252,0.635319062,7.600231746,2379063.944,167738.9762,21,0.480225254
IMOS,南茂科技,57.309942,0.031822,0.2394,124000000,-0.6139,208,0.634914799,16.11225865,3050496.077,1832072.115,17,0.46024197
NRP,Natural Resource Partners L.P.,3.873891,0.994015,8.13136,39089000,1.5835,192,0.632490075,160.3339115,822215.9792,374033.8542,16,0.408668566
TCCO,Technical Communications Corpora,0,2.721838,-0.347624,243000,1.7055,99,0.630070238,5.872088889,934042.74,169218.3673,8,0.409970198
CORT,Corcept医疗,10.475631,6.471941,1.296342,18196000,0.4388,174,0.626354924,4.93,11523005.07,1793419.54,14,0.521689377
ARQL,ArQule,0,23.365855,-0.201725,5156000,1.716,252,0.621295706,6.266904762,7592066.325,4225945.238,21,0.456884166
CVGI,商用汽车,13.728288,3.067953,0.680347,13195000,99.7252,170,0.619249814,10.37382353,3833198.282,3192862.353,14,0.484284455
CENX,世纪铝业,15.459688,1.286651,0.810495,19400000,1.7324,252,0.618364331,17.76281746,45021729.6,5824919.048,21,0.447695592
PME,平潭海洋实业有限公司,14.457518,1.627336,0.184679,3335300,-0.66,67,0.618025628,2.804371642,3297304.853,1094375.879,5,0.427737933
MED,快验保,66.846239,26.116097,3.362792,14133000,0.8635,252,0.61226799,19.65845238,5451486.119,2946546.032,21,0.500104435
AIRT,Air T,17.398957,2.573375,2.024811,3282100,1.6686,252,0.61092547,10.9881246,148968.881,2390565.079,21,0.411708525
IIJI,首创网络,23.451197,1.41559,0.444327,290000000,-0.6118,230,0.607707049,11.76403174,232613.9913,9047931.304,19,0.424620934
GPRE,绿色平原能源,12.577263,0.809234,1.431154,3751000,1.318,151,0.607269777,16.8413245,14936661.62,2610646.667,12,0.446409826
VHI,瓦利化工,4.599717,-8.255081,0.839182,20400000,-0.6298,252,0.601640639,5.114082143,2331873.944,3250263.476,21,0.500511332
GV,Goldfield Corp,15.923989,1.999272,0.301432,2151500,-0.1455,252,0.596560274,1.30612619,3664592.357,1754822.222,21,0.491452896
IMMY,Imprimis Pharmaceuticals Inc.,0,17.814552,-0.45604,2522000,0.6995,68,0.594929423,5.079779412,3916042,633115.8824,5,0.353995099
SPAR,Spartan Motors,21.624872,2.911361,0.682085,3740000,2.3274,252,0.593620989,5.83593254,3725439.317,3568031.579,21,0.426094874
LGL,LGL Group Inc,58.855934,1.469199,0.132527,472000,22.6,252,0.590603297,11.06328016,212411.5952,52359.52381,21,0.450041886
JKS,晶科能源,22.689226,0.466352,0.578248,99099000,1.0975,101,0.586116134,18.59564356,17656927.02,18008374,8,0.452812262
MGPI,MGP Ingredients,29.652065,6.907022,2.521241,7527000,0.1818,252,0.586075024,14.62365079,1503330.31,1950214.286,21,0.428295423
VSEC,VSE技术服务,10.52117,1.348796,3.667843,8751000,0.1209,252,0.584651368,14.41950675,770086.5952,1223522.222,21,0.41577429
AMRS,阿米瑞斯,0,-1.859397,-2.294111,1533000,1.4726,97,0.584506348,82.54895876,4664176.755,410046.375,8,0.420768112
UIS,优利系统,15.011086,-0.637915,1.062548,6000000,1.1558,252,0.582843908,81.12569444,12767022.04,4052105.556,21,0.437722757
DIN,DineEquity,0,-6.417331,-18.740759,12713000,-0.4249,124,0.578588368,59.55298387,4442211.323,5031009.677,10,0.392054785
THC,泰尼特,0,-21.197597,-4.690971,108000000,2.375,252,0.577265218,49.61526587,45405234.33,19112700.4,21,0.402518927
SILC,矽晶电信,18.21748,2.047108,2.127627,2436000,-0.419,252,0.575557456,16.5755754,837208.7222,691340.4762,21,0.442484036
SIRI,Sirius XM Holdings Inc.,38.246171,-22.791433,0.181979,292000000,0.4465,252,0.575470164,8.175079365,953542746.5,497034194.4,21,0.410471941
CLUB,Town Sports International Holdin,27.635934,-3.69231,0.35642,601000,2.4659,148,0.572870169,7.618074324,2013864.203,2723102.703,12,0.40061848
TEN,天纳克,8.636486,3.090252,4.989298,66000000,3.4,252,0.572094035,28.51642857,15620583.98,7575230.952,21,0.380429178
SID,巴西国家黑色冶金,4.144997,0.444466,0.537998,1190000000,2.859,248,0.572085872,4.998920161,97621797.91,65175887.1,20,0.440449629
DSS,Document Security Systems Inc,9.641491,2.819845,0.129648,2677500,11.1217,252,0.57063497,17.27036032,1237479.167,125170.1825,21,0.461312249
NURO,NeuroMetrix,0,1.190935,-1.582825,573900,1.1773,169,0.56893795,202562.3208,1131780.235,80.91666667,14,0.424587517
HIIQ,Health Insurance Innovations In,46.833441,7.520022,1.192524,4026000,-0.4209,68,0.568494359,14.66897059,8041546.588,1264896.147,5,0.400283772
