code,name,pe,pb,eps,net2018-06,net_radio2018-06,count,grow_3,grow_6,grow_radio_3,grow_radio_6,month_six_rs,price,vol_radio,volume_3,volume_6,year,year_rs
LTRX,创力,154.454593,4.598344,0.037422000000000004,752000.0,15.4615,218,0.39666666666666694,0.3333333333333335,0.21526372123525617,0.17707805545951574,0.5094551294812565,7.7692619266055045,1.3898693984270831,3120517.0,1305727.0,18,0.4108143452856116
ROSE,Rosehill Resources Inc.,32.760294,1.393729,0.250303,8664000.0,7.1273,31,0.05666666666666664,0.3666666666666664,0.009928442690565954,0.05878529896282562,0.14475104002337316,8.946067741935487,0.09918551215445073,711028.6666666666,646868.6666666666,2,0.07395217186717255
ICHR,Ichor Holdings Ltd.,7.883942,2.429648,3.064457,28040000.0,1.8438,22,0.409999999999999,-0.2900000000000003,0.02943905080144045,-0.0027682298907687566,0.23358191143433568,22.917727272727276,-0.18960267737228387,17488668.666666668,21580363.333333332,1,0.14843617660221484
ALSK,阿拉斯加通信系统,35.88715,0.629734,0.054337,3402000.0,2.2021,227,-0.003333333333333336,-0.00833333333333334,0.010396870526144325,0.0064025013643985345,0.36923471292123233,6.40144052863436,-0.24908115572699577,1795891.0,2391591.3333333335,18,0.2936842549107815
AMD,AMD,73.160387,26.595495,0.327773,116000000.0,3.7619,252,5.819999999999999,3.7099999999999995,0.29601693018974956,0.21952677422904987,0.402473287443967,11.343890476190474,0.4200867305778972,1806323440.0,1271981070.6666667,21,0.355741664966477
NSYS,Nortech Systems Incorporated,0.0,0.555972,-0.878575,390000.0,25.375,252,0.1433333333333334,0.10714999999999993,0.045448572891384986,0.035440155383826964,0.2652047586555298,5.260556349206347,13.730535059665812,1994411.3333333333,135393.0,21,0.22726878327561692
GSKY,Greensky Inc.,3.663582,167.796846,5.309012,40816000.0,0.0576,5,-0.4833333333333331,-0.518,-0.012902384762941218,-0.008835219785492227,-0.07791077604720129,21.06,171.40998180605104,23343104.666666668,135393.0,0,-0.07791077604720129
OPRA,Opera,0.0,0.0,0.0,7411000.0,3.9051,3,-1.1299999999999997,-1.1299999999999997,-0.0841521749893057,-0.0841521749893057,-0.05789496591305323,11.646666666666667,171.40998180605104,23343104.666666668,135393.0,0,-0.05789496591305323
NFLX,"Netflix, Inc.",157.391826,34.748668,2.279788,384000000.0,4.859,197,-6.033333333333341,13.534999999999997,-0.0116774647537913,0.0457072308294613,0.48682169978166573,48.04622741116753,-0.0770915644851509,199618840.66666666,216293223.66666666,16,0.39410036593179093
AQXP,"Aquinox Pharmaceuticals, Inc.",0.0,0.8254440000000001,-1.696466,2918000.0,1.212,55,0.07666666666666681,-1.8866666666666667,0.03807155517555303,-0.10966472734618975,1.643748011907255,10.56827272727273,0.16833003072174957,11325412.0,9693675.333333334,4,0.8905019188068751
FNJN,"Finjan Holdings, Inc.",2.738645,1.828411,1.584725,7039000.0,3.4873,53,0.22333333333333347,0.1366666666666668,0.06356660148030796,0.042402688471270704,0.34503925671523866,2.297054716981133,0.23036685486852004,8838244.333333334,7183422.0,4,0.26758891891777314
MSTR,MicroStrategy Incorporated,0.0,2.766664,-0.120549,4828000.0,-0.5149,244,7.4799999999999995,3.529999999999994,0.0573965123683926,0.02713068424339268,0.30534800730101547,127.4504918032787,-0.20072454310353433,1308476.0,1637077.6666666667,20,0.248679408881897
ROKU,Roku Inc,23.72167,31.688541999999998,2.66676,526000.0,1.0339,13,9.423333333333337,6.731666666666668,0.19032427074533606,0.15455366942096213,0.33971680965275186,41.826153846153844,-0.014362412440367137,145300073.33333334,147417342.0,1,0.11651295367110266
FANH,泛华金融控股集团,19.664951000000002,2.8803099999999997,1.329777,173000000.0,0.2221,131,-0.8466666666666663,-0.11750000000000031,-0.025183083980096627,-0.0013292512022207773,0.3868288504156869,12.237557251908395,0.1973939190220503,6090223.666666667,5086232.333333333,10,0.31374230744670023
HGSH,汉广厦房地产,6.900010000000001,0.39918400000000004,0.21739099999999997,3379900.0,1.1463,97,-0.08430000000000004,0.004499999999999986,-0.0580574095886228,0.007290373396275169,1.5343548967186826,2.8655072164948456,-0.7462542243589244,552293.6666666666,2176563.0,8,0.8826691352430264
CENX,世纪铝业,15.459688,1.286651,0.810495,19400000.0,1.7324,252,-1.3499999999999996,-0.8000000000000004,-0.09376948468049089,-0.05301489589063443,0.6183643308439607,17.762380952380965,-0.2954726200009276,29210316.0,41460867.0,21,0.44769559160183353
HTHT,华住,51.302510999999996,10.291005,0.674236,340000000.0,-0.1231,103,-4.166666666666667,-0.5524999999999997,-0.11294086529859619,-0.008952541949813904,0.2603763049402042,10.51333786407767,-0.33227311472218557,31476691.0,47140068.333333336,8,0.21207901972781962
ABCD,新生,14.611084,-100.156284,0.9403819999999999,4435000.0,-0.2343,106,0.523333333333334,0.24833333333333396,0.04773162541938153,0.024671608195395458,0.42869320993581006,3.8825377358490574,-0.5874031514981608,2511760.3333333335,6087686.666666667,8,0.3125340878542921
AVEO,AVEO制药公司,0.0,-7.004446000000001,-0.23877199999999998,4004000.0,1.1203,103,0.14000000000000012,-0.03999999999999996,0.08167139139748054,0.0012880287890816948,0.6874024093633856,5.516387378640776,0.13471773898319564,45600465.666666664,40186615.666666664,8,0.45954656537489846
CASA,Casa Systems,11.088771000000001,11.244912,1.259833,21417000.0,0.2481,10,-0.03666666666666648,-2.153333333333333,-0.00027518848376731814,-0.08791865057830145,0.0793795168917958,19.360999999999997,-0.36680159161720144,14186684.333333334,22404801.0,0,-0.006909076228173371
CMLS,Cumulus Media,1.024342,0.225196,19.417343,706000000.0,123.4952,237,-2.31,-1.2087666666666668,-0.10028239845261122,-0.1716411401115229,14.334818546821689,68.18260548523205,-0.9973622347812129,54394.666666666664,20621496.666666668,19,7.329968706364871
SSNT,"SilverSun Technologies, Inc.",0.0,3.766422,-0.15268199999999998,17200.0,-0.8571,18,0.07546666666666664,0.11035000000000002,0.021306689845278056,0.029438083481571137,0.05255053057023216,4.052383333333334,0.673478338882354,111920.0,66878.66666666667,1,0.0268221204005306
OBCI,Ocean Bio-Chem,14.610003,1.570675,0.301848,1121400.0,0.1773,252,0.2564999999999998,0.02414999999999982,0.07139330440179821,0.011131660699341609,0.7753815099391693,1.9806932539682534,0.6620922334435607,247962.0,149186.66666666666,21,0.5245202998127049
IIJI,首创网络,23.451197,1.41559,0.444327,290000000.0,-0.6118,230,0.07699999999999996,0.09449999999999974,0.010178591217334164,0.011616565176280286,0.6077070491506211,11.764012173913041,6.023356890152207,269324.6666666667,38347.0,19,0.42462093412334934
ATVI,动视暴雪,112.591595,5.459777,0.658042,402000000.0,0.6543,252,1.8433333333333337,2.4566666666666634,0.02611154126982672,0.035360666968167094,0.2639735271991681,14.952540476190485,-0.05306694184310738,110463570.0,116654043.33333333,21,0.21136548076087006
