code,name,pe,pb,eps,count,max,mean,min,volume_end,volume_start,year
DXJS,WisdomTree Japan Hedged SmallCap,0,0,0,63,46.58,34.84259048,25.9,852711.4688,864986.8065,5
MDLZ,亿滋,20.776192,2.466671,2.040316,75,46.59,38.02893333,25.27,179683734.4,191549402.7,6
TCS,The Container Store,26.375567,2.31311,0.423498,58,46.61,13.23948276,3.61,6252568.276,8604396.586,4
SDRL,SeaDrill Ltd,0,0.291006,-11.785926,101,46.62,21.42523366,0.1891,206562585.7,45106284,8
FMAO,"Farmers & Merchants Bancorp, Inc.",28.453127,3.007256,1.569599,16,46.64,38.3271875,28,217072.875,575931.625,1
CDL,Victory CEMP US Large Cap High Dividend Volatility Weighted Index ETF,0,0,0,38,46.6599,40.31744737,33.1591,319606.9474,298953.8421,3
STBA,S&T Bancorp,20.818669,1.834302,2.283047,252,46.66,27.08470238,12.16,1854213.881,778338.0952,21
AP,安博科-匹兹堡,0,0.631051,-0.600061,252,46.66,18.32825397,7.55,743667.8492,590730.1587,21
LIVE,LiveDeal,3.162425,0.513499,3.272805,95,46.68,12.84015158,3,1032327.458,1284903.213,7
MVV,ProShares Ultra MidCap400,0,0,0,147,46.69,18.04814014,2.87,10542483.26,40016473.97,12
GHM,Graham Corp,0,2.63208,-0.866828,252,46.7,13.20997024,1.2625,1545485.262,790404.7619,21
HMN,霍勒斯曼恩,10.77342,1.406188,4.297614,252,46.7,22.65357143,7.69,3635271.437,3643317.46,21
QUAD,Quad/Graphics Inc,14.459864,2.502775,1.623805,98,46.72,23.60622449,9.3,5550063.061,2926461.224,8
RDC,罗文,0,0.342312,-0.762703,252,46.75,25.8390873,8.63,57659813.56,35705219.84,21
CHKE,切诺基,0,0.458805,-4.112865,252,46.76,17.8255,0.457,1455798.69,615588.8889,21
PHM,普得集团,11.121282,1.791307,2.56715,252,46.79,16.92313016,3.95,155941294.3,51344587.3,21
FLDM,Fluidigm Corporation,0,8.915879,-1.42746,91,46.85,16.52186813,3.76,5945663.87,3215800,7
IBOC,国际银行,16.109038,1.639587,2.892786,252,46.85,21.68768333,7.8,245042408.6,63584226.98,21
FEMS,First Trust Emerging Markets Sma,0,0,0,77,46.87,34.32392597,25.6842,1004230.538,388686.8421,6
FNY,First Trust Mid Cap Growth Alpha,0,0,0,89,46.88,28.43723371,16.92,611344.7333,203920.4545,7
SLV,白银ETF(iShares),0,0.942646,-0.4,149,46.9,18.97597315,9.6,170333348.5,282857901.4,12
SYBT,S.Y. Bancorp,20.030019,2.547855,1.9321,252,46.95,17.02445278,5.915,872865.1984,394057.7937,21
SGDJ,ALPS ETF Trust Sprott Junior Gold Miners ETF,0,0,0,42,46.95,30.52213095,19.25,976827.2857,347069.7619,3
QDEF,FlexShares Quality Dividend Defe,0,0,0,69,46.99,36.31939275,24.74,370092.0286,278464.2647,5
MMLP,Martin Midstream Partners L.P.,59.598917,1.808408,0.200507,190,47,29.73105263,11.35,2702989.074,592349.4737,15
GGG,固瑞克,27.245042,10.888861,1.701961,252,47.01,14.4871381,2.1481,20573215.41,15702415.48,21
