code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps
RYT,Rydex ETF Trust Rydex S&P Equal,167.84,168.02,250562,1.900829,0.0,0.0,0.0
ASGN,盎塞,65.04,64.92,187341,0.623168,21.823609,2.88209,2.97476
LPX,路易斯安那太平洋,25.5,25.47,1977611,0.941007,9.326547,2.02827,2.730914
PEY,PowerShares High Yield,17.76,17.83,166293,1.450511,27.198286,1.05674,0.655556
BAC,美国银行,29.33,29.31,45771463,0.845911,11.229886,1.165018,2.61
ITEQ,BlueStar TA-BIGITech Israel Technology ETF,36.83,36.97,2944,0.44602,0.0,0.0,0.0
AMAL,Amalgamated Bank,17.75,17.85,33266,0.7986,20.975373,1.390165,0.850998
ANIX,ITUS Corp,5.06,5.1,16722,0.408893,0.0,18.103776,-0.79413
SHW,宣伟公司,436.15,436.62,387369,0.695799,37.413882,10.840422,11.67
BCOV,布莱克维,8.87,8.94,126202,0.951886,0.0,4.639434,-0.391756
PFD,弗莱厄蒂克伦兰保富所得基金,13.39,13.42,16390,0.614332,0.0,1.056968,-0.698842
PBCT,人联金融,17.88,17.9,3518283,1.44551,13.875969,1.056532,1.29
FNDA,Schwab Fundamental U.S. Small Co,38.34,38.37,177729,0.884645,0.0,0.0,0.0
S,Sprint,6.35,6.4,9734891,0.670546,86.144237,0.923284,0.074294
APTS,Preferred Apartment Communities,15.22,15.36,270802,0.898768,0.0,0.399022,-1.081384
TREX,Trex Co Inc,75.83,75.54,418147,0.832424,33.131579,12.886974,2.28
WBIC,WBI SMID Tactical Yield Shares,21.05,21.0242,11443,0.923895,0.0,0.0,0.0
VIAB,维亚康姆,29.27,29.45,3614084,1.163471,7.896243,1.547643,3.729622
IVOG,Vanguard S&P Mid-Cap 400 Growth,135.67,135.76,5487,0.641724,0.0,0.0,0.0
GLQ,Clough Global Equity Fund,12.73,12.81,29280,0.9418,26.132405,0.945507,0.490196
GNTX,真泰克,20.47,20.5,1779143,1.018868,12.654328,2.854427,1.619999
GIL,吉登运动服,35.92,35.95,473325,0.796845,21.415381,3.911201,1.6787
BLL,波尔,55.06,55.21,2348164,1.046661,42.798451,5.338001,1.29
PTMC,Pacer Trendpilot 450 ETF,30.69,30.82,193992,0.83735,0.0,0.0,0.0
VCR,Vanguard Consumer Discretionar,169.6,169.51,49520,0.907192,9.31795,0.0,18.191771
MUSA,Murphy USA Inc.,78.51,78.38,321672,1.097687,12.095679,3.132261,6.48
SPMO,PowerShares S&P 500 Momentum Portfolio,38.65,38.6,45139,2.167144,0.0,0.0,0.0
XLC,The Communication Services Select Sector SPDR Fund,46.22,46.28,7114185,1.726987,0.0,0.0,0.0
EWQ,法国ETF-iShares MSCI,29.59,29.58,929046,1.393976,19.845875,0.831449,1.490486
IVW,标普500成长股指数ETF-iShares,169.58,169.77,624839,0.964822,4.778998,0.971001,35.524185
PRU,保德信金融,96.89,96.6,1661655,0.928978,10.170683,0.812666,9.497888
HAL,哈里伯顿,30.89,30.93,10825663,1.208605,16.365079,2.834252,1.89
EEFT,嘉银通,135.42,135.37,492920,1.592143,31.777004,5.661223,4.259999
LTHM,Livent Corp.,13.0,12.9,2006078,0.882594,13.063688,3.860217,0.98747
BCML,Baycom,23.2,23.25,8503,0.431191,15.549218,1.230753,1.495252
VFLQ,Vanguard U.S. Liquidity Factor ETF,81.382,81.4793,1818,1.180213,0.0,0.0,0.0
AIEQ,AI Powered Equity ETF,25.8,25.9,66159,1.645362,0.0,0.0,0.0
ALE,埃立特公司,81.26,81.68,216481,0.997475,24.16568,1.951994,3.38
BFS,Saul Centers Inc,56.58,57.11,63636,1.710296,35.693749,7.369577,1.6
DWPP,First Trust Dorsey Wright People's Portfolio ETF,29.97,29.84,7285,1.785189,0.0,0.0,0.0
QQQE,Direxion NASDAQ 100 Equal Weight,47.42,47.43,33038,1.340784,0.0,0.0,0.0
BKEPP,Blueknight Energy Partners L.P.,5.16,5.2,64471,0.717547,0.0,0.488529,-0.411687
VOOG,Vanguard S&P 500 Growth ETF,152.04,152.14,61453,1.165282,0.0,0.0,0.0
IBM,IBM,139.31,139.2,3030044,0.992215,14.622396,7.39659,9.519644
FEIM,高频电子,11.4598,11.72,868,0.134158,0.0,1.593047,-2.566098
KCE,SPDR KBW Capital Markets ETF,55.44,55.3981,1133,1.294561,5.882646,0.284909,9.417208
GLAD,格拉德斯通资本,9.14,9.14,104235,0.640923,32.424224,1.145574,0.281888
RVRS,Reverse Cap Weighted U.S. Large Cap ETF,16.5199,16.5472,5818,1.361382,0.0,0.0,0.0
TMFC,Motley Fool 100 Index ETF,20.85,20.91,33667,1.033339,0.0,0.0,0.0
PMOM,Principal Sustainable Momentum Index ETF,27.8327,27.8327,355,0.12201,0.0,0.0,0.0
SIC,"Select Interior Concepts, Inc.",13.0,13.1,262343,0.967577,0.0,2.231983,-0.251711
IEUR,iShares Core MSCI Europe ETF,45.89,45.86,410159,1.534232,0.0,0.0,0.0
IJH,标普中型股400指数ETF-iShares,192.5,192.63,1466660,1.152081,8.104683,0.966377,23.76774
XHR,"Xenia Hotels & Resorts, Inc.",19.6,19.68,439982,0.677335,11.245714,1.21538,1.75
HDS,HD Supply Holdings Inc.,43.28,43.34,894416,0.82342,27.373363,4.824616,1.583291
XHS,SPDR S&P Health Care Services Fu,68.82,69.03,14453,1.576049,0.0,0.0,0.0
SPHQ,PowerShares S&P 500 High Quality,31.5,31.54,215343,0.972268,13.772926,0.0,2.29
IJJ,iShares S&P Mid-Cap 400 Value ETF,161.61,161.7,158582,1.250272,9.415316,1.05216,17.174145
C,花旗,64.78,64.47,14375999,1.059585,9.641499,0.852851,6.68672
IWF,罗素1000成长指数ETF-iShares,148.68,148.76,1775958,1.353597,4.444963,0.951873,33.467094
PIO,PowerShares Global Water Portfol,26.55,26.5606,5520,0.375219,0.0,0.0,0.0
SDOG,ALPS Sector Dividend Dogs ETF,43.43,43.46,180244,1.259639,0.0,0.0,0.0
XITK,SPDR FactSet Innovative Technology ETF,104.74,103.6941,17425,1.321197,0.0,0.0,0.0
ASIX,AdvanSix Inc.,33.07,33.0,212398,1.241137,15.42056,2.278817,2.14
EFAS,Global X MSCI SuperDividend EAFE ETF,16.3101,16.374,808,1.159587,0.0,0.0,0.0
RILY,"B. Riley Financial, Inc.",17.02,17.17,32407,0.748005,25.241685,1.698818,0.680224
JPME,J.P. Morgan Exchange-Traded Fund Trust,65.16,65.3721,6474,0.400416,0.0,0.0,0.0
GS,高盛,198.75,198.2,2580797,1.001912,7.858718,0.922824,25.2204
PPC,Pilgrim’s Pride Corporation,19.77,19.82,831343,0.943655,19.899938,2.455213,0.995983
QTEC,First Trust NASDAQ-100-Technolog,80.91,80.73,142121,0.992698,0.0,0.0,0.0
BOMN,Boston Omaha Corporation,25.04,25.17,9824,0.732238,0.0,1.74418,-0.448448
