,code,name,bvps,0,1
139,002426,胜利精密,2.61,3.56,14.07
140,300656,民德电子,4.77,27.4,39.8
141,300306,远方信息,6.87,9.3,43.15
142,002220,天宝食品,3.61,4.06,46.35
143,300115,长盈精密,4.92,12.42,47.67
144,603186,华正新材,4.82,15.37,30.32
145,300290,荣科科技,2.22,9.43,18.17
146,000042,中洲控股,10.0,16.0,21.0
147,002755,东方新星,3.04,9.75,28.0
148,002412,汉森制药,4.24,16.58,39.8
149,600234,ST山水,0.36,6.34,19.81
150,000560,我爱我家,4.05,5.71,7.1
151,600056,中国医药,7.66,16.4,18.44
152,603890,春秋电子,6.98,17.42,42.13
153,002091,江苏国泰,4.66,6.23,12.19
154,600686,金龙汽车,5.81,13.5,18.85
155,002836,新宏泽,2.72,15.28,12.82
156,603067,振华股份,3.78,11.57,25.18
157,300107,建新股份,2.01,13.41,60.49
158,002456,欧菲科技,3.47,15.73,57.56
159,002696,百洋股份,5.6,11.68,22.26
160,002671,龙泉股份,4.46,4.32,20.96
161,300172,中电环保,2.4,6.11,31.72
162,000901,航天科技,6.15,11.26,14.93
163,600621,华鑫股份,6.16,9.73,12.42
164,600525,长园集团,6.22,9.74,16.58
165,300334,津膜科技,5.47,8.21,23.07
166,603868,飞科电器,5.93,47.74,61.23
167,603021,山东华鹏,4.22,6.51,20.24
168,603288,海天味业,4.8,73.77,70.25
169,300651,金陵体育,8.12,38.46,39.03
170,600540,新赛股份,1.33,3.96,11.08
171,603859,能科股份,5.9,18.27,19.26
172,603896,寿仙谷,6.48,45.91,45.06
173,300404,博济医药,3.04,20.29,27.13
174,002577,雷柏科技,4.21,12.84,30.71
175,002288,超华科技,1.85,4.28,18.93
176,000788,北大医药,2.0,6.42,11.09
177,600141,兴发集团,10.36,11.27,12.45
178,600195,中牧股份,8.84,18.19,9.08
179,603301,振德医疗,7.72,49.88,74.48
180,000818,航锦科技,3.79,12.2,9.09
181,000626,远大控股,4.21,7.05,17.19
182,600438,通威股份,3.52,6.25,11.27
183,600643,爱建集团,5.51,8.87,44.09
184,000547,航天发展,3.83,8.17,10.2
185,603901,永创智能,2.4,10.11,22.77
186,300440,运达科技,2.86,6.56,50.34
187,603283,赛腾股份,4.09,25.43,14.54
188,300553,集智股份,6.76,35.6,32.66
189,300618,寒锐钴业,6.33,118.2,107.84
190,600241,时代万恒,4.82,7.67,21.68
191,002903,宇环数控,4.17,35.7,52.49
192,603616,韩建河山,2.65,12.37,34.34
193,600588,用友网络,3.06,23.67,79.68
194,600706,曲江文旅,5.45,11.01,11.4
195,002068,黑猫股份,4.56,7.99,13.27
196,002591,恒大高新,4.05,6.9,20.24
197,300629,新劲刚,3.52,21.05,19.2
198,002727,一心堂,6.74,30.6,33.3
199,300575,中旗股份,14.22,39.9,63.9
200,002027,分众传媒,0.79,9.52,10.96
201,002930,宏川智慧,6.97,39.23,14.86
202,300675,建科院,2.67,29.57,11.3
203,300643,万通智控,2.07,11.58,20.01
204,603712,七一二,2.66,25.53,7.93
205,603363,傲农生物,2.02,16.45,9.19
206,002625,光启技术,3.5,11.09,22.0
207,600975,新五丰,1.84,4.29,10.44
208,002012,凯恩股份,2.6,4.84,16.51
209,002280,联络互动,3.14,5.42,30.97
210,600802,福建水泥,1.79,7.46,7.18
211,000789,万年青,5.43,10.91,7.2
212,300055,万邦达,6.79,11.28,81.3
213,603517,绝味食品,6.62,38.98,50.56
214,002817,黄山胶囊,7.81,21.8,26.61
215,600338,西藏珠峰,2.86,20.07,18.27
216,601601,中国太保,15.63,31.32,49.47
217,002886,沃特股份,5.41,20.7,25.39
218,603912,佳力图,3.07,15.11,31.55
219,600131,岷江水电,2.36,6.24,14.4
220,002409,雅克科技,4.56,20.21,30.0
221,300667,必创科技,3.56,34.13,36.5
222,300430,诚益通,5.68,10.8,58.4
223,300424,航新科技,3.77,22.5,29.8
224,300379,东方通,5.24,15.11,38.34
225,002400,省广集团,2.92,3.35,37.12
226,002446,盛路通信,3.39,6.72,20.37
227,000021,深科技,3.98,6.72,11.55
228,600939,重庆建工,3.69,4.91,7.23
229,300122,智飞生物,2.0,46.0,40.36
230,002741,光华科技,3.04,15.14,25.96
231,300661,圣邦股份,12.82,129.17,67.38
232,600127,金健米业,1.18,3.41,15.1
233,300611,美力科技,3.82,11.78,30.56
234,000735,罗 牛 山,3.36,12.4,12.2
235,300278,华昌达,3.0,9.32,14.79
236,603516,淳中科技,5.58,33.8,47.39
237,000519,中兵红箭,5.43,7.78,10.45
238,600235,民丰特纸,3.66,4.67,13.29
239,002803,吉宏股份,3.77,32.4,31.68
240,300149,量子生物,1.96,15.59,34.72
241,300089,文化长城,4.21,6.25,19.78
242,000031,中粮地产,3.81,5.63,10.05
243,603757,大元泵业,7.94,26.11,48.79
244,300145,中金环境,3.93,7.88,38.8
245,300691,联合光电,6.22,29.99,82.49
246,002500,山西证券,4.44,6.64,12.01
247,600789,鲁抗医药,4.32,10.45,12.35
248,002608,江苏国信,5.53,6.98,34.6
249,603103,横店影视,4.77,31.75,35.86
250,002609,捷顺科技,3.47,7.95,20.11
251,600889,南京化纤,3.65,5.1,6.67
252,002677,浙江美大,2.12,16.24,10.61
253,002470,金正大,3.15,6.37,19.68
254,603533,掌阅科技,2.55,30.36,10.33
255,603214,爱婴室,7.98,49.2,28.73
256,002080,中材科技,6.99,8.34,16.37
257,601996,丰林集团,1.99,3.86,13.08
258,000700,模塑科技,3.06,3.56,21.88
259,300710,万隆光电,8.41,35.69,45.53
260,600251,冠农股份,2.59,5.52,9.42
261,300729,乐歌股份,8.13,32.82,32.08
262,002271,东方雨虹,4.56,15.61,15.61
263,000043,中航善达,6.37,6.84,10.45
264,603996,中新科技,5.03,11.08,29.54
265,300567,精测电子,5.52,78.88,50.82
266,002518,科士达,3.92,9.48,37.15
267,300688,创业黑马,5.6,63.22,64.68
268,002826,易明医药,3.22,16.38,26.28
269,002245,澳洋顺昌,2.49,6.24,16.02
270,000988,华工科技,5.26,14.5,57.31
271,600760,中航沈飞,5.1,38.35,27.25
272,000692,惠天热电,2.37,2.98,27.33
273,300088,长信科技,1.96,5.63,30.45
274,300624,万兴科技,7.32,83.83,56.18
275,002010,传化智联,3.55,12.01,15.62
276,002215,诺 普 信,2.29,7.01,36.75
277,300504,天邑股份,6.34,36.45,18.81
278,002639,雪人股份,3.32,6.36,13.56
279,300648,星云股份,3.83,23.89,30.17
280,300352,北信源,1.53,4.04,27.34
281,300302,同有科技,1.85,10.44,22.88
282,002214,大立科技,2.17,5.41,29.39
283,603486,科沃斯,3.77,63.64,38.37
284,300064,豫金刚石,5.79,5.1,29.24
285,002504,弘高创意,0.86,3.76,32.45
286,300750,宁德时代,12.86,70.88,71.96
287,000615,京汉股份,2.44,6.53,16.45
288,002686,亿利达,3.44,6.9,17.8
289,000592,平潭发展,1.64,2.76,4.83
290,002300,太阳电缆,2.47,6.57,35.08
291,000877,天山股份,6.97,6.57,10.41
292,600292,远达环保,6.28,5.89,26.0
293,002331,皖通科技,4.48,7.27,42.95
294,002497,雅化集团,2.68,10.05,37.45
295,002297,博云新材,3.23,6.24,24.24
296,603701,德宏股份,4.19,13.18,67.11
297,002041,登海种业,3.21,7.29,24.39
298,300719,安达维尔,3.78,15.29,27.13
299,000806,银河生物,1.89,4.17,26.5
300,000848,承德露露,2.27,10.11,15.32
301,002385,大北农,2.46,4.19,47.03
302,300526,中潜股份,3.1,13.97,88.03
303,603305,旭升股份,3.01,27.31,49.05
304,000333,美的集团,12.03,47.4,43.24
305,002563,森马服饰,3.87,13.35,57.35
306,603269,海鸥股份,6.99,18.26,27.05
307,600276,恒瑞医药,4.45,69.97,27.69
308,603027,千禾味业,3.6,20.4,27.69
309,002879,长缆科技,7.36,15.48,29.88
310,600183,生益科技,2.96,9.5,7.86
311,300150,世纪瑞尔,3.4,4.94,47.8
312,603527,众源新材,4.75,15.17,37.02
313,603383,顶点软件,7.84,35.05,44.18
314,002240,威华股份,3.82,12.76,17.24
315,002115,三维通信,3.9,8.51,18.94
316,002555,三七互娱,2.87,11.73,33.9
317,300515,三德科技,2.29,9.96,46.87
318,002093,国脉科技,3.04,7.48,20.14
319,603458,勘设股份,16.23,40.7,65.25
320,300223,北京君正,5.62,22.13,41.21
321,300047,天源迪科,7.1,15.36,30.33
322,002825,纳尔股份,4.09,14.3,16.1
323,600308,华泰股份,6.27,4.68,16.56
324,002048,宁波华翔,12.47,11.93,8.32
325,300113,顺网科技,4.65,17.73,78.1
326,002635,安洁科技,9.32,16.35,26.5
327,300479,神思电子,2.57,14.91,45.28
328,601258,庞大集团,2.01,1.81,34.38
329,300539,横河模具,1.82,8.75,9.69
330,300374,恒通科技,5.9,11.7,30.86
331,600677,XD航天通,6.22,8.05,11.6
332,603789,星光农机,4.11,12.47,21.53
333,600872,中炬高新,4.16,26.47,10.29
334,600779,水井坊,3.55,54.63,11.74
335,600794,保税科技,1.51,2.97,14.12
336,002471,中超控股,1.49,2.96,21.65
337,600486,扬农化工,13.48,55.5,18.87
338,002921,联诚精密,8.26,35.92,20.12
339,300296,利亚德,2.8,12.6,16.11
340,002466,天齐锂业,8.09,47.52,83.05
341,000996,中国中期,1.55,8.93,20.33
342,002896,中大力德,6.81,43.2,20.47
343,300589,江龙船艇,1.52,14.54,21.52
344,600667,太极实业,2.89,7.47,8.94
345,603025,大豪科技,3.15,18.35,28.5
346,002232,启明信息,2.61,7.87,15.24
347,300165,天瑞仪器,3.56,5.25,56.26
348,603396,金辰股份,11.19,32.28,53.44
