,code,name,bvps,timeToMarket,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
12,sz300452,山河药辅,3.28,20150515,20150529.0,27.840000152588,20180629.0,14.369999885559,20170630.0,27.5,20160729.0,45.700000762939,20150831.0,27.39999961853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,sh600810,神马股份,5.95,19940106,19940131.0,3.3565921783447,20180629.0,14.859999656677,20170630.0,7.9299998283386,20160630.0,7.4699997901917,20150630.0,10.979999542236,20140630.0,5.3499999046326,20130628.0,4.8099999427795,20120629.0,8.2799997329712,20110630.0,16.340000152588,20100531.0,10.510000228882,20090527.0,5.8299999237061,20080530.0,7.9299998283386,20070531.0,8.4350004196167,20060531.0,4.2550001144409,20050531.0,2.2784695625305,20040531.0,4.2716670036316,20030530.0,4.0675849914551,20020531.0,5.3669047355652,20010531.0,6.8220682144165,20000531.0,6.3087720870972,19990531.0,5.8387656211853,19980529.0,10.514090538025,19970530.0,6.1130952835083,19960531.0,3.5759496688843,19950531.0,3.6710925102234,19940531.0,3.2218062877655,,,,
14,sh603229,奥翔药业,3.54,20170509,20180709.0,16.680000305176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,sh603067,振华股份,3.78,20160913,20161027.0,34.630001068115,20180629.0,12.300000190735,20170630.0,20.090000152588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,sh603693,江苏新能,6.76,20180703,20180709.0,18.989999771118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,sz300425,环能科技,2.2,20150216,20150227.0,14.363636016846,20180629.0,4.5999999046326,20170630.0,11.109999656677,20160729.0,29.389999389648,20150630.0,29.940906524658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,sh600801,华新水泥,8.29,19940103,19940131.0,0.58048075437546,20180629.0,15.029999732971,20170630.0,9.5299997329712,20160630.0,6.3099999427795,20150630.0,10.519999504089,20140630.0,6.4500002861023,20130628.0,6.2674999237061,20120629.0,7.3675003051758,20110630.0,15.448749542236,20100630.0,4.5237503051758,20090630.0,6.8143749237061,20080630.0,4.3299999237061,20070629.0,6.5206246376038,20060630.0,1.1300001144409,20050630.0,0.09129810333252,20040630.0,0.86533659696579,20030630.0,0.89418268203735,20020628.0,1.7547597885132,20010629.0,1.9146153926849,20000630.0,1.215096116066,19990630.0,0.80884623527527,19980630.0,0.63817310333252,19970627.0,0.5804808139801,19960627.0,0.52038466930389,19950630.0,0.15259623527527,19940630.0,-0.14067304134369,,,,
19,sz300416,苏试试验,4.26,20150122,20150130.0,14.440000534058,20180629.0,20.190000534058,20170630.0,24.969999313354,20160729.0,30.760000228882,20150831.0,31.020000457764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,sz300707,威唐工业,3.89,20171010,20180709.0,29.219999313354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,sz002908,德生科技,4.74,20171020,20180709.0,39.220001220703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
