,code,name,bvps,timeToMarket,0,1,2,3,4
50,sh600598,北大荒,3.55,20020329,20020329.0,2.06125831604,20180629.0,9.1599998474121,3.4438873944775126
51,sh603259,药明康德,7.1,20180508,20180706.0,95.889999389648,20180706.0,95.889999389648,0.0
52,sz000066,中国长城,2.22,19970626,19970627.0,2.2388632297516,20180629.0,7.1100001335144,2.1757188375920795
53,sz002648,卫星石化,6.87,20111228,20111230.0,8.4499998092651,20180629.0,11.029999732971,0.3053254416499548
54,sz002580,圣阳股份,3.31,20110506,20110531.0,9.1803293228149,20180629.0,6.2300000190735,-0.32137510540163955
55,sh600260,凯乐科技,7.06,20000706,20000731.0,5.3476190567017,20180629.0,26.840000152588,4.019056119742073
56,sz300470,日机密封,9.54,20150612,20150630.0,47.200000762939,20180629.0,46.970001220703,-0.0048728715787774894
57,sz000046,泛海控股,4.09,19940912,19940930.0,-0.03275454044342,20180629.0,5.6900000572205,-174.71637581206102
58,sz002199,东晶电子,1.86,20071221,20071228.0,9.7287187576294,20180629.0,9.4700002670288,-0.026593274720549346
59,sz002522,浙江众成,2.01,20101210,20101231.0,5.0705771446228,20180629.0,6.4699997901917,0.2759888284222137
60,sz300637,扬帆新材,4.81,20170412,20180706.0,25.420000076294,20180706.0,25.420000076294,0.0
61,sz002796,世嘉科技,11.49,20160510,20160531.0,55.71000289917,20180629.0,27.530000686646,-0.5058337954770389
62,sz300466,赛摩电气,2.54,20150528,20150529.0,5.3800001144409,20180629.0,7.5799999237061,0.4089218889345373
63,sz002460,赣锋锂业,3.85,20100810,20100831.0,11.0625,20180629.0,38.580001831055,2.48745779263774
64,sh603200,上海洗霸,9.82,20170601,20180706.0,34.770000457764,20180706.0,34.770000457764,0.0
65,sh600359,新农开发,1.8,19990429,19990430.0,5.5730772018433,20180629.0,4.460000038147,-0.19972398073512215
66,sh603970,中农立华,5.04,20171116,20180706.0,22.610000610352,20180706.0,22.610000610352,0.0
67,sz002202,金风科技,6.01,20071226,20071228.0,29.385623931885,20180629.0,12.640000343323,-0.5698576837224165
68,sz300413,快乐购,4.22,20150121,20150130.0,25.267999649048,20180629.0,37.939998626709,0.5015038449289526
69,sz300727,润禾材料,3.75,20171127,20180706.0,30.280000686646,20180706.0,30.280000686646,0.0
70,sz300499,高澜股份,5.13,20160202,20160229.0,31.466667175293,20180629.0,14.609999656677,-0.5356991709580072
71,sh600455,博通股份,2.05,20040329,20040331.0,21.115045547485,20180629.0,21.940000534058,0.03906953384106059
72,sh600313,农发种业,1.27,20010119,20010119.0,2.027827501297,20180629.0,3.0099999904633,0.48434715898571323
73,sz300454,深信服,4.68,20180516,20180706.0,118.0,20180706.0,118.0,0.0
74,sz002849,威星智能,4.32,20170217,20180706.0,18.639999389648,20180706.0,18.639999389648,0.0
75,sz300702,天宇股份,7.19,20170919,20180706.0,22.459999084473,20180706.0,22.459999084473,0.0
76,sz300036,超图软件,4.04,20091225,20091231.0,7.291796207428,20180629.0,20.389999389648,1.7962930956404317
77,sz000971,高升控股,3.62,20000427,20000428.0,6.613404750824,20180629.0,4.3299999237061,-0.34526917875900437
78,sh600094,大名城,4.81,19970703,19970731.0,2.2009587287903,20180629.0,5.7600002288818,1.617041452679867
79,sh600569,安阳钢铁,2.76,20010820,20010831.0,2.4175622463226,20180629.0,3.9400000572205,0.6297408942473804
80,sh603661,恒林股份,21.99,20171121,20180706.0,42.610000610352,20180706.0,42.610000610352,0.0
81,sh603328,依顿电子,4.73,20140701,20140731.0,25.159999847412,20180629.0,10.85000038147,-0.5687599186298863
82,sh601992,金隅集团,3.82,20110301,20110331.0,7.8295001983643,20180629.0,3.2799999713898,-0.5810716024919392
83,sz000555,神州信息,5.11,19940408,19940428.0,1.1243414878845,20180629.0,13.279999732971,10.811357915785823
84,sz002729,好利来,6.33,20140912,20140930.0,35.069999694824,20180629.0,27.129999160767,-0.2264043513872305
85,sh600371,万向德农,2.14,20020916,20020927.0,6.1901168823242,20180629.0,8.3199996948242,0.3440779637912577
86,sz300138,晨光生物,3.24,20101105,20101130.0,14.875,20180629.0,7.0500001907349,-0.526050407345553
87,sz300221,银禧科技,4.51,20110525,20110531.0,3.8825001716614,20180629.0,9.8999996185303,1.5499032017541137
88,sh603773,沃格光电,11.12,20180417,20180706.0,73.629997253418,20180706.0,73.629997253418,0.0
89,sz300738,奥飞数据,7.99,20180119,20180706.0,58.290000915527,20180706.0,58.290000915527,0.0
90,sh603666,亿嘉和,6.54,20180612,20180706.0,115.48999786377,20180706.0,115.48999786377,0.0
91,sh603848,好太太,2.83,20171201,20180706.0,20.639999389648,20180706.0,20.639999389648,0.0
92,sh600629,华建集团,5.88,19930209,19930226.0,2.6235132217407,20180629.0,11.930000305176,3.5473375953716175
93,sz002910,庄园牧场,6.11,20171031,20180706.0,21.139999389648,20180706.0,21.139999389648,0.0
94,sz300275,梅安森,3.32,20111102,20111130.0,13.327208518982,20180629.0,9.0,-0.3246897887745013
95,sz300461,田中精机,2.82,20150519,20150529.0,24.040000915527,20180629.0,26.389999389648,0.09775367656509448
96,sh600330,天通股份,3.85,20010118,20010119.0,7.2418055534363,20180629.0,6.8499999046326,-0.05410330972194969
97,sh603013,亚普股份,4.82,20180509,20180706.0,29.420000076294,20180706.0,29.420000076294,0.0
98,sz002777,久远银海,5.54,20151231,20151231.0,16.0,20180629.0,27.469999313354,0.7168749570846249
99,sh603860,中公高科,8.42,20170802,20180706.0,30.690000534058,20180706.0,30.690000534058,0.0
100,sh603677,奇精机械,4.64,20170206,20180706.0,16.110000610352,20180706.0,16.110000610352,0.0
101,sh603801,志邦股份,10.81,20170630,20180706.0,42.639999389648,20180706.0,42.639999389648,0.0
102,sz000605,渤海股份,8.12,19960913,19960927.0,3.5476469993591,20180629.0,14.510000228882,3.0900349531684808
103,sz002556,辉隆股份,3.23,20110302,20110331.0,7.3895831108093,20180629.0,5.0,-0.3233718431712172
104,sz300123,亚光科技,8.25,20100928,20100930.0,10.467805862427,20180629.0,11.439999580383,0.09287464161382473
105,sh603031,安德利,5.49,20160822,20161027.0,73.099998474121,20180629.0,13.029999732971,-0.8217510259239759
106,sz300353,东土科技,4.31,20120927,20120928.0,3.163937330246,20180629.0,12.789999961853,3.0424315107589575
107,sz002312,三泰控股,2.36,20091203,20091231.0,2.9741396903992,20180629.0,3.7200000286102,0.2507818784096479
108,sz002860,星帅尔,5.79,20170412,20180706.0,20.10000038147,20180706.0,20.10000038147,0.0
109,sh600271,航天信息,5.33,20030711,20030731.0,-0.028224945068359,20180629.0,25.270000457764,-896.3073388295951
110,sz300449,汉邦高科,7.66,20150422,20150430.0,22.545000076294,20180629.0,18.290000915527,-0.1887336059599804
111,sh603828,柯利达,2.56,20150226,20150227.0,27.10000038147,20180629.0,6.3899998664856,-0.764206650312269
112,sz002539,云图控股,3.09,20110118,20110131.0,5.4619998931885,20180629.0,4.3699998855591,-0.19992677205856432
113,sh600108,亚盛集团,2.43,19970818,19970829.0,0.44128531217575,20180629.0,2.8900001049042,5.549051203755462
114,sz300689,澄天伟业,7.99,20170809,20180706.0,46.090000152588,20180706.0,46.090000152588,0.0
115,sz002278,神开股份,2.93,20090811,20090831.0,10.48237323761,20180629.0,6.710000038147,-0.35987777900599804
116,sh600354,敦煌种业,1.66,20040115,20040130.0,3.2851243019104,20180629.0,5.1199998855591,0.5585406867501677
117,sz002104,恒宝股份,2.58,20070110,20070131.0,1.6026468276978,20180629.0,6.8099999427795,3.2492206174719453
118,sz002581,未名医药,4.46,20110520,20110531.0,6.0153846740723,20180629.0,10.64999961853,0.7704602773674579
119,sz000918,嘉凯城,2.75,19990720,19990730.0,6.5966668128967,20180629.0,4.5500001907349,-0.3102576922879446
120,sh600067,冠城大通,4.84,19970508,19970530.0,0.17259973287582,20180629.0,3.9700000286102,22.001194512082407
121,sh600754,锦江股份,12.97,19961011,19961031.0,0.95991086959839,20180629.0,36.959999084473,37.50357387862106
122,sh600736,苏州高新,5.15,19960815,19960830.0,0.83172410726547,20180629.0,6.0500001907349,6.274046932012106
123,sz002701,奥瑞金,2.47,20121011,20121031.0,2.1367185115814,20180629.0,5.460000038147,1.5553202298537756
124,sz002023,海特高新,4.62,20040721,20040730.0,1.334081530571,20180629.0,12.539999961853,8.399725334991901
125,sh603336,宏辉果蔬,4.57,20161124,20180706.0,30.389999389648,20180706.0,30.389999389648,0.0
126,sz300056,三维丝,3.53,20100226,20100226.0,6.3184719085693,20180629.0,6.1100001335144,-0.03299401786880858
127,sh603348,文灿股份,7.08,20180426,20180706.0,34.479999542236,20180706.0,34.479999542236,0.0
128,sz002908,德生科技,4.74,20171020,20180706.0,35.650001525879,20180706.0,35.650001525879,0.0
129,sz300069,金利华电,4.54,20100421,20100430.0,14.485898017883,20180629.0,11.939999580383,-0.1757501284599036
130,sz300511,雪榕生物,3.46,20160504,20160531.0,58.0,20180629.0,8.8800001144409,-0.8468965497510189
131,sz000935,四川双马,3.95,19990824,19990831.0,3.5594017505646,20180629.0,15.479999542236,3.349045324760131
132,sz300634,彩讯股份,2.77,20180323,20180706.0,40.110000610352,20180706.0,40.110000610352,0.0
133,sh603356,华菱精工,4.92,20180124,20180706.0,20.909999847412,20180706.0,20.909999847412,0.0
134,sz300021,大禹节水,1.81,20091030,20091030.0,7.8974995613098,20180629.0,5.1799998283386,-0.3440962182871591
135,sh600887,伊利股份,4.47,19960312,19960329.0,-1.1109392642975,20180629.0,27.89999961853,-26.11388382349822
136,sh603286,日盈电子,4.89,20170627,20180706.0,19.680000305176,20180706.0,19.680000305176,0.0
137,sz002426,胜利精密,2.61,20100608,20100630.0,2.6789999008179,20180615.0,3.5999999046326,0.34378500855245203
138,sz300656,民德电子,4.77,20170519,20180706.0,27.39999961853,20180706.0,27.39999961853,0.0
139,sz300306,远方信息,6.87,20120329,20120330.0,10.402500152588,20180629.0,9.3199996948242,-0.10406156615094979
140,sz002220,天宝食品,3.61,20080228,20080229.0,7.9228572845459,20180629.0,4.0599999427795,-0.48755861717983734
141,sz300115,长盈精密,4.92,20100902,20100930.0,4.5742626190186,20180629.0,12.970000267029,1.8354297396706292
142,sh603186,华正新材,4.82,20170103,20180706.0,15.310000419617,20180706.0,15.310000419617,0.0
143,sz300290,荣科科技,2.22,20120216,20120229.0,4.335000038147,20180629.0,7.2199997901917,0.665513201074364
144,sz000042,中洲控股,10.0,19940921,19940930.0,0.59981632232666,20180629.0,14.829999923706,23.724235356218898
145,sz002755,东方新星,3.04,20150515,20150529.0,27.889999389648,20180629.0,9.5600004196167,-0.6572247892136882
146,sz002412,汉森制药,4.24,20100525,20100531.0,9.4499998092651,20180629.0,15.64999961853,0.6560846491431895
147,sz000560,我爱我家,4.05,19940202,19940228.0,1.6574791669846,20180629.0,5.6599998474121,2.414824125789261
148,sh600056,中国医药,7.66,19970515,19970530.0,0.6727859377861,20180629.0,18.270000457764,26.15574067716709
149,sh603890,春秋电子,6.98,20171212,20180706.0,17.409999847412,20180706.0,17.409999847412,0.0
150,sz002091,江苏国泰,4.66,20061208,20061229.0,1.8776295185089,20180629.0,6.3499999046326,2.381923772521102
151,sh600686,金龙汽车,5.81,19931108,19931130.0,0.29133170843124,20180629.0,12.489999771118,41.87209187895826
152,sz002836,新宏泽,2.72,20161229,20180706.0,15.279999732971,20180706.0,15.279999732971,0.0
153,sh603067,振华股份,3.78,20160913,20161027.0,34.630001068115,20180629.0,12.300000190735,-0.6448166384245358
154,sz300107,建新股份,2.01,20100820,20100831.0,7.4230847358704,20180629.0,14.359999656677,0.9345056897014129
155,sz002456,欧菲科技,3.47,20100803,20100831.0,6.8600001335144,20180629.0,16.129999160767,1.3513117852526264
156,sz002696,百洋股份,5.6,20120905,20120928.0,10.630000114441,20180629.0,12.289999961853,0.1561617901731599
157,sz002671,龙泉股份,4.46,20120426,20120427.0,5.0173926353455,20180629.0,4.460000038147,-0.11109208262313268
158,sz300172,中电环保,2.4,20110201,20110228.0,6.0733733177185,20180629.0,5.6300001144409,-0.07300279104926738
159,sz000901,航天科技,6.15,19990401,19990430.0,5.3293399810791,20180629.0,10.020000457764,0.8801578606991259
160,sh600621,华鑫股份,6.16,19921202,19921231.0,-0.16754233837128,20180629.0,10.170000076294,-61.70107517394741
161,sh600525,长园集团,6.22,20021202,20021231.0,1.1246705055237,20180629.0,10.569999694824,8.398307898100436
162,sz300334,津膜科技,5.47,20120705,20120731.0,10.115555763245,20180629.0,8.1400003433228,-0.1952987523533216
163,sh603868,飞科电器,5.93,20160418,20160429.0,60.229999542236,20180629.0,48.369998931885,-0.19691184958476102
164,sh603021,山东华鹏,4.22,20150423,20150430.0,20.039999008179,20180629.0,6.9899997711182,-0.6511975989487152
165,sh603288,海天味业,4.8,20140211,20140228.0,18.302778244019,20180629.0,73.639999389648,3.0234328585449677
166,sz300651,金陵体育,8.12,20170509,20180706.0,38.459999084473,20180706.0,38.459999084473,0.0
167,sh600540,新赛股份,1.33,20040107,20040130.0,3.7590353488922,20180629.0,3.8199999332428,0.016218146064672312
168,sh603859,能科股份,5.9,20161021,20161027.0,15.920000076294,20180629.0,17.25,0.0835427083751377
169,sh603896,寿仙谷,6.48,20170510,20180706.0,46.0,20180706.0,46.0,0.0
170,sz300404,博济医药,3.04,20150424,20150430.0,13.514999389648,20180629.0,20.809999465942,0.5397706552529854
171,sz002577,雷柏科技,4.21,20110428,20110429.0,13.207646369934,20180629.0,13.579999923706,0.02819227160863635
172,sz002288,超华科技,1.85,20090903,20090930.0,2.5143022537231,20180629.0,4.25,0.6903297897882933
173,sz000788,北大医药,2.0,19970616,19970627.0,4.3833827972412,20180629.0,6.5700001716614,0.49884244100159497
