code,name,pe,pb,eps,net2018-06,net_radio2018-06,count,grow_3,grow_6,month_six_rs,price,vol_radio,volume_end,volume_start,year,year_rs
QGEN,快而精医药,113.054722,3.492986,0.343462,36815000,1.6389,252,0.036666667,0.633333333,0.211590782,19.8081496,2.154669022,20146841.69,6386356.714,21,0.166394994
CGG,CGG Veritas,0.534127,0.025077,5.092422,49100000,1.2893,252,0.034466667,0.047233333,0.379340132,552.2225929,3.816219679,131739.5476,27353.30952,21,0.295099657
IDCC,InterDigital,22.27469,2.821159,3.712734,9776000,-0.8103,252,0.033333333,1.183333333,0.363258196,31.80734127,-0.055650568,11281020.69,11945811.9,21,0.296858438
OAK,橡树资本,19.450398,6.954208,2.12335,65757000,-0.7774,78,0.033333333,0.191666667,0.098437966,47.35987179,0.211407132,5547098.487,4579053.846,6,0.069978385
USG,美国石绵,65.256574,3.239788,0.661849,58000000,0.6111,252,0.033333333,0.435,0.455164089,29.34452381,1.303199541,35518406.02,15421332.54,21,0.36045902
SPLP,Steel Partners Holdings LP Ltd,0,0.808806,-0.123505,13555000,-0.1376,78,0.033333333,-0.18245,0.095953048,15.95622436,0.065118948,307437.0256,288641.0256,6,0.072224886
SID,巴西国家黑色冶金,4.144997,0.444466,0.537998,1190000000,2.859,248,0.033333333,-0.096666667,0.572085872,4.999162097,0.498082929,97638883.85,65175887.1,20,0.440449629
NDRO,Enduro Royalty Trust,2.436415,1.285287,1.395493,4433000,0.3552,83,0.033333333,0.041666667,0.212753964,8.884216867,-0.415948549,1825912.929,3126287.805,6,0.164893172
CHKR,Chesapeake Granite Wash Trust,6.563919,3.115124,0.266609,2193000,-0.3775,83,0.033333333,0.081666667,0.280213913,8.987216867,-0.540871486,2621303.548,5709302.439,6,0.194321494
HBP,Huttig Building Products,0,2.100905,-0.345024,200000,-0.9091,58,0.03,-0.073333333,0.225061036,4.908748276,5.166617518,2187037.897,354657.6207,4,0.167114002
AUO,友达光电,4.16695,0.020656,1.02953,39713000,-0.9956,194,0.03,-0.056666667,0.248421461,7.611014433,-0.51421625,27038178.71,55658878.52,16,0.210706289
TV,墨西哥电视,30.947907,11.510421,0.59067,4761000000,1.5302,252,0.03,0.481666667,0.132318181,19.00051587,-0.083465063,42687988.56,46575407.94,21,0.118120745
TEN,天纳克,8.636486,3.090252,4.989298,66000000,3.4,252,0.03,-1.781666667,0.572094035,28.52071429,1.062843941,15626519.27,7575230.952,21,0.380429178
ASV,"ASV Holdings, Inc.",0,0.864124,-0.038033,319000,-0.8179,17,0.026666667,-0.238333333,0.098443047,7.573529412,-0.035583689,348024.3333,360865.25,1,0.028111931
MITL,Mitel Networks Corporation,0,3.350247,-0.286568,15400000,155,102,0.026666667,0.301666667,0.285675561,7.073529412,5.247852879,15494797.65,2480019.608,8,0.231263938
ASX,日月光半导体,20.362939,0.186636,0.233758,11652000000,0.4239,216,0.026666667,-0.431666667,0.266247941,3.280711574,0.44073623,22931762.67,15916697.44,18,0.211221176
BSM,"Black Stone Minerals, L.P.",37.389205,4.812937,0.499342,28690000,-0.4704,41,0.026666667,0.343333333,0.127513039,16.63219512,-0.385839177,3070791.952,4999980.2,3,0.080502488
AVHI,AV Homes Inc,0,1.112142,-1.083564,2999000,3.6352,252,0.025,0.645833333,0.281581167,26.5977381,1.099228243,1131632.302,539070.6349,21,0.222090388
ADES,Advanced Emissions Solutions Inc,6.452133,2.814032,1.748259,15291000,1.3862,32,0.023333333,-0.015,0.142753829,10.68687188,0.45892157,2631148,1803488.313,2,0.098202612
CKX,CKX Lands,16.297376,1.355807,0.645472,151700,-0.2894,252,0.0212,0.094166667,0.267246966,9.956978175,0.107983874,27155.27778,24508.73016,21,0.208147955
PQG,PQ Group Holdings Inc.,26.274839,1.470224,0.676693,16159000,10.676,13,0.02,0.66,0.052451147,16.32384615,-0.554372834,4288441.857,9623385.167,1,-0.007635882
HCXZ,"Hercules Capital, Inc.",19.43043,0,1.284583,52060000,0.5705,5,0.017633333,0.12458,-0.017261916,24.834,-0.350849491,227759,350857,0,-0.017261916
GPK,Graphic Packaging Holding,14.85317,2.602358,0.966797,66000000,0.5714,252,0.016666667,-0.153333333,0.414607115,7.801666667,16.3318119,40791739.83,2353576.19,21,0.292651777
SPAR,Spartan Motors,21.624872,2.911361,0.682085,3740000,2.3274,252,0.016666667,-0.341666667,0.593620989,5.835535714,0.044471244,3726706.381,3568031.579,21,0.426094874
MXIM,美信集成,37.127738,8.890839,1.663177,194000000,0.189,252,0.013333333,-0.21,0.163399955,34.44876984,-0.423052683,59225247.94,102652783.3,21,0.139634202
TDC,Teradata,0,8.516066,-0.510168,4000000,2,133,0.013333333,0.096666667,0.226892241,38.77293233,0.110747927,36137434.9,32534325.76,11,0.171029384
OCSI,Fifth Street Senior Floating Rate,0,0.884144,-0.072944,1725100,11.3934,63,0.01,0.11,0.07696614,9.993650794,-0.243163578,2522661.063,3333165.516,5,0.054862565
HTFA,Horizon Technology Finance Corporation,27.426118,0,0.931962,2930000,2.9973,12,0.006666667,-0.046666667,0.01118762,25.5825,-0.746495476,35375.5,139545.8333,1,-0.011616062
GILT,吉来特卫星网络,48.193968,2.143939,0.181143,2151000,0.0089,252,0.003333333,0.083333333,0.268959097,212.0931266,-0.145627222,1148652.667,1344439.683,21,0.240151278
MWA,Mueller Water Products,18.616339,3.462165,0.631166,15300000,-0.3625,149,0.003333333,0.163333333,0.30427444,8.510067114,-0.07036089,22098593.24,23771152.7,12,0.242892647
VSM,"Versum Materials, Inc.",22.34346,33.850498,1.72847,64100000,0.1718,24,0.003333333,-0.118333333,0.074414308,34.48416667,-0.499175263,9889586.5,19746601.5,2,0.05344817
