,fz_2007-12-31,fz_2008-12-31,fz_2009-12-31,fz_2010-12-31,fz_2011-12-31,fz_2012-12-31,fz_2013-12-31,fz_2014-12-31,fz_2015-12-31,fz_2016-12-31,fz_2017-12-31,lrl_2007-12-31,lrl_2008-12-31,lrl_2009-12-31,lrl_2010-12-31,lrl_2011-12-31,lrl_2012-12-31,lrl_2013-12-31,lrl_2014-12-31,lrl_2015-12-31,lrl_2016-12-31,lrl_2017-12-31,roe_2007-12-31,roe_2008-12-31,roe_2009-12-31,roe_2010-12-31,roe_2011-12-31,roe_2012-12-31,roe_2013-12-31,roe_2014-12-31,roe_2015-12-31,roe_2016-12-31,roe_2017-12-31,zz_2007-12-31,zz_2008-12-31,zz_2009-12-31,zz_2010-12-31,zz_2011-12-31,zz_2012-12-31,zz_2013-12-31,zz_2014-12-31,zz_2015-12-31,zz_2016-12-31,zz_2017-12-31
sz002218,,,21.87%,42.46%,29.47%,38.06%,43.88%,56.08%,38.63%,43.72%,50.72%,,,14.54%,16.38%,-29.22%,1.01%,1.22%,-0.91%,4.27%,11.28%,10.77%,,,4.83%,13.00%,-10.73%,0.37%,0.91%,-0.38%,1.35%,4.85%,5.89%,,,0.28次,0.52次,0.28次,0.24次,0.44次,0.19次,0.20次,0.25次,0.29次
sz300449,,,,,47.99%,50.91%,53.89%,53.39%,26.26%,29.28%,32.66%,,,,,11.06%,10.62%,9.45%,10.08%,9.49%,5.77%,6.88%,,,,,30.50%,24.59%,22.17%,19.43%,8.67%,4.67%,5.64%,,,,,2.24次,1.17次,1.11次,0.89次,0.62次,0.62次,0.51次
sh600890,,,37.02%,42.97%,14.23%,14.13%,16.22%,21.37%,9.77%,9.75%,8.76%,,,36.35%,-213.83%,377.37%,-122.03%,23.31%,-87.42%,76.22%,-387.87%,10.52%,,,14.15%,-7.98%,15.14%,-4.75%,4.59%,-4.16%,3.77%,-13.69%,2.78%,,,0.25次,0.02次,0.03次,0.03次,0.17次,0.04次,0.04次,0.03次,0.24次
sz300023,,,9.44%,6.89%,8.93%,9.50%,16.14%,30.23%,77.01%,82.57%,83.89%,,,22.95%,19.74%,11.87%,-25.46%,-31.79%,18.64%,19.78%,11.44%,4.40%,,,27.46%,3.84%,2.36%,-3.45%,-3.35%,4.73%,8.08%,6.20%,2.79%,,,0.54次,0.18次,0.21次,0.17次,0.12次,0.20次,0.13次,0.12次,0.11次
sh601066,,,88.92%,86.16%,78.11%,76.07%,80.49%,86.44%,83.52%,77.29%,78.63%,,,43.03%,38.03%,30.29%,30.30%,31.47%,39.57%,45.51%,40.07%,35.93%,,,--,--,--,--,--,22.90%,40.00%,18.10%,9.90%,,,0.12次,0.08次,0.07次,0.09次,0.10次,0.09次,0.12次,0.07次,0.06次
sz300356,,,42.00%,22.11%,31.20%,16.45%,26.01%,30.81%,34.89%,33.27%,43.29%,,,31.91%,29.35%,20.40%,18.83%,14.64%,8.55%,6.98%,9.90%,-73.26%,,,46.89%,33.97%,25.27%,20.43%,7.11%,5.21%,3.01%,4.69%,-32.12%,,,1.49次,0.65次,0.89次,0.69次,0.38次,0.24次,0.34次,0.37次,0.26次
sz002922,,,,,,,42.28%,61.07%,44.35%,46.98%,35.07%,,,,,,,5.07%,3.35%,15.89%,8.09%,6.78%,,,,,,,9.85%,7.29%,38.77%,16.52%,16.27%,,,,,,,2.15次,1.09次,1.08次,1.10次,1.05次
sz002902,,,,,,54.96%,53.78%,53.80%,56.98%,52.35%,37.78%,,,,,,7.96%,6.00%,6.62%,6.09%,6.44%,5.32%,,,,,,25.26%,17.36%,19.23%,19.56%,18.34%,11.77%,,,,,,2.54次,1.32次,1.34次,1.41次,1.29次,1.07次
sz300644,,,,,,,,60.80%,53.75%,45.61%,48.47%,,,,,,,,4.59%,9.05%,8.55%,5.49%,,,,,,,,18.99%,28.16%,22.67%,13.85%,,,,,,,,3.01次,1.35次,1.35次,1.31次
sz300615,,,,,43.81%,39.22%,40.96%,38.68%,30.13%,34.99%,13.34%,,,,,28.28%,29.85%,30.64%,31.47%,25.26%,23.71%,13.33%,,,,,73.24%,61.12%,50.23%,55.94%,31.40%,30.73%,7.58%,,,,,2.13次,1.19次,0.96次,1.10次,0.80次,0.83次,0.55次
sz300073,,,54.26%,12.53%,9.25%,13.07%,14.84%,19.70%,28.67%,38.00%,41.85%,,,7.51%,4.09%,-0.11%,2.38%,1.54%,-4.09%,1.54%,7.44%,11.59%,,,30.75%,5.69%,-0.09%,1.78%,1.15%,-3.08%,1.33%,7.69%,17.22%,,,1.82次,1.30次,0.71次,0.66次,0.64次,0.62次,0.62次,0.68次,0.88次
sz300634,,,,,,,7.23%,7.60%,6.90%,11.71%,12.99%,,,,,,,40.78%,24.91%,19.50%,20.11%,22.66%,,,,,,,21.31%,12.45%,9.77%,13.63%,16.91%,,,,,,,0.92次,0.46次,0.47次,0.61次,0.67次
sh603666,,,,,,,,82.38%,59.03%,32.97%,39.35%,,,,,,,,8.82%,7.11%,20.94%,37.18%,,,,,,,,65.62%,23.14%,38.23%,51.41%,,,,,,,,1.98次,1.09次,0.98次,0.92次
sh601990,,,75.25%,68.08%,61.01%,64.96%,62.47%,79.99%,78.39%,65.45%,60.00%,,,44.09%,34.23%,20.91%,20.57%,26.86%,39.08%,47.10%,32.92%,29.77%,,,--,--,--,--,6.83%,12.83%,24.24%,5.36%,4.42%,,,0.14次,0.10次,0.09次,0.08次,0.09次,0.08次,0.09次,0.04次,0.05次
sz300571,,,,,23.48%,22.35%,15.67%,16.72%,20.44%,27.66%,50.06%,,,,,15.82%,23.14%,22.68%,16.37%,15.31%,10.30%,11.63%,,,,,26.32%,42.58%,40.60%,26.22%,25.62%,33.43%,33.11%,,,,,2.06次,1.38次,1.43次,1.34次,1.36次,1.92次,1.74次
sz300167,,,32.27%,38.56%,11.63%,9.50%,26.60%,36.14%,37.44%,40.24%,41.16%,,,20.40%,14.36%,9.63%,6.51%,1.28%,-2.35%,5.00%,6.88%,-1.87%,,,26.37%,27.06%,4.37%,2.79%,0.74%,-1.05%,1.45%,4.13%,-0.81%,,,0.92次,0.83次,0.40次,0.27次,0.24次,0.22次,0.29次,0.34次,0.42次
sz300113,,,26.13%,3.25%,5.30%,9.97%,30.34%,21.97%,21.91%,24.55%,19.78%,,,37.45%,32.26%,36.88%,33.65%,29.54%,24.71%,30.40%,35.97%,33.84%,,,72.59%,16.54%,8.90%,11.95%,12.24%,16.69%,23.61%,24.94%,18.87%,,,1.53次,0.36次,0.23次,0.33次,0.32次,0.50次,0.63次,0.64次,0.49次
sz002930,,,,,,,66.54%,68.70%,51.42%,41.78%,36.32%,,,,,,,19.41%,22.97%,24.26%,22.86%,25.41%,,,,,,,9.22%,10.35%,11.85%,8.06%,8.08%,,,,,,,0.26次,0.15次,0.18次,0.19次,0.19次
sz002909,,,,,,47.22%,61.22%,55.56%,43.71%,46.90%,41.20%,,,,,,8.14%,7.96%,5.15%,9.67%,8.52%,5.64%,,,,,,29.92%,22.14%,27.87%,21.93%,15.00%,16.69%,,,,,,2.97次,1.47次,1.39次,1.18次,1.12次,1.24次
sz002684,,,47.59%,48.76%,50.36%,27.52%,39.90%,47.64%,45.67%,72.62%,74.82%,,,11.79%,11.16%,10.34%,8.61%,-5.80%,2.15%,-0.07%,3.76%,-4.40%,,,23.41%,20.82%,18.97%,10.75%,-3.06%,2.08%,0.38%,6.54%,-5.01%,,,1.57次,0.97次,0.92次,0.79次,0.36次,0.52次,0.42次,0.52次,0.45次
sz002280,,,7.78%,14.37%,12.13%,14.31%,14.62%,12.21%,37.86%,23.04%,44.82%,,,21.66%,16.21%,11.62%,1.74%,-19.19%,51.28%,47.48%,29.53%,0.48%,,,15.90%,8.91%,8.93%,0.96%,-9.17%,55.26%,32.48%,6.31%,1.05%,,,0.54次,0.48次,0.66次,0.45次,0.41次,0.44次,0.48次,0.24次,1.06次
sz300188,,,45.39%,48.91%,17.93%,15.74%,18.61%,25.69%,23.21%,27.95%,24.47%,,,23.22%,21.83%,22.91%,22.45%,16.11%,20.46%,19.98%,17.91%,19.62%,,,43.31%,45.23%,11.88%,10.84%,7.01%,12.94%,13.37%,10.39%,13.56%,,,1.05次,1.06次,0.52次,0.40次,0.40次,0.51次,0.43次,0.41次,0.47次
sz002691,,,35.62%,28.07%,24.71%,13.43%,13.23%,11.02%,15.69%,7.32%,11.23%,,,18.29%,23.87%,16.15%,18.42%,12.70%,12.22%,8.58%,3.71%,2.31%,,,26.66%,34.59%,17.21%,13.80%,5.35%,4.65%,2.88%,0.98%,1.08%,,,0.84次,0.88次,0.77次,0.59次,0.37次,0.33次,0.29次,0.23次,0.42次
sz300647,,,,,,40.50%,37.36%,28.20%,32.91%,36.55%,49.38%,,,,,,9.06%,10.94%,13.43%,14.67%,15.88%,9.66%,,,,,,29.75%,33.76%,30.84%,24.89%,21.82%,7.82%,,,,,,3.23次,1.83次,1.55次,1.16次,0.89次,0.54次
sz300568,,,,,,37.47%,44.51%,41.14%,44.11%,32.41%,45.89%,,,,,,22.10%,22.00%,23.67%,27.84%,30.32%,16.90%,,,,,,10.55%,11.51%,14.83%,23.99%,24.75%,8.62%,,,,,,0.60次,0.33次,0.39次,0.50次,0.36次,0.25次
sh600884,,,40.64%,47.05%,50.30%,53.04%,52.76%,51.88%,50.00%,40.74%,49.58%,,,4.90%,4.27%,4.89%,3.66%,3.83%,8.98%,15.75%,7.27%,12.21%,,,3.49%,3.57%,4.96%,5.18%,5.16%,9.34%,14.71%,4.17%,9.66%,,,0.42次,0.43次,0.45次,0.53次,0.54次,0.44次,0.44次,0.44次,0.45次
sz300547,,,,,66.05%,58.80%,52.24%,50.59%,44.77%,25.82%,23.83%,,,,,13.19%,13.79%,14.21%,14.17%,14.76%,16.51%,17.64%,,,,,33.38%,27.00%,24.62%,23.73%,24.56%,21.29%,17.53%,,,,,1.47次,0.74次,0.77次,0.80次,0.85次,0.76次,0.74次
sz300648,,,,,,25.13%,21.34%,33.06%,34.20%,42.92%,20.32%,,,,,,39.15%,35.22%,23.38%,21.08%,22.21%,20.15%,,,,,,70.32%,46.82%,23.83%,20.91%,25.66%,15.35%,,,,,,2.00次,0.97次,0.66次,0.66次,0.69次,0.59次
sz300411,,,,,55.10%,53.62%,50.76%,39.57%,34.85%,34.04%,10.69%,,,,,15.55%,14.72%,16.00%,13.05%,12.79%,12.41%,15.21%,,,,,30.44%,21.76%,20.60%,14.78%,8.11%,7.57%,6.64%,,,,,1.26次,0.68次,0.62次,0.45次,0.40次,0.40次,0.20次
sz002108,,,46.19%,46.83%,43.80%,37.68%,44.09%,35.41%,26.43%,23.66%,16.04%,,,13.37%,8.82%,6.12%,7.06%,7.66%,8.10%,9.90%,17.60%,15.47%,,,23.20%,21.13%,15.47%,13.06%,13.39%,13.45%,12.68%,24.10%,18.58%,,,1.09次,1.26次,1.34次,1.15次,1.01次,0.90次,0.88次,0.91次,0.94次
sz002808,28.26%,24.17%,,,12.32%,15.43%,16.16%,13.83%,13.62%,8.95%,13.15%,33.81%,31.22%,,,32.69%,20.77%,19.43%,19.54%,18.61%,14.94%,10.63%,55.58%,46.87%,,,29.23%,17.29%,18.38%,17.01%,15.12%,10.93%,5.72%,1.21次,1.11次,,,1.30次,0.74次,0.80次,0.74次,0.70次,0.60次,0.48次
sh601330,,,,,,,63.84%,56.20%,57.94%,62.64%,67.19%,,,,,,,15.47%,11.33%,29.13%,34.77%,26.31%,,,,,,,11.93%,3.58%,8.35%,11.60%,9.55%,,,,,,,0.58次,0.11次,0.12次,0.13次,0.13次
sz002619,,,59.41%,57.49%,25.93%,30.73%,35.47%,44.97%,12.94%,11.80%,16.21%,,,15.36%,15.52%,14.69%,7.81%,6.38%,1.89%,32.46%,38.04%,48.99%,,,33.32%,26.63%,15.73%,3.99%,4.80%,1.19%,6.34%,6.47%,9.71%,,,0.71次,0.71次,0.53次,0.36次,0.53次,0.37次,0.21次,0.15次,0.16次
sh603067,,,,,32.37%,40.29%,37.13%,34.32%,31.09%,8.94%,8.72%,,,,,20.29%,15.29%,11.64%,11.28%,8.05%,9.11%,8.47%,,,,,60.33%,22.94%,18.81%,16.44%,9.90%,10.23%,9.26%,,,,,1.97次,0.95次,0.80次,0.95次,0.83次,0.83次,1.00次
sz300352,,,14.33%,26.18%,15.37%,6.79%,8.21%,11.41%,13.76%,7.16%,11.14%,,,32.69%,43.94%,35.27%,31.64%,29.71%,25.88%,15.05%,16.30%,17.55%,,,43.35%,39.78%,33.91%,21.55%,10.96%,10.08%,9.54%,8.25%,4.20%,,,1.46次,0.70次,0.74次,0.47次,0.34次,0.35次,0.53次,0.30次,0.21次
sh600679,,,40.68%,43.23%,40.24%,43.66%,45.32%,42.87%,25.46%,25.90%,26.29%,,,0.74%,0.91%,-0.29%,-0.20%,-1.06%,6.40%,0.89%,9.43%,6.94%,,,0.56%,1.24%,0.68%,0.70%,1.48%,6.28%,0.55%,4.25%,5.90%,,,0.69次,0.72次,0.83次,0.66次,0.59次,0.51次,0.32次,0.37次,0.78次
sz300345,,,39.14%,45.92%,41.77%,18.63%,22.39%,22.82%,21.44%,23.17%,23.61%,,,24.45%,22.32%,23.66%,20.71%,11.88%,5.53%,10.76%,4.79%,-36.78%,,,31.67%,34.05%,31.77%,6.46%,3.56%,1.82%,3.65%,1.28%,-6.54%,,,0.86次,0.86次,0.76次,0.41次,0.24次,0.26次,0.24次,0.18次,0.14次
