,fz_2007-12-31,fz_2008-12-31,fz_2009-12-31,fz_2010-12-31,fz_2011-12-31,fz_2012-12-31,fz_2013-12-31,fz_2014-12-31,fz_2015-12-31,fz_2016-12-31,fz_2017-12-31,lrl_2007-12-31,lrl_2008-12-31,lrl_2009-12-31,lrl_2010-12-31,lrl_2011-12-31,lrl_2012-12-31,lrl_2013-12-31,lrl_2014-12-31,lrl_2015-12-31,lrl_2016-12-31,lrl_2017-12-31,roe_2007-12-31,roe_2008-12-31,roe_2009-12-31,roe_2010-12-31,roe_2011-12-31,roe_2012-12-31,roe_2013-12-31,roe_2014-12-31,roe_2015-12-31,roe_2016-12-31,roe_2017-12-31,zz_2007-12-31,zz_2008-12-31,zz_2009-12-31,zz_2010-12-31,zz_2011-12-31,zz_2012-12-31,zz_2013-12-31,zz_2014-12-31,zz_2015-12-31,zz_2016-12-31,zz_2017-12-31
sh601369,,,69.34%,59.30%,63.93%,60.94%,57.01%,56.10%,56.06%,56.89%,60.13%,,,12.82%,15.28%,16.17%,16.99%,14.61%,10.94%,7.99%,6.17%,6.25%,,,17.52%,16.55%,16.85%,19.13%,16.02%,8.85%,5.95%,3.94%,3.97%,,,0.43次,0.42次,0.39次,0.41次,0.43次,0.33次,0.29次,0.25次,0.26次
sz002533,,,45.12%,27.24%,21.87%,20.13%,23.72%,25.40%,21.26%,22.18%,28.22%,,,6.83%,5.91%,4.80%,4.47%,3.76%,4.18%,4.71%,5.53%,3.38%,,,23.79%,20.65%,6.96%,6.80%,6.37%,6.82%,7.42%,7.97%,5.52%,,,1.76次,1.17次,1.11次,1.12次,1.19次,1.16次,1.14次,1.05次,1.19次
sz300015,,,12.61%,18.86%,17.92%,18.70%,17.94%,17.76%,23.26%,27.76%,41.24%,,,14.83%,14.36%,13.10%,11.10%,11.05%,13.03%,13.79%,14.18%,13.30%,,,21.52%,9.74%,13.20%,12.80%,14.02%,16.91%,19.66%,21.84%,21.74%,,,0.67次,0.57次,0.79次,0.90次,0.98次,1.03次,1.09次,1.09次,0.89次
sz002911,,68.82%,61.73%,58.74%,,,61.29%,57.99%,52.76%,49.12%,45.05%,,8.44%,14.16%,11.47%,,,10.23%,10.44%,11.27%,11.61%,10.60%,,19.98%,26.89%,34.23%,,,24.72%,24.57%,26.24%,21.42%,21.01%,,1.30次,0.69次,1.22次,,,1.71次,0.91次,0.95次,0.87次,0.90次
sz000776,,,83.47%,79.75%,58.77%,63.26%,70.35%,82.77%,80.95%,77.39%,75.17%,,,47.04%,41.08%,34.62%,31.42%,34.27%,38.41%,40.70%,40.60%,42.10%,,,33.58%,22.83%,8.85%,6.80%,8.33%,13.56%,21.14%,10.29%,10.55%,,,0.20次,0.10次,0.07次,0.08次,0.08次,0.07次,0.10次,0.05次,0.06次
sz002342,,,60.29%,33.73%,38.95%,43.88%,45.56%,41.06%,37.92%,40.56%,41.65%,,,14.33%,13.35%,11.00%,7.30%,4.14%,2.08%,2.03%,1.51%,-1.21%,,,23.31%,9.73%,7.72%,5.31%,3.00%,1.36%,1.13%,0.85%,-0.72%,,,0.63次,0.52次,0.44次,0.42次,0.40次,0.37次,0.34次,0.34次,0.35次
sh603233,,,,,,61.75%,64.90%,75.70%,61.59%,62.51%,51.87%,,,,,,5.27%,6.08%,6.78%,8.02%,6.83%,6.40%,,,,,,55.26%,46.23%,54.33%,51.71%,37.99%,24.28%,,,,,,6.53次,2.77次,2.25次,2.10次,2.01次,1.58次
sz002048,,,38.89%,26.67%,29.98%,41.13%,44.94%,43.52%,46.05%,54.79%,45.09%,,,14.95%,15.77%,10.29%,5.58%,6.54%,8.29%,4.25%,8.77%,7.87%,,,28.33%,18.79%,10.48%,9.26%,10.94%,13.62%,3.80%,14.73%,14.54%,,,0.97次,0.98次,0.87次,1.17次,1.19次,1.11次,1.03次,1.04次,1.00次
sh601985,,,78.84%,78.66%,81.86%,79.33%,78.69%,79.07%,75.18%,74.57%,74.40%,,,27.32%,30.54%,28.23%,25.76%,28.32%,27.43%,27.13%,27.02%,23.92%,,,--,--,15.50%,13.04%,12.86%,11.61%,12.70%,11.50%,10.69%,,,0.14次,0.13次,0.11次,0.11次,0.10次,0.09次,0.11次,0.11次,0.11次
sz002506,,,55.75%,31.31%,56.41%,84.21%,104.44%,89.58%,75.77%,79.42%,79.31%,,,12.89%,8.17%,-1.67%,-106.98%,-271.59%,99.37%,10.17%,-0.28%,0.26%,,,40.80%,25.67%,-1.85%,-84.11%,-368.31%,-90.10%,99.27%,-0.75%,0.57%,,,1.36次,0.94次,0.60次,0.23次,0.08次,0.58次,0.70次,0.68次,0.71次
sh603839,,,,,31.28%,27.16%,31.59%,32.61%,29.72%,28.15%,18.40%,,,,,25.63%,24.56%,22.09%,19.52%,19.91%,19.57%,19.22%,,,,,49.34%,40.73%,32.10%,24.98%,23.17%,19.72%,11.95%,,,,,2.11次,1.16次,1.02次,0.85次,0.79次,0.71次,0.58次
sz002398,,,45.30%,15.89%,15.41%,26.57%,28.49%,23.23%,17.63%,18.08%,26.08%,,,18.91%,9.71%,14.35%,15.49%,13.51%,12.80%,15.22%,12.29%,9.65%,,,29.83%,6.95%,11.57%,14.61%,14.89%,12.91%,10.59%,8.12%,8.66%,,,0.82次,0.65次,0.70次,0.76次,0.82次,0.75次,0.55次,0.54次,0.69次
sh603722,,,,,39.43%,47.92%,45.94%,33.00%,24.33%,31.41%,21.41%,,,,,4.80%,4.43%,5.61%,11.16%,18.03%,20.39%,17.19%,,,,,--,5.82%,9.88%,23.05%,30.96%,19.60%,15.74%,,,,,1.83次,0.73次,0.94次,1.17次,1.23次,0.69次,0.56次
sh601608,,,82.51%,78.08%,72.78%,54.36%,55.33%,60.41%,57.68%,63.50%,62.96%,,,7.27%,10.02%,11.76%,12.05%,9.84%,7.71%,1.54%,-41.50%,1.43%,,,22.15%,27.32%,26.43%,15.82%,6.51%,5.26%,0.80%,-19.94%,0.44%,,,0.96次,0.53次,0.55次,0.49次,0.30次,0.28次,0.20次,0.19次,0.23次
sz300138,,,47.70%,18.79%,13.19%,30.97%,39.30%,33.13%,28.33%,38.82%,43.47%,,,13.57%,11.80%,6.91%,6.15%,0.90%,1.71%,5.39%,4.67%,4.64%,,,34.37%,19.18%,8.08%,6.05%,1.06%,2.24%,6.62%,6.41%,9.13%,,,1.05次,0.75次,0.95次,0.74次,0.77次,0.77次,0.72次,0.95次,1.03次
