,fz_2007-12-31,fz_2008-12-31,fz_2009-12-31,fz_2010-12-31,fz_2011-12-31,fz_2012-12-31,fz_2013-12-31,fz_2014-12-31,fz_2015-12-31,fz_2016-12-31,fz_2017-12-31,lrl_2007-12-31,lrl_2008-12-31,lrl_2009-12-31,lrl_2010-12-31,lrl_2011-12-31,lrl_2012-12-31,lrl_2013-12-31,lrl_2014-12-31,lrl_2015-12-31,lrl_2016-12-31,lrl_2017-12-31,roe_2007-12-31,roe_2008-12-31,roe_2009-12-31,roe_2010-12-31,roe_2011-12-31,roe_2012-12-31,roe_2013-12-31,roe_2014-12-31,roe_2015-12-31,roe_2016-12-31,roe_2017-12-31,zz_2007-12-31,zz_2008-12-31,zz_2009-12-31,zz_2010-12-31,zz_2011-12-31,zz_2012-12-31,zz_2013-12-31,zz_2014-12-31,zz_2015-12-31,zz_2016-12-31,zz_2017-12-31
sh600256,,,52.46%,60.14%,56.51%,62.29%,64.89%,66.56%,68.93%,69.99%,68.06%,,,17.06%,18.11%,21.10%,26.51%,15.68%,25.07%,4.77%,3.45%,6.03%,,,16.40%,19.45%,18.43%,12.96%,8.95%,16.38%,2.30%,1.86%,5.77%,,,0.44次,0.35次,0.29次,0.18次,0.18次,0.20次,0.12次,0.10次,0.18次
sh600698,,,71.81%,78.29%,87.33%,37.72%,32.62%,37.07%,42.31%,51.83%,56.74%,,,-6.70%,-5.45%,-9.22%,7.11%,9.20%,2.49%,-10.55%,1.78%,-14.42%,,,-26.09%,-23.60%,-58.24%,10.76%,9.02%,2.08%,-6.95%,1.52%,-13.57%,,,1.13次,1.23次,1.25次,0.95次,0.64次,0.54次,0.40次,0.45次,0.43次
sh603005,,,18.49%,10.64%,13.18%,7.85%,29.26%,23.25%,17.55%,13.47%,15.27%,,,36.66%,33.52%,37.46%,40.88%,34.13%,31.88%,19.68%,10.30%,15.22%,,,16.15%,24.22%,22.51%,22.31%,20.94%,13.69%,6.95%,3.18%,5.56%,,,0.69次,0.61次,0.56次,0.53次,0.52次,0.40次,0.28次,0.26次,0.31次
sz002167,,,46.56%,55.87%,31.35%,49.07%,54.69%,53.66%,62.94%,61.66%,66.42%,,,11.26%,12.30%,16.09%,1.22%,-17.41%,0.70%,-63.47%,3.21%,-4.50%,,,6.80%,7.95%,8.83%,0.60%,-4.78%,0.27%,-23.26%,2.41%,-3.73%,,,0.36次,0.31次,0.31次,0.21次,0.19次,0.28次,0.20次,0.31次,0.30次
sz300514,,,,,,49.50%,58.41%,57.29%,49.50%,52.01%,37.29%,,,,,,16.96%,10.44%,12.67%,9.21%,9.56%,11.96%,,,,,,47.66%,29.25%,35.78%,18.31%,16.91%,18.45%,,,,,,1.98次,1.26次,1.19次,0.93次,1.05次,0.95次
sz300325,,,51.25%,52.71%,57.76%,44.46%,49.12%,56.30%,60.22%,53.32%,61.31%,,,8.82%,9.17%,8.62%,7.49%,5.70%,4.43%,4.15%,4.98%,1.13%,,,20.57%,19.80%,18.83%,10.87%,8.93%,7.89%,7.94%,5.93%,1.47%,,,1.10次,1.03次,0.97次,0.77次,0.84次,0.85次,0.79次,0.58次,0.46次
sz300386,,,27.99%,23.55%,22.21%,15.28%,20.55%,13.35%,13.12%,12.36%,15.70%,,,12.85%,17.98%,17.35%,17.08%,23.78%,24.45%,19.90%,12.82%,9.44%,,,30.99%,36.22%,30.92%,39.12%,49.50%,27.87%,12.65%,7.81%,7.78%,,,2.69次,1.36次,1.39次,1.91次,1.69次,0.95次,0.54次,0.50次,0.58次
sh603580,,,,,59.82%,38.66%,28.12%,18.80%,16.56%,12.56%,10.68%,,,,,16.72%,16.96%,18.96%,17.55%,20.28%,21.50%,19.38%,,,,,52.83%,23.06%,19.71%,18.39%,17.66%,15.57%,9.36%,,,,,1.37次,0.68次,0.69次,0.77次,0.71次,0.63次,0.46次
sz000802,,,56.02%,43.06%,15.14%,13.21%,22.27%,38.15%,27.14%,16.10%,14.74%,,,2.00%,2.70%,5.26%,16.47%,19.76%,18.39%,5.89%,56.57%,24.25%,,,1.40%,1.73%,1.41%,3.29%,3.88%,8.97%,2.27%,16.19%,6.71%,,,0.28次,0.31次,0.25次,0.17次,0.16次,0.32次,0.24次,0.28次,0.24次
sz300210,,,38.50%,37.64%,10.43%,31.04%,37.28%,39.98%,32.50%,39.83%,44.70%,,,26.14%,28.58%,32.32%,28.03%,22.67%,22.60%,22.18%,16.53%,13.92%,,,23.96%,26.64%,14.88%,13.49%,14.43%,13.39%,9.90%,6.23%,4.35%,,,0.54次,0.58次,0.44次,0.37次,0.42次,0.36次,0.25次,0.24次,0.18次
sz000758,,,59.49%,59.44%,64.91%,70.07%,62.85%,66.30%,71.79%,71.48%,69.44%,,,5.38%,5.16%,4.87%,1.55%,0.97%,1.76%,1.57%,1.79%,2.39%,,,4.79%,2.68%,16.19%,8.31%,2.14%,6.01%,8.09%,6.02%,3.94%,,,0.52次,0.62次,0.89次,1.03次,1.10次,1.01次,0.93次,0.82次,0.66次
sz002677,,,34.62%,37.90%,28.67%,13.95%,14.25%,12.67%,13.90%,17.64%,21.92%,,,29.58%,18.84%,23.03%,24.32%,27.55%,29.33%,30.05%,30.44%,29.74%,,,34.19%,21.24%,27.95%,13.92%,12.20%,14.62%,15.32%,18.50%,25.73%,,,0.76次,0.76次,0.79次,0.50次,0.38次,0.43次,0.44次,0.51次,0.67次
