,fz_2007-12-31,fz_2008-12-31,fz_2009-12-31,fz_2010-12-31,fz_2011-12-31,fz_2012-12-31,fz_2013-12-31,fz_2014-12-31,fz_2015-12-31,fz_2016-12-31,fz_2017-12-31,lrl_2007-12-31,lrl_2008-12-31,lrl_2009-12-31,lrl_2010-12-31,lrl_2011-12-31,lrl_2012-12-31,lrl_2013-12-31,lrl_2014-12-31,lrl_2015-12-31,lrl_2016-12-31,lrl_2017-12-31,roe_2007-12-31,roe_2008-12-31,roe_2009-12-31,roe_2010-12-31,roe_2011-12-31,roe_2012-12-31,roe_2013-12-31,roe_2014-12-31,roe_2015-12-31,roe_2016-12-31,roe_2017-12-31,zz_2007-12-31,zz_2008-12-31,zz_2009-12-31,zz_2010-12-31,zz_2011-12-31,zz_2012-12-31,zz_2013-12-31,zz_2014-12-31,zz_2015-12-31,zz_2016-12-31,zz_2017-12-31
sz002337,,,60.07%,21.37%,20.87%,24.53%,26.13%,23.99%,20.36%,21.26%,19.54%,,,16.37%,17.90%,6.67%,2.78%,7.18%,7.40%,-26.65%,4.79%,2.43%,,,40.74%,7.94%,2.80%,1.00%,3.78%,3.98%,-7.93%,1.07%,1.20%,,,0.80次,0.43次,0.33次,0.28次,0.38次,0.41次,0.21次,0.22次,0.34次
sz000595,,,57.44%,72.20%,75.45%,73.41%,73.86%,72.04%,38.28%,44.82%,59.01%,,,-49.38%,-40.97%,1.50%,2.17%,-36.82%,4.63%,-52.47%,-23.74%,6.39%,,,-28.41%,-54.58%,3.40%,3.69%,-47.85%,7.31%,-26.42%,-11.99%,2.76%,,,0.27次,0.47次,0.59次,0.43次,0.34次,0.42次,0.23次,0.30次,0.28次
sh603316,,,,,,53.37%,57.72%,53.12%,50.21%,52.28%,38.30%,,,,,,7.14%,9.54%,8.36%,7.91%,9.62%,9.22%,,,,,,18.93%,17.38%,12.35%,9.03%,15.66%,11.18%,,,,,,1.85次,0.80次,0.66次,0.55次,0.78次,0.68次
sh603077,,,76.71%,68.75%,63.58%,32.53%,41.06%,47.96%,41.22%,16.65%,13.99%,,,5.12%,11.91%,19.28%,19.27%,4.02%,30.73%,8.34%,9.28%,10.66%,,,7.05%,23.53%,31.64%,14.89%,1.94%,16.17%,4.27%,4.29%,4.83%,,,0.53次,0.46次,0.56次,0.40次,0.30次,0.30次,0.28次,0.29次,0.36次
sz002151,,,30.37%,25.13%,39.12%,44.41%,49.77%,29.50%,26.58%,20.40%,31.24%,,,17.23%,12.43%,7.93%,9.83%,8.30%,5.34%,4.28%,3.71%,5.22%,,,16.83%,10.91%,5.97%,7.01%,6.26%,2.71%,2.65%,1.49%,2.43%,,,0.69次,0.47次,0.45次,0.42次,0.50次,0.53次,0.39次,0.34次,0.36次
sh600098,,,30.85%,31.96%,42.09%,51.31%,50.36%,48.57%,47.26%,47.75%,50.06%,,,13.48%,12.06%,5.60%,7.72%,8.84%,8.78%,8.70%,4.59%,3.61%,,,8.31%,8.26%,4.19%,7.05%,7.85%,9.05%,9.09%,4.51%,4.38%,,,0.51次,0.54次,0.57次,0.57次,0.50次,0.58次,0.62次,0.63次,0.67次
sh601500,,,,,78.97%,71.09%,65.57%,60.84%,55.75%,31.83%,35.23%,,,,,2.72%,4.65%,5.93%,5.79%,4.98%,5.07%,3.92%,,,,,11.22%,17.66%,19.76%,15.73%,10.85%,9.15%,5.76%,,,,,1.67次,0.94次,1.05次,0.99次,0.90次,0.92次,0.97次
sh603767,,,66.67%,51.96%,56.67%,55.61%,45.39%,46.01%,33.78%,30.22%,20.43%,,,14.28%,16.95%,14.32%,11.03%,12.84%,15.17%,10.98%,12.75%,8.86%,,,--,--,--,17.57%,20.92%,27.34%,16.00%,13.21%,6.99%,,,0.70次,0.90次,0.78次,0.83次,0.80次,0.98次,0.83次,0.69次,0.59次
sh600485,,,36.35%,33.99%,26.49%,25.48%,23.05%,24.53%,27.12%,45.10%,52.36%,,,11.22%,14.00%,8.25%,-18.17%,6.35%,60.50%,57.21%,51.81%,-273.55%,,,7.01%,8.97%,4.50%,-9.61%,3.26%,28.93%,16.86%,12.75%,-16.31%,,,0.39次,0.42次,0.38次,0.39次,0.39次,0.43次,0.23次,0.16次,0.03次
sz000616,,,61.12%,62.22%,62.04%,65.59%,61.58%,50.79%,49.43%,51.13%,57.22%,,,12.26%,17.71%,16.65%,12.22%,8.04%,10.21%,17.96%,-166.58%,8.20%,,,15.60%,17.56%,10.46%,8.27%,5.38%,4.54%,5.14%,-10.42%,0.32%,,,0.54次,0.37次,0.23次,0.24次,0.22次,0.20次,0.14次,0.03次,0.01次
sz002193,,,59.93%,61.99%,63.22%,62.66%,61.83%,64.07%,64.22%,43.85%,42.36%,,,9.96%,8.80%,1.75%,0.25%,0.41%,-0.31%,2.89%,3.62%,6.99%,,,8.04%,6.90%,1.68%,0.30%,0.36%,-0.27%,2.52%,2.16%,2.83%,,,0.38次,0.31次,0.36次,0.45次,0.33次,0.32次,0.31次,0.29次,0.26次
sz002540,,,32.28%,32.32%,6.60%,3.22%,6.24%,9.90%,12.29%,9.99%,6.98%,,,11.98%,11.29%,9.77%,5.65%,7.10%,9.82%,10.52%,10.94%,8.91%,,,25.76%,25.83%,6.21%,4.55%,6.51%,9.29%,9.31%,10.49%,9.52%,,,1.46次,1.55次,0.82次,0.75次,0.86次,0.86次,0.79次,0.85次,0.82次
sh600894,,,85.91%,88.90%,105.64%,45.98%,43.80%,37.01%,28.73%,25.93%,23.59%,,,0.60%,-1.51%,-11.15%,9.80%,21.50%,15.22%,44.71%,23.24%,8.68%,,,6.44%,-18.22%,-492.41%,24.00%,33.75%,18.09%,39.86%,16.19%,5.84%,,,1.44次,1.52次,1.56次,1.22次,0.86次,0.72次,0.59次,0.50次,0.51次
sz002073,,,27.10%,41.41%,45.47%,50.22%,50.98%,55.65%,44.67%,41.03%,42.15%,,,26.13%,24.95%,20.76%,13.03%,4.98%,6.45%,7.83%,-40.71%,2.79%,,,17.25%,16.66%,17.48%,6.88%,3.96%,5.67%,5.47%,-18.74%,2.01%,,,0.46次,0.44次,0.47次,0.28次,0.38次,0.40次,0.32次,0.24次,0.33次
sz002703,,,22.29%,28.88%,37.03%,37.93%,40.99%,31.36%,22.45%,28.00%,29.24%,,,18.39%,19.11%,17.68%,12.56%,6.75%,4.50%,6.20%,5.81%,2.32%,,,15.09%,20.38%,18.98%,10.81%,6.69%,5.75%,3.73%,4.35%,2.21%,,,1.21次,0.77次,0.67次,0.49次,0.54次,0.48次,0.42次,0.57次,0.55次
sz000544,,,30.97%,41.02%,50.88%,45.68%,54.42%,60.67%,58.81%,15.24%,17.54%,,,20.27%,23.02%,20.78%,24.09%,12.21%,11.75%,19.97%,31.85%,33.13%,,,12.11%,13.38%,12.99%,14.05%,7.46%,7.70%,10.95%,6.55%,6.05%,,,0.39次,0.37次,0.33次,0.30次,0.30次,0.28次,0.22次,0.22次,0.15次
sz000590,,,55.22%,50.96%,41.77%,32.02%,51.23%,68.63%,64.97%,58.15%,33.24%,,,-32.17%,15.13%,21.00%,37.86%,-64.24%,-42.23%,7.59%,15.79%,2.88%,,,-32.05%,18.47%,22.91%,32.38%,-44.41%,-37.82%,11.48%,23.64%,4.42%,,,0.50次,0.57次,0.59次,0.56次,0.41次,0.36次,0.50次,0.52次,0.46次
sz002209,,,42.13%,46.64%,44.52%,50.55%,61.08%,56.96%,58.90%,62.61%,61.73%,,,8.26%,8.68%,7.72%,4.60%,2.27%,1.39%,1.59%,-5.78%,2.10%,,,11.43%,8.71%,8.98%,5.29%,3.22%,2.05%,1.95%,-7.11%,3.24%,,,0.57次,0.55次,0.63次,0.60次,0.61次,0.60次,0.52次,0.48次,0.58次
sz300267,,,40.77%,40.29%,5.84%,5.92%,7.81%,24.44%,11.33%,7.73%,5.39%,,,14.42%,18.44%,19.54%,18.33%,19.16%,20.97%,33.55%,28.89%,18.20%,,,31.42%,46.81%,27.66%,13.87%,15.56%,19.84%,29.02%,22.00%,10.14%,,,1.02次,1.51次,0.85次,0.71次,0.75次,0.75次,0.50次,0.53次,0.51次
sz300089,,,33.61%,15.01%,15.09%,24.53%,26.88%,32.10%,32.79%,28.35%,33.04%,,,13.94%,9.15%,9.25%,5.51%,0.87%,1.87%,2.78%,30.23%,13.58%,,,22.32%,6.85%,5.03%,2.65%,0.46%,1.07%,1.56%,12.40%,4.10%,,,1.03次,0.60次,0.46次,0.38次,0.40次,0.40次,0.38次,0.25次,0.21次
sz300699,,,,,,44.12%,54.74%,36.98%,33.87%,34.90%,18.38%,,,,,,19.74%,14.77%,10.73%,32.48%,31.47%,24.98%,,,,,,7.24%,6.18%,4.96%,15.95%,16.54%,12.85%,,,,,,0.40次,0.23次,0.24次,0.31次,0.32次,0.36次
sz300119,,,39.18%,12.06%,10.48%,11.54%,14.12%,12.97%,24.69%,22.97%,25.58%,,,30.95%,29.05%,21.81%,23.10%,20.30%,4.93%,15.45%,15.81%,11.91%,,,26.96%,16.06%,8.38%,10.06%,9.79%,1.68%,6.72%,7.75%,5.46%,,,0.76次,0.34次,0.36次,0.38次,0.40次,0.29次,0.37次,0.38次,0.37次
sh603103,,,,,,,85.04%,79.76%,62.72%,50.90%,35.23%,,,,,,,2.30%,9.73%,15.79%,15.61%,13.13%,,,,,,,13.81%,54.43%,70.90%,43.78%,26.18%,,,,,,,1.69次,0.98次,1.36次,1.22次,1.01次
sz002853,,,,,,61.97%,61.81%,37.88%,39.49%,40.99%,29.18%,,,,,,8.45%,13.08%,12.76%,13.38%,13.89%,12.49%,,,,,,43.35%,56.14%,41.54%,24.70%,25.75%,12.81%,,,,,,3.21次,1.64次,1.41次,1.13次,1.09次,0.83次
sz000096,,,10.27%,7.93%,8.87%,9.31%,8.57%,7.04%,8.92%,5.16%,5.93%,,,12.12%,6.32%,6.44%,2.18%,7.87%,4.33%,14.97%,32.80%,12.47%,,,7.01%,5.12%,5.30%,1.12%,3.68%,2.27%,7.63%,13.69%,6.46%,,,0.53次,0.74次,0.76次,0.49次,0.43次,0.49次,0.47次,0.39次,0.50次
sh603936,,,,,54.07%,59.25%,62.28%,60.61%,50.19%,51.41%,58.13%,,,,,7.06%,8.78%,7.10%,6.57%,5.39%,3.95%,3.71%,,,,,19.27%,20.86%,16.81%,14.03%,10.92%,5.86%,6.78%,,,,,2.12次,1.02次,0.92次,0.82次,0.72次,0.73次,0.82次
sz000157,,,77.41%,56.39%,50.22%,53.71%,53.03%,56.01%,56.67%,57.60%,54.03%,,,11.65%,14.25%,17.64%,15.66%,10.25%,2.43%,0.44%,-4.52%,5.36%,,,38.12%,33.41%,25.16%,19.07%,9.21%,1.43%,0.21%,-2.44%,3.57%,,,0.73次,0.66次,0.69次,0.60次,0.43次,0.28次,0.22次,0.22次,0.27次
sh600600,,,42.40%,45.32%,47.87%,45.97%,49.30%,43.39%,43.28%,43.88%,42.62%,,,7.21%,7.96%,7.76%,7.16%,6.98%,6.95%,5.83%,4.24%,5.26%,,,18.57%,16.90%,16.78%,14.91%,14.87%,13.53%,10.76%,6.43%,7.55%,,,1.32次,1.22次,1.18次,1.14次,1.11次,1.07次,1.00次,0.89次,0.86次
sh600518,,,31.29%,39.99%,39.31%,41.07%,45.93%,40.03%,50.56%,46.40%,53.24%,,,21.10%,21.62%,16.53%,12.91%,14.08%,14.33%,15.26%,15.42%,15.46%,,,13.70%,15.58%,17.30%,14.55%,16.63%,17.74%,18.54%,14.88%,14.02%,,,0.46次,0.46次,0.52次,0.67次,0.66次,0.64次,0.55次,0.47次,0.43次
sh600722,,,199.37%,117.25%,137.56%,49.10%,61.98%,75.38%,16.43%,11.46%,12.49%,,,-2.19%,83.22%,-15.39%,5.32%,-7.69%,-21.35%,42.25%,6.40%,7.80%,,,--,0.00%,--,-64.26%,-15.27%,-40.66%,33.35%,2.98%,3.83%,,,0.67次,0.82次,1.03次,0.81次,0.75次,0.45次,0.26次,0.53次,0.64次
sz002552,,,33.72%,33.66%,10.89%,8.06%,7.68%,10.95%,36.19%,37.89%,33.50%,,,17.81%,17.55%,16.23%,13.84%,5.61%,4.39%,1.31%,-92.63%,-56.63%,,,30.13%,28.83%,10.53%,5.67%,1.51%,1.77%,0.53%,-23.45%,-21.03%,,,1.12次,1.07次,0.68次,0.37次,0.25次,0.36次,0.30次,0.15次,0.23次
sh603227,,,,,32.14%,32.09%,33.51%,39.16%,48.33%,50.65%,47.00%,,,,,18.71%,17.05%,13.00%,14.27%,14.46%,-0.79%,4.95%,,,,,26.54%,15.53%,11.39%,10.39%,6.94%,-1.69%,1.63%,,,,,1.49次,0.88次,0.75次,0.57次,0.38次,0.33次,0.47次
sz002836,,,,,34.89%,54.50%,30.28%,18.57%,26.38%,28.14%,18.82%,,,,,25.61%,15.71%,20.24%,18.76%,14.99%,18.75%,17.67%,,,,,36.08%,26.77%,33.07%,21.22%,14.96%,19.83%,11.69%,,,,,1.55次,0.85次,0.93次,0.84次,0.74次,0.60次,0.50次
sh601588,,,64.59%,63.68%,66.02%,65.42%,66.82%,70.61%,74.97%,80.96%,83.29%,,,14.58%,5.47%,12.37%,10.63%,12.66%,9.42%,8.84%,5.34%,8.48%,,,6.55%,2.23%,5.00%,6.43%,6.43%,4.94%,5.52%,5.25%,9.41%,,,0.19次,0.21次,0.15次,0.20次,0.18次,0.18次,0.17次,0.18次,0.21次
sz300388,,,75.78%,70.36%,70.81%,74.79%,76.45%,69.47%,76.95%,69.57%,72.61%,,,11.75%,15.12%,12.22%,15.21%,9.26%,5.18%,7.79%,10.05%,7.91%,,,17.61%,17.95%,16.97%,18.92%,12.30%,8.64%,9.45%,10.65%,12.07%,,,0.31次,0.31次,0.39次,0.32次,0.32次,0.43次,0.32次,0.31次,0.39次
sz002322,,,3.42%,6.15%,6.99%,5.00%,4.22%,6.14%,12.21%,8.79%,10.35%,,,60.32%,36.46%,32.99%,30.80%,42.72%,30.92%,23.66%,21.85%,33.07%,,,39.97%,7.85%,8.89%,10.36%,11.36%,5.11%,6.18%,5.21%,9.17%,,,0.23次,0.20次,0.25次,0.31次,0.25次,0.15次,0.20次,0.21次,0.25次
sz300528,,,,,13.68%,16.66%,26.25%,26.17%,28.24%,21.48%,40.28%,,,,,23.63%,15.58%,15.18%,9.71%,7.95%,7.65%,7.56%,,,,,33.95%,11.15%,11.00%,7.21%,8.69%,7.54%,5.96%,,,,,0.67次,0.60次,0.56次,0.56次,0.84次,0.73次,0.53次
sz300167,,,32.27%,38.56%,11.63%,9.50%,26.60%,36.14%,37.44%,40.24%,41.16%,,,20.40%,14.36%,9.63%,6.51%,1.28%,-2.35%,5.00%,6.88%,-1.87%,,,26.37%,27.06%,4.37%,2.79%,0.74%,-1.05%,1.45%,4.13%,-0.81%,,,0.92次,0.83次,0.40次,0.27次,0.24次,0.22次,0.29次,0.34次,0.42次
sh603108,,,,,31.51%,44.86%,52.10%,56.16%,45.18%,45.91%,61.43%,,,,,8.71%,7.61%,6.62%,5.53%,5.68%,6.11%,6.88%,,,,,24.78%,18.88%,18.29%,17.11%,12.59%,10.95%,9.98%,,,,,3.04次,1.50次,1.40次,1.41次,1.17次,0.75次,0.77次
sh600369,,,68.75%,51.17%,44.28%,39.71%,63.59%,70.41%,72.70%,72.30%,68.52%,,,49.06%,41.59%,25.25%,27.00%,32.40%,36.65%,41.72%,25.13%,22.57%,,,25.20%,11.64%,2.38%,3.37%,5.88%,8.83%,19.83%,4.84%,3.49%,,,0.27次,0.10次,0.05次,0.07次,0.08次,0.08次,0.13次,0.05次,0.05次
sh600819,,,60.61%,62.32%,63.14%,60.82%,50.19%,51.05%,57.66%,51.73%,48.61%,,,-10.13%,8.70%,3.58%,1.68%,4.38%,0.46%,-17.79%,7.18%,2.16%,,,-10.93%,10.15%,3.78%,2.78%,5.52%,1.63%,-12.19%,7.55%,1.59%,,,0.36次,0.44次,0.37次,0.35次,0.36次,0.38次,0.34次,0.38次,0.45次
sh600837,,,63.12%,60.48%,52.86%,52.17%,62.10%,79.51%,79.72%,78.26%,75.74%,,,46.90%,39.60%,35.32%,35.39%,40.95%,45.16%,44.22%,31.88%,34.99%,,,11.12%,8.39%,6.93%,5.63%,6.70%,11.88%,17.56%,7.39%,7.56%,,,0.10次,0.08次,0.09次,0.08次,0.07次,0.07次,0.08次,0.05次,0.05次
sh603758,,,,,,50.81%,44.45%,46.91%,36.77%,30.21%,7.40%,,,,,,12.67%,18.14%,20.32%,21.02%,18.13%,15.38%,,,,,,17.71%,25.29%,23.86%,19.55%,14.07%,8.92%,,,,,,1.24次,0.73次,0.64次,0.57次,0.52次,0.49次
sz002384,,,47.05%,17.95%,24.81%,51.80%,58.96%,70.49%,60.68%,81.86%,64.76%,,,12.28%,10.28%,5.30%,-6.30%,0.92%,1.26%,0.99%,1.77%,3.45%,,,22.21%,8.19%,3.88%,-8.04%,2.02%,3.15%,1.39%,5.32%,9.35%,,,0.98次,0.74次,0.65次,0.78次,0.88次,0.84次,0.66次,0.76次,0.83次
sz002810,,,,,31.06%,40.79%,49.01%,48.80%,49.45%,29.99%,38.73%,,,,,13.00%,15.16%,13.54%,10.57%,9.79%,8.20%,7.16%,,,,,23.34%,29.20%,21.89%,16.68%,13.31%,9.98%,7.11%,,,,,2.36次,1.22次,0.87次,0.79次,0.67次,0.68次,0.65次
sz300610,,,,,,41.67%,27.61%,25.73%,16.40%,19.00%,16.05%,,,,,,8.45%,6.73%,7.01%,8.36%,9.45%,11.22%,,,,,,23.38%,14.95%,14.80%,14.85%,15.38%,12.97%,,,,,,3.23次,1.58次,1.55次,1.37次,1.32次,1.08次
sh600797,,,57.42%,60.74%,56.06%,59.75%,60.50%,63.60%,49.68%,41.45%,28.33%,,,0.70%,1.37%,2.33%,-0.45%,1.01%,-3.18%,4.40%,6.62%,10.04%,,,2.33%,4.22%,6.98%,-1.89%,1.98%,-9.21%,12.06%,10.98%,10.38%,,,1.17次,1.33次,1.31次,1.06次,1.06次,0.98次,1.18次,0.98次,0.61次
sh600660,,,51.54%,44.71%,48.97%,46.51%,46.21%,47.84%,33.88%,39.60%,40.05%,,,18.39%,21.01%,15.61%,14.88%,16.67%,17.15%,19.21%,18.91%,16.82%,,,29.20%,35.58%,26.34%,23.13%,26.10%,27.07%,18.88%,18.62%,17.16%,,,0.66次,0.87次,0.85次,0.81次,0.83次,0.82次,0.65次,0.61次,0.61次
sz300009,,,8.66%,11.41%,9.90%,11.17%,11.90%,15.52%,9.76%,27.43%,21.90%,,,23.38%,22.65%,23.28%,21.88%,20.88%,20.05%,20.83%,23.30%,25.70%,,,18.80%,10.34%,12.05%,13.31%,14.73%,15.88%,17.14%,15.51%,19.02%,,,0.50次,0.40次,0.45次,0.54次,0.61次,0.65次,0.55次,0.50次,0.52次
sz002669,,,37.95%,28.69%,20.89%,8.62%,13.61%,19.78%,20.36%,10.38%,7.35%,,,20.80%,20.08%,19.58%,13.15%,12.53%,13.26%,15.48%,13.91%,7.90%,,,46.54%,43.00%,26.36%,7.24%,7.25%,11.80%,16.79%,10.07%,2.70%,,,1.42次,1.35次,1.02次,0.53次,0.51次,0.74次,0.87次,0.44次,0.31次
sz000333,,,68.15%,68.22%,66.63%,62.20%,59.69%,61.98%,56.51%,59.57%,66.58%,,,4.84%,5.86%,4.96%,5.98%,6.84%,8.18%,9.78%,9.92%,7.69%,,,--,--,29.12%,--,24.87%,29.49%,29.06%,26.88%,25.88%,,,1.56次,1.79次,1.66次,1.15次,1.31次,1.31次,1.12次,1.07次,1.16次
sz300041,,,13.13%,7.60%,6.74%,11.69%,12.61%,20.41%,14.58%,13.41%,16.22%,,,21.27%,21.14%,15.77%,13.99%,13.85%,12.99%,8.56%,8.53%,7.32%,,,25.88%,10.75%,8.43%,7.94%,9.41%,10.77%,7.07%,6.30%,6.43%,,,0.40次,0.45次,0.49次,0.51次,0.60次,0.69次,0.63次,0.63次,0.74次
sz002334,,,27.48%,8.27%,8.33%,10.23%,14.03%,15.28%,17.13%,27.92%,39.22%,,,25.43%,22.89%,10.78%,10.22%,12.49%,15.12%,13.89%,4.91%,10.00%,,,51.29%,12.64%,7.00%,7.70%,10.05%,11.83%,9.92%,3.94%,12.94%,,,1.40次,0.72次,0.57次,0.55次,0.62次,0.62次,0.56次,0.57次,0.73次
sz300492,,,,,30.87%,26.66%,40.47%,40.56%,27.36%,12.50%,19.01%,,,,,18.47%,18.35%,19.16%,12.72%,14.48%,12.57%,13.75%,,,,,44.08%,34.35%,31.21%,17.34%,15.85%,6.88%,6.74%,,,,,2.59次,1.31次,1.12次,0.78次,0.55次,0.42次,0.41次
sz002171,,,33.14%,37.15%,43.80%,54.69%,52.64%,46.02%,39.73%,26.63%,27.47%,,,1.87%,2.98%,0.83%,-1.82%,0.37%,0.68%,0.95%,2.40%,3.27%,,,6.95%,13.01%,3.47%,-8.96%,1.88%,5.16%,6.07%,10.69%,10.88%,,,2.51次,2.91次,2.76次,2.45次,2.82次,4.76次,3.24次,2.21次,2.44次
sz000680,,,46.15%,59.17%,64.83%,63.09%,62.13%,59.78%,62.84%,62.08%,62.19%,,,6.62%,7.12%,3.75%,0.22%,-3.84%,-0.38%,-25.68%,0.40%,0.98%,,,13.85%,23.22%,11.52%,0.72%,-7.85%,1.15%,-24.08%,1.36%,1.95%,,,1.22次,1.57次,1.20次,0.77次,0.78次,0.61次,0.37次,0.47次,0.67次
sh603711,,,,,,66.43%,56.73%,49.31%,40.52%,41.72%,31.35%,,,,,,8.84%,8.76%,8.85%,10.42%,11.14%,10.14%,,,,,,38.28%,33.68%,26.42%,22.77%,23.53%,19.58%,,,,,,2.95次,1.55次,1.41次,1.20次,1.24次,1.06次
sh603360,,,,,60.02%,53.75%,49.31%,46.34%,34.31%,26.87%,11.92%,,,,,20.09%,17.47%,16.79%,18.47%,17.29%,25.15%,24.34%,,,,,33.13%,21.77%,19.36%,21.83%,17.28%,23.98%,14.94%,,,,,0.91次,0.54次,0.56次,0.62次,0.59次,0.66次,0.58次
sz002421,,,53.19%,37.90%,26.61%,36.80%,40.94%,32.80%,44.81%,38.40%,40.17%,,,9.25%,8.19%,8.48%,12.51%,10.59%,11.70%,9.35%,12.03%,12.96%,,,22.52%,8.20%,7.68%,12.05%,11.20%,11.16%,9.08%,10.31%,10.58%,,,1.20次,0.64次,0.61次,0.80次,0.75次,0.62次,0.46次,0.51次,0.50次
sz300286,,,25.75%,25.55%,12.55%,5.91%,9.86%,20.02%,19.59%,22.07%,23.84%,,,28.79%,31.35%,26.84%,27.41%,30.15%,25.21%,20.02%,24.26%,23.33%,,,42.57%,46.94%,32.57%,12.31%,14.68%,15.63%,12.70%,14.29%,15.09%,,,1.07次,1.05次,0.99次,0.56次,0.46次,0.50次,0.47次,0.46次,0.49次
sh603926,,,,,,39.70%,40.83%,34.72%,32.65%,33.72%,18.02%,,,,,,10.32%,14.19%,14.94%,13.86%,15.46%,12.88%,,,,,,27.80%,38.04%,33.25%,24.88%,24.65%,12.41%,,,,,,3.03次,1.56次,1.35次,1.18次,1.05次,0.78次
sz002425,,,17.47%,5.49%,14.00%,15.02%,10.99%,9.01%,20.06%,17.79%,19.62%,,,20.51%,17.70%,15.70%,9.01%,6.34%,0.28%,7.93%,26.34%,35.40%,,,26.57%,11.32%,6.46%,4.05%,2.28%,0.45%,4.42%,5.30%,7.20%,,,1.00次,0.59次,0.40次,0.45次,0.34次,0.31次,0.28次,0.15次,0.16次
sz300427,,,,,22.81%,24.00%,22.91%,23.99%,17.01%,22.83%,36.72%,,,,,22.67%,21.93%,21.92%,21.04%,24.75%,20.63%,18.53%,,,,,25.47%,23.28%,20.44%,18.82%,13.67%,12.49%,11.19%,,,,,1.58次,0.80次,0.71次,0.68次,0.52次,0.50次,0.36次
sh603018,,,,,69.93%,71.41%,69.27%,46.97%,53.16%,55.64%,58.65%,,,,,14.35%,13.02%,13.08%,13.16%,11.47%,10.67%,10.85%,,,,,30.90%,27.36%,23.35%,17.09%,9.56%,11.54%,15.99%,,,,,1.18次,0.61次,0.53次,0.47次,0.41次,0.49次,0.58次
sz300125,,,60.26%,22.94%,22.06%,25.85%,24.78%,46.79%,43.30%,39.26%,42.95%,,,9.80%,11.61%,10.10%,3.61%,5.36%,5.62%,2.62%,-37.22%,-234.80%,,,39.82%,16.29%,4.97%,1.35%,2.03%,1.35%,0.73%,-5.84%,-29.32%,,,1.02次,0.66次,0.39次,0.34次,0.28次,0.14次,0.17次,0.09次,0.07次
sh600276,,,11.13%,10.80%,9.12%,7.64%,7.82%,8.77%,9.91%,10.16%,11.62%,,,22.89%,20.18%,20.67%,21.18%,20.83%,21.11%,23.87%,23.74%,23.80%,,,28.61%,24.45%,23.11%,22.91%,21.22%,21.28%,24.37%,23.24%,23.28%,,,1.15次,1.09次,1.04次,1.01次,0.95次,0.91次,0.91次,0.86次,0.85次
sz002790,,,,,43.86%,36.38%,34.92%,35.32%,29.98%,10.72%,9.82%,,,,,15.80%,16.49%,19.73%,18.26%,19.01%,21.56%,17.49%,,,,,32.89%,39.89%,38.82%,32.79%,28.44%,15.51%,11.45%,,,,,2.79次,1.46次,1.33次,1.16次,1.00次,0.68次,0.59次
sz000404,,,68.81%,75.24%,77.64%,76.38%,60.92%,59.16%,57.47%,59.89%,60.29%,,,5.26%,1.67%,1.34%,3.09%,3.78%,4.14%,4.84%,5.68%,2.61%,,,17.82%,3.42%,5.43%,16.32%,9.22%,10.89%,10.16%,10.77%,3.41%,,,1.36次,1.47次,1.37次,1.25次,1.21次,1.08次,1.01次,0.92次,0.90次
sz002130,,,31.12%,34.10%,27.69%,45.34%,44.13%,54.91%,53.55%,50.59%,55.29%,,,13.46%,14.69%,12.91%,13.68%,6.22%,8.36%,34.97%,5.69%,6.48%,,,13.07%,16.74%,12.26%,9.75%,8.32%,12.31%,34.69%,5.71%,6.26%,,,0.67次,0.75次,0.66次,0.44次,0.72次,0.72次,0.51次,0.41次,0.45次
sz000717,,,68.39%,74.82%,80.79%,86.67%,79.92%,84.19%,97.86%,96.94%,79.38%,,,0.69%,0.11%,-4.98%,-10.13%,0.53%,-7.12%,-23.29%,0.73%,9.66%,,,1.61%,0.36%,-21.69%,-52.70%,2.86%,-38.01%,-158.35%,24.94%,146.69%,,,0.75次,0.91次,0.96次,0.86次,0.91次,0.97次,0.63次,0.89次,1.77次
sz002530,,,50.49%,29.90%,25.49%,22.96%,20.27%,26.69%,23.52%,11.80%,15.69%,,,18.61%,13.40%,15.99%,15.32%,11.53%,9.50%,8.20%,9.29%,24.13%,,,26.64%,18.53%,8.45%,8.32%,6.80%,4.97%,4.96%,4.84%,6.04%,,,0.56次,0.47次,0.38次,0.41次,0.45次,0.40次,0.43次,0.18次,0.22次
sh601952,,,,,,60.96%,52.14%,48.07%,40.70%,34.48%,20.16%,,,,,,13.24%,12.24%,14.03%,11.75%,12.46%,13.02%,,,,,,42.73%,30.23%,27.61%,23.71%,21.47%,13.87%,,,,,,2.02次,1.08次,0.97次,1.08次,1.03次,0.81次
sh600481,,,41.20%,52.96%,58.14%,66.48%,63.80%,68.85%,49.40%,50.85%,45.87%,,,11.12%,5.85%,3.09%,3.37%,8.55%,4.60%,10.85%,7.30%,5.44%,,,17.72%,10.58%,7.08%,10.19%,22.48%,13.05%,15.25%,7.62%,4.56%,,,0.99次,0.93次,0.98次,0.96次,0.93次,0.90次,0.51次,0.45次,0.41次
sh600828,,,65.03%,61.24%,60.56%,57.11%,50.48%,45.18%,54.35%,71.84%,65.44%,,,7.28%,8.01%,9.71%,6.96%,9.23%,9.36%,4.00%,6.07%,9.24%,,,29.02%,25.18%,27.97%,17.58%,20.10%,16.65%,6.08%,14.96%,25.04%,,,1.17次,1.11次,1.10次,0.99次,0.97次,0.89次,0.74次,1.01次,0.70次
