,净利润_2009-12-31,净利润_2010-12-31,净利润_2011-06-30,净利润_2011-12-31,净利润_2012-12-31,净利润_2013-12-31,净利润_2014-09-30,净利润_2014-12-31,净利润_2015-03-31,净利润_2015-06-30,净利润_2015-09-30,净利润_2015-12-31,净利润_2016-03-31,净利润_2016-06-30,净利润_2016-09-30,净利润_2016-12-31,净利润_2017-03-31,净利润_2017-06-30,净利润_2017-09-30,净利润_2017-12-31,净利润_2018-03-31,净利润_2018-06-30,净利润_2018-09-30,净利润_2018-12-31,净利润同比增长_2009-12-31,净利润同比增长_2010-12-31,净利润同比增长_2011-06-30,净利润同比增长_2011-12-31,净利润同比增长_2012-12-31,净利润同比增长_2013-12-31,净利润同比增长_2014-09-30,净利润同比增长_2014-12-31,净利润同比增长_2015-03-31,净利润同比增长_2015-06-30,净利润同比增长_2015-09-30,净利润同比增长_2015-12-31,净利润同比增长_2016-03-31,净利润同比增长_2016-06-30,净利润同比增长_2016-09-30,净利润同比增长_2016-12-31,净利润同比增长_2017-03-31,净利润同比增长_2017-06-30,净利润同比增长_2017-09-30,净利润同比增长_2017-12-31,净利润同比增长_2018-03-31,净利润同比增长_2018-06-30,净利润同比增长_2018-09-30,净利润同比增长_2018-12-31,营收_2009-12-31,营收_2010-12-31,营收_2011-06-30,营收_2011-12-31,营收_2012-12-31,营收_2013-12-31,营收_2014-09-30,营收_2014-12-31,营收_2015-03-31,营收_2015-06-30,营收_2015-09-30,营收_2015-12-31,营收_2016-03-31,营收_2016-06-30,营收_2016-09-30,营收_2016-12-31,营收_2017-03-31,营收_2017-06-30,营收_2017-09-30,营收_2017-12-31,营收_2018-03-31,营收_2018-06-30,营收_2018-09-30,营收_2018-12-31,营收增长同比_2009-12-31,营收增长同比_2010-12-31,营收增长同比_2011-06-30,营收增长同比_2011-12-31,营收增长同比_2012-12-31,营收增长同比_2013-12-31,营收增长同比_2014-09-30,营收增长同比_2014-12-31,营收增长同比_2015-03-31,营收增长同比_2015-06-30,营收增长同比_2015-09-30,营收增长同比_2015-12-31,营收增长同比_2016-03-31,营收增长同比_2016-06-30,营收增长同比_2016-09-30,营收增长同比_2016-12-31,营收增长同比_2017-03-31,营收增长同比_2017-06-30,营收增长同比_2017-09-30,营收增长同比_2017-12-31,营收增长同比_2018-03-31,营收增长同比_2018-06-30,营收增长同比_2018-09-30,营收增长同比_2018-12-31
sz300228,,,,,,,,,,,,,,,-3579万,-1.91亿,1859万,2522万,675万,48.9万,234万,-2980万,-1249万,,,,,,,,,,,,,,,,--,--,--,--,--,--,-87.42,-218.16,-285.06,,,,,,,,,,,,,,,,2.10亿,3.14亿,3.20亿,4.88亿,3.70亿,5.67亿,2.30亿,3.14亿,3.56亿,,,,,,,,,,,,,,,,36.01,-22.18,141.65,112.32,76.50,80.39,-28.08,-35.70,-3.80,
sz000828,,,,,,,,,,,,,,,2.22亿,2.02亿,2.14亿,2.48亿,2.53亿,1.72亿,2.22亿,2.26亿,2.62亿,,,,,,,,,,,,,,,,22.43,-2.34,14.67,13.78,13.93,-15.07,4.01,-8.75,3.54,,,,,,,,,,,,,,,,3.28亿,3.43亿,3.30亿,3.63亿,3.89亿,3.70亿,3.78亿,4.12亿,4.32亿,,,,,,,,,,,,,,,,14.70,9.93,17.21,21.30,18.52,7.96,14.77,13.54,11.05,
sh603768,,,,,,,,,,,,,,,4053万,3189万,3527万,1889万,3462万,3845万,4266万,1376万,1369万,,,,,,,,,,,,,,,,--,--,-13.14,-46.54,-14.58,20.56,20.96,-27.16,-60.47,,,,,,,,,,,,,,,,3.65亿,4.71亿,5.02亿,4.10亿,4.21亿,5.85亿,5.14亿,4.81亿,4.18亿,,,,,,,,,,,,,,,,--,--,53.09,24.85,15.17,24.00,2.53,17.44,-0.64,
sz002709,,,,,,,,,,,,,,,1.24亿,7967万,6396万,1.13亿,1.01亿,2689万,4.12亿,3449万,2654万,,,,,,,,,,,,,,,,494.80,61.35,-9.84,-7.27,-18.54,-66.24,543.43,-69.43,-73.74,,,,,,,,,,,,,,,,5.45亿,4.92亿,3.79亿,5.56亿,5.98亿,5.24亿,4.36亿,5.06亿,5.55亿,,,,,,,,,,,,,,,,96.58,63.62,9.92,21.94,9.84,6.55,14.95,-9.01,-7.23,
sz000836,,,,,,,,,,,,,,,620万,1847万,461万,4219万,1686万,2046万,2095万,1836万,4039万,,,,,,,,,,,,,,,,--,-91.44,-73.07,646.60,171.86,10.79,354.26,-56.47,139.52,,,,,,,,,,,,,,,,4.56亿,5.56亿,4.39亿,5.35亿,4.92亿,5.91亿,4.95亿,5.29亿,8.37亿,,,,,,,,,,,,,,,,7.03,20.17,18.04,12.38,7.80,6.30,12.92,-1.30,70.18,
sz002629,,,,,,,,,,,,,,,-669万,6529万,-1433万,14.4万,233万,1372万,-1264万,554万,-1407万,,,,,,,,,,,,,,,,--,--,--,--,--,-78.98,--,3734.33,-704.32,,,,,,,,,,,,,,,,4298万,2.13亿,5.15亿,9.28亿,10.0亿,8.70亿,5.37亿,11.3亿,8.63亿,,,,,,,,,,,,,,,,8.98,102.04,2265.31,2422.14,2227.96,307.97,4.24,21.67,-13.73,
sz002300,,,,,,,,,,,,,,,4324万,3966万,1180万,2827万,3642万,2536万,1242万,2888万,3688万,,,,,,,,,,,,,,,,-19.03,6.12,-47.96,-43.20,-15.78,-36.06,5.29,2.17,1.28,,,,,,,,,,,,,,,,8.98亿,9.80亿,7.25亿,9.93亿,11.4亿,12.4亿,9.74亿,12.9亿,14.2亿,,,,,,,,,,,,,,,,-7.47,4.21,0.39,12.84,26.47,26.72,34.36,29.69,25.00,
sz002169,,,,,,,,,,,,,,,2533万,2082万,1053万,5662万,1577万,4222万,1346万,6960万,55.7万,,,,,,,,,,,,,,,,8.96,-57.49,3.14,2.93,-37.75,102.76,27.80,22.93,-96.46,,,,,,,,,,,,,,,,3.28亿,4.78亿,2.41亿,3.84亿,3.96亿,8.10亿,4.54亿,8.06亿,6.46亿,,,,,,,,,,,,,,,,-4.93,23.41,-9.10,17.18,20.85,69.59,88.75,109.78,63.12,
sh600582,,,,,,,,,,,,,,,7556万,5.67亿,1156万,3.24亿,1.24亿,4.83亿,4933万,4.26亿,2.03亿,,,,,,,,,,,,,,,,-55.90,8.63,-46.06,20.94,63.53,-14.82,326.93,31.60,64.51,,,,,,,,,,,,,,,,24.2亿,59.4亿,20.3亿,34.9亿,34.6亿,64.0亿,29.7亿,47.8亿,47.4亿,,,,,,,,,,,,,,,,-21.23,24.28,11.92,25.97,43.17,7.80,46.58,37.07,37.04,
sz000561,,,,,,,,,,,,,,,3446万,1776万,-1952万,3600万,-1038万,6361万,-1914万,3898万,-1274万,,,,,,,,,,,,,,,,--,-75.30,--,-13.58,-130.12,258.18,--,8.30,--,,,,,,,,,,,,,,,,2.12亿,5.10亿,1.31亿,3.09亿,1.83亿,5.93亿,1.77亿,2.92亿,2.35亿,,,,,,,,,,,,,,,,34.16,-12.60,-11.52,24.32,-13.57,16.26,34.33,-5.58,28.61,
sz002617,,,,,,,,,,,,,,,1015万,1637万,5002万,1.10亿,7344万,7487万,7281万,6766万,2230万,,,,,,,,,,,,,,,,-50.66,-52.36,880.72,232.13,623.38,357.28,45.58,-38.52,-69.63,,,,,,,,,,,,,,,,3.17亿,4.42亿,4.73亿,10.6亿,8.06亿,9.04亿,8.05亿,11.1亿,6.65亿,,,,,,,,,,,,,,,,-9.95,57.86,175.42,113.47,154.19,104.67,70.12,4.43,-17.47,
sh600387,,,,,,,,,,,,,,,6206万,4050万,2729万,-2627万,-5979万,1.69亿,1.01亿,1.25亿,6429万,,,,,,,,,,,,,,,,--,-35.96,--,--,-196.35,382.39,271.48,--,--,,,,,,,,,,,,,,,,26.3亿,29.6亿,25.8亿,23.4亿,25.7亿,40.1亿,54.9亿,47.9亿,63.2亿,,,,,,,,,,,,,,,,20.21,60.96,44.46,-3.01,-2.42,35.57,112.38,104.69,146.05,
sz300555,,,,,,,,,,,,,,,1499万,1319万,863万,1239万,795万,1596万,536万,537万,280万,,,,,,,,,,,,,,,,3.80,-38.59,-20.56,-10.02,-46.93,21.00,-37.93,-56.71,-64.75,,,,,,,,,,,,,,,,1.10亿,1.22亿,7448万,1.05亿,8460万,1.13亿,7013万,1.08亿,6641万,,,,,,,,,,,,,,,,31.93,31.26,-4.40,24.79,-22.83,-7.54,-5.84,2.76,-21.51,
sh603789,,,,,,,,,,,,,,,1604万,-1929万,1447万,2475万,1102万,-2494万,-1421万,160万,1752万,,,,,,,,,,,,,,,,-56.64,--,-23.43,40.86,-31.28,--,-198.19,-93.54,58.99,,,,,,,,,,,,,,,,1.73亿,5491万,1.61亿,2.35亿,1.59亿,8392万,4778万,2.34亿,2.47亿,,,,,,,,,,,,,,,,-15.38,103.20,50.08,26.58,-8.54,52.84,-70.32,-0.39,56.08,
sh603090,,,,,,,,,,,,,,,1004万,1085万,659万,924万,616万,257万,402万,1091万,1042万,,,,,,,,,,,,,,,,6.16,30.62,-21.68,-12.39,-38.71,-76.34,-38.93,18.02,69.36,,,,,,,,,,,,,,,,6210万,6050万,6844万,9551万,9422万,1.10亿,9989万,1.09亿,1.03亿,,,,,,,,,,,,,,,,5.47,10.69,29.54,75.18,51.74,81.46,45.96,14.23,8.83,
sz000526,,,,,,,,,,,,,,,-2407万,-6311万,915万,9126万,-3677万,-3927万,301万,9809万,-3279万,,,,,,,,,,,,,,,,-3853.96,--,--,--,--,--,-67.15,7.48,--,,,,,,,,,,,,,,,,5.99亿,4.88亿,7.08亿,9.20亿,6.55亿,5.28亿,7.23亿,9.34亿,6.87亿,,,,,,,,,,,,,,,,9461.23,7683.81,11201.85,330.70,9.38,8.19,2.07,1.49,4.86,
sz002732,,,,,,,,,,,,,,,4104万,1642万,1204万,4817万,4580万,1476万,951万,3284万,2236万,,,,,,,,,,,,,,,,18.07,6.24,33.96,21.50,11.60,-10.10,-21.02,-31.83,-51.19,,,,,,,,,,,,,,,,3.12亿,2.91亿,2.37亿,3.37亿,3.41亿,3.25亿,2.59亿,3.55亿,3.51亿,,,,,,,,,,,,,,,,8.71,3.95,27.84,7.97,9.20,11.43,9.14,5.46,3.09,
sz002717,,,,,,,,,,,,,,,6972万,8785万,4783万,1.53亿,1.04亿,2.05亿,8776万,2.99亿,1.85亿,,,,,,,,,,,,,,,,48.04,73.04,68.12,103.99,49.63,132.87,83.49,96.07,77.61,,,,,,,,,,,,,,,,5.80亿,9.24亿,5.18亿,11.6亿,8.77亿,22.2亿,9.77亿,25.8亿,21.6亿,,,,,,,,,,,,,,,,21.61,19.98,28.37,75.43,51.19,140.90,88.68,122.28,146.12,
sz002003,,,,,,,,,,,,,,,1.02亿,5943万,936万,1.54亿,1.16亿,8504万,1632万,1.64亿,1.22亿,,,,,,,,,,,,,,,,16.87,27.23,27.26,21.39,14.08,43.11,74.32,6.92,4.57,,,,,,,,,,,,,,,,6.00亿,5.99亿,3.51亿,8.24亿,6.80亿,7.69亿,4.22亿,8.43亿,7.26亿,,,,,,,,,,,,,,,,11.78,43.80,14.39,23.46,13.28,28.38,20.26,2.29,6.70,
sh600778,,,,,,,,,,,,,,,-7341万,-2.33亿,-1586万,-1.79亿,-6753万,-2.23亿,3955万,2062万,2044万,,,,,,,,,,,,,,,,--,--,-947.71,--,--,--,--,--,--,,,,,,,,,,,,,,,,13.4亿,18.2亿,15.0亿,13.2亿,14.2亿,16.5亿,16.0亿,12.6亿,13.2亿,,,,,,,,,,,,,,,,-22.11,8.15,-7.31,-1.03,5.77,-9.72,6.82,-4.38,-6.75,
sh600821,,,,,,,,,,,,,,,92.3万,-1.02亿,-3067万,-4925万,-4919万,1.38亿,-3560万,-3977万,-3274万,,,,,,,,,,,,,,,,-7.32,-19137.28,-1643.46,-52019.28,-5427.96,--,--,--,--,,,,,,,,,,,,,,,,4822万,6775万,7405万,4084万,3338万,5791万,5710万,3283万,3174万,,,,,,,,,,,,,,,,-43.59,-56.44,-25.69,-27.98,-30.78,-14.52,-22.90,-19.60,-4.90,
sz002336,,,,,,,,,,,,,,,-937万,5352万,489万,-1.40亿,-1.44亿,-2.59亿,5623万,-3177万,-1159万,,,,,,,,,,,,,,,,--,--,-76.42,--,--,-584.26,1050.97,--,--,,,,,,,,,,,,,,,,24.6亿,23.6亿,26.5亿,21.2亿,20.8亿,20.0亿,24.0亿,18.7亿,19.8亿,,,,,,,,,,,,,,,,-10.32,-7.94,-10.80,-10.14,-15.35,-15.38,-9.63,-11.69,-4.82,
sz000619,,,,,,,,,,,,,,,3437万,-1503万,-695万,928万,263万,407万,-1533万,1798万,191万,,,,,,,,,,,,,,,,14.74,-172.96,-166.14,-79.87,-92.35,--,--,93.68,-27.53,,,,,,,,,,,,,,,,9.42亿,7.78亿,5.63亿,8.94亿,9.21亿,7.10亿,4.97亿,9.18亿,9.07亿,,,,,,,,,,,,,,,,-3.79,-5.22,-1.01,-0.17,-2.22,-8.83,-11.74,2.61,-1.47,
sh600543,,,,,,,,,,,,,,,908万,-131万,1339万,85.7万,1038万,-53.9万,1423万,24.1万,599万,,,,,,,,,,,,,,,,28.20,--,-17.54,--,14.40,--,6.26,-71.91,-42.30,,,,,,,,,,,,,,,,3970万,6528万,6710万,5253万,3074万,7515万,7017万,3151万,3715万,,,,,,,,,,,,,,,,3.72,-14.77,-6.72,50.29,-22.56,15.13,4.57,-40.03,20.86,
sz002004,,,,,,,,,,,,,,,1.96亿,-4482万,1.45亿,1.90亿,1.25亿,4822万,9608万,2.14亿,1.68亿,,,,,,,,,,,,,,,,1.97,-197.36,-15.77,-22.01,-36.35,--,-33.76,12.69,34.79,,,,,,,,,,,,,,,,16.3亿,21.2亿,20.2亿,22.6亿,18.2亿,30.0亿,27.0亿,23.4亿,27.2亿,,,,,,,,,,,,,,,,15.23,48.17,33.92,24.18,11.49,41.19,33.23,3.40,49.55,
sz002154,,,,,,,,,,,,,,,-335万,-2.86亿,1406万,-4467万,-155万,5808万,3519万,420万,3123万,,,,,,,,,,,,,,,,-103.71,--,48.15,--,--,--,150.21,--,--,,,,,,,,,,,,,,,,4.20亿,6.63亿,5.54亿,5.94亿,5.37亿,9.17亿,7.37亿,6.76亿,6.86亿,,,,,,,,,,,,,,,,-25.49,-1.55,16.62,31.90,27.91,38.17,32.94,13.87,27.82,
sz300735,,,,,,,,,,,,,,--,,--,3017万,5183万,5880万,3276万,2157万,6580万,8991万,,,,,,,,,,,,,,,--,,--,--,--,--,--,-28.49,26.95,52.90,,,,,,,,,,,,,,,--,,--,2.56亿,3.65亿,3.67亿,2.86亿,2.69亿,4.34亿,4.24亿,,,,,,,,,,,,,,,--,,--,--,--,--,--,5.37,19.04,15.50,
sh603266,,,,,,,,,,,,,,,2306万,1967万,2087万,2477万,1864万,1419万,1507万,2012万,1996万,,,,,,,,,,,,,,,,67.15,-19.13,10.85,27.05,-19.16,-27.86,-27.82,-18.78,7.10,,,,,,,,,,,,,,,,2.05亿,2.31亿,2.17亿,1.93亿,2.13亿,2.34亿,2.07亿,2.43亿,2.33亿,,,,,,,,,,,,,,,,27.34,11.32,17.17,4.20,3.74,1.69,-4.74,26.41,9.51,
sz000008,,,,,,,,,,,,,,,1.75亿,3.05亿,934万,4639万,6620万,7.52亿,1052万,5086万,6218万,,,,,,,,,,,,,,,,576.92,239.39,-19.42,52.86,-62.17,146.54,12.66,9.63,-6.06,,,,,,,,,,,,,,,,3.92亿,8.69亿,2.02亿,3.66亿,4.11亿,13.5亿,2.09亿,5.21亿,5.60亿,,,,,,,,,,,,,,,,48.02,63.30,-4.80,-9.22,4.90,55.61,3.24,42.35,36.23,
sz300717,,,,,,,,,,,,,,,--,1274万,1000万,1335万,952万,1021万,1235万,1259万,1049万,,,,,,,,,,,,,,,,--,--,--,--,--,-19.85,23.52,-5.68,10.16,,,,,,,,,,,,,,,,--,7068万,6580万,6448万,6178万,9178万,7975万,6916万,7395万,,,,,,,,,,,,,,,,--,--,--,--,--,29.86,21.21,7.26,19.71,
sz000025,,,,,,,,,,,,,,,847万,97.8万,449万,2010万,1601万,2626万,1610万,1082万,892万,,,,,,,,,,,,,,,,-23.34,-95.94,-27.06,73.50,89.05,2584.27,258.21,-46.18,-44.28,,,,,,,,,,,,,,,,8360万,8349万,8115万,7984万,7739万,1.09亿,9210万,1.06亿,9263万,,,,,,,,,,,,,,,,14.03,16.10,1.79,3.11,-7.44,30.39,13.50,32.59,19.69,
sz002111,,,,,,,,,,,,,,,3920万,3752万,4099万,6758万,5065万,-4596万,5095万,7473万,5281万,,,,,,,,,,,,,,,,-4.40,-44.82,-0.01,32.97,29.20,-222.48,24.30,10.59,4.26,,,,,,,,,,,,,,,,3.54亿,5.12亿,3.33亿,4.48亿,4.90亿,5.33亿,3.84亿,6.14亿,5.32亿,,,,,,,,,,,,,,,,-3.93,23.23,8.14,17.25,38.54,4.20,15.45,37.07,8.59,
sz300033,,,,,,,,,,,,,,,,4.89亿,1.02亿,1.84亿,1.85亿,2.55亿,7534万,1.16亿,1.27亿,3.15亿,,,,,,,,,,,,,,,,4.57,-28.77,-16.43,-48.47,-47.97,-26.37,-37.12,-30.98,23.88,,,,,,,,,,,,,,,,5.38亿,2.68亿,3.37亿,3.81亿,4.23亿,2.38亿,3.29亿,3.43亿,4.77亿,,,,,,,,,,,,,,,,-20.15,0.25,-9.13,-31.57,-21.34,-11.29,-2.38,-10.03,12.70
sh600359,,,,,,,,,,,,,,,-5360万,-3489万,339万,3949万,-2330万,1420万,-829万,-1386万,-2179万,,,,,,,,,,,,,,,,--,--,--,--,--,--,-344.37,-135.10,--,,,,,,,,,,,,,,,,4.98亿,5.63亿,4.64亿,3.38亿,9574万,1.87亿,1.38亿,1.72亿,1.17亿,,,,,,,,,,,,,,,,699.78,106.98,119.03,16.99,-80.79,-66.86,-70.28,-49.08,22.01,
sh600103,,,,,,,,,,,,,,,3327万,877万,2327万,4033万,3722万,456万,5070万,7624万,4532万,,,,,,,,,,,,,,,,--,--,--,56.25,11.89,-47.99,117.85,89.01,21.75,,,,,,,,,,,,,,,,6.03亿,5.48亿,6.10亿,6.59亿,7.14亿,6.73亿,6.69亿,8.77亿,7.14亿,,,,,,,,,,,,,,,,9.81,-0.15,20.56,6.14,18.43,22.72,9.53,33.10,0.10,
sz300606,,,,,,,,,,,,,,,928万,1316万,1432万,1162万,1706万,1196万,1577万,1217万,1504万,,,,,,,,,,,,,,,,--,38.34,125.86,1.69,83.86,-9.11,10.14,4.71,-11.85,,,,,,,,,,,,,,,,5311万,6623万,5564万,6650万,6414万,7164万,8528万,1.07亿,1.03亿,,,,,,,,,,,,,,,,--,18.84,46.87,5.46,20.77,8.17,53.27,61.26,61.34,
sz002224,,,,,,,,,,,,,,,5569万,7148万,3176万,5326万,4003万,3574万,1904万,4740万,2645万,,,,,,,,,,,,,,,,-34.04,11.28,32.31,-28.66,-28.13,-49.99,-40.05,-11.01,-33.93,,,,,,,,,,,,,,,,2.06亿,2.34亿,1.55亿,2.61亿,2.04亿,2.83亿,1.80亿,2.37亿,2.33亿,,,,,,,,,,,,,,,,-12.47,-9.13,-0.87,8.98,-1.27,20.89,16.59,-9.20,14.21,
sh600171,,,,,,,,,,,,,,,1135万,-117万,1495万,1.19亿,1885万,2114万,1828万,4643万,2372万,,,,,,,,,,,,,,,,-21.27,-108.04,39.96,598.56,66.12,--,22.29,-60.89,25.79,,,,,,,,,,,,,,,,1.23亿,1.38亿,1.13亿,1.32亿,1.48亿,1.70亿,1.65亿,2.22亿,1.96亿,,,,,,,,,,,,,,,,1.41,13.02,-0.85,-1.98,19.85,23.24,45.30,68.39,33.05,
sz002460,,,,,,,,,,,,,,,2.08亿,-2144万,1.36亿,4.71亿,3.96亿,4.66亿,3.58亿,4.79亿,2.69亿,,,,,,,,,,,,,,,,518.66,-152.84,27.03,175.82,90.78,--,162.60,1.66,-31.98,,,,,,,,,,,,,,,,6.79亿,8.22亿,6.25亿,10.0亿,12.2亿,15.4亿,10.5亿,12.8亿,12.6亿,,,,,,,,,,,,,,,,110.54,68.75,-5.75,47.09,79.10,87.63,67.97,28.16,3.69,
sh600276,,,,,,,,,,,,,,,,6.60亿,8.12亿,7.62亿,7.54亿,8.89亿,9.49亿,9.60亿,10.0亿,11.5亿,,,,,,,,,,,,,,,,10.07,18.63,20.89,22.80,34.61,16.95,26.09,32.85,29.79,,,,,,,,,,,,,,,,28.3亿,31.7亿,31.8亿,37.2亿,37.7亿,38.6亿,39.0亿,47.0亿,49.6亿,,,,,,,,,,,,,,,,15.73,18.76,21.63,24.68,33.21,21.70,22.94,26.24,31.56
sh603823,,,,,,,,,,,,,,,3483万,2627万,2675万,3152万,2821万,4651万,3715万,5068万,6325万,,,,,,,,,,,,,,,,--,--,-12.77,-34.01,-19.01,77.05,38.89,60.79,124.19,,,,,,,,,,,,,,,,3.42亿,3.35亿,3.58亿,3.81亿,3.48亿,4.24亿,3.87亿,5.09亿,4.61亿,,,,,,,,,,,,,,,,--,--,11.71,5.43,1.80,26.55,7.98,33.67,32.33,
sh601166,,,,,,,,,,,,,,,145亿,98.7亿,168亿,148亿,155亿,101亿,177亿,160亿,169亿,,,,,,,,,,,,,,,,7.89,9.82,7.16,7.54,6.93,1.85,4.94,8.29,8.98,,,,,,,,,,,,,,,,378亿,384亿,346亿,338亿,349亿,367亿,353亿,381亿,412亿,,,,,,,,,,,,,,,,-5.76,-8.55,-15.57,-16.00,-7.56,-3.89,2.15,12.68,17.99,
sh603608,,,,,,,,,,,,,,,2610万,3384万,3326万,6740万,3884万,4844万,7501万,6326万,4824万,,,,,,,,,,,,,,,,48.39,11.84,188.47,47.15,48.80,43.14,125.55,-6.15,24.19,,,,,,,,,,,,,,,,3.43亿,4.60亿,3.68亿,4.46亿,3.91亿,5.29亿,4.70亿,5.34亿,4.65亿,,,,,,,,,,,,,,,,-5.65,0.67,3.91,13.94,14.08,15.05,27.64,19.68,18.98,
sz300217,,,,,,,,,,,,,,,1739万,382万,1145万,2630万,2521万,2039万,2186万,5868万,5199万,,,,,,,,,,,,,,,,-30.06,-56.85,9.02,86.00,44.95,433.44,90.81,123.13,106.25,,,,,,,,,,,,,,,,2.20亿,3.48亿,3.56亿,4.42亿,4.07亿,5.25亿,4.93亿,6.79亿,6.44亿,,,,,,,,,,,,,,,,-1.94,49.08,109.26,130.60,85.08,50.88,38.41,53.43,58.35,
sz002409,,,,,,,,,,,,,,,1100万,2655万,2377万,1886万,757万,-1568万,1715万,3833万,6044万,,,,,,,,,,,,,,,,-60.73,12.73,36.32,46.80,-31.21,-159.04,-27.85,103.19,698.58,,,,,,,,,,,,,,,,1.91亿,2.79亿,2.91亿,2.54亿,2.75亿,3.13亿,3.08亿,3.41亿,4.47亿,,,,,,,,,,,,,,,,-21.84,15.27,37.00,19.88,43.91,12.08,5.75,34.27,62.33,
sz002748,,,,,,,,,,,,,,,3452万,3391万,6516万,5350万,1803万,1386万,1200万,1396万,760万,,,,,,,,,,,,,,,,7062.39,137.16,340.68,149.25,-47.75,-59.13,-81.59,-73.92,-57.88,,,,,,,,,,,,,,,,2.37亿,2.87亿,3.35亿,3.25亿,2.74亿,2.67亿,3.03亿,3.17亿,3.53亿,,,,,,,,,,,,,,,,51.47,20.67,57.43,22.84,15.85,-6.76,-9.45,-2.58,28.54,
sz300726,,,,,,,,,,,,,,,--,5837万,3563万,5991万,5101万,5330万,4239万,8701万,4848万,,,,,,,,,,,,,,,,--,--,-35.78,--,--,-8.70,18.98,45.25,-4.96,,,,,,,,,,,,,,,,--,1.34亿,1.03亿,1.37亿,1.29亿,1.56亿,1.37亿,1.72亿,1.53亿,,,,,,,,,,,,,,,,--,--,-5.52,--,--,16.12,32.88,25.82,19.19,
sh603106,,,,,,,,,,,,,,,3840万,2440万,2803万,6134万,3400万,2579万,3181万,1353万,469万,,,,,,,,,,,,,,,,--,--,--,--,-11.45,5.72,13.48,-77.95,-86.21,,,,,,,,,,,,,,,,3.25亿,3.16亿,3.73亿,3.76亿,3.50亿,3.85亿,3.33亿,2.08亿,1.54亿,,,,,,,,,,,,,,,,--,--,--,--,7.74,21.87,-10.92,-44.70,-55.97,
sz000961,,,,,,,,,,,,,,,1.51亿,-1.50亿,1.24亿,2.07亿,6119万,2.11亿,3.80亿,5.47亿,3.40亿,,,,,,,,,,,,,,,,581.41,--,1.31,8.14,-67.18,--,205.57,164.77,456.02,,,,,,,,,,,,,,,,58.9亿,152亿,57.1亿,69.6亿,63.5亿,115亿,113亿,39.7亿,147亿,,,,,,,,,,,,,,,,45.21,101.14,8.31,-13.52,7.85,-24.29,98.65,-42.95,131.13,
sz002388,,,,,,,,,,,,,,,581万,305万,958万,3292万,716万,1531万,1051万,896万,323万,,,,,,,,,,,,,,,,43.14,--,1573.10,2783.45,53.10,41.15,9.79,-72.79,-54.85,,,,,,,,,,,,,,,,1.80亿,2.81亿,2.03亿,2.03亿,1.99亿,2.09亿,1.54亿,2.93亿,2.26亿,,,,,,,,,,,,,,,,5.33,85.57,22.86,14.04,9.97,-29.83,-23.84,44.88,13.54,
sz002350,,,,,,,,,,,,,,,804万,5038万,-838万,2223万,68.3万,5766万,651万,3132万,3005万,,,,,,,,,,,,,,,,--,35.60,-848.45,31.32,-91.51,14.44,--,40.91,4302.86,,,,,,,,,,,,,,,,4.19亿,6.28亿,2.92亿,5.97亿,5.24亿,8.02亿,3.70亿,7.49亿,6.01亿,,,,,,,,,,,,,,,,22.72,5.34,7.00,30.81,25.02,27.72,26.59,25.54,14.74,
sz300142,,,,,,,,,,,,,,,-7171万,3.04亿,-2930万,-1372万,370万,-4.98亿,2376万,4940万,1796万,,,,,,,,,,,,,,,,--,--,--,--,--,-263.72,--,--,385.16,,,,,,,,,,,,,,,,1.05亿,1.93亿,8617万,1.71亿,1.78亿,2.33亿,1.18亿,2.57亿,1.99亿,,,,,,,,,,,,,,,,-64.83,-34.39,-59.16,107.91,70.45,20.61,36.59,50.63,11.48,
sz000603,,,,,,,,,,,,,,,6904万,5720万,1173万,8527万,7741万,1.09亿,6716万,4917万,1.37亿,,,,,,,,,,,,,,,,12.34,-3.83,-39.24,50.76,12.12,90.10,472.76,-42.34,76.47,,,,,,,,,,,,,,,,2.08亿,2.34亿,2913万,2.59亿,4.73亿,3.36亿,1.70亿,3.38亿,9.76亿,,,,,,,,,,,,,,,,7.21,11.10,-38.47,31.20,126.79,43.71,483.93,30.84,106.35,
sh601608,,,,,,,,,,,,,,,-3.45亿,-12.6亿,-232万,2357万,124万,882万,108万,6236万,732万,,,,,,,,,,,,,,,,-887.01,--,-144.77,46.63,--,--,--,164.56,488.28,,,,,,,,,,,,,,,,6.43亿,11.2亿,11.0亿,11.7亿,10.4亿,13.1亿,8.96亿,14.0亿,12.8亿,,,,,,,,,,,,,,,,-36.66,9.22,4.14,22.49,61.61,17.37,-18.30,19.06,23.33,
sz002606,,,,,,,,,,,,,,,2152万,2873万,2974万,913万,2069万,-24.5万,857万,-408万,-1126万,,,,,,,,,,,,,,,,-29.91,46.04,36.28,-58.71,-3.82,-100.85,-71.16,-144.66,-154.42,,,,,,,,,,,,,,,,1.53亿,2.24亿,2.05亿,1.68亿,1.86亿,2.75亿,1.87亿,1.34亿,1.19亿,,,,,,,,,,,,,,,,-33.23,13.71,21.05,-18.56,21.05,22.42,-8.67,-20.02,-36.14,
sz300620,,,,,,,,,,,,,,,1058万,1800万,959万,1577万,1662万,1794万,1629万,2926万,2359万,,,,,,,,,,,,,,,,--,--,-0.34,38.80,57.19,-0.31,69.76,85.52,41.88,,,,,,,,,,,,,,,,3892万,5660万,4329万,5398万,6588万,6716万,6267万,7482万,6785万,,,,,,,,,,,,,,,,--,--,25.02,16.81,69.29,18.67,44.79,38.59,2.98,
