,净利润_2009-12-31,净利润_2010-12-31,净利润_2011-06-30,净利润_2011-12-31,净利润_2012-12-31,净利润_2013-12-31,净利润_2014-09-30,净利润_2014-12-31,净利润_2015-03-31,净利润_2015-06-30,净利润_2015-09-30,净利润_2015-12-31,净利润_2016-03-31,净利润_2016-06-30,净利润_2016-09-30,净利润_2016-12-31,净利润_2017-03-31,净利润_2017-06-30,净利润_2017-09-30,净利润_2017-12-31,净利润_2018-03-31,净利润_2018-06-30,净利润_2018-09-30,净利润_2018-12-31,净利润同比增长_2009-12-31,净利润同比增长_2010-12-31,净利润同比增长_2011-06-30,净利润同比增长_2011-12-31,净利润同比增长_2012-12-31,净利润同比增长_2013-12-31,净利润同比增长_2014-09-30,净利润同比增长_2014-12-31,净利润同比增长_2015-03-31,净利润同比增长_2015-06-30,净利润同比增长_2015-09-30,净利润同比增长_2015-12-31,净利润同比增长_2016-03-31,净利润同比增长_2016-06-30,净利润同比增长_2016-09-30,净利润同比增长_2016-12-31,净利润同比增长_2017-03-31,净利润同比增长_2017-06-30,净利润同比增长_2017-09-30,净利润同比增长_2017-12-31,净利润同比增长_2018-03-31,净利润同比增长_2018-06-30,净利润同比增长_2018-09-30,净利润同比增长_2018-12-31,营收_2009-12-31,营收_2010-12-31,营收_2011-06-30,营收_2011-12-31,营收_2012-12-31,营收_2013-12-31,营收_2014-09-30,营收_2014-12-31,营收_2015-03-31,营收_2015-06-30,营收_2015-09-30,营收_2015-12-31,营收_2016-03-31,营收_2016-06-30,营收_2016-09-30,营收_2016-12-31,营收_2017-03-31,营收_2017-06-30,营收_2017-09-30,营收_2017-12-31,营收_2018-03-31,营收_2018-06-30,营收_2018-09-30,营收_2018-12-31,营收增长同比_2009-12-31,营收增长同比_2010-12-31,营收增长同比_2011-06-30,营收增长同比_2011-12-31,营收增长同比_2012-12-31,营收增长同比_2013-12-31,营收增长同比_2014-09-30,营收增长同比_2014-12-31,营收增长同比_2015-03-31,营收增长同比_2015-06-30,营收增长同比_2015-09-30,营收增长同比_2015-12-31,营收增长同比_2016-03-31,营收增长同比_2016-06-30,营收增长同比_2016-09-30,营收增长同比_2016-12-31,营收增长同比_2017-03-31,营收增长同比_2017-06-30,营收增长同比_2017-09-30,营收增长同比_2017-12-31,营收增长同比_2018-03-31,营收增长同比_2018-06-30,营收增长同比_2018-09-30,营收增长同比_2018-12-31
sz000980,,,,,,,,,,,,,,,701万,4243万,3123万,1.91亿,2.58亿,6.56亿,1.41亿,1.64亿,1.11亿,,,,,,,,,,,,,,,,40.02,45.34,11.73,1932.39,3582.58,1446.06,351.37,-14.39,-57.08,,,,,,,,,,,,,,,,4.49亿,4.48亿,5.35亿,52.5亿,58.1亿,92.1亿,54.5亿,48.1亿,31.1亿,,,,,,,,,,,,,,,,40.07,-30.23,41.13,1158.17,1194.46,1954.64,917.68,-8.50,-46.38,
sh603289,,,,,,,,,,,,,,,--,3010万,1687万,2242万,2389万,2034万,2034万,2328万,2680万,,,,,,,,,,,,,,,,--,--,--,--,--,-32.42,20.58,3.85,12.16,,,,,,,,,,,,,,,,--,1.58亿,1.40亿,1.86亿,1.84亿,1.94亿,1.78亿,2.24亿,1.59亿,,,,,,,,,,,,,,,,--,--,--,--,--,22.82,27.75,20.74,-13.59,
sz002639,,,,,,,,,,,,,,,1280万,1802万,131万,949万,4.98万,-6974万,200万,882万,290万,,,,,,,,,,,,,,,,1792.48,144.76,--,-52.57,-99.61,-487.11,52.48,-7.05,5708.50,,,,,,,,,,,,,,,,3.55亿,1.03亿,1.81亿,2.36亿,2.70亿,2.50亿,2.28亿,3.26亿,3.43亿,,,,,,,,,,,,,,,,205.62,-33.82,115.45,-12.54,-24.00,143.37,26.17,38.34,27.17,
sh600170,,,,,,,,,,,,,,,,4.39亿,5.04亿,7.62亿,6.36亿,6.83亿,5.33亿,7.57亿,5.21亿,9.19亿,,,,,,,,,,,,,,,,0.29,1.16,30.75,10.05,56.05,5.72,-0.69,-18.03,34.58,,,,,,,,,,,,,,,,459亿,267亿,396亿,333亿,425亿,311亿,472亿,371亿,546亿,,,,,,,,,,,,,,,,25.22,-1.27,18.12,22.43,-7.39,16.44,19.19,11.61,28.52
sz002229,,,,,,,,,,,,,,,694万,2471万,-1155万,-506万,526万,2212万,-951万,20.2万,397万,,,,,,,,,,,,,,,,--,20.13,--,--,-24.18,-10.48,--,--,-24.54,,,,,,,,,,,,,,,,1.99亿,2.58亿,1.38亿,1.53亿,1.78亿,2.27亿,1.60亿,1.81亿,1.53亿,,,,,,,,,,,,,,,,40.21,27.95,-27.22,-23.84,-10.69,-11.95,16.45,18.68,-13.89,
sz002478,,,,,,,,,,,,,,,2893万,2453万,2088万,4102万,3344万,4834万,4715万,1.59亿,1.62亿,,,,,,,,,,,,,,,,-58.22,-46.40,-26.37,47.09,15.59,97.09,125.87,287.85,383.54,,,,,,,,,,,,,,,,5.20亿,6.35亿,6.32亿,8.71亿,9.68亿,10.2亿,11.1亿,13.8亿,15.1亿,,,,,,,,,,,,,,,,-31.03,-19.07,12.64,78.11,86.27,61.06,75.31,58.82,55.97,
sz300071,,,,,,,,,,,,,,,6107万,555万,2201万,1472万,9840万,-4.12亿,3100万,791万,434万,,,,,,,,,,,,,,,,62.51,-66.08,5.73,-66.39,61.14,-7531.62,40.88,-46.24,-95.59,,,,,,,,,,,,,,,,9.80亿,9.22亿,7.41亿,7.76亿,11.2亿,8.62亿,6.84亿,7.96亿,8.29亿,,,,,,,,,,,,,,,,23.42,13.70,3.11,-6.70,14.66,-6.52,-7.66,2.60,-26.22,
sh603822,,,,,,,,,,,,,,,1077万,1533万,439万,1177万,1378万,2104万,869万,1991万,1176万,,,,,,,,,,,,,,,,7.66,48.68,-10.42,-0.97,27.93,37.29,97.65,69.20,-14.70,,,,,,,,,,,,,,,,1.17亿,1.82亿,1.83亿,2.04亿,2.38亿,2.57亿,1.99亿,2.71亿,3.03亿,,,,,,,,,,,,,,,,-14.05,52.00,93.04,81.68,103.25,41.46,8.49,33.24,26.85,
sh600356,,,,,,,,,,,,,,,2687万,2903万,2744万,1868万,2895万,2265万,1820万,1285万,2376万,,,,,,,,,,,,,,,,22.36,-20.13,11.62,31.64,7.77,-21.96,-33.69,-31.21,-17.95,,,,,,,,,,,,,,,,3.35亿,3.85亿,3.52亿,3.21亿,3.84亿,3.88亿,3.79亿,3.57亿,4.13亿,,,,,,,,,,,,,,,,-10.02,-1.89,7.07,2.70,14.71,0.74,7.78,11.16,7.62,
sz300163,,,,,,,,,,,,,,,1351万,2194万,-108万,363万,-20.6万,-3030万,-1217万,-835万,-1.29亿,,,,,,,,,,,,,,,,59.98,29.83,-133.15,-87.58,-101.53,-238.07,--,-330.04,--,,,,,,,,,,,,,,,,1.85亿,1.99亿,1.80亿,1.77亿,1.57亿,1.74亿,1.31亿,1.57亿,1.38亿,,,,,,,,,,,,,,,,7.53,-11.72,-0.89,-9.63,-15.31,-12.26,-27.42,-11.44,-11.90,
