code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps
VTVT,vTv Therapeutics Inc.,4.4,4.1601,2842390,40.582001,0.0,-0.916449,-1.431307
YECO,玉龙生态材料有限公司,1.75,1.93,244851,504.300331,0.0,1.250696,-3.083285
SHLD,西尔斯,0.409,0.4698,2006250,6.117534,0.0,-0.011632,-12.129591
VICR,Vicor Corporation,46.9,44.9,185206,23.190709,132.558649,11.305428,0.338718
CELGZ,Celgene Corporation,1.21,1.21,100,0.189259,0.630208,0.0,1.92
LENS,Presbia PLC,1.31,1.31,46,0.075092,0.0,5.961772,-0.703777
APRI,Apricus Biosciences,0.332,0.369,452449,39.249857,0.0,1.636997,-1.126056
CETX,Cemtrex Inc.,1.29,1.38,5760,2.950324,0.0,0.445566,-0.177189
HMNY,Helios and Matheson Analytics,0.02,0.0215,10928700,5.791739,0.0,0.592687,-3967.668457
MNGA,MagneGas Corporation,0.3026,0.2814,9857132,18.708093,0.0,0.778793,-13.622472
SLS,SELLAS Life Sciences Group Inc.,1.7,1.8499,1469158,33.280701,0.0,-14.582076,-5.243474
AKTX,Akari Therapeutics PLC,1.75,1.9312,1050,0.615955,0.0,3.415445,-2.355881
BOXL,Boxlight Corp,1.9,2.05,8397,3.676716,0.0,2.440947,-1.232299
UCTT,超科林半导体,11.45,11.93,111453,9.161738,5.028529,1.057293,2.372463
CLWT,欧陆科仪,3.0,3.2249,1226,4.572387,14.058039,0.416397,0.229399
ICHR,Ichor Holdings Ltd.,18.87,19.65,129148,7.92753,6.412229,1.9761,3.064457
DLPN,"Dolphin Entertainment, Inc.",2.5,2.5,2005,11.99251,8.839576,6.583786,0.282819
EVK,华瑞服装,3.15,3.15,100,6.587838,3.7626,0.472797,0.837187
TLF,Tandy Leather Factory,8.0,7.7499,10173,28.01031,14.557576,1.165521,0.532362
APOP,Cellect Biotechnology Ltd.,5.05,5.23,701,2.014059,0.0,5.932667,-0.870046
CGIX,Cancer Genetics Inc.,0.8505,0.8626,3541,1.121098,0.0,1.385077,-0.662352
