code,name,open,latestPrice,pe,pb,eps
ROKU,Roku Inc,59.44,60.41,22.652957,30.260904,2.66676
TOPS,TOP Ships Inc,0.99,1.0363,0.0,0.190135,-12.605077
ICON,艾康尼斯,0.23,0.2316,0.0,-0.133676,-10.1318
VTGN,"VistaGen Therapeutics, Inc.",1.97,1.99,0.0,15.965775,-1.038462
AWSM,Cool Holdings Inc,7.15,7.3,0.0,18.029135,-6.86546
NTNX,Nutanix Inc.,40.25,41.46,0.0,21.935244,-1.810949
FLL,Full House Resorts Inc,2.74,2.9,0.0,1.325042,-0.335975
TROV,TrovaGene,0.83,0.8656,0.0,0.876084,-3.548187
RUN,Sunrun Inc.,11.8,12.22,9.854433,1.414118,1.240051
YY,欢聚时代,70.41,73.02,16.724867,1.771553,4.365954
OBCI,Ocean Bio-Chem,3.76,4.04,13.38422,1.438895,0.301848
CLWT,欧陆科仪,3.09,3.24,14.123863,0.418347,0.229399
EYEN,Eyenovia Inc.,3.9,4.13,0.0,1.754082,-2.05444
ALLO,Allogene Therapeutics Inc.,26.9,26.81,0.0,0.0,0.0
URGN,Urogen Pharma Ltd.,42.19,44.76,0.0,6.260994,-1.72267
IMV,IMV Inc,5.7,5.42,0.0,0.0,0.0
CYTX,赛托瑞医疗,0.3572,0.3778,0.0,0.890042,-4.304278
SRPT,Sarepta Therapeutics,126.81,130.5,0.0,12.403649,-3.463834
CATS,"Catasys, Inc.",9.42,9.75,0.0,-33.517697,-0.167198
KEQU,基瓦尼科技,28.29,29.8,14.912653,1.703945,1.998303
WB,微博,58.48,59.64,28.070745,9.262993,2.124632
GDS,万国数据,26.85,27.65,0.0,3.915432,-0.564382
PDEX,Pro-Dex,8.98,9.6,25.493065,2.372738,0.376573
LE,Lands End Inc,14.44,15.12,15.138666,1.627704,0.998767
FNKO,Funko Inc.,18.25,18.61,0.427986,3.265206,43.482761
LMB,Limbach Holdings Inc,10.56,11.21,0.0,1.871813,-0.495261
MDWD,MediWound Ltd.,5.7,6.0,0.0,158.323334,-0.871114
ABIO,方舟生物医药,0.5825,0.6,0.0,0.928461,-1.056119
CPAH,CounterPath Corporation,2.0229,2.0702,0.0,1.326913,-0.51
BTAI,Bioxcel Therapeutics Inc.,6.24,6.24,0.0,1.959579,-0.920438
OPRX,OptimizeRx Corporation,13.65,14.4,0.0,10.606332,-0.082285
XNET,迅雷,5.71,5.94,0.0,1.011142,-0.191451
AVRO,Avrobio Inc.,24.25,25.17,0.0,4.025701,-13.741637
AVGR,"Avinger, Inc.",1.12,1.13,0.0,1.980252,-36.568741
MACK,Merrimack Pharmaceuticals,4.79,5.02,0.0,1.075547,-3.338142
DNJR,点牛金融,7.0,6.97,8.415039,7.221585,0.828279
ETSY,"Etsy, Inc.",40.41,41.55,57.037275,13.44468,0.728471
ASCMA,ASCENT资本集团,1.28,1.3,0.0,0.0,-8.87
IIIV,I3 Verticals Inc.,19.48,20.44,0.0,14.369403,-0.069481
DCIX,Diana Containerships Inc,1.11,1.15,0.369708,0.1188,3.110565
LASR,nLIGHT,18.41,19.13,0.0,4.081842,-5.165334
TOUR,途牛,6.64,6.96,0.0,1.674285,-0.476888
BLNK,Blink Charging,2.05,2.16,0.0,2.798079,-22.980782
SEDG,"SolarEdge Technologies, Inc.",38.04,39.39,14.684052,3.696052,2.682502
TISA,Top Image Systems,0.92,0.9378,0.0,1.206677,-0.365862
VTNR,Vertex Energy Inc.,1.76,1.84,0.0,2.35329,-0.233596
DFBG,Differential Brands Group Inc.,4.01,4.2,0.0,1.175482,-0.880684
EVBG,Everbridge Inc.,47.58,49.12,0.0,27.318552,-1.373611
GH,Guardant Health Inc.,32.0,33.58,0.0,0.0,0.0
IDXG,Interpace Diagnostics Group Inc,1.33,1.36,0.0,1.008721,-0.86727
HTHT,华住,27.7,28.34,42.03276,7.885549,0.674236
KALA,Kala Pharmaceuticals Inc.,8.22,8.56,0.823935,4.036144,10.38917
OSTK,Overstock.com,25.38,26.4,0.0,6.361484,-7.693244
JG,极光,5.82,6.05,0.0,-15.892645,-0.263976
DOMO,Domo Inc.,18.13,18.88,0.0,5.261991,-84.445198
AQST,Aquestive Therapeutics Inc.,14.22,14.9,0.0,-9.541789,-2.582003
MDGS,Medigus Ltd.,2.986,3.13,2.76448,0.716573,1.13222
MESA,"Mesa Air Group, Inc.",12.77,13.39,7.486369,2.006294,1.788584
PIRS,"Pieris Pharmaceuticals, Inc.",4.81,5.05,0.0,4.932846,-0.161617
SECO,寺库,11.02,11.67,14.369833,2.78502,0.812118
MYOS,MYOS Corporation,1.2,1.2199,0.0,2.446912,-0.632107
CLDX,塞德斯医疗,0.41,0.42,0.0,0.532818,-1.168029
MOMO,陌陌,37.5,37.65,17.744091,5.434176,2.121833
SFIX,Stitch Fix Inc.,25.45,26.08,55.730546,8.205701,0.467966
FLKS,"Flex Pharma, Inc.",0.5,0.53,0.0,0.714145,-1.952319
SEII,共享经济国际,3.02,3.1,0.0,0.351906,-9.880594
UBIO,Proshares UltraPro NASDAQ Biotechnology,33.51,33.2,0.0,0.0,0.0
INSE,Inspired Entertainment Inc,7.68,8.04,0.0,-34.623581,-0.455643
SINA,新浪,60.66,62.5,28.16754,1.631044,2.218866
WIX,Wix.Com Ltd,97.1,97.51,0.0,45.402676,-0.995162
TRPX,Therapix Biosciences Ltd.,5.03,5.26,0.0,3.569755,-83.327599
TST,TheStreet,2.1,2.18,1.771373,1.710827,1.230684
MSON,Misonix Inc,17.63,18.43,0.0,7.131533,-0.844963
CCB,Coastal Financial Corp,16.28,17.0,24.989858,2.907123,0.680276
ZN,锡安石油和天然气,1.08,1.1,0.0,2.324321,-0.156671
RUBY,Rubius Therapeutics Inc.,17.71,18.0,0.0,-20.121439,-8.773347
NFLX,"Netflix, Inc.",339.57,339.56,148.943673,32.883501,2.279788
OPHC,OptimumBank Holdings,4.98,4.98,5.065258,1.480063,0.983168
EYE,National Vision Holdings Inc.,40.57,42.22,42.341222,4.367468,0.997137
BCRX,BioCryst制药,6.72,7.01,0.0,16.634667,-0.827969
EGAN,eGain Communications Corporation,6.93,7.2,0.0,-22.894956,-0.072842
CUI,CUI Global,2.14,2.23,0.0,1.24141,-0.584939
NFEC,能发伟业,4.21,4.3,0.0,1.29255,-0.41237
SANW,S&W Seed Company,2.68,2.8,0.0,0.889107,-0.210176
PMTS,CPI Card Group,2.74,2.8,0.0,-0.222781,-3.533251
CADC,新奥混凝土,2.49,2.3771,16.951316,1.025834,0.140231
IRTC,Irhythm Technologies Inc.,83.6,86.64,0.0,30.305317,-1.760111
VRCA,Verrica Pharmaceuticals Inc.,13.45,13.95,0.0,3.528505,-3.642549
ADSK,欧特克,135.68,138.18,0.0,-125.03496,-1.894145
EYPT,pSivida Corp,3.14,3.23,0.0,20.593302,-1.15024
OSN,奥盛创新,1.94,1.9,1.410575,0.119019,1.346968
TTWO,Take-Two Interactive Software,126.73,129.05,78.786015,7.930835,1.637981
RVEN,Reven Housing Reit Inc,4.0404,4.0954,0.0,1.385153,-0.227387
INTU,财捷,208.19,211.82,44.777812,23.27605,4.730468
ZGNX,Zogenix,40.14,41.53,0.0,6.206801,-4.547037
ATVI,动视暴雪,78.4,77.92,118.411892,5.742014,0.658042
FTD,FTD Companies Inc.,2.2,2.31,0.0,0.694221,-13.671287
ARVN,Arvinas Holding Company LLC,13.87,14.45,0.0,0.0,0.0
PPSI,Pioneer Power Solutions Inc.,4.98,5.01,0.0,2.708307,-1.388934
FOLD,爱美医疗,12.0,12.39,0.0,4.170496,-1.741597
REDU,瑞思学科英语,10.98,11.47,0.0,11.050475,-0.105865
ALDX,Aldeyra Therapeutics Inc,12.04,12.49,0.0,8.857327,-1.574982
EXTR,极速网络,4.93,5.08,0.0,5.328183,-0.409661
GLUU,Glu移动,6.1,6.28,0.0,5.417778,-0.458201
IRCP,IRSA Propiedades Comerciales SA,22.4618,23.75,1.435841,0.204624,16.540825
AERI,Aerie Pharmaceuticals Inc.,53.45,55.37,0.0,12.848708,-4.984814
INSG,Novatel Wireless Inc,3.59,3.55,0.0,-3.981525,-0.532292
MTCH,"Match Group, Inc.",53.66,54.14,28.64858,26.610233,1.889797
AUTL,Autolus Therapeutics PLC,25.01,25.5,0.0,7.781778,-2.367136
SAUC,"Diversified Restaurant Holdings, Inc. ",1.32,1.39,0.0,-1.981545,-0.817474
ONS,"Oncobiologics, Inc.",0.917,0.915,0.0,-5.004818,-1.590148
MNKD,曼恩凯德生物医疗,1.58,1.6,0.0,-1.184699,-1.014384
TNDM,Neutral Tandem Inc.,35.85,36.13,0.0,79.50579,-4.029631
OKTA,Okta Inc.,57.71,57.59,0.0,25.649502,-1.019725
MFIN,Medallion Financial Corp.,6.7,6.9,0.0,0.654408,-1.054635
TEDU,达内科技,7.53,7.92,0.0,2.198914,-0.490284
NEWT,Newtek Business Services Inc,18.25,18.91,8.094663,1.258904,2.336107
LFVN,Lifevantage Corporation,10.27,10.58,25.69614,6.800225,0.411735
HWCC,休斯顿电线电缆,7.6,7.99,27.022823,1.375023,0.295676
IZEA,IZEA Inc.,1.6,1.64,0.0,8.67349,-0.857673
JOBS,前程无忧,60.02,61.39,0.0,4.217849,-0.633725
IVAC,因特瓦克,4.63,4.75,0.0,1.365012,-0.186095
MRTX,Mirati Therapeutics Inc.,41.56,42.58,0.0,5.593099,-2.764444
DRAD,Digirad Corporation,1.39,1.45,0.0,0.984278,-1.35709
ZS,Zscaler Inc.,37.09,36.3,0.0,18.09789,-0.625819
CTRV,ContraVir Pharmaceuticals Inc,0.5166,0.5169,0.0,-4.647595,-1.505963
TSRO,TESARO Inc,39.5,40.6,0.0,-103.459681,-9.830021
PBPB,Potbelly Corporation,12.59,13.12,0.0,2.808899,-0.400777
QADB,QAD Inc,38.62,37.5,0.0,5.953477,-0.423923
ADMS,"Adamas Pharmaceuticals, Inc.",17.64,18.17,0.0,3.465562,-4.928279
ZLAB,再鼎医药,15.08,15.7,0.0,4.585819,-0.848122
NVLN,Novelion Therapeutics Inc,1.11,1.05,0.0,-0.440284,-7.406317
PLCE,The Children’s Place Retail Sto,129.87,134.25,31.501847,6.813971,4.261655
RSLS,项由永恒医疗器材,0.03,0.0316,0.0,0.067445,-34.473705
RAVE,RAVE Restaurant Group,1.41,1.5,10.38012,3.5833,0.144507
EKSO,Ekso Bionics Holdings Inc,2.15,2.15,0.0,17.150478,-0.485856
