code,name,pe,pb,eps,net_radio2018-06,income_radio2018-06,net_radio2018-03,income_radio2018-03
GSM,Ferroglobe PLC,12.88997,1.3753,0.622965,6503.00%,36.91%,538.87%,41.58%
NVEE,NV5 Holdings Inc.,31.860235,5.782307,2.851517,76.43%,24.22%,89.07%,47.57%
RELL,理查森电子,30.719063,0.872549,0.296233,1491.20%,21.76%,136.83%,28.88%
DNKN,唐恩都乐,18.532593,-7.838785,4.128942,18.41%,4.96%,13.23%,1.73%
ICFI,ICF国际,22.887388,2.423695,3.567467,14.07%,5.85%,22.01%,2.19%
VNOM,Viper Energy Partners LP,16.325163,12.297924,2.356485,480.00%,105.75%,107.71%,85.41%
LMNX,路明克斯,37.145047,2.715625,0.762955,2.25%,4.08%,45.13%,6.28%
KRNT,Kornit Digital Ltd.,400.312982,4.789715,0.054957,725.12%,25.49%,132.53%,14.83%
DRYS,DryShips Inc,0.02281,0.657948,204.731049,122.86%,164.06%,107.22%,273.09%
STX,希捷科技,12.134012,8.589669,4.104166,304.39%,17.83%,96.39%,4.82%
PTC,PTC Inc.,203.528095,13.966405,0.485928,1887.28%,8.06%,817.57%,9.94%
CSII,Cardiovascular Systems,753.357622,9.587967,0.051078,384.07%,11.78%,120.87%,6.60%
MEDP,Medpace Holdings Inc.,40.716579,4.033776,1.431358,73.43%,79.95%,72.26%,73.89%
MOSY,正一科技,0,0.78989,-0.111572,107.89%,232.23%,107.90%,247.19%
FNJN,"Finjan Holdings, Inc.",2.688164,1.794707,1.584725,348.73%,649.24%,83.18%,162.66%
MDSO,Medidata,88.317551,8.856566,0.94398,119.98%,14.61%,3.46%,16.89%
PFIE,"Profire Energy, Inc.",23.188221,3.226568,0.125926,30.60%,19.81%,212.67%,55.53%
LTRX,创力,158.730153,4.725633,0.037422,1546.15%,8.99%,312.35%,0.67%
MRTN,马尔登运输,12.680186,2.244115,1.778365,49.90%,14.88%,25.77%,7.97%
LPLA,LPL Financial Holdings Inc,17.248772,5.651643,3.73128,73.55%,22.10%,94.09%,21.33%
NFLX,"Netflix, Inc.",152.944045,33.766695,2.279788,485.90%,40.27%,62.79%,40.36%
ESRX,快捷药方,11.111946,2.635031,8.171386,9.17%,1.16%,13.74%,0.46%
HWCC,休斯顿电线电缆,27.225748,1.385349,0.295676,4925.93%,24.07%,529.80%,8.03%
UFPI,Universal Forest Products,16.333601,2.243748,2.301391,30.53%,20.71%,55.23%,17.46%
FTNT,飞塔信息,161.854734,18.539596,0.528375,114.35%,21.40%,288.79%,17.15%
CALM,Cal-Maine Foods,18.986887,2.522497,2.604429,392.94%,61.37%,2232.56%,42.17%
PGTI,PGT Inc,22.401019,6.157819,1.131645,119.87%,23.21%,144.75%,24.42%
IESC,Integrated Electrical Services,0,1.868029,-0.744316,47.27%,11.64%,315.06%,0.99%
ZBRA,Zebra Technologies Corporation,52.571682,8.398131,3.192403,311.76%,12.95%,1262.50%,12.95%
ERIE,伊瑞保险,28.11408,6.660667,4.514464,36.19%,38.54%,37.35%,43.29%
AUDC,奥科,48.407245,3.479346,0.22414,136.09%,12.30%,87.95%,13.51%
DENN,Denny’s Corporation,22.656732,-8.184283,0.671765,32.88%,17.96%,16.55%,21.39%
BIDU,百度,19.091175,3.485712,11.316223,14.97%,0.92%,213.27%,16.49%
QGEN,快而精医药,110.958421,3.428218,0.343462,163.89%,8.08%,82.96%,11.65%
ADBE,Adobe,59.263883,14.673147,4.401838,77.13%,23.88%,46.34%,23.63%
DORM,Dorman Products,23.870009,4.005637,3.423543,20.75%,3.88%,5.00%,2.54%
ORLY,奥莱利,23.432303,72.429073,14.771062,24.84%,7.21%,15.09%,5.86%
APPF,"AppFolio, Inc.",161.981646,29.112063,0.530307,167.21%,31.67%,554.55%,31.79%
POOL,Pool Corporation,30.74632,21.861334,5.52619,23.70%,7.05%,40.72%,7.22%
BOSC,BOS科技,9.702383,0.80988,0.256638,15.66%,12.45%,39.46%,17.37%
STMP,Stamps.com Inc,23.807252,7.225186,10.206974,46.66%,20.23%,41.96%,27.16%
PFIN,P & F Industries,0,0.648352,-0.12985,1806.25%,5.40%,208.33%,19.11%
BCPC,拜切,36.670598,5.410512,3.037856,19.01%,11.29%,24.67%,17.19%
OMAB,北方中心机场,20.040792,6.439264,2.58872,39.24%,14.27%,44.05%,19.36%
NCLH,挪威邮轮,14.589669,2.078459,3.658068,14.21%,13.25%,66.62%,12.39%
FB,Facebook,24.822985,5.929961,6.568106,31.12%,41.95%,62.79%,48.98%
TWIN,Twin Disc,31.751273,2.110219,0.823904,406.98%,37.66%,350.93%,44.95%
JJSF,JJSF食品,26.485487,3.758316,5.595895,3.26%,3.66%,11.55%,7.95%
IPGP,IPG光电,21.308484,3.897365,7.390014,16.82%,11.98%,41.91%,25.89%
AMOT,Allied Motion科技,38.713663,4.808707,1.252271,89.99%,32.56%,58.00%,24.81%
JKHY,杰克亨利,32.815592,9.747661,4.875731,31.83%,8.72%,20.57%,8.74%
RP,RealPage,1104.48304,5.32046,0.05532,36.47%,34.06%,33.02%,31.64%
BZUN,宝尊电商,78.96251,10.104022,0.623967,22.52%,30.48%,45.83%,14.45%
