code,name,pe,pb,eps
BCML,Baycom,19.915787,1.469519,1.314535
CALM,Cal-Maine Foods,18.986887,2.522497,2.604429
CASA,Casa Systems,11.850777,12.017648,1.259833
UMPQ,Umpqua Holdings Corporation,16.582047,1.198076,1.306232
PFIS,Peoples Financial Services Corp. ,17.015565,1.250909,2.678136
CIVB,"Civista Bancshares, Inc. ",14.899481,1.450036,1.592673
SMMF,Summit Financial Group,13.349654,1.452146,1.830759
REGI,Renewable Energy Group,4.731804,1.273075,5.537
NRIM,Northrim BanCorp Inc,19.491678,1.528235,2.27533
ACNB,ACNB Corporation,17.092351,1.571908,2.094504
PRAA,Portfolio Recovery Associates,11.692857,1.527096,3.160049
PCB,Pacific City Financial Corp,15.037827,2.127173,1.353919
HCAP,Huntingdon Capital Corp,17.890258,0.89561,0.626598
ICBK,"County Bancorp, Inc.",12.305868,1.18562,1.986857
SBSI,Southside Bancshares,19.611036,1.697504,1.854568
HBCP,Home合众银行,16.769767,1.472888,2.686382
PWOD,Penns Woods Bancorp,19.81666,1.523808,2.280909
FISI,Financial Institutions,12.865214,1.39161,2.510646
MBWM,莫肯特尔银行,15.632673,1.53292,2.213313
BIDU,百度,19.091175,3.485712,11.316223
PBHC,Pathfinder Bancorp,17.126655,1.032503,0.903247
BLMT,BSB Bancorp,16.030855,1.726348,2.111553
CNOB,ConnectOne Bancorp Inc.,17.437649,1.371239,1.413608
BOSC,BOS科技,9.702383,0.80988,0.256638
PNTR,Pointer Telocation Ltd,6.062916,1.624155,2.078208
LEVL,Level One Bancorp,17.345844,1.509901,1.611337
PLBC,Plumas Bancorp,12.542118,2.189527,2.029163
SRCE,1st Source Corporation,19.240945,1.9691,2.917736
HRZN,Horizon Technology Finance Corpo,12.124958,0.973885,0.931962
HMST,HomeStreet,12.329645,1.081012,2.295281
LORL,劳拉空间通信,19.105915,4.760934,2.263697
QCRH,QCR Holdings,15.346729,1.837322,2.824706
KBAL,"Kimball International, Inc.",18.98259,3.373067,0.922951
WASH,Washington Trust Bancorp,18.721705,2.434513,3.172788
OPBK,OP Bancorp,14.912697,1.568158,0.810048
NCLH,挪威邮轮,14.589669,2.078459,3.658068
ORIT,Oritani Financial Corp,16.548422,1.282716,0.969881
OTEL,Otelco Inc.,4.07001,9.210303,4.127754
BWFG,"Bankwell Financial Group, Inc.",15.551954,1.430846,2.018396
ARII,美国轨道车,6.179566,1.317343,7.487581
PFBC,保富银行,16.574105,2.425096,3.67682
CVCY,中央谷地,19.318553,1.41195,1.119649
FGBI,"First Guaranty Bancshares, Inc",16.421214,1.598027,1.560177
FBNC,第一万能金控,16.72919,1.711134,2.495638
PPBI,太平洋第一合众银行,18.920355,1.917346,2.092984
ANDE,安德森斯,12.322349,1.388427,3.262365
NWBI,Northwest Bancshares,19.151798,1.537078,0.956046
BSRR,塞拉银行,18.543323,1.780628,1.637247
HWC,Hancock Whitney Corp.,17.240422,1.492953,2.972665
MATW,马修国际加工,17.087088,2.017775,3.063717
SAIA,Saia Inc.,17.804176,3.136186,4.428736
SAVE,Spirit Airlines,11.842801,1.873742,4.018475
EGBN,伊格尔合众银行,15.698592,1.820839,3.458909
NCBS,Nicolet Bankshares Inc.,14.151525,1.437641,3.904173
UHAL,Amerco,8.902945,1.935172,40.441673
SONA,Southern National Bancorp of Vir,19.55659,1.256171,0.893305
CME,芝加哥商品交易所,13.34778,2.559656,13.019394
WLFC,Willis Lease Finance Corporation,3.410065,0.81838,10.014473
MRCC,Monroe Capital Corporation,19.087846,1.03617,0.718782
PSEC,普罗斯佩克特资本,8.963856,0.796972,0.83
PEBK,北加利福尼亚国民银行,15.367531,1.525628,1.956723
SATS,回声星通信,11.1727,1.072503,4.221898
AMNB,美国国家银行,19.030205,1.676154,2.157097
MKSI,MKS仪器,12.142958,2.588342,7.008177
HOPE,"Hope Bancorp, Inc.",14.528399,1.186087,1.196966
PINC,Premier Inc.,12.266285,-1.633167,3.566687
UBNK,United Financial Bancorp,15.982894,1.282627,1.113065
CG,凯雷,11.625391,3.446547,1.918215
SAL,Salisbury Bancorp,17.546774,1.189204,2.396452
IBOC,国际银行,16.437441,1.673012,2.892786
UCFC,United Community Financial Corp,17.022468,1.710776,0.606845
EFSC,Enterprise Financial Services Co,19.360441,2.258278,2.892496
TCGP,Carlyle Group LP,12.245759,0,1.918215
GSBC,南方万通金控,16.335502,1.712021,3.633191
PNFP,Pinnacle Financial Partners,19.553348,1.302496,3.301225
CFFN,Capitol Federal Financial,18.22115,1.370963,0.729921
TCPC,TCP Capital Corp,14.419108,0.991077,1.004223
BPRN,The Bank of Princeton,18.022302,1.230232,1.80887
TRMK,Trustmark Corporation,19.030084,1.522265,1.873875
RDFN,Redfin Corp,3.371238,7.757261,5.85245
FRME,第一招商股份,18.847908,1.768008,2.536621
FANH,泛华金融控股集团,18.709904,2.766518,1.329777
PEBO,Peoples Bancorp Inc,16.93577,1.408052,2.149297
POPE,Pope Resources,15.607477,4.904006,4.648714
XTLB,XTL Biopharmaceuticals,3.131013,1.061718,0.5717
WVFC,WVS Financial Corp,13.775633,0.945924,1.163177
WTBA,West Bancorporation,15.714985,2.14024,1.524023
WEBK,Wellesley Bancorp,19.347634,1.339297,1.767658
UTHR,United Therapeutics Corporation,7.228925,2.011751,16.389711
UNTY,联合银行,15.150166,2.010798,1.584141
UEPS,Net 1 UEPS Technologies,8.996264,0.547031,0.689175
UBOH,联合货币中心银行,14.459808,0.997315,1.611363
TST,TheStreet,1.746996,1.687283,1.230684
TRCB,Two River Bancorp,18.41668,1.321941,0.933936
TIPT,Tiptree Financial Inc. - Class A,6.294713,0.613,1.048499
THFF,First Financial Corporation Indi,17.480005,1.484814,2.909038
SYNT,Syntel,19.036427,52.146088,2.139057
