code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps,Name,LastSale,MarketCap,year,Sector,industry,Summary Quote,Unnamed: 8
UXIN,优信,4.32,4.6,11611488.0,1.093284,0.0,3.479161,-5.514758,Uxin Limited,4.6,$1.41B,2018.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/uxin,
SRRK,Scholar Rock Holding Corp,17.19,18.57,120067.0,1.960854,0.0,4.579276,-4.317508,Scholar Rock Holding Corporation,18.57,$486.86M,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/srrk,
RKDA,"Arcadia Biosciences, Inc.",4.98,5.45,308984.0,1.998608,0.0,2.013876,-5.087704,"Arcadia Biosciences, Inc.",5.45,$26.02M,2015.0,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/rkda,
PLG,Platinum Group Metals Ltd,1.53,1.64,167860.0,1.689188,0.0,-47.043881,-1.9949,Platinum Group Metals Ltd.,1.64,$53.79M,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/plg,
ADMA,ADMA Biologics Inc,4.0,4.35,332265.0,0.668054,0.0,5.4192,-1.421864,ADMA Biologics Inc,4.35,$201.63M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma,
CVNA,Carvana Co.,34.73,38.0,1981549.0,1.332502,0.0,17.937716,-3.724928,Carvana Co.,38.0,,2017.0,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/cvna,
RWLK,ReWalk Robotics,0.245,0.265,10735896.0,1.355275,0.0,9.972385,-0.588794,ReWalk Robotics Ltd,0.265,$19.37M,2014.0,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/rwlk,
AXGT,Axovant Sciences Ltd,1.22,1.3,1272340.0,1.264438,0.0,8.883753,-1.249332,Axovant Sciences Ltd.,1.3,$202.19M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/axgt,
CPHI,中国医药控股有限公司,0.25,0.2925,878414.0,3.437132,0.0,0.338718,-0.389755,"China Pharma Holdings, Inc.",0.2925,$12.75M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cphi,
MBIO,"Mustang Bio, Inc",4.2,4.4,42950.0,0.683288,0.0,2.643876,-1.291679,"Mustang Bio, Inc.",4.4,$119.96M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mbio,
INSY,INSYS Therapeutics Inc.,5.65,6.16,1172954.0,0.873033,0.0,3315.225448,-1.712789,"Insys Therapeutics, Inc.",6.16,$457.5M,2013.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/insy,
SOL,昱辉阳光,1.8,1.94,134159.0,2.468018,11.30523,0.779191,0.171602,Renesola Ltd.,1.94,$73.85M,2008.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/sol,
SUP,Superior Industries International,6.18,6.6,763154.0,1.677825,0.0,0.433281,-0.719278,"Superior Industries International, Inc.",6.6,$165.13M,,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/sup,
BELFA,Bel Fuse Inc,23.24,23.22,913.0,2.598179,0.0,1.640874,-0.340264,Bel Fuse Inc.,23.22,$284.38M,,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/belfa,
XYF,小赢科技,5.4,5.71,53450.0,1.951927,7.358779,1.810668,0.775944,X Financial,5.71,$862.46M,2018.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/xyf,
MNTA,Momenta Pharmaceuticals,14.47,15.1,1052754.0,1.181482,0.0,5.963424,-2.026839,"Momenta Pharmaceuticals, Inc.",15.1,$1.49B,2004.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/mnta,
DCAR,DropCar Incorporated,0.42,0.445,330830.0,0.914315,0.0,0.569785,-2.518555,"DropCar, Inc.",0.445,$4.32M,,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/dcar,
BE,Bloom Energy Corp,13.01,14.02,1977012.0,1.201666,0.0,-16.736507,-2.209484,Bloom Energy Corporation,14.02,$1.53B,2018.0,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/be,
AAME,美国大西洋,2.6719,2.8526,4229.0,1.967526,47.066394,0.564559,0.060608,Atlantic American Corporation,2.8526,$57.62M,,Finance,Life Insurance,https://www.nasdaq.com/symbol/aame,
INFN,英飞朗,5.02,5.26,7690789.0,2.168296,0.0,1.306841,-1.023512,Infinera Corporation,5.26,$920.43M,2007.0,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/infn,
OSN,奥盛创新,1.68,1.8255,46350.0,3.569393,1.355267,0.114352,1.346967,"Ossen Innovation Co., Ltd.",1.8255,$12.04M,2010.0,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/osn,
ASUR,Asure Software Inc,6.34,6.85,183695.0,1.08179,0.0,1.045044,-0.816347,Asure Software Inc,6.85,$105.13M,,Technology,EDP Services,https://www.nasdaq.com/symbol/asur,
SOGO,搜狗,6.06,6.48,1771934.0,1.988637,25.92,2.490515,0.25,Sogou Inc.,6.48,$2.57B,2017.0,Technology,EDP Services,https://www.nasdaq.com/symbol/sogo,
HBM,HudBay Minerals Inc,6.49,6.88,1237513.0,0.9739,0.0,0.797232,-0.15,Hudbay Minerals Inc.,6.88,$1.8B,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/hbm,
GDS,万国数据,29.23,31.16,2055097.0,2.15833,0.0,4.700102,-0.51746,GDS Holdings Limited,31.16,$3.67B,2016.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/gds,
MGTA,Magenta Therapeutics Inc.,8.85,9.39,73159.0,1.312071,0.0,1.94531,-4.615021,"Magenta Therapeutics, Inc.",9.39,$311.29M,2018.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mgta,
GLMD,Galmed Pharmaceuticals Ltd.,7.59,8.24,180008.0,1.003601,0.0,1.907166,-0.606162,Galmed Pharmaceuticals Ltd.,8.24,$173.07M,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/glmd,
PDVW,"Pacific DataVision, Inc.",46.8,45.5,248489.0,2.245912,0.0,3.552387,-2.809029,"pdvWireless, Inc.",45.5,$668.65M,2015.0,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/pdvw,
RUBY,Rubius Therapeutics Inc.,13.47,14.45,360622.0,1.557726,0.0,2.778999,-3.599276,"Rubius Therapeutics, Inc.",14.45,$1.14B,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/ruby,
NDLS,Noodles & Company,8.05,8.06,789519.0,2.298912,0.0,6.811195,-0.214922,Noodles & Company,8.06,$354.01M,2013.0,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/ndls,
CBPX,Continental Building Products Inc.,28.0,29.73,972292.0,1.698408,14.157325,3.147897,2.099973,"Continental Building Products, Inc.",29.73,$1.1B,2014.0,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/cbpx,
DXR,Daxor Corp,17.35,18.5,34770.0,1.362407,0.0,5.260807,-0.344232,Daxor Corporation,18.5,$68.98M,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/dxr,
GOSS,Gossamer Bio Inc.,21.21,22.5,593285.0,1.377508,0.0,-16.147107,-16.635012,"Gossamer Bio, Inc.",22.5,$1.42B,2019.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/goss,
LEU,Centrus Energy Corp.,3.1,3.31,23691.0,1.984836,0.0,-0.110733,-3.420148,Centrus Energy Corp.,3.31,$29.92M,2014.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/leu,
CVRS,"Corindus Vascular Robotics, Inc.",1.39,1.47,1062860.0,1.510021,0.0,-107.509477,-0.224408,"Corindus Vascular Robotics, Inc.",1.47,$281.24M,2015.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/cvrs,
AZRX,AzurRx Biopharma Inc.,2.0,2.14,105174.0,0.550492,0.0,6.836972,-0.853038,"AzurRx BioPharma, Inc.",2.14,$37.82M,2016.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/azrx,
NMRD,"Nemaura Medical, Inc.",1.19,1.2201,187131.0,1.715316,0.0,80.223207,-0.023093,Nemaura Medical Inc.,1.2201,$253.22M,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nmrd,
HX,和信贷,3.19,3.41,364437.0,1.540141,3.220928,1.301121,1.058701,Hexindai Inc.,3.41,$166.78M,2017.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/hx,
MOXC,魔线,0.4725,0.5101,137096.0,2.856619,0.0,-3.309611,-0.127609,"Moxian, Inc.",0.5101,$34.36M,,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/moxc,
MAXR,"MacDonald, Dettwiler and Associates Ltd.",6.62,7.01,1038704.0,0.821468,0.0,0.243711,-6.23495,Maxar Technologies Inc.,7.01,$416.26M,,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/maxr,
PE,Parsley Energy,18.15,19.33,9171612.0,1.533008,16.250977,0.986585,1.189467,"Parsley Energy, Inc.",19.33,$6.12B,2014.0,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pe,
VHI,瓦利化工,4.01,4.29,568910.0,1.199162,3.814822,-84.110149,1.124561,"Valhi, Inc.",4.29,$1.46B,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/vhi,
BRQS,"Borqs Technologies, Inc.",3.7,4.1485,2292.0,2.766112,135.051107,2.622096,0.030718,"Borqs Technologies, Inc. ",4.1485,$129.86M,2015.0,Technology,EDP Services,https://www.nasdaq.com/symbol/brqs,
CUTR,古特拉,15.25,16.27,388091.0,1.391834,12.31804,3.213149,1.320827,"Cutera, Inc.",16.27,$226.22M,2004.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/cutr,
QTT,趣头条,11.93,12.52,987302.0,0.530286,0.0,12.712372,-2.413668,Qutoutiao Inc.,12.52,$3.55B,2018.0,,,https://www.nasdaq.com/symbol/qtt,
HBIO,哈佛生物科学,4.0,4.32,107897.0,0.848067,0.0,1.990016,-0.133469,"Harvard Bioscience, Inc.",4.32,$161.11M,2000.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/hbio,
AVP,雅芳,2.97,3.21,17782094.0,1.557072,0.0,-1.569902,-0.1,"Avon Products, Inc.",3.21,$1.42B,,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/avp,
HPJ,豪鹏国际,3.24,3.43,96308.0,0.9928,4.266498,0.750152,0.803938,Highpower International Inc,3.43,$53.37M,,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/hpj,
DXYN,迪克希,1.19,1.26,49383.0,1.091125,0.0,0.271155,-1.091382,"The Dixie Group, Inc.",1.26,$20.74M,,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/dxyn,
WRN,Western Copper and Gold Corp,0.64,0.6999,471723.0,2.264383,0.0,1.939261,-0.03,Western Copper and Gold Corporation,0.6999,$70.54M,2011.0,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/wrn,
SSNT,"SilverSun Technologies, Inc.",3.3367,3.982,9326.0,1.075242,0.0,3.947363,-0.187848,"SilverSun Technologies, Inc.",3.9819999999999998,$17.92M,,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ssnt,
JRJC,金融界,1.05,1.13,223844.0,2.311044,0.0,0.673467,-1.049916,China Finance Online Co. Limited,1.13,$26.69M,2004.0,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/jrjc,
MFIN,Medallion Financial Corp.,6.04,6.37,189487.0,1.71662,0.0,0.615543,-1.27901,Medallion Financial Corp.,6.37,$155.68M,,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/mfin,
MNKD,曼恩凯德生物医疗,1.52,1.56,3549621.0,1.500834,0.0,-1.414383,-0.831407,MannKind Corporation,1.56,$248.97M,2004.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mnkd,
UAMY,United States Antimony Corp,0.53,0.5594,19146.0,0.606231,240.085832,3.409212,0.00233,United States Antimony Corporation,0.5594,$38.17M,,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/uamy,
DNJR,点牛金融,11.28,12.3799,9447.0,1.875298,0.0,12.826758,-0.085092,GOLDEN BULL LIMITED,12.3799,$183.01M,2018.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/dnjr,
OXSQ,Oxford Square Capital Corp.,6.92,7.45,839936.0,3.282241,9.101093,0.981145,0.818583,Oxford Square Capital Corp.,7.45,$355M,,,,https://www.nasdaq.com/symbol/oxsq,
STNE,StoneCo,24.8,26.26,2731466.0,1.466226,146.908264,10.829427,0.178751,StoneCo Ltd.,26.26,$7.28B,2018.0,Technology,EDP Services,https://www.nasdaq.com/symbol/stne,
LEE,李氏企业,2.7,2.88,321270.0,1.928248,7.732083,-6.113343,0.372474,"Lee Enterprises, Incorporated",2.88,$166.15M,,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/lee,
SIBN,"SI-BONE, Inc.",19.19,20.48,103464.0,1.743444,0.0,-3.53633,-4.723153,"SI-BONE, Inc.",20.48,$498.39M,2018.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/sibn,
ACST,Acasti Pharma,0.96,1.01,821334.0,2.384189,0.0,1.317306,-0.7,"Acasti Pharma, Inc.",1.01,$78.91M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst,
AKCA,Akcea Therapeutics Inc.,25.6,27.34,469620.0,1.702084,0.0,8.67185,-2.431791,"Akcea Therapeutics, Inc.",27.34,$2.44B,2017.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akca,
QD,趣店,5.53,5.81,4267526.0,1.558202,5.758177,1.19912,1.009,Qudian Inc.,5.81,$1.89B,2017.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qd,
BILI,哔哩哔哩,18.45,19.48,7639063.0,1.484751,0.0,7.409859,-0.791951,Bilibili Inc.,19.48,$3.76B,2018.0,Technology,EDP Services,https://www.nasdaq.com/symbol/bili,
SMI,中芯国际,5.34,5.38,216314.0,1.348295,36.748633,0.901888,0.1464,Semiconductor  Manufacturing International Corporation,5.38,$5.42B,2004.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/smi,
APPS,Digital Turbine Inc.,2.99,3.2,2054999.0,0.9743,0.0,7.943186,-0.490788,"Digital Turbine, Inc.",3.2,$251.43M,,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/apps,
HF,HF抵押,44.8,45.5,321001.0,1.427695,17.394622,5.938803,2.615751,"HFF, Inc.",45.5,$1.78B,2007.0,Consumer Services,Real Estate,https://www.nasdaq.com/symbol/hf,
LBY,Libbey Inc,3.55,3.7,1209030.0,1.282468,0.0,1.318099,-0.501349,"Libbey, Inc.",3.56,$78.84M,1993.0,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lby,
OASM,Oasmia Pharmaceutical AB,2.43,2.4448,4114.0,2.371728,0.0,1.968052,-0.46,Oasmia Pharmaceutical AB,2.4448,$164.58M,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/oasm,
GNMK,GenMark Diagnostics,7.15,7.31,1218394.0,1.609391,0.0,9.807548,-0.96544,"GenMark Diagnostics, Inc.",7.31,$409.03M,2010.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/gnmk,
VNET,世纪互联,8.84,9.41,530444.0,1.237205,12.832839,1.386514,0.733275,"21Vianet Group, Inc.",9.41,$1.05B,2011.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,
KNSL,Kinsale Capital Group Inc.,61.5,66.08,199268.0,2.205986,40.529112,5.438939,1.630433,"Kinsale Capital Group, Inc.",66.08,$1.4B,2016.0,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/knsl,
