,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
4514,EVH,"Evolent Health, Inc",14.3,$1.18B,2015.0,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/evh,
4515,AQUA,Evoqua Water Technologies Corp.,13.39,$1.53B,2017.0,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aqua,
4516,XAN,Exantas Capital Corp.,10.84,$343.2M,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/xan,
4517,XAN^C,Exantas Capital Corp.,25.0,,,,,https://www.nasdaq.com/symbol/xan^c,
4518,EXC,Exelon Corporation,48.74,$47.27B,,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/exc,
4519,EXPR,"Express, Inc.",5.21,$357.03M,2010.0,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/expr,
4520,EXTN,Exterran Corporation,17.93,$648.23M,2015.0,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/extn,
4521,EXR,Extra Space Storage Inc,94.56,$11.96B,2004.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/exr,
4522,XOM,Exxon Mobil Corporation,78.42,$332.27B,,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/xom,
4523,FNB,F.N.B. Corporation,12.33,$4B,,Finance,Major Banks,https://www.nasdaq.com/symbol/fnb,
4524,FNB^E,F.N.B. Corporation,28.91,,,,,https://www.nasdaq.com/symbol/fnb^e,
4525,FN,Fabrinet,57.39,$2.12B,2010.0,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/fn,
4526,FDS,FactSet Research Systems Inc.,231.54,$8.81B,1996.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/fds,
4527,FICO,Fair Isaac Corporation,248.65,$7.23B,,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/fico,
4528,SFUN,Fang Holdings Limited,1.47,$656.83M,2010.0,Technology,EDP Services,https://www.nasdaq.com/symbol/sfun,
4529,FPAC,Far Point Acquisition Corporation,9.86,$773.34M,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/fpac,
4530,FPAC.U,Far Point Acquisition Corporation,,,2018.0,,,https://www.nasdaq.com/symbol/fpac.u,
4531,FPAC.WS,Far Point Acquisition Corporation,,,,,,https://www.nasdaq.com/symbol/fpac.ws,
4532,FTCH,Farfetch Limited,20.2,$5.76B,2018.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ftch,
4533,FPI,Farmland Partners Inc.,5.37,$200.02M,2014.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/fpi,
4534,FPI^B,Farmland Partners Inc.,23.7499,,,,,https://www.nasdaq.com/symbol/fpi^b,
4535,FBK,FB Financial Corporation,35.58,$1.09B,2016.0,Finance,Major Banks,https://www.nasdaq.com/symbol/fbk,
4536,FFG,"FBL Financial Group, Inc.",70.49,$1.74B,1996.0,Finance,Life Insurance,https://www.nasdaq.com/symbol/ffg,
4537,AGM,Federal Agricultural Mortgage Corporation,81.05,$864.69M,,Finance,Finance Companies,https://www.nasdaq.com/symbol/agm,
4538,AGM.A,Federal Agricultural Mortgage Corporation,,,,,,https://www.nasdaq.com/symbol/agm.a,
4539,AGM^A,Federal Agricultural Mortgage Corporation,25.4,,,,,https://www.nasdaq.com/symbol/agm^a,
4540,AGM^B,Federal Agricultural Mortgage Corporation,26.1004,,,,,https://www.nasdaq.com/symbol/agm^b,
4541,AGM^C,Federal Agricultural Mortgage Corporation,26.15,,,,,https://www.nasdaq.com/symbol/agm^c,
4542,FRT,Federal Realty Investment Trust,135.16,$9.98B,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/frt,
4543,FRT^C,Federal Realty Investment Trust,23.75,,,,,https://www.nasdaq.com/symbol/frt^c,
4544,FSS,Federal Signal Corporation,23.1,$1.39B,,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/fss,
4545,FII,"Federated Investors, Inc.",28.93,$2.91B,1998.0,Finance,Investment Managers,https://www.nasdaq.com/symbol/fii,
4546,FMN,Federated Premier Municipal Income Fund,13.27,$152.56M,2002.0,,,https://www.nasdaq.com/symbol/fmn,
4547,FDX,FedEx Corporation,180.49,$47.12B,,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/fdx,
4548,RACE,Ferrari N.V.,126.03,$30.89B,2015.0,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/race,
4549,FGP,"Ferrellgas Partners, L.P.",1.38,$134.07M,1994.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/fgp,
4550,FOE,Ferro Corporation,17.9,$1.49B,,Basic Industries,Paints/Coatings,https://www.nasdaq.com/symbol/foe,
4551,FG,FGL Holdings,8.19,$1.81B,2017.0,Finance,Life Insurance,https://www.nasdaq.com/symbol/fg,
4552,FG.WS,FGL Holdings,,,,,,https://www.nasdaq.com/symbol/fg.ws,
4553,FCAU,Fiat Chrysler Automobiles N.V.,14.79,$28.98B,2014.0,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/fcau,
4554,FNF,"Fidelity National Financial, Inc.",35.13,$9.67B,2014.0,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/fnf,
4555,FIS,"Fidelity National Information Services, Inc.",107.09,$35.07B,,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/fis,
4556,FMO,Fiduciary/Claymore Energy Infrastructure Fund,10.54,$373.55M,2004.0,,,https://www.nasdaq.com/symbol/fmo,
4557,FAF,First American Corporation (The),51.61,$5.77B,,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/faf,
4558,FBP,First BanCorp.,11.58,$2.52B,,Finance,Major Banks,https://www.nasdaq.com/symbol/fbp,
4559,FCF,First Commonwealth Financial Corporation,14.29,$1.41B,,Finance,Major Banks,https://www.nasdaq.com/symbol/fcf,
