code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps
SPNS,Sapiens International Corp,12.39,12.72,37111,1.67538,47.854812,3.165531,0.265804
IZRL,ARK Israeli Innovation ETF Hedged,21.2238,21.413,4236,0.649913,0.0,0.0,0.0
EDIT,"Editas Medicine, Inc.",21.66,21.91,599775,0.703498,0.0,4.636371,-2.646835
FL,富乐客,54.9,55.85,1547846,0.735667,19.63947,2.572386,2.843763
CVU,CPI Aerostructures,6.9699,7.07,10489,0.222804,10.725121,1.052863,0.6592
EWH,香港ETF-iShares MSCI,24.67,24.76,2855533,0.546261,0.0,0.976931,-0.051728
SKYY,First Trust ISE Cloud Computing,53.82,54.5,334759,1.033846,0.0,0.0,0.0
BBD,巴西布拉德斯科银行,12.03,12.39,11403590,0.861024,18.649078,0.716986,0.664376
EVH,Evolent Health Inc,17.42,17.7,579841,0.633375,0.0,1.335154,-0.643621
JOBS,前程无忧,70.53,71.58,67009,0.357664,44.171634,4.677631,1.620497
LAND,Gladstone Land Corporation,11.9,12.06,50389,0.401868,53.116523,1.514702,0.227048
DGLD,Velocitysharestm 3X Inverse Gold,43.99,44.01,70062,0.898768,0.0,0.0,0.0
CDR,西连购物中心,3.5,3.55,342405,0.709986,0.0,0.767363,-0.120085
BAP,Credicorp Ltd,243.48,246.42,153420,0.669303,15.832239,0.851476,15.564445
PSJ,PowerShares ETF Tst Dynamic Soft,84.45,85.43,159323,2.378878,17.906028,1.192439,4.771019
FWONA,Liberty Media Corporation Series A,30.72,31.26,173330,1.150351,16.082927,1.270449,1.943676
CTRE,CareTrust REIT Inc.,21.79,22.03,812420,0.8115,38.859716,2.566434,0.566911
FRPH,"FRP Holdings, Inc.",50.72,51.25,6093,0.396478,3.776513,1.398445,13.570721
UBSI,联合银行,35.79,36.32,401255,0.738888,14.824495,1.142933,2.449999
WUBA,58同城,63.96,64.85,592870,0.778464,33.351384,3.087067,1.944447
MLAB,Mesa Laboratories,227.07,229.84,37227,2.098525,0.0,8.283543,-0.422102
OBSV,Obseva Sa,12.6,12.85,34922,0.921055,0.0,3.545293,-1.934876
EPD,Enterprise Products Partners L.P,28.1,28.58,6076185,1.048197,14.980465,2.702069,1.907818
ADP,"Automatic Data Processing, Inc.",141.73,143.63,2846590,0.880341,39.540709,13.134089,3.632459
MSI,摩托罗拉解决方案,118.25,120.05,1599782,1.75977,0.0,-13.913197,-0.191358
ENSG,恩赛因,43.87,44.32,320966,1.393679,30.945183,4.121081,1.43221
IJT,iShares S&P Small-Cap 600 Growth ETF,175.47,178.03,106685,0.778953,5.174857,0.793375,34.402882
BID,苏富比,40.09,40.81,434447,1.082471,21.81801,4.181532,1.870473
TLRY,Tilray Inc.,83.0,83.07,4494212,1.659953,0.0,41.14103,-0.411018
MSM,MSC Industrial Direct Co,83.17,84.51,284168,0.829068,13.899088,3.398075,6.080255
ALSN,艾里逊变速箱控股公司,48.82,49.43,779370,0.551901,9.574564,9.368448,5.162637
PSL,PowerShares Dynamic Consumer Sta,67.38,68.24,208632,8.717846,9.657515,0.0,7.066
FISV,费哲金融服务,82.88,84.09,4238472,0.608249,24.396655,12.360745,3.446784
BOX,Box Inc,21.38,21.57,1407456,1.124155,0.0,120.613269,-1.057425
GBCI,冰川万通金控,41.85,42.45,276253,0.796966,19.562222,2.366947,2.169999
BASI,Bioanalytical Systems,1.45,1.44,559,0.033343,0.0,1.364462,-0.022118
FFIN,第一金融银行股份,61.75,62.64,179540,0.642429,28.216228,4.001299,2.219999
SPMV,PowerShares S&P 500 Minimum Variance Portfolio,27.01,27.0607,500,6.906077,0.0,0.0,0.0
RLI,RLI保险,66.25,67.09,100210,0.565971,46.916086,3.700568,1.43
