code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps
PCN,太平洋投资管理企业投资基金,17.11,17.11,41095,0.47306,18.536274,1.15264,0.923055
VLY,硅谷国家银行,10.27,10.25,5726057,1.968568,13.666667,1.083442,0.75
YCS,日元ETF-ProShares两倍做空,77.2069,77.24,1469,0.722577,0.0,0.0,0.0
BLE,BlackRock Municipal Income Trust,14.25,14.15,19185,0.592627,91.183253,0.972287,0.155182
HYT,HYT基金,10.24,10.2,285771,0.537115,20.054106,0.85698,0.508624
CCXI,ChemoCentryx,10.25,10.19,313248,0.970974,0.0,36.346907,-0.762152
ARKQ,ARK Industrial Innovation ETF,34.34,33.9,33893,1.530932,0.0,0.0,0.0
TDAC,Trident Acquisitions Corp,10.15,10.15,500,0.093812,0.0,14.311585,-0.055412
ETR,安特吉,94.61,94.66,4557426,1.717153,20.444928,2.029067,4.629999
UWT,三倍做多原油ETN,16.41,16.88,7111176,0.795549,0.0,0.0,0.0
RWM,罗素2000指数反向ETF,40.54,40.49,507842,0.939793,0.0,0.0,0.0
IFF,国际香料香精,125.01,124.59,1454989,1.476671,32.873351,2.202147,3.79
MFM,MFS Municipal Income Trust,6.78,6.73,42248,0.885027,85.710647,0.951915,0.07852
XAR,SPDR S&P Aerospace & Defense ETF,91.06,90.7,99676,0.523115,908.890459,0.0,0.099792
HWCPL,Hancock Whitney Corp.,25.96,25.8528,3027,0.880147,0.0,0.0,0.0
SAMAU,Schultze Special Purpose Acquisition Corp.,10.04,10.04,755,0.171241,0.0,0.0,0.0
NTR,Nutrien Ltd.,53.99,53.5,3231343,1.522829,0.0,0.0,0.0
BBT,BB&T银行,50.02,49.98,7041993,1.390902,12.782608,1.410008,3.91
HPJ,豪鹏国际,3.356,3.33,12174,0.186941,4.142111,0.728282,0.803938
WYDE,ProShares CDS Short North American HY Credit ETF,31.4801,31.545,340,0.588235,0.0,0.0,0.0
VBLT,Vascular Biogenics Ltd,1.65,1.66,69158,0.856781,0.0,1.051805,-0.33008
TYG,陆龟能源基建基金,23.28,23.19,122044,0.569482,12.908584,0.986905,1.796479
HTZ,赫兹,16.5,16.53,1990080,0.847508,0.0,1.307501,-2.68
INT,全球燃料服务,30.03,29.68,1126259,2.065779,15.703704,1.098192,1.89
SOHO,Sotherly Hotels Inc.,6.56,6.57,75814,1.727718,0.0,6.578627,-0.423153
WBIA,WBI SMID Tactical Growth Shares,21.98,21.8724,36168,0.184883,0.0,0.0,0.0
JNJ,强生,138.0,137.6,11922855,1.546398,24.543677,6.13197,5.606332
IHTA,Invesco High Income 2024 Target Term Fund,9.86,9.82,10289,0.701545,0.0,0.0,0.0
SOLY,Soliton Inc,6.4,6.47,112122,0.527376,0.0,-5.373681,-4.696551
HIX,Western Asset High Income Fund II,6.47,6.45,178558,1.156901,0.0,0.915951,-0.162494
NID,Nuveen Intermediate Duration Mun,12.91,12.87,97778,1.352056,0.0,0.0,0.0
NUV,纽文市政价值基金,9.71,9.65,193714,0.794201,0.0,0.9809,-0.068869
HTA,Healthcare Trust Of America Inc,28.9,28.79,1792422,1.364057,28.225491,1.813193,1.02
HST,美国豪斯特酒店,19.2,19.16,7238700,1.28054,13.040081,1.893177,1.469316
RZG,Rydex ETF Trust S&P Smallcap 600,114.5,114.0685,319764,4.664002,12.115421,0.0,9.41515
NWS,新闻集团,12.82,12.74,2386294,2.465526,0.0,0.804853,-2.234328
CTR,Clearbridge Energy MLP Total Ret,9.56,9.55,72479,0.691689,116.267742,0.0,0.082138
IHIT,Invesco High Income 2023 Target Term Fund,10.2999,10.25,23404,0.93465,0.0,0.0,0.0
CAMP,CalAmp Corp,12.78,12.73,562769,2.460683,188.466957,1.963807,0.067545
CGIX,Cancer Genetics Inc.,0.264,0.2544,747890,0.907857,0.0,1.548083,-0.94317
SWIR,Sierra Wireless,12.78,12.72,198972,1.150321,27.06383,1.039145,0.47
LEN.B,莲娜,38.31,38.15,270550,2.509587,7.016483,0.846889,5.437197
ZTO,中通快递,19.3,19.06,3789297,0.600169,22.52388,2.937333,0.846213
NCA,纽文加州市政价值基金,9.54,9.53,23751,0.788635,93.822297,0.933408,0.101575
VNQ,不动产信托指数ETF-Vanguard,86.12,85.76,4742184,0.985298,128.514054,1.55168,0.66732
CSTE,CaesarStone Sdot-Yam Ltd,15.92,15.87,195635,1.286681,22.16041,1.155175,0.716142
QURE,uniQure N.V.,64.23,63.35,592038,0.934408,0.0,13.137113,-2.33739
QQQX,NASDAQ Premium Income and Growth,22.2,22.17,123963,1.019387,0.0,0.0,0.0
CTBI,大众信托合众银行,41.22,41.14,269514,3.389099,12.28546,1.295535,3.348674
EBSB,莫里迪恩洲际合众银行,15.85,15.81,377106,2.320281,14.915109,1.197634,1.059999
MYI,黑岩市政收益保险基金,12.71,12.63,85398,0.705045,52.190944,0.903373,0.241996
BLMT,BSB Bancorp,34.77,34.65,138136,1.487864,14.200819,1.616362,2.44
RF,地区金融,15.78,15.74,12812465,1.376413,10.2653,1.122576,1.533321
FITB,五三银行,28.42,28.32,9785316,1.177591,9.254902,1.231232,3.06
EMO,Clearbridge Energy MLP Opportuni,9.42,9.43,117032,0.649732,0.0,0.0,0.0
EPR,娱乐房地产依托,75.58,75.39,734070,1.589446,23.063962,1.971163,3.268736
CUBE,CubeSmart,31.59,31.39,1834799,1.436783,35.670455,3.436295,0.88
CCA,MFS California Municipal Fund,11.14,11.1744,4320,0.450817,0.0,0.940907,-0.093099
RNG,Ringcentral Inc.,106.55,106.19,583965,0.932706,0.0,27.163744,-0.329597
VMM,Delaware Investments Minnesota M,12.38,12.37,39236,2.59934,0.0,0.879339,-0.102716
COMM,CommScope Holding Company Inc.,21.98,21.8,2420770,1.102104,30.277777,2.387276,0.72
BDN,布兰迪维因房地产信托,15.65,15.56,1122217,0.715494,20.473684,1.502896,0.76
FBNC,第一万能金控,37.46,37.34,209622,2.839568,12.40532,1.452288,3.009999
MHD,黑岩合作债务基金,15.65,15.54,15777,0.881249,0.0,0.970906,-0.148217
MFIN,Medallion Financial Corp.,6.1213,6.21,61080,0.961859,0.0,0.577809,-1.034318
CWST,Casella Waste Systems,34.21,34.1,714613,2.74049,227.333324,-100.152105,0.15
SNDR,Schneider National Inc.,21.81,21.69,653192,1.301713,14.277166,1.800714,1.519209
TNP,Tsakos Energy Navigation Ltd,3.08,3.09,688053,3.348594,0.0,0.169913,-0.880641
PRPO,"Precipio, Inc.",0.158,0.1544,2350249,0.723035,0.0,0.81352,-1.583738
PBA,Pembina Pipeline Corp,37.04,37.01,629570,1.297814,47.44872,2.899912,0.78
SMIT,Schmitt Industries,2.4,2.4321,7741,1.317752,0.0,1.063939,-0.061642
KBSF,KBS Fashion Group Limited,3.8999,3.8375,15251,0.369199,0.0,0.124594,-4.265591
WRE,Washington Real Estate Investmen,27.7,27.55,849209,1.062485,86.653479,2.061732,0.317933
CBRL,CB乡村店,156.16,155.53,667025,1.644462,17.167188,5.948215,9.059725
HRL,荷美尔,42.63,42.56,6112065,2.157112,24.458111,3.998514,1.740118
SASR,Sandy Spring Bancorp,33.4,33.33,274835,2.482845,11.819149,1.115617,2.82
CRT,CRT信托,12.1,12.1,13712,1.255425,8.482769,8.514619,1.426421
BSBR,桑坦德巴西分行,12.14,12.09,783205,0.803056,13.904367,0.496332,0.869511
AKAM,阿克迈,72.89,72.47,1363417,1.179192,41.176137,3.705679,1.76
SIF,SIFCO Industries Inc,3.01,3.01,966,0.368112,0.0,0.371937,-1.363344
IBKR,盈透证券,55.18,54.12,392002,1.102867,33.611942,18.83473,1.610142
RIG,Transocean Ltd.,9.0,9.01,10078551,0.71659,0.0,0.419574,-4.27
COT,考特,15.06,15.0,659392,0.687886,0.0,2.408216,-0.56
WEI,微贷网,12.0366,11.8005,976,0.424902,8.794209,3.911073,1.341849
PMR,PowerShares ETF Trust Dynamic Re,36.28,36.1962,643,0.800747,3.96288,0.759672,9.133812
