code,net2017_1,,net2017_2,,net2017_3,,net2017_4,pe
601800,3140.6348,1.400240232,7538.278,0.55586638,11728.5533,0.754758449,20580.778,15.99
300176,13.3434,2.443110452,45.9428,5.106819785,280.5644,0.750597011,491.1552,15.6
601633,1954.6882,0.237923982,2419.7554,0.189988377,2879.4808,0.745904331,5027.298,9.59
600064,102.8285,3.988038336,512.9125,0.057274681,542.2894,0.744501552,946.0247,12.14
600963,14.7674,4.508789631,81.3505,1.456013178,199.7979,0.740450225,347.7383,11.89
2051,198.3245,1.493971748,494.6157,0.725136505,853.2796,0.739254519,1484.0704,19.44
672,87.7366,1.985706079,261.9557,0.738860807,455.5045,0.738235517,791.7741,12.04
603799,251.6614,1.681818904,674.9103,0.62667513,1097.8598,0.72655288,1895.513,16.82
600649,607.1923,0.487187173,903.0086,0.128446949,1018.9973,0.725808596,1758.5943,9.77
603393,55.4647,0.992389754,110.5073,0.386958147,153.269,0.720487509,263.6974,18.28
601618,1441.738,0.855174796,2674.676,0.326847065,3548.886,0.707997383,6061.488,10.89
600284,68.4504,1.169857298,148.5276,0.464609945,217.535,0.707112419,371.3567,17.32
898,1069,0.705332086,1823,0.801974767,3285,0.706240487,5605,7.59
600483,199.5207,0.478596958,295.0107,0.678825887,495.2716,0.703175187,843.5343,14.45
2753,39.1166,1.436300701,95.2998,0.471310538,140.2156,0.690268415,237.002,13.71
600873,341.4336,0.817170601,620.4431,0.120694388,695.3271,0.687848496,1173.6068,12.88
40,36.0338,3.204485788,151.5036,1.134241695,323.3453,0.682716279,544.0984,3.26
600500,234.2564,0.586949172,371.753,0.036073414,385.1634,0.682525131,648.0471,11.75
2425,38.4318,1.563260113,98.5107,0.540397135,151.7456,0.677620307,254.5715,16.44
603357,68.9857,0.731177621,119.4265,0.44330111,172.3684,0.675680693,288.8344,13.74
600491,119.4866,0.944562821,232.3492,0.569001314,364.5562,0.663709738,606.5157,14.29
600507,284.9063,1.472935488,704.5549,1.185095015,1539.5194,0.649558037,2539.5266,8.07
600618,58.493,3.283558716,250.5582,1.402907987,602.0683,0.648655643,992.6033,14.22
603319,19.3848,1.142524039,41.5324,0.617110978,67.1625,0.645590918,110.522,18.42
600019,3786.1548,0.629509496,6169.5752,0.891271752,11668.3433,0.642935686,19170.3376,9.64
421,46.862,0.426426529,66.8452,0.352583282,90.4137,0.642684682,148.5212,11.89
2394,59.9345,1.34811002,140.7328,0.559416142,219.461,0.641688045,360.2865,18.32
423,604.5662,0.491102877,901.4704,0.382847401,1246.596,0.639947906,2044.3525,14.06
600622,142.5781,0.902029134,271.1877,0.234389318,334.7512,0.629143973,545.3579,13.81
2029,70.6931,0.725843116,122.0052,0.596858986,194.8251,0.624940524,316.5792,17.01
2538,34.3649,1.644654866,90.8833,0.444068382,131.2417,0.622669472,212.9619,17.05
2247,79.2734,1.576352219,204.2362,0.657092621,338.4383,0.622517014,549.1219,9.36
600585,2153.2177,2.11938895,6716.7235,0.460333107,9808.6537,0.616396152,15854.6701,10.68
49,69.0108,0.658963525,114.4864,0.626979274,186.267,0.61346669,300.5356,19.2
2110,407.6399,1.650837663,1080.5872,1.291673916,2476.3535,0.611129146,3989.7253,8.92
860,187.9566,0.301350418,244.5974,0.11286833,272.2047,0.610440599,438.3695,18.37
600623,250.8714,0.281126505,321.398,0.196287469,384.4844,0.610282238,619.1284,11.35
2562,65.5375,1.356948312,154.4685,0.623353629,250.757,0.607303884,403.0427,16.92
603225,226.1986,1.326856134,526.3316,0.770115266,931.6676,0.606361432,1496.5949,17.65
932,307.5637,2.109150072,956.2617,1.689165215,2571.5457,0.602506811,4120.9195,4.95
603111,42.1786,1.727174444,115.0284,0.528080891,175.7727,0.59807069,280.8972,17.57
676,122.7244,0.777415086,218.1322,0.513251597,330.0889,0.597525394,527.3254,13.91
2109,57.0158,0.754995984,100.0625,0.29473679,129.5546,0.593251031,206.413,15.71
300121,34.1707,1.366983995,80.8815,0.581733771,127.933,0.590999195,203.5413,12.68
2057,9.0744,4.970003526,54.1742,0.577095739,85.4379,0.588484736,135.7168,18.89
601899,1005.6335,0.496966241,1505.3994,0.470827808,2214.1833,0.584203801,3507.7176,18.78
2807,174.733,1.017003085,352.437,0.453590287,512.299,0.578082331,808.45,14.12
600997,147.867,0.532700332,226.6358,0.444653493,327.4102,0.577604485,516.5238,8.95
603260,271.296,1.041359622,553.8127,0.744693648,966.2335,0.569985309,1516.9724,17.88
603612,109.8432,0.967774974,216.1467,0.616072788,349.3088,0.568147725,547.7678,15.65
