code,net2017_1,net2017_2,net2017_3,net2017_4,net2018_1,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
600633,1259.7513,1319.4932,1551.8098,1656.9364,88.5484,浙数文化,出版业,浙江,31.65,12.9,13.02,986528.81,296863.41,3308.95,327681.19,2.52,0.068,6.1,1.41,19930304,336507.34,2.58,-42.73,-92.97,78.99,23.69,62839.0
600167,451.5746,450.1452,467.3884,922.1238,594.7889,联美控股,供气供热,辽宁,7.74,8.22,17.6,1080938.25,600753.44,266960.16,371897.41,2.11,0.33799999999999997,4.37,2.39,19990128,291668.91,1.66,14.95,31.71,59.68,49.46,7082.0
600303,446.8228,394.6131,383.6969,316.033,13.89,曙光股份,汽车整车,辽宁,65.54,6.2,6.76,757613.5,368062.97,250697.25,111036.77,1.64,0.021,4.61,1.17,20001226,105605.81,1.56,-3.49,-96.89,18.62,1.63,75427.0
600393,725.1229,911.8026,1192.0341,1167.8579,160.7808,粤泰股份,全国地产,广东,12.74,9.88,25.36,1921576.25,1774629.25,22376.35,207172.13,0.82,0.063,2.38,1.35,20010319,129354.35,0.51,-64.77,-77.83,38.59,17.83,27423.0
002027,1106.7614,2532.9549,3916.5376,6004.7068,1207.4602,分众传媒,影视音像,广东,32.21,69.65,146.78,1570876.0,1105172.88,39982.12,18620.78,0.01,0.08199999999999999,0.79,13.44,20040804,1089309.88,0.74,22.28,9.1,68.94,40.8,69964.0
603165,95.29299999999999,180.7294,276.2556,398.6823,60.0284,荣晟环保,造纸,浙江,15.94,0.44,1.8,137888.06,78168.71,42896.05,33545.4,1.86,0.33399999999999996,6.24,3.41,20170117,64004.44,3.56,-10.35,-38.07,16.6,14.02,15083.0
000822,275.6988,337.2595,526.3592,685.1887,141.9758,山东海化,化工原料,山东,10.42,8.95,8.95,405600.72,193950.25,169470.67,150721.88,1.68,0.159,3.32,1.99,19980703,23035.07,0.26,10.14,-48.5,14.69,11.68,77814.0
600309,2195.0598,4861.0379,7810.996,11134.7903,3545.7222,万华化学,化工原料,山东,9.82,27.34,27.34,6642334.0,2516593.25,2773771.5,239293.27,0.88,1.297,9.77,5.22,20010105,1876471.38,6.86,23.57,61.53,43.03,26.07,128697.0
000011,301.5978,364.3558,576.1666,622.9627,53.4568,深物业A,区域地产,深圳,31.55,1.76,5.96,495247.94,406911.34,2962.5,11893.8,0.2,0.09,5.0,2.27,19920330,196477.55,3.3,-47.59,-82.28,14.48,9.82,47299.0
600581,272.693,401.4538,865.2639,1167.9596,144.19299999999998,八一钢铁,普钢,新疆,14.25,15.33,15.33,1890941.25,400026.25,1437764.63,408675.78,2.67,0.094,2.27,2.36,20020816,-217055.59,-1.42,20.09,-47.12,11.92,4.23,76091.0
603387,40.8975,89.5978,137.9821,193.9884,66.5362,基蛋生物,生物制药,江苏,33.0,0.92,1.86,133547.92,110989.86,13787.2,72285.53,3.89,0.358,6.51,7.25,20170717,33652.87,1.81,55.28,62.69,82.54,46.33,13926.0
002714,680.0364,1200.2683,1812.2119,2365.5294,136.0375,牧原股份,农业综合,河南,102.39,10.74,20.85,2658833.0,969576.63,1134459.13,386489.97,1.85,0.065,6.17,4.33,20140128,500498.81,2.4,40.03,-80.0,13.07,4.94,23809.0
600210,452.3018,571.7005,669.2198,554.803,,紫江企业,广告包装,上海,20.22,15.17,15.17,1020158.5,497074.0,316777.28,36174.81,0.24,0.042,2.85,1.18,19990824,192474.34,1.27,2.27,-85.98,18.06,2.89,127235.0
603757,31.0086,71.5804,124.4371,179.4308,37.0661,大元泵业,专用机械,浙江,20.46,0.35,1.17,116020.11,86893.32,22549.15,49251.42,4.2,0.316,7.94,3.26,20170711,33872.96,2.89,18.29,19.53,30.47,15.42,6133.0
603617,23.9135,38.1709,41.7367,56.2817,20.2722,君禾股份,专用机械,浙江,24.46,0.25,1.02,72634.18,56441.86,12232.25,19398.45,1.9,0.2,4.9,3.97,20170703,17543.47,1.72,3.22,-15.23,24.25,10.7,10683.0
600507,284.9063,704.5549,1539.5194,2539.5266,557.4929,方大特钢,特种钢,江西,8.07,13.26,14.5,1174647.88,757410.0,242419.17,6176.95,0.04,0.42,2.49,4.98,20030930,124731.92,0.86,40.15,95.68,29.22,14.43,85942.0
600746,46.9853,60.4722,68.2177,75.0317,-3.4633,江苏索普,化工原料,江苏,0.0,3.05,3.06,68342.43,42667.51,13744.4,6207.23,0.2,-0.011000000000000001,1.63,4.07,19960918,8504.05,0.28,-33.37,-107.37,5.03,-2.47,21341.0
002869,42.6138,56.3314,57.23,89.4179,6.9173,金溢科技,通信设备,深圳,0.0,0.45,1.18,127482.4,106401.15,4021.06,63015.38,5.35,-0.033,8.35,2.68,20170515,19246.22,1.63,-31.64,-106.87,37.88,-1.7,15861.0
