code,net2017_1,net2017_2,net2017_3,net2017_4,net2018_1,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
600306,171.9346,142.2706,114.9175,82.4033,-24.3986,商业城,百货,辽宁,0.0,1.77,1.78,188662.02,47723.37,106426.52,20389.11,1.14,-0.305,0.53,11.91,20001226,-30589.24,-1.72,3.99,-138.23,16.83,-12.02,15554.0
000717,168.1588,649.6478,1750.2624,2516.5474,858.314,韶钢松山,普钢,广东,5.57,24.2,24.2,1389692.5,393341.47,783910.13,322877.38,1.33,0.355,1.58,4.99,19970508,-245638.97,-1.02,15.89,410.42,16.3,14.06,136183.0
600133,686.8356,714.7392,734.2096,923.9752,29.945999999999998,东湖高新,园区开发,湖北,33.75,5.38,7.26,2230451.0,1610930.25,88191.9,130032.61,1.79,0.040999999999999995,5.06,1.1,19980212,135550.38,1.87,15.36,-95.64,16.48,2.09,94944.0
002893,112.738,77.1772,34.7754,52.2131,85.6705,华通热力,供气供热,北京,21.65,0.3,1.2,135929.55,53252.48,40083.98,26070.17,2.17,0.42200000000000004,5.27,3.47,20170915,24203.17,2.02,7.21,-34.36,18.09,8.78,18629.0
600354,273.7035,193.9913,124.1691,25.6056,-41.3714,敦煌种业,种植业,甘肃,0.0,4.48,5.28,214503.09,137859.86,50356.0,89895.68,1.7,-0.078,1.66,3.09,20040115,-58261.3,-1.1,-5.43,-115.12,14.83,-48.3,69318.0
600225,423.3024,447.5248,396.1643,199.7788,-160.1238,天津松江,区域地产,天津,0.0,9.32,9.35,1443030.63,1018206.5,23472.15,114885.02,1.23,-0.2,1.54,2.02,20000127,-84713.34,-0.91,49.52,-141.88,32.8,-22.44,22174.0
600230,424.8125,656.0819,964.9116,1283.0424,397.7034,沧州大化,农药化肥,河北,6.47,4.12,4.12,446529.81,208847.91,217433.95,52450.05,1.27,1.865,8.19,2.95,20000406,223882.67,5.44,20.53,17.07,54.18,30.81,45547.0
600338,305.8753,569.8767,824.2773,1113.6447,223.7491,西藏珠峰,铅锌,西藏,13.81,6.53,6.53,436513.25,287268.72,99681.56,2236.43,0.03,0.812,3.35,6.69,20001227,215322.75,3.3,-5.52,-7.01,73.24,47.92,24565.0
000036,758.4114,1051.7958,1080.9825,1343.1251,105.3236,华联控股,全国地产,深圳,13.71,11.36,11.41,990527.88,768834.94,92186.6,23859.0,0.21,0.092,3.95,1.28,19940617,279470.09,2.45,-74.54,-86.11,71.92,23.19,65904.0
300288,240.8041,273.35200000000003,310.2056,97.1416,21.4729,朗玛信息,软件服务,贵州,50.69,2.03,3.38,159330.95,38527.55,16512.78,38242.21,1.13,0.14800000000000002,3.73,4.03,20120216,49269.4,1.46,10.06,2.38,52.5,21.94,40224.0
600291,2117.8868,2355.706,2486.7097,2395.0876,213.5117,西水股份,保险,内蒙,17.01,9.79,10.93,15513888.0,0.0,90417.07,589512.69,5.39,0.195,11.75,1.13,20000731,316142.81,2.89,-30.78,-89.92,0.0,3.25,105774.0
