change,change_ratio,eps,hold,instrument_type,last_price,market_value,mv,open_price,price,price_direct,price_direction,price_direction_desc,security_code,security_id,security_name,security_type,short_name,status,turnover,volume,watched
0.000,0.00%,0.0,0,4,23.990,1199.50万,11995000.0,23.990,23.990,flat,0,flat,SHYD,209354,VanEck Vectors Short High-Yield Municipal Index ETF,us,VanEck Vecto,0,50.87万,2.13万,-1
0.000,0.00%,0.0,0,4,240.020,1944.16万,19441620.0,0.000,240.020,flat,0,flat,ROLA,209357,iPath Long Extended Russell 1000 TR Index ETN,us,iPath Long E,0,0,0,-1
0.000,0.00%,0.0,0,4,6.080,471.20万,4712000.0,6.070,6.080,flat,0,flat,WEAT,209362,Teucrium小麦基金,us,Teucrium小,0,24.55万,4.03万,-1
0.000,0.00%,0.0,0,4,42.810,1900.76万,19007640.0,42.730,42.810,flat,0,flat,JJM,209368,iPath Dow Jones UBS Industrial Metals Subindex Total Return ETN,us,iPath Dow Jo,0,0,0,-1
0.000,0.00%,0.0,0,4,43.540,770.66万,7706580.0,43.650,43.540,flat,0,flat,JJP,209378,iPath Bloomberg Precious Metals Subindex Total Return ETN,us,iPath Bloomb,0,0,108,-1
0.000,0.00%,0.0,0,4,45.050,1351.50万,13515000.0,45.810,45.050,flat,0,flat,FONE,209386,First Trust NASDAQ CEA Smartphone Index Fund,us,First Trust ,0,0,11,-1
0.000,0.00%,0.0,0,4,76.890,1322.51万,13225080.0,0.000,76.890,flat,0,flat,BWV,209389,iPath CBOE标普500买写指数ETN,us,iPath CBOE,0,0,0,-1
0.000,0.00%,0.0,0,3,0.016,1063.57万,10635687.6,0.017,0.016,flat,0,flat,HMNY,209401,"Helios & Matheson Analytics, Inc.",us,Helios & Mat,0,59.92万,3609.79万,-1
0.000,0.00%,0.0,0,4,45.810,3083.01万,30830130.0,45.790,45.810,flat,0,flat,JJN,209411,iPath彭博镍分类指数总回报ETN,us,iPath彭博,0,6273.23,87,-1
0.000,0.00%,0.0,0,3,1.710,563.33万,5633292.33,1.680,1.710,flat,0,flat,MTSL,209429,MER Telemanagement Solutions Ltd.,us,MER Telemana,0,5.96万,3.60万,-1
0.000,0.00%,0.0,0,4,42.200,801.80万,8018000.0,0.000,42.200,flat,0,flat,AYT,209431,iPath Gems Asia 8 ETN,us,iPath Gems A,0,0,0,-1
0.000,0.00%,0.0,0,4,21.625,648.75万,6487500.0,21.625,21.625,flat,0,flat,TYBS,209439,Direxion Daily 20+ Year Treasury Bear 1X Shares,us,Direxion Dai,0,0,0,-1
0.000,0.00%,0.0,0,4,103.090,1030.90万,10309000.0,102.170,103.090,flat,0,flat,VLU,209444,SPDR S&P 1500 Value Tilt ETF,us,SPDR S&P 150,0,0,52,-1
