code,name,pe,pb,eps,2017_profit,,2016_profit,,,2015_profit,,2014_profit
NSTG,NanoString Technologies Inc.,0,59.943468,-2.314949,115000000,28511000,86489000,4689000,23822000,62667000,15074000,47593000
MB,"MINDBODY, Inc.",0,6.867999,-0.527637,183000000,44000000,139000000,6000000,38000000,101000000,30990000,70010000
ACET,艾切托,0,0.442031,-5.888642,638000000,79000000,559000000,63000000,16000000,543000000,33000000,510000000
SSC,"Seven Stars Cloud Group, Inc.",0,8.852675,-0.313602,144000000,108814500,35185500,78235400,30579100,4606400,2643800,1962600
MTBC,Medical Transcription Billing,0,1.835089,-0.358469,31810600,7317200,24493400,5903700,1413500,23079900,4776600,18303300
SGRY,"Surgery Partners, Inc.",0,1.283784,-2.587754,1312000000,191000000,1121000000,6000000,185000000,936000000,542000000,394000000
PRTS,U.S. Auto Parts Network,0,1.39719,-0.084234,303000000,12000000,291000000,5000000,7000000,284000000,284000000,0
MZOR,Mazor Robotics Ltd.,0,10.275736,-0.328242,64947000,28568000,36379000,17977000,10591000,25788000,4818000,20970000
SANM,新美亚电子,0,1.320783,-0.974266,6869000000,388000000,6481000000,282000000,106000000,6375000000,160000000,6215000000
ADMA,ADMA Biologics Inc,0,6.888937,-1.592402,15760600,5099600,10661000,1616200,3483400,7177600,1262100,5915500
TRUE,"TrueCar, Inc.",0,4.262696,-0.337498,323000000,45000000,278000000,27000000,18000000,260000000,53000000,207000000
MELI,MercadoLibre,0,90.122835,-1.454434,1398000000,554000000,844000000,362000000,192000000,652000000,95000000,557000000
BOMN,Boston Omaha Corporation,0,2.079053,-0.474626,8883500,5056700,3826800,1943100,3113600,713200,669300,43900
MATR,Mattersight Corporation,0,-7.355487,-0.365894,43712000,4992000,38720000,2363000,2629000,36091000,9719000,26372000
JTPY,JetPay Corp,0,-4.821132,-0.827934,76035000,19705000,56330000,6697000,13008000,43322000,9875000,33447000
ITI,Iteris,0,4.450942,-0.140678,95982000,18234000,77748000,12737000,5497000,72251000,4023000,68228000
HAWK,Blackhawk Network Holdings Inc.,0,3.700315,-2.767388,2232000000,431000000,1801000000,75000000,356000000,1445000000,1445000000,0
GAIA,Gaiam,0,2.871314,-1.458635,28290000,11043000,17247000,7255000,3788000,13459000,2705000,10754000
FMI,Foundation Medicine Inc.,0,269.253569,-4.206106,153000000,36000000,117000000,12203000,23797000,93203000,32124000,61079000
FBIO,Fortress Biotech Inc.,0,2.053371,-1.872751,168000000,151998000,16002000,136859000,15139000,863000,863000,0
CAVM,卡姆网络,0,7.767925,-0.862687,984000000,381000000,603000000,191000000,190000000,413000000,40000000,373000000
PRTH,Priority Technology Holdings Inc,0,-4.142972,-1.257164,422000000,81000000,341000000,23000000,58000000,283000000,283000000,0
OKTA,Okta Inc.,0,31.105422,-1.019725,160000000,74093000,85907000,29196000,44897000,41010000,41010000,0
VSAT,卫讯公司,0,2.030268,-1.569878,1559000000,142000000,1417000000,108000000,34000000,1383000000,32000000,1351000000
PFPT,Proofpoint,0,18.335778,-1.815134,515000000,140000000,375000000,30000000,110000000,265000000,69000000,196000000
BFRA,Biofrontera AG,0,0.812904,-0.916236,12025000,5895000,6130000,3903000,1992000,4138000,1042400,3095600
MMYT,MakeMyTrip Limited,0,1.905303,-1.974083,433000000,103000000,330000000,68000000,35000000,295000000,44000000,251000000
MNTA,Momenta Pharmaceuticals,0,7.539478,-1.790267,139000000,29000000,110000000,8650000,20350000,89650000,37400000,52250000
SYNH,"Syneos Health, Inc.",0,1.740905,-2.406538,1853000000,823000000,1030000000,708000000,115000000,915000000,105000000,810000000
MEET,MeetMe,0,1.801335,-1.020867,124000000,47875900,76124100,28655600,19220300,56903800,12086400,44817400
CLDX,塞德斯医疗,0,0.527871,-1.168029,12743000,5957000,6786000,4651000,1306000,5480000,1894000,3586000
TROV,TrovaGene,0,0.81728,-3.548187,505400,124300,381100,56000,68300,312800,32600,280200
HWKN,霍金斯材料,0,2.116946,-0.559364,484000000,70000000,414000000,20000000,50000000,364000000,16000000,348000000
IRTC,Irhythm Technologies Inc.,0,32.512457,-1.760111,98509000,34437000,64072000,6505000,27932000,36140000,14391000,21749000
SNDX,"Syndax Pharmaceuticals, Inc. ",0,2.300578,-3.021485,2108000,888000,1220000,295000,593000,627000,627000,0
FNSR,菲尼萨网络通信,0,1.352342,-0.760092,1449000000,186000000,1263000000,174000000,12000000,1251000000,94000000,1157000000
XOG,Extraction Oil & Gas Inc.,0,1.181236,-0.694776,553000000,296000000,257000000,220000000,76000000,181000000,97903000,83097000
SPLK,Splunk Inc,0,14.758008,-1.990952,950000000,282000000,668000000,65000000,217000000,451000000,148000000,303000000
CTSO,Cytosorbents Corporation,0,18.895359,-0.490414,15150800,5623000,9527800,874900,4748100,4779700,666000,4113700
CBLK,Carbon Black,0,7.489723,-14.311269,162000000,46000000,116000000,594000,45406000,70594000,70594000,0
SSLJ,盛世乐居,0,254.935255,-0.593057,16323600,10902300,5421300,5925200,4977100,444200,444200,0
ALTR,Altair Engineering Inc.,0,13.690053,-1.622536,327000000,20000000,307000000,1000000,19000000,288000000,288000000,0
INCY,因塞特医疗,0,8.249549,-0.459133,1536000000,430000000,1106000000,78000000,352000000,754000000,243000000,511000000
CTMX,CytomX,0,20.452451,-0.994072,71623000,56580000,15043000,49249000,7331000,7712000,2635000,5077000
NVTR,Nuvectra Corporation,0,7.004119,-3.543789,31836000,26598000,5238000,25056000,1542000,3696000,653000,3043000
ZG,Zillow Class A,0,3.104655,-0.476482,1077000000,230000000,847000000,28000000,202000000,645000000,319000000,326000000
FOCS,Focus Financial Partners Inc.,0,-3.98376,-0.180015,617000000,178000000,439000000,75000000,103000000,336000000,336000000,0
NEOS,"Neos Therapeutics, Inc.",0,-7.802219,-1.996564,25018000,15864000,9154000,10502000,5362000,3792000,3034000,758000
ICPT,Intercept Pharmaceuticals,0,24.07516,-13.116714,131000000,106049000,24951000,83880000,22169000,2782000,1040000,1742000
ATNX,Athenex Inc.,0,8.71503,-1.43573,38043000,17492000,20551000,10885000,6607000,13944000,12733000,1211000
MIME,Mimecast Ltd,0,17.971378,-0.241181,187000000,45000000,142000000,19000000,26000000,116000000,27685000,88315000
CATM,Cardtronics,0,3.698213,-3.476785,1508000000,243000000,1265000000,178000000,65000000,1200000000,145000000,1055000000
CSWI,"CSW Industrials, Inc.",0,3.118495,-0.557598,287000000,20000000,267000000,15000000,5000000,262000000,30000000,232000000
EMKR,埃姆科,0,1.08567,-0.340922,123000000,31002000,91998000,20689000,10313000,81685000,26171000,55514000
SGMS,美彩科技,0,-1.051929,-3.441196,3084000000,201000000,2883000000,77000000,124000000,2759000000,973000000,1786000000
TLND,Talend SA,0,67.296197,-1.186637,149000000,43000000,106000000,12960000,30040000,75960000,13379000,62581000
CELH,"Celsius Holdings, Inc.",0,16.754889,-0.283939,36164100,13403100,22761000,7860000,5543100,17217900,2607800,14610100
Z,Zillow,0,3.075159,-0.476482,1077000000,230000000,847000000,28000000,202000000,645000000,319000000,326000000
ORBC,ORBCOMM轨道通讯系统,0,3.298918,-0.872617,254000000,67000000,187000000,58000000,9000000,178000000,81758000,96242000
KIDS,Orthopediatrics Corp,0,9.743939,-3.37446,45620000,8322000,37298000,2028000,6294000,31004000,7320000,23684000
MRAM,Everspin Technologies Inc,0,4.061927,-1.260417,35936000,8842000,27094000,8294000,548000,26546000,1650000,24896000
TATT,TAT Technologies Ltd,0,0.697938,-0.173572,107000000,11206000,95794000,1019000,10187000,85607000,4881000,80726000
COUP,Coupa Software Inc,0,17.449523,-0.887328,134000000,50322000,83678000,17489000,32833000,50845000,50845000,0
VRTU,Virtusa Corporation,0,4.043463,-0.441022,859000000,259000000,600000000,138000000,121000000,479000000,82000000,397000000
HDP,"Hortonworks, Inc.",0,-532.474257,-2.394539,262000000,78000000,184000000,16000000,62000000,122000000,75952000,46048000
BABY,纳图斯医疗,0,2.779792,-0.653648,501000000,119000000,382000000,113000000,6000000,376000000,20000000,356000000
ANGI,安吉斯里斯特,0,10.401319,-0.275176,736000000,237000000,499000000,99000000,138000000,361000000,77000000,284000000
TWOU,2U Inc,0,6.452612,-0.896268,287000000,81000000,206000000,25000000,56000000,150000000,40000000,110000000
UPLD,"Upland Software, Inc.",0,8.046307,-0.782157,97952000,23185000,74767000,18329000,4856000,69911000,5337000,64574000
ATTU,Attunity Ltd,0,6.556657,-0.091913,62098000,7604000,54494000,1278000,6326000,48168000,12516000,35652000
SCHL,学乐集团,0,1.121003,-0.142857,1742000000,69000000,1673000000,32000000,37000000,1636000000,74000000,1562000000
AXDX,Accelerate Diagnostics,0,12.607008,-1.40733,4177000,3931000,246000,3832000,99000,147000,25000,122000
WVE,Wave Life Sciences Pte. Ltd,0,10.346237,-4.531369,3704000,2219000,1485000,886000,1333000,152000,152000,0
CYRX,"CryoPort, Inc.",0,14.354023,-0.35377,11954300,6072100,5882200,4125200,1946900,3935300,1275400,2659900
BL,Blackline Inc.,0,9.349059,-0.69632,177000000,54000000,123000000,14607000,39393000,83607000,31930000,51677000
WIX,Wix.Com Ltd,0,52.359049,-0.995162,426000000,136000000,290000000,50000000,86000000,204000000,62000000,142000000
HYRE,Hyrecar Inc.,0,3.705985,-1.790842,3223900,2708500,515400,2222400,486100,29300,29300,0
BEAT,CardioNet,0,7.216589,-0.086508,273000000,75000000,198000000,47000000,28000000,170000000,13000000,157000000
FSCT,Forescout Technologies Inc,0,13.928279,-2.840753,221000000,54000000,167000000,13000000,41000000,126000000,54887000,71113000
XENT,Intersect ENT,0,7.303872,-0.593662,96301000,17593000,78708000,478000,17115000,61593000,23706000,37887000
CRSP,CRISPR Therapeutics AG,0,9.312634,-2.042774,40997000,35833000,5164000,30916000,4917000,247000,247000,0
APPN,Appian Corp,0,69.324737,-0.522379,177000000,44000000,133000000,22000000,22000000,111000000,22004000,88996000
OSS,One Stop Systems,0,2.518841,-0.240497,27538300,8659000,18879300,4009500,4649500,14229800,14229800,0
DBX,Dropbox Inc.,0,16.362631,-2.396939,1107000000,262000000,845000000,21000000,241000000,604000000,604000000,0
CDXC,Chromadex Corporation,0,4.94476,-0.439325,21201500,3316600,17884900,744900,2571700,15313200,15313200,0
TEAM,Atlassian Corporation PLC,0,23.703653,-0.516216,582000000,151000000,431000000,24000000,127000000,304000000,97000000,207000000
QTNT,Quotient,0,-9.850195,-2.015526,20127000,2105000,18022000,1741000,364000,17658000,671000,16987000
BLFS,BioLife Solutions Inc.,0,14.547876,-0.018265,11021800,2794800,8227000,1016700,1778100,6448900,258200,6190700
TRHC,Tabula Rasa Healthcare Inc.,0,19.612846,-1.378063,135000000,40938000,94062000,16915000,24023000,70039000,21611000,48428000
XGTI,XG Technology Inc,0,0.698245,-2.289941,47824000,41250000,6574000,35608000,5642000,932000,304000,628000
KERX,克律克斯生物制药,0,-8.656003,-0.80547,60641000,28658000,31983000,10355000,18303000,13680000,2855000,10825000
ONVO,Organovo Holdings Inc.,0,3.182156,-0.294563,4230000,2747000,1483000,1835000,912000,571000,192000,379000
EVBG,Everbridge Inc.,0,31.98473,-1.373611,104000000,27154000,76846000,9028000,18126000,58720000,16299000,42421000
ZIXI,Zix Corporation,0,6.422232,-0.134719,65663000,5519000,60144000,88000,5431000,54713000,4366000,50347000
PEGA,Pegasystems Inc,0,7.911642,-0.288955,841000000,91000000,750000000,24000000,67000000,683000000,93000000,590000000
ANY,Sphere 3D Corp,0,0.711035,-2.26892,81523000,5130000,76393000,4902000,228000,76165000,62696000,13469000
DRNA,"Dicerna Pharmaceuticals, Inc.",0,15.620421,-2.799115,2277000,1982000,295000,1871000,111000,184000,184000,0
PTCT,PTC Therapeutics Inc.,0,8.528493,-1.39723,194000000,111295000,82705000,65356000,45939000,36766000,11521000,25245000
SITO,"SITO Mobile, Ltd.",0,3.320025,-0.904724,42990400,13938400,29052000,695900,13242500,15809500,5937900,9871600
BILI,哔哩哔哩,0,4.722909,-1.652897,2468000000,1945000000,523000000,1553000000,392000000,131000000,131000000,0
FIVN,Five9 Inc,0,21.642425,-0.038156,200000000,38000000,162000000,5000000,33000000,129000000,26000000,103000000
FRPT,Freshpet,0,10.764111,-0.15998,156000000,23000000,133000000,6000000,17000000,116000000,29235900,86764100
EVOP,Evo Payments Inc.,0,1.220368,-3.094263,505000000,86000000,419000000,23000000,63000000,356000000,356000000,0
ORGS,Orgenesis Inc.,0,3.108053,-1.07735,10089000,3692000,6397000,269000,3423000,2974000,2974000,0
MSON,Misonix Inc,0,6.520148,-0.844963,27270000,4156800,23113200,3248200,908600,22204600,5144200,17060400
VRNS,"Varonis Systems, Inc.",0,19.943726,-0.824868,217000000,53000000,164000000,16000000,37000000,127000000,26000000,101000000
ZS,Zscaler Inc.,0,18.860694,-0.625819,126000000,45675000,80325000,19057000,26618000,53707000,53707000,0
PIXY,Shiftpixy Inc.,0,-54.423936,-0.420043,20244400,11783700,8460700,3593200,8190500,270200,270200,0
TNDM,Neutral Tandem Inc.,0,87.911882,-4.029631,108000000,23752000,84248000,12354000,11398000,72850000,23128000,49722000
NTNX,Nutanix Inc.,0,24.376125,-1.810949,767000000,322000000,445000000,118000000,204000000,241000000,114000000,127000000
WIFI,Boingo Wireless,0,12.927796,-0.132224,204000000,45000000,159000000,26000000,19000000,140000000,21000000,119000000
VIVE,Viveve Medical Inc.,0,10.427377,-1.858219,15288000,8147000,7141000,2453000,5694000,1447000,1357000,90000
USAT,全美科技,0,5.293901,-0.227492,104000000,26592000,77408000,7261000,19331000,58077000,15732000,42345000
ARGX,Argenx SE,0,4.843375,-2.141972,36415000,21702000,14713000,13843000,7859000,6854000,3098000,3756000
RSLS,项由永恒医疗器材,0,0.068302,-34.473705,1287200,500500,786700,4400,496100,290600,290600,0
GRNQ,Greenpro Capital Corp.,0,21.506367,-0.041346,3916400,824700,3091700,679200,145500,2946200,2369900,576300
STG,尚德机构,0,173.540243,-1.665641,970000000,551000000,419000000,291000000,260000000,159000000,159000000,0
STON,StoneMor Partners L.P.,0,1.896829,-1.959945,284000000,15000000,269000000,8000000,7000000,262000000,16000000,246000000
BITA,易车网,0,0.545729,-3.311105,8751000000,2978000000,5773000000,1459000000,1519000000,4254000000,1636000000,2618000000
VCRA,Vocera通信,0,7.119212,-0.325806,163000000,35000000,128000000,11000000,24000000,104000000,8579000,95421000
WRD,Wildhorse Resource Development Corp,0,2.095675,-1.633538,426000000,301000000,125000000,261931000,39069000,85931000,40468000,45463000
CSLT,"Castlight Health, inc.",0,2.011025,-0.419982,131000000,29000000,102000000,2315000,26685000,75315000,29710000,45605000
IPHI,Inphi,0,4.243426,-2.336682,348000000,82000000,266000000,9000000,73000000,193000000,96855000,96145000
JT,简普科技,0,3.011321,-0.297373,1446000000,1090000000,356000000,902000000,188000000,168000000,168000000,0
AMC,AMC院线,0,1.085115,-2.210926,4778000000,1710000000,3068000000,1444000000,266000000,2802000000,239000000,2563000000
GTT,Global Telecom & Technology,0,4.851511,-4.913105,828000000,301000000,527000000,147000000,154000000,373000000,166000000,207000000
SPLP,Steel Partners Holdings LP Ltd,0,0.796877,-0.123505,1292000000,199000000,1093000000,2000000,197000000,896000000,85000000,811000000
BNED,"Barnes & Noble Education, Inc",0,0.614061,-5.476429,1874000000,66000000,1808000000,31000000,35000000,1773000000,25000000,1748000000
ASC,Ardmore Shipping Corporation,0,0.608534,-0.675416,196000000,32000000,164000000,26000000,6000000,158000000,90673400,67326600
SHOP,Shopify Inc,0,10.618388,-0.499644,673000000,284000000,389000000,100000000,184000000,205000000,100000000,105000000
