code,name,pe,pb,eps,2017_profit,,2016_profit,,,2015_profit,,2014_profit
BBU,Brookfield Business Partners,0,3.727888,-0.740867,22823000000,14863000000,7960000000,13656000000,1207000000,6753000000,2131000000,4622000000
INSP,Inspire Medical Systems,0,9.199374,-12.330474,28567000,12140000,16427000,3725000,8415000,8012000,8012000,0
RRTS,Roadrunner Transportation System,0,0.943128,-2.573225,2091000000,58000000,2033000000,17000000,41000000,1992000000,120000000,1872000000
PAR,Par Technology Corp,0,5.120198,-0.504937,233000000,3000000,230000000,2000000,1000000,229000000,11000000,218000000
NVTA,Invitae Corporation,0,8.027957,-2.486977,65169000,40329000,24840000,23867000,16462000,8378000,6774000,1604000
PLX,Protalix BioTherapeutics Inc,0,-1.838432,-0.320562,19242000,10043000,9199000,5208000,4835000,4364000,841000,3523000
XXII,22nd Century Group Inc,0,4.819972,-0.106281,16600200,4320200,12280000,562200,3758000,8522000,7993000,529000
SKY,Skyline Corp.,0,4.554404,-0.011944,861000000,109000000,752000000,94000000,15000000,737000000,584000000,153000000
JOB,General Employment Enterprises I,0,1.297288,-0.264758,135000000,51926000,83074000,12239000,39687000,43387000,3576000,39811000
CUO,Continental Materials Corp,0,0.557489,-1.684073,153000000,16000000,137000000,11000000,5000000,132000000,132000000,0
CRMD,CorMedix Inc,0,-7.943892,-0.55284,329300,105200,224100,91200,14000,210100,20800,189300
CANF,Can-Fite Biopharma Ltd,0,2.809299,-0.358464,789000,624000,165000,621000,3000,162000,162000,0
SENS,"Senseonics Holdings,Inc.",0,6.96008,-0.647719,6373000,6041000,332000,5747000,294000,38000,38000,0
INUV,Inuvo Inc,0,1.369644,-0.07377,79554500,8024400,71530100,6932400,1092000,70438100,20838600,49599500
