2018-12-02_code,2018-12-02_days,2018-12-23_code,2018-12-23_days,2018-12-31_code,2018-12-31_days,2019-02-03_code,2019-02-03_days,2019-02-05_code,2019-02-05_days,2019-02-26_code,2019-02-26_days
,,,,,,,,SHM,1.0,DCPH,0
,,,,,,,,SIFY,1.0,DFS,2
,,,,,,,,SLM,0.0,DHF,4
,,,,,,,,SOGO,0.0,DIOD,0
,,,,,,,,SPWH,0.0,DIV,4
,,,,,,,,SRAX,1.0,DOOR,2
,,,,,,,,SSTI,0.0,DRE,1
,,,,,,,,SUB,2.0,DUK,1
,,,,,,,,TA,0.0,EBSB,2
,,,,,,,,TELL,1.0,ECON,2
,,,,,,,,TGT,0.0,ECPG,2
,,,,,,,,TRCO,1.0,EE,1
,,,,,,,,UCBI,0.0,EFT,4
,,,,,,,,USFD,0.0,EFX,2
,,,,,,,,USX,0.0,EGBN,2
,,,,,,,,VHI,1.0,EGIF,4
,,,,,,,,WNS,0.0,EHI,4
,,,,,,,,ZAYO,1.0,EHTH,2
,,,,,,,,,,EKSO,0
,,,,,,,,,,EMD,2
,,,,,,,,,,EMR,2
,,,,,,,,,,ENT,2
,,,,,,,,,,ENTA,3
,,,,,,,,,,ENV,2
,,,,,,,,,,ERC,4
,,,,,,,,,,ESGD,2
,,,,,,,,,,ESGR,2
,,,,,,,,,,ETO,4
,,,,,,,,,,ETR,1
,,,,,,,,,,EWBC,3
,,,,,,,,,,EWD,2
,,,,,,,,,,EWQ,2
,,,,,,,,,,EWY,2
,,,,,,,,,,EXTR,2
,,,,,,,,,,FAS,2
,,,,,,,,,,FAST,2
,,,,,,,,,,FBNC,3
,,,,,,,,,,FCF,2
,,,,,,,,,,FDEF,3
,,,,,,,,,,FELE,2
,,,,,,,,,,FHB,3
,,,,,,,,,,FINX,3
,,,,,,,,,,FMBI,2
,,,,,,,,,,FNSR,2
,,,,,,,,,,FOCS,2
,,,,,,,,,,FRTA,2
,,,,,,,,,,FTA,2
,,,,,,,,,,FTXO,3
,,,,,,,,,,FUL,2
,,,,,,,,,,FVC,2
,,,,,,,,,,GAB,4
,,,,,,,,,,GAL,2
,,,,,,,,,,GD,3
,,,,,,,,,,GE,2
,,,,,,,,,,GEMP,3
,,,,,,,,,,GHY,2
,,,,,,,,,,GIII,2
,,,,,,,,,,GIS,4
,,,,,,,,,,GLAD,4
,,,,,,,,,,GMS,2
,,,,,,,,,,GOF,0
,,,,,,,,,,GPK,2
,,,,,,,,,,GPM,2
,,,,,,,,,,GSIE,2
,,,,,,,,,,GSKY,3
,,,,,,,,,,GWB,2
,,,,,,,,,,HCC,2
