code,name,pe,roe2013,roe2014,roe2015,roe2016,roe2017,roe2018
01372,比速科技,-26.506,0,13.51,7.02,16.35,5.37,0
00419,华谊腾讯娱乐,-4.933,-,2.41,-,-,-,0
00291,华润啤酒,-24.785,4.33,-,-,3.57,6.38,0
00633,中国全通,3.968,12.32,8.43,8.45,5.89,5.73,0
00663,金山能源,0.26899999999999996,-,114.19,444.18,-,-,0
01131,鸿宝资源,4.904,0,8.39,9.18,17.46,7.97,12.19
01226,中国投融资,1.222,0,-,0.04,3.66,24.71,-
00154,北京控股环境集团,13.75,-,0.37,4.02,6.09,7.45,0
06899,联众,4.54,23.50,10.97,11.21,12.04,-,0
00460,四环医药,6.709,16.43,17.99,18.59,15.67,13.10,0
01717,澳优,50.42100000000001,10.88,8.14,3.86,14.49,17.70,0
00108,国锐地产,-25.805999999999997,0,-,-,-,-,0
01345,中国先锋医药,15.094000000000001,20.59,23.22,17.46,21.37,24.46,0
00362,中国天化工,-2.7030000000000003,-,-,-,-,3.89,0
03606,福耀玻璃,20.264,24.40,25.18,15.86,17.42,16.56,0
02016,浙商银行,6.154,24.40,25.18,15.86,17.42,16.56,0
01572,中国艺术金融,9.535,20.88,24.76,23.26,14.53,22.38,0
00418,方正控股,68.333,9.08,0.66,0.75,4.14,7.89,0
01030,新城发展控股,24.176,14.60,13.42,12.62,14.99,29.68,0
00845,恒盛地产,-0.6990000000000001,1.58,-,-,-,-,0
02628,中国人寿,13.638,11.24,11.34,10.76,6.30,10.05,0
00047,合兴集团,23.857,3.35,8.41,14.69,24.74,25.60,0
00837,谭木匠,8.743,24.95,22.25,19.23,16.97,16.33,0
00094,绿心集团,-1.66,-,-,-,0.99,7.53,0
01266,西王特钢,16.634,12.25,10.67,4.29,8.27,17.45,0
00710,精电,2.7739999999999996,14.07,13.98,15.78,1.85,0.79,0
03636,保利文化,10.33,23.79,7.25,6.51,7.94,6.27,0
01090,大明国际,-9.41,6.08,9.37,-,17.98,2.78,0
01866,中国心连心化肥,8.193,10.51,9.00,13.62,0.99,13.14,0
00056,联合地产（香港）,2.826,7.07,8.33,14.89,14.05,11.40,0
02689,玖龙纸业,30.605,6.85,7.29,5.60,4.30,14.74,0
00903,冠捷科技,6.772,-,-,-,2.31,-,0
00010,恒隆集团,7.864,6.46,8.98,4.25,4.91,6.39,0
00842,理士国际,9.149,-,3.51,4.37,8.97,8.44,0
00113,迪生创建,-4.6,0,6.08,-,-,3.87,6.81
01083,港华燃气,21.46,8.83,7.95,5.99,7.22,8.62,0
02883,中海油田服务,25.874000000000002,18.03,15.85,2.30,-,0.10,0
00023,东亚银行,25.27,18.03,15.85,2.30,-,0.10,0
01889,武夷药业,15.0,-,-,2.67,-,-,0
00914,安徽海螺水泥股份,25.766,16.84,16.68,10.75,11.24,17.83,0
01669,环球信贷集团,7.457999999999999,42.87,6.18,7.71,11.55,9.02,0
00286,同佳健康,62.857,2.22,6.30,6.68,9.07,0.19,0
00354,中国软件国际,36.905,6.54,8.01,8.62,10.37,10.95,0
00241,阿里健康,-285.357,0,-,-,-,-,-
00622,威华达控股,4.734,3.68,11.74,14.14,-,0.94,0
02226,老恒和酿造,6.787000000000001,58.79,16.87,16.06,10.86,9.18,0
01043,光宇国际集团科技,167.5,10.18,1.77,0.29,7.12,10.30,0
00138,中建富通,2.032,11.42,14.03,12.88,9.53,5.43,0
00910,中国三迪,5.056,0,-,-,5.20,-,4.60
00639,首钢资源,-23.038,5.60,-,-,0.77,6.78,0
00995,安徽皖通高速公路,6.906000000000001,11.73,11.09,11.35,10.58,11.48,0
01349,复旦张江,22.024,16.37,18.17,17.43,16.44,8.63,0
02355,宝业集团,4.2589999999999995,12.04,10.85,8.84,7.72,8.32,0
01035,ＢＢＩ生命科学,24.601999999999997,13.94,6.74,8.98,9.54,9.37,0
00485,中国华星,-6.643,0,-,-,-,-,-
00668,东银国际控股,-15.5,0.22,-,-,-,3.45,0
01277,力量能源,0.0,-,7.27,-,14.04,41.27,0
00336,华宝国际,9.957,0,22.77,21.67,14.24,10.84,11.22
00095,绿景中国地产,14.607000000000001,-,1.65,5.30,8.95,10.53,0
01108,洛阳玻璃股份,-6.5889999999999995,-,2.95,51.91,2.20,3.68,0
01829,中国机械工程,6.38,16.69,16.13,15.20,13.74,10.61,0
00060,香港食品投资,-15.833,0,5.92,4.86,-,-,13.91
03833,新疆新鑫矿业,-2.375,-,1.46,-,-,-,0
03382,天津港发展,9.135,7.06,6.82,5.51,4.76,6.09,0
