name,business_income_2017_1,business_income_2017_2,business_income_2017_3,business_income_2017_4,business_income_2018_1,business_income_2018_2,business_income_2018_3,business_income_2018_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
建设银行,170798.0,320388.0,471994.0,621659.0,183221.0,339903.0,500047.0,,银行,北京,6.35,95.94,2500.11,2335407872.0,0.0,16645299.0,13453699.0,0.54,0.856,7.44,0.97,20070925.0,99747504.0,3.99,5.94,6.39,0.0,42.82,359213.0
马应龙,385.8123,782.1168,1190.8812,1750.5924,496.4849,1072.2874,1592.2731,,中成药,湖北,40.74,4.3,4.31,284777.06,218124.8,32199.75,13325.34,0.31,0.28,5.14,2.96,20040517.0,135497.02,3.14,33.71,-48.79,44.31,7.58,44666.0
朗迪集团,249.9478,604.9933,948.1694,1307.749,345.7836,831.1641,1214.6896,,机械基件,浙江,20.03,0.33,1.33,141536.55,89109.17,41493.07,17344.67,1.31,0.721,6.53,2.95,20160421.0,53425.3,4.03,28.11,9.57,24.28,7.87,7924.0
大丰实业,265.1647,750.0967,1130.9305,1706.9603,300.2167,798.2247,1196.5419,,专用机械,浙江,30.52,0.78,4.02,303415.09,245106.5,21040.06,47921.59,1.19,0.389,4.27,3.7,20170420.0,68261.81,1.7,5.8,-1.32,32.76,13.05,14627.0
中航光电,1422.3797,3032.73,4499.6686,6361.8131,1477.2514,3584.8257,5775.0975,,元器件,河南,35.5,7.82,7.91,1169945.5,935329.81,139145.81,99144.75,1.25,0.89,6.97,5.98,20071101.0,295353.63,3.73,28.34,10.75,32.06,12.07,20637.0
华帝股份,1155.9475,2707.6042,4083.1274,5730.6967,1424.4215,3174.3861,4645.9136,,家用电器,广东,15.85,7.83,8.82,515802.91,392923.75,56570.73,13417.15,0.15,0.5,2.83,3.74,20040901.0,131216.59,1.49,13.78,41.91,46.43,9.52,28223.0
东方金钰,2204.0237,4069.0027,6923.2323,9276.6291,1713.5271,2231.3189,2459.7126,,服饰,湖北,0.0,10.57,13.5,1223337.38,1054601.13,19826.76,63304.98,0.47,-0.053,2.32,2.19,19970606.0,110840.35,0.82,-64.47,-128.32,20.42,-2.89,38061.0
中核钛白,796.9045,1634.119,2507.501,3256.4049,769.7432,1564.2888,2333.6076,3088.8826,化工原料,甘肃,15.86,13.41,15.91,546525.19,180171.52,167804.0,86617.95,0.54,0.19699999999999998,2.01,2.07,20070803.0,74570.28,0.47,-6.93,2.63,29.28,13.45,84521.0
豪迈科技,660.9862,1479.8536,2225.1562,2994.9255,734.8937,1724.9881,2654.867,,专用机械,山东,18.68,5.28,8.0,510756.44,288466.97,139572.13,50634.4,0.63,0.721,5.22,3.44,20110628.0,251041.02,3.14,19.31,7.1,34.18,21.72,21692.0
优德精密,113.1855,240.7382,350.0276,460.8023,93.9295,193.4873,286.5059,,专用机械,江苏,38.58,0.69,1.33,73594.68,53698.73,9636.87,17396.86,1.3,0.266,3.76,3.64,20160930.0,16587.47,1.24,-18.15,-40.36,35.54,12.39,11623.0
