name,roe2016_2,roe2016_3,roe2016_4,roe2017_1,roe2017_2,roe2017_3,roe2017_4,roe2018_1,roe2018_2,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
中联重科,-2.23,-2.14,-2.53,0.22,3.04,3.43,3.54,0.98,,工程机械,湖南,20.89,62.25,77.94,8567377,6445989.5,571854.31,1315353.63,1.69,0.048,4.88,0.83,20001012,1550534.5,1.99,20.58,345.51,25.33,5.92,373065
华鼎股份,-0.64,1.05,2.64,1.36,0.84,2.09,3.33,0.98,,化纤,浙江,65.59,6.4,11.14,517525.06,305269.63,137468.52,149112.27,1.34,0.03,3.4,1.94,20110509,45010.73,0.4,22.34,-26.84,11.59,3.84,8100
佳隆股份,2.19,2.7,2.89,0.54,1.59,1.92,1.88,0.98,,食品,广东,62.02,6.82,9.36,124332.45,27355.08,38452.6,5495.26,0.06,0.012,1.23,2.43,20101102,11180.71,0.12,40.61,84.44,44.38,12.98,64572
航天信息,7.45,10.97,16.7,4.03,6.09,11.37,15.18,0.97,,电脑设备,北京,119.11,18.47,18.63,1977391.75,1571028.13,95680.28,38938,0.21,0.05,5.33,4.86,20030711,690560.81,3.71,-0.29,-74.42,19.69,1.85,73732
三峡水利,5.1,8.17,9.43,1.95,5.44,7.68,12.5,0.97,5.02,水力发电,重庆,64.39,9.93,9.93,501384.59,108260.15,270286,77162.86,0.78,0.027,2.79,2.51,19970804,89184.7,0.9,5.85,-44.61,16.32,10.32,61557
奥佳华,2.16,5.91,9.94,0.74,3.54,7.81,11.93,0.97,,医疗保健,福建,88.84,2.89,5.62,500564.94,346244.84,60465.05,118465.52,2.11,0.05,5.21,3.45,20110909,117765.76,2.1,33.37,50.23,36.39,2.75,15572
国睿科技,5.39,8.36,13.53,1.37,4.64,7.39,9.46,0.97,,通信设备,江苏,138.49,6.02,6.22,267618.5,248821.97,12291.74,49526.9,0.8,0.028,2.9,5.38,20030128,73070.49,1.17,8.84,-25.57,23.04,10.04,26992
科达利,12.98,,25.01,1.91,4.34,7.43,7.36,0.97,,机械基件,深圳,61.61,0.93,2.1,314225.22,162923.52,80388.18,142198.91,6.77,0.106,10.84,2.41,20170302,66235.15,3.15,14.29,-46.86,16.92,5.71,22103
中科三环,3.85,5.73,7.68,1.73,3.67,4.77,6.56,0.97,,元器件,北京,58.19,10.65,10.65,609933.38,446014.41,89637.17,43190.93,0.41,0.04,4.08,2.26,20000420,260948.7,2.45,18.82,-41.96,21.33,4.46,111845
紫光股份,1.12,2.18,3.42,1.31,3.31,4.56,6.26,0.97,,软件服务,北京,66.69,2.89,14.59,4279156,2067029.38,46347.28,2106400.25,14.44,0.17,17.42,2.61,19991104,293932.97,2.01,30.08,-21.32,21.35,2.46,38871
天药股份,1.62,2.05,2.58,0.4,2.54,,4.77,0.97,,化学制药,天津,40.77,9.61,10.92,444546.66,199932.31,170992.31,51509.69,0.47,0.025,2.52,1.59,20010618,95130.3,0.87,49.77,19.58,51.62,4.28,64574
大唐发电,3.82,-7.98,-6.6,1.56,2.64,4.57,4.12,0.97,,火力发电,北京,27,99.94,185.07,25149400,3919980.75,15447064,1871862.75,1.01,0.04,2.99,1.06,20061220,590438.19,0.32,13.27,-14.19,17.99,3.12,208480
新天科技,4.21,4.07,6.15,1,2.07,5.46,8.66,0.96,,电器仪表,河南,55.9,7.25,11.76,234267.55,162877.02,34449.85,70773.53,0.6,0.015,1.6,2.16,20110831,56797.55,0.48,24.64,4.16,51.26,14.24,21265
华锋股份,5.58,5.57,7.46,0.97,3.07,4.98,7.65,0.96,,元器件,广东,215.15,0.58,1.37,67823.78,35466.23,21915.98,3962.88,0.29,0.027,2.85,8.31,20160726,19428.03,1.42,14.89,8.52,20.02,3.57,16400
快意电梯,11.39,,21.41,1.87,3.51,4.78,7.49,0.96,,运输设备,广东,83.54,0.88,3.41,142780.45,114267.7,12571.5,39752.1,1.17,0.03,3.02,3.16,20170324,21548.36,0.63,-9.67,-44.81,33.86,6.47,35718
远方信息,3.53,5.43,4.69,1.3,3.58,5.32,6.55,0.96,,电器仪表,浙江,30.54,1.52,2.87,223573.3,94816.65,26665.77,112787.42,3.92,0.066,6.87,1.18,20120329,49809.62,1.73,-2.91,-22.08,61.24,18.83,14000
中直股份,2.65,4.51,6.4,1.02,2.22,3.86,6.3,0.96,,航空,黑龙江,73.85,5.89,5.89,2182336.5,1833564,231685.95,423271.94,7.18,0.12,12.43,2.85,20001218,198855.31,3.37,2.54,-0.49,14.18,3.3,29364
东方电气,-1.51,-4.87,-8.43,0.71,1.75,1.99,3.08,0.96,,电气设备,四川,25.72,19.97,30.91,7733357,6621387.5,634309.19,882834,2.86,0.09,9.46,0.75,19951010,1014579.38,3.28,18.05,39.65,16.69,3.24,122000
