name,roe2016_2,roe2016_3,roe2016_4,roe2017_1,roe2017_2,roe2017_3,roe2017_4,roe2018_1,roe2018_2,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
开能健康,5.6,9.32,13.29,1.65,4.86,6.56,7.12,31.59,,环境保护,上海,2.88,2.67,4.78,147628.34,43912.18,34165.34,19837.57,0.42,0.743,2.35,3.64,20111102,46318.3,0.97,18.48,3011.82,30.94,221.07,16919
亚星化学,,,364.4,2.61,48.44,54.48,81.58,25.92,,化工原料,山东,39.41,3.16,3.16,142217.34,53610.88,74004.75,85094.9,2.7,0.036,0.14,40.87,20010326,-117439.35,-3.72,7.75,5366.52,10.84,2.24,15445
天目药业,-16.86,-0.83,2.06,-5.53,-13.97,12.64,12.13,23.2,,中成药,浙江,24.25,1.22,1.22,48206.55,25722.42,14553.37,5149.78,0.42,0.167,0.72,22.51,19930823,-11006.99,-0.9,280.98,755.39,33.03,22.44,8222
韶钢松山,-181.49,-46.54,22.12,26.83,58.6,79.22,84.65,22.39,,普钢,广东,5.29,24.2,24.2,1389692.5,393341.47,783910.13,322877.38,1.33,0.355,1.58,4.74,19970508,-245638.97,-1.02,15.89,410.42,16.3,14.06,136183
寒锐钴业,5.74,,17.81,6.62,16.42,31.43,40.34,20.98,,小金属,江苏,26.29,1.14,1.92,266753.28,222828.27,22213.61,36078.15,1.88,1.327,6.33,22.06,20170306,69681.46,3.63,218.67,412.52,53.12,34.56,29253
光线传媒,4.63,8.43,10.53,2.59,5.61,8.6,9.68,19.15,,影视音像,北京,3.28,27.52,29.34,1367237.63,671433.5,3626.06,248303.84,0.85,0.679,3.55,2.52,20110803,439350.16,1.5,-34.25,976.95,37.76,497.27,71424
方大特钢,11.54,18.91,25.12,9.7,23.32,39.93,52.13,16.85,,特种钢,江西,7.8,13.26,14.5,1174647.88,757410,242419.17,6176.95,0.04,0.42,2.49,4.81,20030930,124731.92,0.86,40.15,95.68,29.22,14.43,85942
鸿特科技,4.18,5.18,7.85,2.04,6.93,31.28,44.35,16.7,,汽车配件,广东,15.51,2,2.04,274847.69,166498.11,89166.1,31930.75,1.57,1.09,6.52,10.36,20110215,85608.78,4.2,184.08,1564.37,71.07,20.67,7500
四川金顶,-152.19,-390.98,-1063.48,,,-135.14,103.05,16.46,,水泥,四川,156.81,3.49,3.49,44057.51,7137.8,16895.92,30535.36,0.87,0.016,0.1,103.25,19931008,-65069.25,-1.86,111.02,167.22,26.65,11.34,36301
方大炭素,0.25,1.34,1.15,1.24,6.62,24.47,37.31,16.19,,矿物制品,甘肃,6.07,17.19,17.89,1579945.88,1280554.88,160941.81,229517.13,1.28,1.059,6.54,3.93,20020830,739107.44,4.13,408.4,2476.75,83.14,53.79,238626
天赐材料,14.24,21.25,24.35,3.78,10.14,11.36,12,14.54,,化工原料,广东,5.82,1.94,3.4,416979.31,243847.47,80558.32,107275.47,3.16,1.211,8.43,3.34,20140123,135901.66,4,14.95,543.43,24.98,94.35,34073
世荣兆业,7.3,5.19,5.23,0.53,-0.77,21.02,36.88,14.05,,区域地产,广东,5.94,6.87,8.09,696919,629715,17061.51,13558.25,0.17,0.501,3.57,3.34,20040708,171758.05,2.12,610.73,4073.76,61.61,43.44,35755
万华化学,10.93,18.33,24.82,11.26,23.13,32.59,40.81,13.27,23.08,化工原料,山东,9.54,27.34,27.34,6809277,2513453,2727049,239297.05,0.88,2.542,11.01,4.4,20010105,2216892.5,8.11,23.02,42.97,40.12,23.12,117733
华菱钢铁,-14.92,-17.71,-16.91,4.69,13.3,29.2,39.82,12.91,,普钢,湖南,4.7,30.15,30.16,7619419,3147370.25,3914690.5,702743.44,2.33,0.509,3.94,2.43,19990803,98281.53,0.33,11.17,398.74,16.23,7.68,92947
柳钢股份,1.74,2.7,4.23,4.18,7.86,21.6,36.75,12.68,,普钢,广西,5.7,25.63,25.63,2251592.25,1241711.13,955851.19,20843.6,0.08,0.408,3.22,2.89,20070227,423581.06,1.65,25.49,416.29,12.51,9.22,63650
福建水泥,-14.18,-9.77,1.88,-6.27,-6.08,-11.69,-25.16,12.67,,水泥,福建,8.96,3.82,3.82,391181.47,63775.96,214857.52,21390.35,0.56,0.226,1.79,4.55,19940103,-32574.55,-0.85,41.57,298.63,29.57,17.19,45874
沧州大化,-2.03,6.78,24.6,21.94,30.78,39.49,46.76,12.64,22.77,农药化肥,河北,6.3,4.12,4.12,438531.56,196288.47,213965.27,64217.56,1.56,0.966,7.64,3.19,20000406,201556.25,4.89,9.2,-6.38,60.19,34.01,44886
华通热力,,,15.28,25.83,19.25,6.03,8.79,12.61,,供气供热,北京,7.5,0.3,1.2,147668.95,68297.45,38442.8,26066.85,2.17,0.714,5.66,3.78,20170915,28904.24,2.41,7.31,-24.01,23.66,15.45,19368
华友钴业,-1.3,0.45,1.59,5.47,13.53,20.76,31.46,12.59,,小金属,浙江,15.27,8.2,8.3,1948961.75,1354880.5,359957,288117.19,3.47,1.025,8.14,7.69,20150129,330215.38,3.98,96.36,237.96,35.11,24.79,74622
平治信息,18.02,23.85,19.34,8.03,17.31,20.34,28.75,12.39,,互联网,浙江,35.12,0.69,1.2,68695.06,47278.31,5067.93,5034.55,0.42,0.4,3.21,17.36,20161213,24412.9,2.03,12.37,118.12,43.61,20.41,5534
金达威,9.74,9.53,13.84,2.97,6.85,10.63,19.08,12.12,,食品,福建,7.45,6,6.16,352059.13,191046.55,48172.03,88528.22,1.44,0.548,4.52,3.61,20111028,121185.27,1.97,79.63,409.96,66.94,44.76,21095
西藏珠峰,31.21,43.07,50.1,20.28,35.49,56.96,65.35,11.97,,铅锌,西藏,15.31,1.58,6.53,400380,258801.34,94929.86,2236.43,0.03,0.343,2.86,7.33,20001227,184702.25,2.83,-3.68,-26.85,71.12,40.32,24565
山西汾酒,7.95,9.79,12.71,8.94,12.3,15.8,18.03,11.93,,白酒,山西,16.06,8.66,8.66,1045564.19,767903.13,173288.13,24214.46,0.28,0.82,6.87,7.67,19940106,431319.06,4.98,48.56,51.82,70.95,21.92,28163
东尼电子,,,25.19,6.49,15.59,13.54,23.77,10.69,,元器件,浙江,17.75,0.35,1.02,139612.66,80010.75,44248.6,44781.03,4.39,0.862,8.06,7.59,20170712,32541.8,3.19,210.96,402.7,48.45,29.82,4742
洋河股份,14.47,19.3,22.36,9.52,14.58,19.6,22.45,10.54,,白酒,江苏,12.75,12.42,15.07,4436392,2901970,815032.25,74170.4,0.49,2.306,21.88,5.38,20091106,2998708.5,19.9,25.68,26.69,74.79,36.44,26637
分众传媒,35.1,47.22,55.7,12.2,36.61,47.2,57.89,10.43,,影视音像,广东,31.12,69.65,146.78,1570876,1105172.88,39982.12,18620.78,0.01,0.082,0.79,12.99,20040804,1089309.88,0.74,22.28,9.1,68.94,40.8,69964
合盛硅业,13.5,,24.64,9.3,17.3,26.74,28.01,10.42,,化工原料,浙江,16.75,0.7,6.7,1514759,522197.59,500081.06,226936.52,3.39,0.94,9.02,6.98,20171030,303294.59,4.53,55.25,132.26,43.69,28.06,32730
建新股份,1.42,1.84,2.49,0.53,2.16,3.69,8.85,10.36,,化工原料,河北,13.44,3.28,5.47,120865.02,74762.68,42459.28,17606.63,0.32,0.208,2.01,5.57,20100820,34722.28,0.64,176.06,2233.25,59.95,41.63,42675
深圳惠程,-1.82,0.4,5.6,-0.39,-4.8,-6.7,-7.97,10.36,,电气设备,深圳,15.03,7.72,8.21,345499.69,115931.4,9875.28,48425.18,0.59,0.19,1.84,6.23,20070919,47507.26,0.58,1035.26,2907.63,76.82,25.85,52960
广济药业,9.99,19.59,21.68,3.6,7.19,11.14,13.85,10.29,,化学制药,湖北,8.22,2.52,2.52,171099.81,51268.51,87696.02,6079.37,0.24,0.337,3.35,3.31,19991112,45322.15,1.8,43.63,247.47,69.24,34.66,32590
沙隆达A,0.79,0.97,-3.71,2.84,7.77,9.13,8.23,10,,农药化肥,湖北,4.27,3.64,24.47,3985539.25,2232260.5,595065.31,1297290.63,5.3,0.831,8.3,1.71,19931203,531193,2.17,2.46,166.42,34.75,31.26,32348
三超新材,,,16.95,3.86,4.72,9.55,18.18,9.98,,矿物制品,江苏,12.28,0.56,0.94,62122.07,42153.98,17610.07,26058.2,2.78,0.561,5.62,4.9,20170421,20025.31,2.14,250.94,496.45,55.75,37.9,11881
地素时尚,,,61.35,,,,36.05,9.95,10.32,服饰,上海,19.33,0.61,4.01,365960.63,312608.91,39242.05,158897.63,3.96,0.99,8.1,3.99,20180622,107182.17,2.67,0,0,75.47,34.56,57818
亿嘉和,,,27.3,,,,44.85,9.92,,专用机械,江苏,45.7,0.18,0.7,49586.06,41233.03,1387.04,11626.32,1.66,0.487,6.54,13.61,20180612,15502.15,2.21,0,0,65.83,43.12,17551
文山电力,7.66,9.32,10,5.61,11.42,12.58,9.2,9.91,,水力发电,云南,4.73,4.79,4.79,279647.97,54999.38,192374.59,15560.57,0.33,0.391,3.95,1.87,20040615,107890.63,2.25,-4.92,97.51,47.15,33.58,50466
承德露露,15.17,19.26,22.78,9.06,12.56,16.75,20.69,9.86,14.35,软饮料,河北,16.9,9.78,9.79,215258.38,154828.8,25378.65,1730.84,0.02,0.259,1.8,4.85,19971113,40783.32,0.42,13.61,11.12,52.38,21.44,48587
新和成,7.01,11,14.91,2.79,7.33,10.86,12.21,9.67,,化学制药,浙江,5.57,18.24,21.49,1957679.75,1237242.13,488012.19,541256.31,2.52,0.695,7.18,2.16,20040625,813159.75,3.78,148,544.56,73.44,49.05,79100
济川药业,13.92,19.89,25.54,7.45,16.16,23.12,27.79,9.58,18.33,中成药,湖北,21.54,8.14,8.14,701792.25,385901.09,162323.52,174176.98,2.14,1.04,5.51,8.08,20010822,218705.67,2.69,35.36,44.81,84.72,22.15,15447
重庆百货,8.28,8.54,9,7.26,9.54,10.18,12.12,9.47,,百货,重庆,6.14,4.06,4.07,1337238.5,802908.44,304912.47,40337.35,0.99,1.286,13.57,2.33,19960702,440623.84,10.84,9.66,43.48,18.62,5.2,16646
千禾味业,5.75,8.35,11.24,4.04,8.05,10.83,13.55,9.37,,食品,四川,14.16,1.33,3.26,142318.11,78069.53,42350.28,28799.6,0.88,0.337,3.6,5.31,20160307,51391.23,1.58,-3.01,193.18,43.71,44.81,14069
海天味业,17.2,22.19,28.39,8.88,18.21,23.66,30.04,9.28,,食品,广东,38.75,26.97,27.01,1638128.38,1184683.63,354354.31,129278.05,0.48,0.445,4.8,14.39,20140211,763809.31,2.83,17.04,23.11,46.7,25.62,19679
神州长城,13.35,18.81,26.64,5.3,13.72,20.09,17.66,9.25,,装修装饰,深圳,6.22,7.53,16.98,1180655.13,1012879.81,31994.22,-129934.97,-0.77,0.129,1.39,2.3,19920616,172162.7,1.01,-12.87,120.66,24.77,23.66,67825
海澜之家,20.66,25.85,31.08,9.13,19.3,24.22,29.78,9.18,,服饰,江苏,10.71,44.93,44.93,2753167.25,1969778.25,312151.66,203270.98,0.45,0.252,2.74,3.93,20001228,773776.13,1.72,12.16,11.97,39.9,19.55,49886
欧浦智网,7.67,10.81,14.42,3,14.09,16.26,12.72,9.16,,仓储物流,广东,7.1,10.49,10.56,355336.53,256434.3,24569.82,142.41,0,0.158,1.72,2.6,20140127,65433.86,0.62,22.27,249.57,7.78,14.34,31085
水井坊,6.82,10.69,15.29,5.9,8.42,16.35,21.22,8.92,17.31,白酒,四川,47.69,4.89,4.89,309962.66,233096.3,41592.12,39950.6,0.82,0.547,3.16,16.51,19961206,27110.85,0.55,58.97,133.59,81.14,20.02,29995
万业企业,1.68,5.62,16.46,2.61,27.49,27.7,28.93,8.88,,区域地产,上海,4.29,8.06,8.06,854766.19,795037.06,230.55,19126.48,0.24,0.71,7.99,1.52,19930407,441473.84,5.48,250.95,387.77,65.13,41.34,44884
今世缘,12.18,14.34,16.34,7.7,12.92,15.07,17.02,8.82,14.76,白酒,江苏,14.39,12.55,12.55,721661.69,469558.44,75213.05,71709.18,0.57,0.683,4.62,4.25,20140703,342656.97,2.73,30.81,31.56,71.96,36.25,27407
广宇发展,4.44,11.37,15.02,-3.15,1.16,,22.48,8.81,15.05,区域地产,天津,5.11,4.06,18.63,7420815,6730072,191606.25,282715.91,1.52,0.896,5.95,1.54,19931210,629707.56,3.38,111.55,465.1,31.7,16.84,33989
横店影视,,,37.42,,18.73,15.66,16.74,8.72,,影视音像,浙江,17.49,0.53,4.53,316212.88,152183.31,82440.38,75497.65,1.67,0.416,4.77,6.1,20171012,86526.5,1.91,0,0,33.01,20.26,26372
花园生物,2.16,3.61,5.81,2.68,9.17,12.17,10.17,8.68,10.88,食品,浙江,26.77,4.3,4.79,149678.7,91190.93,38990.62,15940.05,0.33,0.32,2.94,5.83,20141009,71277.18,1.49,37.7,103.68,64.99,47.74,21447
工业富联,,,18.58,,,,56.34,8.64,,通信设备,深圳,29.34,11.18,196.95,13452498,12260965,901554.31,9356.2,0,0.135,1.73,9.13,20180608,1275092.25,0.65,0,0,8.14,3.41,815578
东旭蓝天,0.74,1.2,1.59,0.32,1.36,2.87,4.73,8.62,,新型电力,深圳,3.05,10.6,13.37,2697465.25,1777928.38,329796.53,887361.81,6.64,0.811,9.4,1.05,19940808,216390.38,1.62,29.34,2909.08,21.42,101.7,33914
金禾实业,11.03,15.52,22.38,7.53,17.74,23.58,29.64,8.57,,化工原料,安徽,9.66,5.6,5.64,563330.63,393412.78,128596.47,50544.64,0.9,0.517,6.03,3.32,20110707,186196.95,3.3,2.76,45.18,34.98,25.64,40213
罗牛山,0.6,2.33,2.32,2.44,3.66,4.14,4.29,8.57,,农业综合,海南,11.09,10.6,11.52,648092.25,184335.61,194501.98,158896.8,1.38,0.288,3.36,3.8,19970611,102907.93,0.89,-63.64,284.81,16.97,167.48,178400
五粮液,8.79,11.23,14.41,7.09,10.22,13.75,18.13,8.52,,白酒,四川,12.82,37.96,38.82,7964790.5,7189969,521028.41,95325.56,0.25,1.31,15.36,4.28,19980427,4264629.5,10.99,36.8,38.35,73.19,35.77,267371
贵州茅台,13.54,18.16,22.93,7.74,14.87,23.68,29.61,8.51,16.87,白酒,贵州,27.05,12.56,12.56,12991483,10773890,1490669.75,137496.44,1.09,12.549,74.35,9.13,20010827,7687681.5,61.2,38.06,40.12,90.94,47.2,88019
康泰生物,7.97,10.3,11.72,3.21,7.9,15.72,20.04,8.51,,生物制药,深圳,66.36,2.4,6.34,279075.69,150465.47,45929.32,54027.55,0.85,0.173,2.03,22.61,20170207,45957.3,0.73,176.25,290.61,91.07,27.24,9072
博信股份,4.86,8.37,5.48,-1,-2.56,-0.86,13.11,8.49,,建筑施工,江苏,177.09,2.28,2.3,20687.99,20491.23,118.91,9573.63,0.42,0.026,0.31,60.21,19970606,-26132.93,-1.14,3111.43,1188.48,2.54,1.24,11588
双杰电气,2.69,5.89,10.81,-2,1.94,2.57,8.26,8.38,,电气设备,北京,10.06,2.98,5.86,338937.63,199811.02,52313.18,56035.94,0.96,0.198,2.36,3.37,20150423,50031.67,0.85,117.29,776.47,28.52,45.74,15486
赣锋锂业,13.38,21.41,18.66,5.21,22.46,33.08,36.38,8.34,,小金属,江西,27.36,7.86,11.15,828777.81,466500.19,80018.21,118660.65,1.06,0.32,3.85,9.13,20100810,230844.05,2.07,67.97,162.6,46.08,34.12,160853
元力股份,3.94,4.22,7.71,2.27,5.46,5.98,8.49,8.29,,化工原料,福建,23.54,2.2,2.45,153863.47,50808.8,32467.74,14407.8,0.59,0.212,2.55,7.81,20110201,21156.84,0.86,154.97,304.36,25.62,11.01,3016
古井贡酒,8.29,10.86,14.82,6.81,9.42,13.08,17.78,8.27,,白酒,安徽,17.74,3.84,5.04,1150338.63,766068.19,176239.94,129540.56,2.57,1.154,13.94,5.87,19960927,493072.91,9.79,17.8,42.5,79.73,22.7,21943
智飞生物,0.48,0.27,1.28,2.33,6.41,10.22,14.71,8.12,,生物制药,重庆,57.77,8.69,16,484819.56,299871.53,70977.61,20796.47,0.13,0.162,2,18.77,20100928,129024.05,0.81,416.73,330.44,54.96,30.97,19612
口子窖,10.48,17.08,18.47,7.15,11.69,18.49,21.9,8.1,,白酒,安徽,17.19,6,6,721868.56,505850.44,112770.76,97688.22,1.63,0.748,9.22,5.58,20150629,359693.53,5.99,21.02,37.2,74.74,35.9,15443
正虹科技,-0.98,-0.96,0.44,-1.21,-0.6,3.64,3.41,8.09,,饲料,湖南,9.35,2.67,2.67,72538.78,34073.23,24002.03,18257.84,0.68,0.155,1.91,3.03,19970318,1233.93,0.05,13.02,859.61,7.81,14.6,32242
苏泊尔,11.98,17.66,23.73,7.46,12.78,18.07,25.15,8.08,,家用电器,浙江,23.26,5.45,8.21,909423.38,755731.94,84693.93,10456.67,0.13,0.551,6.81,7.52,20040817,433329.59,5.28,21.24,21.92,31.07,9.26,10459
三钢闽光,9.52,7.55,12.69,5.28,13.32,26.03,36.23,8.06,,普钢,福建,8.23,9.91,16.34,1738522.38,982942.19,640743.5,458222.59,2.8,0.7,8.72,2.23,20070126,536904.5,3.29,27.14,136.91,22.82,15.89,40491
养元饮品,23.54,,45.87,,16.71,23.93,31.48,8.05,,软饮料,河北,10.4,0.6,7.53,1352756.38,1145499.88,64784.44,322262.19,4.28,1.235,15.33,3.35,20180212,748108.69,9.93,0,0,48.86,32.61,24013
南钢股份,2.25,3.47,5.23,7.71,15.72,19.65,27.64,7.98,,普钢,江苏,5.24,38.86,44.19,4051980,1698666.75,2042718.63,183154,0.41,0.23,2.86,1.67,20000919,561111.88,1.27,21.9,83.62,19.83,9.72,154350
格力电器,14.25,22.57,28.62,6.93,18.01,26.37,34.15,7.87,,家用电器,广东,10.65,59.7,60.16,21836466,17153882,1748815.38,10388.05,0.02,0.928,11.79,3.35,19961118,6132170,10.19,33.29,39.04,30.86,14.11,435187
招商蛇口,7.9,11.16,16.97,3.62,6.2,6.64,17.87,7.75,,全国地产,深圳,5.72,19,79.04,36060888,31362740,318887.28,1956123.38,2.47,0.731,9.43,1.77,20151230,3897578.5,4.93,32.04,172.31,49.45,63.06,88320
伊利股份,15.74,20.29,24.52,6.98,14.78,20.41,23.9,7.72,,乳制品,内蒙,18.04,60.33,60.78,4898469,2845808.25,1399012.13,278879.91,0.46,0.346,4.47,5.58,19960312,1621002.75,2.67,24.56,21.15,38.8,10.73,254646
联美控股,15,14.28,28.17,15.4,6.64,6.88,12.97,7.72,,供气供热,辽宁,7.24,8.22,17.6,1080938.25,600753.44,266960.16,371897.41,2.11,0.338,4.37,2.24,19990128,291668.91,1.66,14.95,31.71,59.68,49.46,7082
青松股份,2.18,3.59,5.15,1.77,6.08,10.26,13.01,7.71,,化工原料,福建,17.84,3.11,3.86,104592.6,64615.01,32107.86,8241.61,0.21,0.158,2.04,5.5,20101026,28734.34,0.74,64.68,429.73,38.08,23.95,14709
中国国旅,9.37,12,14.35,5.4,10.09,14.19,18.03,7.68,,旅游服务,北京,27.26,19.52,19.52,2294137.5,1909286.38,139690.8,384220.03,1.97,0.594,7.73,8.38,20091015,890653,4.56,53.07,61.48,39.47,13.11,31034
诺普信,1.02,-12.63,-17.04,6.57,12.63,13.41,15.91,7.64,,农药化肥,深圳,9.88,7.25,9.14,454773.25,297755.44,30229.46,30034.55,0.33,0.175,2.29,3.02,20080218,76936.18,0.84,20.32,40.36,33.85,15.48,46670
汤臣倍健,7.99,12.09,11.43,6.18,11.92,15.73,15.02,7.46,13.14,食品,广东,20.8,8.76,14.69,612733.5,382725.78,63664.88,203696.94,1.39,0.48,3.65,5.47,20101215,153306.48,1.04,45.95,21.01,69.2,32.48,62603
雪榕生物,1.04,2.55,8.17,3.62,3.1,6.12,8.82,7.45,,种植业,上海,7.17,2.32,4.34,378445.75,53936.06,241003.09,60614.2,1.4,0.258,3.46,2.14,20160504,64971.23,1.5,106.35,132.28,27.9,20.7,24360
泸州老窖,10.89,14.21,17.47,6.75,13.16,13.64,16.86,7.39,,白酒,四川,14.72,14.02,14.65,2014744.25,1449444.88,109012.9,354351.97,2.42,0.827,11.18,4.36,19940509,973825.81,6.65,26.2,51.86,74.67,35.94,54985
鲁西化工,1.6,2.12,2.99,2.76,6.12,11.32,19.01,7.37,,农药化肥,山东,7.19,14.64,14.65,2870001,368679.91,1939564.25,218405.41,1.49,0.54,5.86,2.74,19980807,452150.56,3.09,31.98,240.26,30.39,16.7,136931
片仔癀,9.49,14.13,15.34,6.08,11.51,16.71,19.51,7.34,,中成药,福建,49.8,6.03,6.03,608174.94,466088.94,24032.25,63754.26,1.06,0.541,7.36,14.64,20030616,267187.59,4.43,42.06,44.07,46.49,26.68,58395
华鲁恒升,6.3,8.13,10.72,3.7,6.35,9.54,13.15,7.32,,农药化肥,山东,9.76,16.15,16.2,1683858,293667.78,1049401.63,201286.95,1.24,0.453,6.19,2.86,20020620,567200.69,3.5,39.83,133.91,30.14,21.35,41120
伯特利,13.39,,33.36,,13.06,,25.19,7.31,,汽车配件,安徽,37.46,0.41,4.09,295394.88,221964.97,51661.46,14181.11,0.35,0.213,3.23,9.87,20180427,61355.95,1.5,0,0,24.19,12.76,39606
迎驾贡酒,8.27,12.72,17.36,6.84,8.71,10.99,16.18,7.29,,白酒,安徽,10.67,8,8,566622.81,397619.91,128493.07,126300.05,1.58,0.405,5.55,3.11,20150528,208359.56,2.6,11.87,12.46,65.41,28.69,40503
华东医药,12.36,17,19.87,6.95,13.58,18.35,21.2,7.28,,化学制药,浙江,24.73,13.02,14.58,1734793.38,1384458.75,191722.34,294158.53,2.02,0.452,6.21,7.2,20000127,464651.19,3.19,9.61,21.17,31.65,8.41,22317
华电能源,9.3,7.35,4.37,7.13,2.98,-13.18,-47.82,7.26,,火力发电,黑龙江,7.71,15.35,19.67,2527124.75,427550.94,1804379.63,168827.52,0.86,0.092,1.27,2.24,19960701,-136733.72,-0.7,12.43,-30.66,13.13,5.78,196616
中源协和,1.02,0.35,2.38,1.8,0.55,0.2,-1.22,7.2,,生物制药,天津,17.76,3.84,3.84,303291.72,72498.99,59717.53,98843.25,2.57,0.296,4.11,5.12,19930504,18230.63,0.47,2.88,310.17,69.16,52.83,41885
韵达股份,9.19,13.48,31.53,6.95,17.04,24.45,30.49,7.18,,仓储物流,浙江,35.58,1.39,13.18,931992,423421.81,280927.94,42669.26,0.32,0.33,4.61,9.45,20070306,372441.69,2.83,40.44,44.74,26.01,15.19,7660
天齐锂业,19.56,27.73,32.93,7.73,16.75,22.58,23.65,7.14,,小金属,四川,18.73,11.35,11.42,1797603.25,805546.38,140202.59,420034.41,3.68,0.578,8.09,5.36,20100831,427641.69,3.74,56.92,62.7,73.67,39.56,138255
伟明环保,9.47,13.91,17.13,5.68,11.64,16.79,21.98,7.14,,环境保护,浙江,23.3,6.83,6.88,414362.75,116962.82,8916.41,28220.9,0.41,0.258,3.62,6.66,20150528,147197.63,2.14,52.56,47.37,66.56,55.19,19967
岱勒新材,,,16.7,,13.56,13.95,20.87,7.14,,矿物制品,湖南,19.8,0.21,0.82,103417.32,65432.69,22349.81,23927.61,2.9,0.475,6.65,5.66,20170912,20462.9,2.48,0,0,50.05,27.3,13364
泛海控股,5.78,11.01,16.96,2.32,4.78,6.72,14.4,7.14,,全国地产,北京,5.55,50.95,51.96,19864866,13752354,100414.36,522734.91,1.01,0.292,4.09,1.59,19940912,897097.19,1.73,-82.81,249.42,42.22,467.36,40055
安信信托,19.65,28.86,22.11,7.55,11.42,18.42,22.65,7.09,,多元金融,上海,8.69,46.73,54.69,2633875,0,882.53,401238.13,0.73,0.193,2.72,2.46,19940128,462059.91,0.84,-2.66,3.51,0,66.43,69914
信维通信,10.76,20.06,27.64,9.58,17.48,27.83,32.21,7.07,13.66,通信设备,深圳,36.37,7.69,9.83,558018.63,302560.97,53530.8,35814.15,0.36,0.445,3.26,9.94,20101105,197543.92,2.01,27.48,8.37,37.77,23.94,34209
沃格光电,1.79,,14.21,,15.94,,28.31,7.04,,元器件,江西,26.23,0.24,0.95,102518.8,49531.05,35872.23,24988.34,2.64,0.587,11.12,5.54,20180417,43288.15,4.58,0,0,55.54,33.6,26149
沙钢股份,2.77,5.38,8.03,3.73,6.47,12.02,20.8,6.99,,特种钢,江苏,34.93,22.07,22.07,973699.69,545570.56,324977.53,-60860.16,-0.28,0.115,1.65,9.77,20061025,183676.97,0.83,16.04,138.88,22.68,7.54,47398
弘亚数控,18.26,32.81,21.96,7.05,14.27,20.71,25.02,6.96,,专用机械,广东,20.6,0.54,1.35,119332.92,83935.7,13138.67,34838.87,2.57,0.522,7.5,5.74,20161228,50456.6,3.73,36.75,31.38,35.84,27.34,7850
百川能源,8.02,15.41,25.82,3.77,7.78,14.88,21.95,6.95,12.65,供气供热,湖北,14.32,3.27,10.32,662897.94,299379.47,168426.06,132924.25,1.29,0.487,3.85,3.63,19931018,174150.22,1.69,169.2,175.91,26.4,22.01,17683
上峰水泥,0.86,2.71,9.9,5.66,15.41,24.09,35.28,6.89,,水泥,甘肃,11.71,8.14,8.14,631565.13,282804.59,228636.8,-96400.71,-1.18,0.204,2.96,3.23,19961218,226841.2,2.79,9.52,89.33,39.42,20.01,73597
金杯汽车,-18.66,-33.45,-288.34,-204.04,,,36.72,6.87,,汽车配件,辽宁,63.13,10.93,10.93,585942.19,431055.81,59527.63,116782.21,1.07,0.019,0.27,17.36,19920724,-241363.59,-2.21,9.82,137.91,12.62,1.48,52689
新集能源,0.87,5.41,5.35,3.82,3.21,3.47,0.46,6.83,,煤炭开采,安徽,6.96,25.91,25.91,3151845,338427.22,1471459.75,180681.36,0.7,0.137,2.01,1.9,20071219,-48886.35,-0.19,24.86,94.99,48.31,15.71,181451
安琪酵母,8.17,11.73,16.44,6.12,12.32,16.99,22.04,6.8,,食品,湖北,24.89,8.24,8.24,816957.69,305586.28,443652.56,65197.44,0.79,0.337,4.95,6.77,20000818,266076.59,3.23,14.9,30.24,36.73,17.01,40330
双汇发展,14.45,25.09,31.01,5.82,15.62,23.45,29.54,6.78,,食品,河南,18.71,32.99,33,2348893.5,1059201.63,1130339.38,189638.56,0.57,0.322,4.76,5.07,19981210,866586.19,2.63,-1.78,21.09,19.72,8.87,50285
万年青,2.54,6.04,8.17,0.23,3.16,8.13,14.88,6.76,,水泥,江西,8.69,6.13,6.13,876090.63,316422.53,398846.91,24088.42,0.39,0.368,5.43,2.35,19970923,227141.84,3.7,48.79,3358.7,36.72,13.07,65180
大连热电,3.63,-2.62,1.86,7.3,2.23,-3.59,0.46,6.75,,供气供热,辽宁,8.24,4.05,4.05,159531.36,43497.4,75793,10217.32,0.25,0.13,1.93,2.23,19960716,10562.03,0.26,2.08,-8.24,23.52,11.93,24440
飞科电器,11.84,23.12,30.5,9.06,19.39,27.58,34.65,6.74,18.47,家用电器,上海,29.36,0.44,4.36,291643.63,203755.45,57732.06,68804.5,1.58,0.914,4.95,10.85,20160418,81352.43,1.87,5.41,5.06,39.35,21.93,11090
小天鹅A,10.81,15.96,19.63,6.23,11.72,17.12,21.37,6.74,,家用电器,江苏,15.21,4.39,6.32,2020616.25,1841431.63,102379.38,127383.61,2.01,0.808,11.98,4.1,19970328,529958.69,8.38,19.71,28.66,27.26,7.5,16192
晨光文具,11.45,16.94,20.28,6.39,11.61,18.23,22.37,6.73,,文教休闲,上海,31.28,9.2,9.2,432712.69,292259.69,85745.93,27234.76,0.3,0.222,3.3,8.43,20150127,157700.3,1.71,30.25,23.22,27.19,11.12,10505
雏鹰农牧,9.62,14.2,16.92,2.15,8.19,11.57,0.91,6.71,,农业综合,河南,7.22,19.9,31.35,2222898.25,1277218.75,270800.81,57195.48,0.18,0.114,1.7,1.94,20100915,141427.69,0.45,-3.51,215.43,18.27,31.46,133076
