name,net_profits_2017_1,net_profits_2017_2,net_profits_2017_3,net_profits_2017_4,net_profits_2018_1,net_profits_2018_2,net_profits_2018_3,net_profits_2018_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
荣晟环保,95.29299999999999,180.7294,276.2556,398.6823,60.0284,122.7525,140.75799999999998,,造纸,浙江,18.44,0.44,1.77,140284.06,82321.03,42873.78,37307.7,2.1,0.794,6.58,2.97,20170117.0,59223.6,3.34,4.66,-49.81,14.03,9.02,15931.0
山东海化,275.6988,337.2595,526.3592,685.1887,141.9758,356.9086,473.1969,,化工原料,山东,7.87,8.95,8.95,441347.16,217983.16,164125.88,150734.05,1.68,0.529,3.64,1.52,19980703.0,51681.73,0.58,12.06,-10.1,19.24,12.31,74646.0
万华化学,2195.0598,4861.0379,7810.996,11134.7903,3545.7222,6949.9344,9021.0215,,化工原料,山东,10.44,14.24,31.4,7199355.0,2634943.75,2746479.25,239300.66,0.76,3.3,11.76,3.4,20010105.0,2424001.25,7.72,17.86,15.49,36.82,19.64,126317.0
深物业A,301.5978,364.3558,576.1666,622.9627,53.4568,82.9725,144.1887,,区域地产,深圳,32.27,1.76,5.96,488449.91,399145.72,3043.59,11893.8,0.2,0.242,4.84,2.15,19920330.0,187671.36,3.15,-54.8,-74.97,24.17,12.03,44868.0
八一钢铁,272.693,401.4538,865.2639,1167.9596,144.19299999999998,215.5938,577.4878,,普钢,新疆,8.82,15.33,15.33,1999456.38,539457.38,1403241.38,332030.88,2.17,0.377,2.55,1.73,20020816.0,-173726.13,-1.13,22.32,-33.26,13.11,3.76,106969.0
基蛋生物,40.8975,89.5978,137.9821,193.9884,66.5362,130.55200000000002,180.2324,,生物制药,江苏,23.82,0.92,1.86,144582.56,118463.42,13453.88,67633.63,3.64,0.9690000000000001,6.84,4.5,20170717.0,39042.48,2.1,37.38,30.62,80.68,39.73,15016.0
牧原股份,680.0364,1200.2683,1812.2119,2365.5294,136.0375,-78.6557,350.1908,,农业综合,河南,205.75,11.92,20.85,2764106.25,911072.69,1268160.25,293812.88,1.41,0.168,4.71,9.78,20140128.0,441980.16,2.12,28.28,-80.68,10.79,3.81,20831.0
紫江企业,452.3018,571.7005,669.2198,554.803,63.3984,297.1325,391.0079,,广告包装,上海,12.6,15.17,15.17,1088078.0,562668.5,299152.53,36180.92,0.24,0.258,2.92,1.48,19990824.0,202484.25,1.34,7.33,-41.57,19.08,5.45,121575.0
大元泵业,31.0086,71.5804,124.4371,179.4308,37.0661,87.4252,140.838,,专用机械,浙江,13.61,0.35,1.17,125091.02,92708.05,24811.55,45899.42,3.91,1.2,8.36,2.61,20170711.0,38803.15,3.31,10.32,13.18,31.66,16.54,7112.0
君禾股份,23.9135,38.1709,41.7367,56.2817,20.2722,43.4471,55.6733,,专用机械,浙江,24.78,0.3,1.02,71170.86,44004.17,15047.97,21531.38,2.11,0.547,5.0,3.61,20170703.0,19083.57,1.87,9.18,33.39,24.71,11.86,10031.0
方大特钢,284.9063,704.5549,1539.5194,2539.5266,557.4929,1305.8634,2314.7302,2927.0275,特种钢,江西,6.98,13.26,14.5,961776.19,502702.19,240360.75,137575.56,0.95,2.08,4.45,3.17,20030930.0,355705.53,2.45,23.96,15.26,32.87,16.93,62300.0
江苏索普,46.9853,60.4722,68.2177,75.0317,-3.4633,-2.7001,-1.2663,,化工原料,江苏,0.0,3.05,3.06,54106.13,30965.15,13564.4,6207.23,0.2,-0.004,1.52,4.31,19960918.0,5046.7,0.16,-36.38,-101.86,5.46,-0.33,21820.0
金溢科技,42.6138,56.3314,57.23,89.4179,6.9173,-3.8699,-2.4626,,通信设备,深圳,0.0,0.45,1.18,123308.67,93639.71,3838.9,63015.38,5.35,-0.021,8.36,2.12,20170515.0,19386.95,1.65,-19.75,-104.3,39.99,-0.73,14677.0
睿能科技,40.8893,83.7036,130.5432,141.3199,38.9851,78.8024,104.4112,,纺织机械,福建,20.03,0.36,1.44,163245.98,150199.23,5881.46,45702.03,3.18,0.726,7.25,2.68,20170706.0,41445.01,2.88,-0.67,-20.02,19.16,7.04,11940.0
信维通信,204.2566,403.3872,714.9657,889.0461,210.0106,437.1366,862.2751,,通信设备,深圳,25.37,8.1,9.76,668967.75,385600.22,58163.46,28060.83,0.29,0.88,3.64,8.22,20101105.0,232289.22,2.38,35.29,20.6,39.03,25.68,74784.0
江苏雷利,60.6751,127.6922,185.2443,218.1004,48.4077,115.1044,169.6032,,电气设备,江苏,17.89,0.45,1.87,298218.97,265715.94,18693.0,145218.63,7.78,0.93,11.37,1.91,20170602.0,43776.15,2.35,11.39,-8.44,22.78,9.92,18084.0
洋河股份,2742.9570000000003,3908.2605,5581.6621,6627.17,3475.1476,5004.9918,7038.7549,,白酒,江苏,17.65,12.44,15.07,4517846.5,2968382.0,784943.19,74170.4,0.49,4.671,21.64,5.08,20091106.0,2970787.5,19.71,24.22,26.11,73.03,33.57,26020.0
合盛硅业,271.296,553.8127,966.2335,1516.9724,630.1169,1445.9071,2246.4536,,化工原料,浙江,12.41,2.61,6.7,1535640.63,466121.59,742425.0,227361.05,3.39,3.353,11.0,5.04,20171030.0,435381.25,6.5,71.51,132.5,42.15,26.61,32325.0
海澜之家,1010.0032,1875.1873,2512.635,3328.8742,1130.9413,2066.0107,2628.2395,,服饰,江苏,12.65,44.93,44.93,2869858.25,2066967.63,368227.06,203270.98,0.45,0.585,2.59,3.81,20001228.0,707853.56,1.58,4.53,4.66,43.42,20.15,41800.0
神雾节能,73.1398,207.7269,304.9786,348.0885,-66.7343,-82.6559,-127.2092,,环境保护,辽宁,0.0,2.88,6.37,274232.38,268736.25,536.1,895.19,0.01,-0.2,1.5,3.79,19980630.0,81266.61,1.28,-99.5,-141.71,0.0,-2928.99,47544.0
飞科电器,200.4488,378.9907,599.8549,835.3476,174.4152,398.1746,620.6631,,家用电器,上海,22.14,0.44,4.36,323958.31,227446.27,58316.16,68804.5,1.58,1.425,5.46,7.71,20160418.0,103601.3,2.38,5.85,3.47,39.6,22.02,10015.0
承德露露,196.9693,227.6467,319.074,413.5979,218.6154,252.9635,350.2123,,软饮料,河北,18.36,9.78,9.79,232422.22,172554.66,25053.71,1730.84,0.02,0.358,1.9,4.61,19971113.0,50508.21,0.52,7.3,9.76,52.06,20.92,47020.0
延江股份,22.1829,43.5741,62.4572,90.13,6.0141,16.5188,33.8294,,纺织,福建,42.4,0.42,1.5,112676.02,68058.4,23998.1,40694.5,2.71,0.28,5.08,2.51,20170602.0,17597.55,1.17,-3.59,-45.84,29.31,6.38,10393.0
岱美股份,137.8831,273.1339,436.1749,581.7754,149.4674,302.0929,445.4784,,汽车配件,上海,15.92,0.81,4.1,496328.31,298008.75,80467.75,113027.06,2.75,1.0859999999999999,8.22,2.8,20170728.0,172426.84,4.2,26.54,2.13,30.84,15.21,17586.0
山西汾酒,467.7106,601.6837,805.5308,944.1017,710.0718,937.1554,1263.8002,,白酒,山西,24.82,8.66,8.66,1026455.31,743669.06,167712.73,24214.46,0.28,1.46,6.92,6.99,19940106.0,434741.0,5.02,42.41,56.89,69.44,18.28,36808.0
绿康生化,26.5162,46.7564,71.6806,85.925,18.5607,41.3283,59.6808,,农业综合,福建,26.0,0.38,1.2,77465.6,46479.46,20297.0,37592.82,3.13,0.49700000000000005,6.04,2.85,20170503.0,19380.18,1.62,-12.09,-16.74,35.73,23.53,14779.0
海天味业,976.9545,1823.1879,2538.9352,3531.4369,1202.7708,2248.0178,3131.2344,,食品,广东,49.38,27.0,27.0,1658790.0,1218328.75,333454.09,129749.63,0.48,1.16,4.67,16.36,20140211.0,725631.19,2.69,17.2,23.33,46.47,24.63,22257.0
上海三毛,40.7749,34.5346,35.4164,20.7027,2.4562,1.6116,2.3811,,纺织,上海,754.03,1.52,2.01,72460.86,41461.37,3226.09,21178.32,1.05,0.012,2.29,5.19,19931108.0,-1673.42,-0.08,12.86,-93.28,6.66,0.24,37268.0
先导智能,90.70200000000001,178.983,278.585,537.5,173.0594,326.8925,547.0586,,专用机械,江苏,40.09,4.85,8.82,749410.5,577546.5,22673.32,101260.81,1.15,0.62,3.68,9.03,20150518.0,127466.77,1.45,157.26,96.37,37.06,20.29,29512.0
金能科技,210.3987,363.9446,598.5098,678.7879,257.9339,522.5156,922.4752,,化工原料,山东,7.18,3.32,6.76,650685.13,365067.03,225057.25,178419.38,2.64,1.365,6.92,1.89,20170511.0,205054.88,3.03,31.16,54.13,20.84,14.53,33921.0
三七互娱,433.0332,850.5505,1211.3393,1620.5824,410.0932,,1218.3485,,互联网,安徽,17.57,15.92,21.25,921812.69,399859.63,29151.86,37718.03,0.18,0.573,2.93,4.59,20110302.0,361297.22,1.7,23.98,0.58,75.53,22.01,49904.0
荣安地产,348.8206,469.6956,479.2921,541.7558,-41.0351,174.56099999999998,407.3346,,区域地产,浙江,17.47,30.36,31.84,2255466.25,2109806.25,1039.91,-170630.86,-0.54,0.128,1.43,2.09,19930806.0,297732.63,0.94,-40.24,-15.01,37.69,17.52,60207.0
台海核电,161.6856,425.8192,654.385,1013.9797,183.7883,436.8719,336.0798,,专用机械,四川,27.67,4.89,8.67,808326.38,494289.31,228328.66,74047.71,0.85,0.38799999999999996,3.45,4.14,20100312.0,182243.36,2.1,-35.38,-48.64,62.28,32.39,40742.0
德艺文创,10.3426,20.1067,29.3676,35.658,7.3714,12.5066,27.8661,,文教休闲,福建,41.32,0.52,1.47,37953.62,33139.09,1742.86,7412.7,0.5,0.29,2.03,5.14,20170417.0,5340.46,0.36,19.02,-5.11,16.4,6.62,8323.0
大参林,117.2391,248.4163,366.7039,474.961,147.0089,287.9657,413.9909,,医药商业,广东,32.47,0.64,4.0,637228.88,411019.63,79011.78,97382.99,2.43,1.035,7.33,6.11,20170731.0,147627.77,3.69,18.86,12.9,41.7,6.57,8336.0
金安国纪,152.2898,261.8439,395.7477,537.3363,88.5055,175.0223,236.6144,,元器件,上海,21.3,2.46,7.28,425455.41,319551.38,75516.13,19133.28,0.26,0.325,3.38,2.73,20111125.0,147387.13,2.02,9.69,-40.21,17.89,8.31,53181.0
平治信息,21.8783,50.3246,61.3882,97.0273,47.7221,110.064,178.2468,,互联网,浙江,26.23,0.69,1.2,80737.38,58902.28,4964.28,2439.76,0.2,1.5,4.18,12.56,20161213.0,35778.8,2.97,6.71,194.02,48.32,25.77,7964.0
设计总院,68.9857,119.4265,172.3684,288.8344,113.6414,246.0357,348.219,,建筑施工,安徽,14.04,1.59,3.25,300301.75,273017.38,10823.71,88070.88,2.71,1.073,6.36,3.16,20170801.0,79964.46,2.46,43.87,102.02,49.41,29.64,30333.0
广汽集团,3828.5784,6182.6024,8962.1182,10786.2199,3880.0525,6913.1027,9860.335,,汽车整车,广东,9.41,60.8,102.34,12311073.0,5934644.0,1274517.88,2241277.25,2.19,0.97,7.37,1.64,20120329.0,3932005.5,3.84,2.79,10.02,20.98,18.67,42993.0
卫星石化,291.6945,484.1789,695.5228,942.4568,113.1414,326.6599,622.8245,,化工原料,浙江,16.73,10.37,10.66,1280650.63,638888.75,335879.88,416715.13,3.91,0.584,7.24,1.8,20111228.0,223391.16,2.1,13.1,-10.45,20.71,8.99,20000.0
海德股份,18.5181,37.4427,56.3379,73.2683,22.9129,50.5217,76.3457,,多元金融,海南,59.81,1.5,4.42,659444.69,629492.88,660.06,355165.34,8.03,0.22,9.27,1.49,19940525.0,10244.55,0.23,89.43,35.51,0.0,30.85,25581.0
英搏尔,22.7402,38.5754,53.431000000000004,84.2954,23.7912,40.4173,54.2543,,元器件,广东,36.49,0.19,0.76,113457.81,87407.18,18382.63,36092.4,4.77,0.718,8.62,4.05,20170725.0,19083.25,2.52,29.41,1.54,25.53,12.52,7546.0
吉比特,163.9785,299.3521,443.4593,609.7127,153.6962,334.9959,506.8902,,互联网,福建,17.62,0.41,0.72,363221.78,243639.45,3025.11,106672.57,14.84,7.09,37.32,4.44,20170104.0,156276.31,21.74,8.9,14.3,91.46,43.7,19265.0
贵州茅台,6123.1193,11250.8609,19983.846999999998,27079.3603,8506.9067,15764.1858,24733.5527,,白酒,贵州,28.21,12.56,12.56,14714766.0,12483090.0,1481265.0,137496.44,1.09,19.689,81.49,9.09,20010827.0,8584619.0,68.34,23.06,23.77,91.12,47.34,88932.0
天齐锂业,405.7787,923.9907,1518.4214,2145.0388,660.2167,1309.3905,1689.0824,,小金属,四川,18.57,11.36,11.42,2076234.38,655894.06,139054.23,420111.81,3.68,1.479,8.93,4.1,20100831.0,507687.25,4.45,20.17,11.24,70.12,35.49,154187.0
南钢股份,548.8886,1208.1563,2046.6502,3200.3494,1007.8782,2288.4559,3437.3044,,普钢,江苏,3.86,44.22,44.22,4229873.5,1911548.38,1993247.25,183066.81,0.41,0.78,3.35,1.19,20000919.0,782009.63,1.77,24.27,67.95,21.14,10.22,137623.0
今世缘,385.3397,649.3312,775.8197,895.8769,509.0567,856.2871,1028.9513,,白酒,江苏,18.65,12.55,12.55,774018.94,540094.06,75908.68,71709.18,0.57,0.82,4.76,4.29,20140703.0,359923.41,2.87,32.01,32.19,72.66,32.57,31709.0
天邑股份,51.169,89.0848,180.7659,229.9486,52.3243,84.9101,131.0791,,通信设备,四川,41.63,0.67,2.67,269879.0,249903.45,16474.5,75965.82,2.84,0.53,6.49,4.19,20180330.0,64476.65,2.41,24.21,-27.49,16.87,6.15,40000.0
香山股份,20.3461,40.5256,60.9361,71.4896,5.0765,13.703,23.858,,电器仪表,广东,99.12,0.4,1.11,133160.88,88615.22,18849.45,47152.4,4.26,0.21600000000000003,7.37,3.87,20170515.0,18852.84,1.7,-0.56,-60.85,26.42,3.49,13660.0
西藏药业,54.1339,58.1719,134.7693,229.6457,68.6633,129.6838,231.1473,,中成药,西藏,18.44,1.46,1.8,259924.02,107586.51,14097.45,140896.94,7.84,1.287,12.69,2.49,19990721.0,55686.17,3.1,15.34,71.51,79.42,31.18,13429.0
安信信托,1020.1356,1612.0172,2825.2883,3668.2123,1055.9756,1078.5056,24.0873,,多元金融,上海,1428.74,46.73,54.69,2291758.0,0.0,819.71,310085.81,0.57,0.004,2.54,3.31,19940128.0,358871.09,0.66,-69.5,-99.15,0.0,1.88,80354.0
金禾实业,200.8596,484.3065,699.6173,1022.2685,,542.8627,754.005,,化工原料,安徽,9.5,5.54,5.59,573257.88,400800.63,125367.51,41111.17,0.74,1.34,6.46,2.65,20110707.0,232436.59,4.16,1.34,7.77,33.29,22.54,41083.0
苏泊尔,366.4788,596.9732,896.3677,1307.6066,452.4432,739.4162,1104.3916,,家用电器,浙江,34.11,5.45,8.21,946749.19,783980.13,84565.5,12809.63,0.16,1.35,6.49,9.43,20040817.0,401254.66,4.89,24.71,21.81,30.21,8.25,6320.0
济川药业,290.7111,581.8112,907.3166,1223.4635,466.8337,842.5169999999999,1308.768,,中成药,湖北,16.26,8.15,8.15,756049.13,428974.06,176716.13,176183.2,2.16,1.61,6.11,5.7,20010822.0,265330.78,3.26,31.57,44.25,84.57,23.61,15391.0
璞泰来,79.7074,195.7995,323.9325,450.8658,128.3311,257.0637,429.1377,,化工原料,上海,38.44,1.93,4.35,602826.81,436631.94,55093.28,105621.07,2.43,0.99,6.34,7.99,20171103.0,124199.67,2.86,47.76,32.48,33.18,18.73,12712.0
郑州煤电,227.4511,405.8454,615.2159,627.446,41.4695,102.7468,164.785,,煤炭开采,河南,16.08,10.15,10.15,1214126.63,552981.06,426233.56,44367.87,0.44,0.162,3.57,0.98,19980107.0,116332.02,1.15,-18.85,-73.22,34.98,4.51,48780.0
鸿达兴业,304.1976,504.9552,856.4709,1004.8829,252.024,419.7509,664.7305,,化工原料,江苏,14.22,25.49,25.89,1373662.63,475431.31,731587.38,107151.55,0.41,0.257,2.38,2.04,20040625.0,231072.3,0.89,-10.35,-22.39,36.66,15.38,68317.0
杰恩设计,10.3734,,43.7087,62.2479,17.157,39.0994,61.7667,,装修装饰,深圳,25.7,0.41,1.05,45662.57,35374.48,8384.7,14323.76,1.36,0.586,3.66,5.48,20170619.0,12946.8,1.23,32.06,41.31,52.85,25.14,10102.0
大连热电,57.3959,16.5568,-25.1139,3.3568,52.667,11.4915,-33.933,,供气供热,辽宁,0.0,4.05,4.05,165058.3,46443.6,75448.96,10217.32,0.25,-0.084,1.71,2.68,19960716.0,1780.64,0.04,-4.79,-35.12,5.45,-6.87,24676.0
重庆百货,364.4397,466.8119,501.7028,605.4308,522.8997,695.7657,768.875,,百货,重庆,12.09,4.06,4.07,1409738.88,808127.31,299979.97,40337.35,0.99,1.891,13.57,2.25,19960702.0,440829.69,10.84,5.91,53.25,18.29,2.99,15363.0
盛弘股份,19.7866,31.7102,40.1596,46.0148,12.4969,25.4586,44.5522,,电气设备,深圳,42.07,0.66,1.37,86562.61,81969.03,1348.3,30875.83,2.26,0.326,4.42,4.13,20170822.0,14406.75,1.05,16.93,10.94,46.83,11.35,15764.0
新大陆,190.5783,428.0259,554.5262,654.0831,194.4314,337.3331,479.3345,,软件服务,福建,28.36,10.04,10.44,1065766.0,797163.44,58902.13,155396.02,1.49,0.47,5.09,3.41,20000807.0,240146.84,2.3,14.8,-13.56,28.73,11.91,80551.0
上海石化,1928.852,2575.479,4101.491,6141.558000000001,1771.513,3524.131,4660.414000000001,,石油加工,上海,9.55,73.29,108.24,4224777.0,2334992.5,1182599.63,61576.1,0.06,0.431,2.75,1.99,19931108.0,1252406.5,1.16,18.58,13.63,20.77,5.77,90001.0
周大生,124.6966,263.5319,415.9268,592.0748,160.5339,352.9166,594.7233,,服饰,深圳,18.48,1.63,4.87,552274.38,434584.84,2908.18,180852.88,3.71,1.23,7.66,3.93,20170427.0,130826.55,2.68,30.57,42.99,34.45,16.79,20807.0
口子窖,327.0254,525.86,901.0052,1113.663,448.6774,733.315,1141.3729,,白酒,安徽,17.66,6.0,6.0,758780.38,519566.0,128768.27,97688.22,1.63,1.902,9.63,4.65,20150629.0,383963.06,6.4,18.13,26.68,74.34,35.58,12610.0
朗源股份,57.2845,46.397,51.323,39.6009,-4.5679,7.5938,45.7036,,食品,山东,35.38,4.62,4.71,94860.21,46169.37,31948.38,7406.47,0.16,0.09699999999999999,1.6,2.86,20110215.0,35311.18,0.75,-18.98,-10.95,12.98,18.94,29230.0
华电能源,261.1669,104.7917,-397.074,-1103.8943,181.0997,-45.9408,-523.3029,,火力发电,黑龙江,0.0,15.35,19.67,2429377.5,398589.47,1732372.0,168916.31,0.86,-0.266,0.91,2.68,19960701.0,-207173.98,-1.05,9.45,-31.79,2.61,-7.68,190168.0
保隆科技,45.1835,94.2254,144.5678,173.8783,49.2691,85.6093,122.8475,,汽车配件,上海,23.66,0.98,1.67,297937.31,206033.02,55154.76,70175.7,4.2,0.75,8.3,2.8,20170519.0,53437.82,3.2,12.1,-15.02,33.08,7.29,11248.0
陕西煤业,2673.7849,5472.8071,8068.3373,10449.4,2841.4169,5944.1579,8864.115,,煤炭开采,陕西,7.62,100.0,100.0,12174397.0,3433857.5,3477468.75,739440.31,0.74,0.8859999999999999,5.13,1.76,20140128.0,2833201.5,2.83,4.38,9.86,52.45,21.55,61862.0
中来股份,72.9131,153.8617,207.9092,258.5727,22.3018,66.3679,139.8256,,塑料,江苏,27.33,1.21,2.41,567882.31,301778.88,143695.45,171941.06,7.13,0.58,10.44,2.02,20140912.0,60523.65,2.51,-29.85,-32.75,23.52,7.66,9674.0
春风动力,29.6477,60.6518,84.4518,97.4051,15.5066,72.0937,97.1964,,摩托车,浙江,19.89,0.65,1.35,206233.27,156136.38,21465.92,60163.83,4.47,0.722,7.12,2.69,20170818.0,22853.4,1.7,41.18,15.09,27.72,5.21,14501.0
五粮液,3593.1124,4971.5056,6964.7632,9673.7215,4971.0131,7110.2556,9494.4165,,白酒,四川,21.48,37.96,38.82,7612385.0,6810511.0,528259.38,268264.72,0.69,2.47,15.35,4.56,19980427.0,4212361.0,10.85,33.09,36.32,73.47,32.46,251776.0
弘亚数控,53.7495,122.7622,193.6303,234.4805,70.6175,163.93200000000002,248.0698,,专用机械,广东,16.75,0.57,1.35,145445.97,106343.17,13617.6,35698.73,2.64,1.834,8.5,4.82,20161228.0,60895.53,4.5,48.44,28.12,38.97,26.69,7993.0
游族网络,205.9369,339.4923,459.344,655.8905,222.0828,492.986,682.8016,,互联网,福建,18.64,6.42,8.88,687887.06,283635.88,71913.81,77537.97,0.87,0.78,4.64,4.11,20070925.0,281509.69,3.17,7.79,48.65,55.11,26.03,33421.0
华正新材,40.8347,51.8146,70.2752,93.5978,11.4129,31.2321,57.8456,,元器件,浙江,45.28,0.74,1.29,211484.41,129234.15,35910.3,20601.22,1.59,0.45,5.08,5.31,20170103.0,30788.4,2.38,9.04,-17.69,19.16,4.78,10960.0
伊利股份,1733.6533,3364.1111,4937.2673,6000.8849,2100.2355,3445.8309,5047.8187,,乳制品,内蒙,24.05,60.4,60.78,4527579.0,2392435.5,1459829.5,283162.88,0.47,0.83,4.35,6.13,19960312.0,1490292.13,2.45,16.73,2.24,37.67,8.3,260387.0
浙江永强,244.9692,250.2391,167.6824,78.2466,28.552,-43.3248,-112.1918,,家居用品,浙江,0.0,18.7,21.76,613566.19,346720.03,114193.31,27427.25,0.13,-0.052000000000000005,1.43,2.22,20101021.0,42131.94,0.19,-13.85,-166.91,15.77,-4.27,110000.0
韵达股份,278.8676,747.7349,1176.0773,1589.3196,403.6379,1000.3133,1980.8028,,仓储物流,浙江,23.07,3.12,17.13,1643096.63,984440.38,349266.19,383111.0,2.24,1.19,6.27,5.67,20070306.0,498801.41,2.91,35.23,68.42,28.72,21.42,11008.0
华东医药,544.0141,1041.4405,1489.1589999999999,1779.5061,659.1984,1293.3892,1809.0812,,化学制药,浙江,18.7,14.58,14.58,1810722.25,1433091.5,196676.06,245552.7,1.68,1.2409999999999999,6.52,4.75,20000127.0,509643.31,3.5,8.17,21.48,29.51,7.8,36684.0
格力电器,4014.5365,9452.4833,15460.7089,22401.5762,5581.6244,12806.2005,21118.4358,,家用电器,广东,9.52,59.7,60.16,24752282.0,19754570.0,1732905.63,10388.05,0.02,3.511,14.41,3.09,19961118.0,7685851.0,12.78,34.11,36.59,30.15,14.2,500334.0
